,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/number_sorting,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,1.0000,0.1644,0.1902,0.0941,0.1762,0.0913,0.0727,0.0717,0.1441,0.0294,0.0304,0.0500,0.0365,0.3909,0.1335,0.0616,0.0354,0.0298,0.0515,0.0529,0.0522,0.0291,0.0389,0.0388,0.0536,0.0583,0.0520,0.0521,0.0523,0.0581,0.0528,0.0504,0.0318,0.0340,0.0321,0.0287,0.0209,0.0236,0.0273,0.0409
MD/add_sub_2op_verbal,0.1644,1.0000,0.1419,0.1882,0.1712,0.1325,0.1026,0.1149,0.1149,0.0438,0.0442,0.0632,0.0478,0.1502,0.2676,0.0603,0.0466,0.0388,0.0674,0.0667,0.0707,0.0379,0.0562,0.0475,0.0964,0.1064,0.0610,0.0636,0.0687,0.0710,0.0687,0.0685,0.0271,0.0335,0.0336,0.0272,0.0263,0.0294,0.0290,0.0484
MD/add_sub_3op_symbolic,0.1902,0.1419,1.0000,0.1043,0.1270,0.0699,0.0535,0.0552,0.1206,0.0390,0.0445,0.0513,0.0463,0.1868,0.1280,0.0606,0.0481,0.0436,0.0395,0.0415,0.0433,0.0401,0.0507,0.0511,0.0507,0.0520,0.0384,0.0386,0.0428,0.0427,0.0392,0.0397,0.0233,0.0243,0.0234,0.0214,0.0175,0.0233,0.0200,0.0269
MD/add_sub_3op_verbal,0.0941,0.1882,0.1043,1.0000,0.1013,0.0752,0.0593,0.0647,0.0740,0.0460,0.0494,0.0481,0.0511,0.0873,0.1585,0.0516,0.0447,0.0433,0.0423,0.0478,0.0488,0.0362,0.0533,0.0499,0.0652,0.0658,0.0384,0.0389,0.0457,0.0495,0.0439,0.0409,0.0200,0.0230,0.0233,0.0192,0.0183,0.0245,0.0202,0.0278
MD/code_A,0.1762,0.1712,0.1270,0.1013,1.0000,0.2774,0.4863,0.2387,0.2580,0.0574,0.0362,0.1245,0.0697,0.1562,0.1467,0.0706,0.0449,0.0293,0.0829,0.0887,0.0909,0.0373,0.0571,0.0539,0.1772,0.1881,0.0787,0.0781,0.0748,0.0916,0.0871,0.0734,0.0299,0.0333,0.0337,0.0302,0.0281,0.0253,0.0271,0.0784
MD/code_B,0.0913,0.1325,0.0699,0.0752,0.2774,1.0000,0.3210,0.5653,0.0661,0.0573,0.0395,0.0981,0.0761,0.0811,0.1234,0.0619,0.0468,0.0322,0.1064,0.0969,0.1087,0.0349,0.0631,0.0658,0.2790,0.3166,0.1038,0.1064,0.1102,0.0950,0.0990,0.1060,0.0404,0.0525,0.0522,0.0498,0.0559,0.0244,0.0377,0.1260
MD/code_conditional,0.0727,0.1026,0.0535,0.0593,0.4863,0.3210,1.0000,0.3011,0.0470,0.0604,0.0384,0.1407,0.0727,0.0614,0.0922,0.0546,0.0491,0.0285,0.1028,0.1070,0.1103,0.0364,0.0620,0.0575,0.2074,0.2251,0.0954,0.0932,0.0887,0.1033,0.1042,0.0875,0.0325,0.0414,0.0410,0.0388,0.0393,0.0305,0.0343,0.1034
MD/code_list,0.0717,0.1149,0.0552,0.0647,0.2387,0.5653,0.3011,1.0000,0.0492,0.0505,0.0348,0.0919,0.0709,0.0633,0.1075,0.0555,0.0438,0.0311,0.1093,0.0986,0.1099,0.0327,0.0613,0.0656,0.2656,0.3104,0.1064,0.1072,0.1177,0.0945,0.1018,0.1091,0.0409,0.0539,0.0540,0.0517,0.0568,0.0243,0.0377,0.1237
MD/code_loop,0.1441,0.1149,0.1206,0.0740,0.2580,0.0661,0.0470,0.0492,1.0000,0.0245,0.0195,0.0435,0.0295,0.1292,0.0993,0.0436,0.0232,0.0253,0.0237,0.0266,0.0275,0.0311,0.0262,0.0283,0.0333,0.0363,0.0240,0.0245,0.0263,0.0294,0.0275,0.0257,0.0191,0.0183,0.0188,0.0139,0.0160,0.0169,0.0143,0.0209
MD/logic_propositional_1,0.0294,0.0438,0.0390,0.0460,0.0574,0.0573,0.0604,0.0505,0.0245,1.0000,0.0762,0.0600,0.2070,0.0222,0.0449,0.0398,0.0637,0.0437,0.0228,0.0293,0.0324,0.0426,0.0664,0.0587,0.1434,0.1123,0.0147,0.0161,0.0222,0.0254,0.0276,0.0160,0.0121,0.0160,0.0150,0.0177,0.0144,0.0276,0.0135,0.0173
