,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/number_sorting,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/logic_propositional_symbolic,0.0304,0.0442,0.0445,0.0494,0.0362,0.0395,0.0384,0.0348,0.0195,0.0762,1.0000,0.0423,0.0850,0.0275,0.0513,0.0381,0.0797,0.0560,0.0247,0.0334,0.0365,0.0504,0.0826,0.0671,0.0692,0.0626,0.0209,0.0204,0.0307,0.0277,0.0314,0.0214,0.0140,0.0179,0.0200,0.0169,0.0133,0.0242,0.0161,0.0150
MD/logic_syllogism_1,0.0500,0.0632,0.0513,0.0481,0.1245,0.0981,0.1407,0.0919,0.0435,0.0600,0.0423,1.0000,0.0658,0.0451,0.0596,0.0468,0.0654,0.0384,0.0565,0.0675,0.0697,0.0451,0.0688,0.0578,0.1006,0.1063,0.0457,0.0469,0.0501,0.0631,0.0651,0.0426,0.0216,0.0264,0.0271,0.0257,0.0234,0.0306,0.0222,0.0383
MD/logic_syllogism_symbolic,0.0365,0.0478,0.0463,0.0511,0.0697,0.0761,0.0727,0.0709,0.0295,0.2070,0.0850,0.0658,1.0000,0.0297,0.0510,0.0443,0.0617,0.0414,0.0263,0.0332,0.0341,0.0421,0.0639,0.0576,0.1598,0.1254,0.0218,0.0220,0.0273,0.0307,0.0326,0.0214,0.0139,0.0145,0.0161,0.0159,0.0141,0.0255,0.0144,0.0211
MD/mul_div_2op_symbolic,0.3909,0.1502,0.1868,0.0873,0.1562,0.0811,0.0614,0.0633,0.1292,0.0222,0.0275,0.0451,0.0297,1.0000,0.1458,0.0516,0.0314,0.0303,0.0500,0.0528,0.0515,0.0249,0.0378,0.0381,0.0484,0.0529,0.0526,0.0535,0.0558,0.0529,0.0510,0.0540,0.0310,0.0347,0.0331,0.0276,0.0210,0.0208,0.0266,0.0435
MD/mul_div_2op_verbal,0.1335,0.2676,0.1280,0.1585,0.1467,0.1234,0.0922,0.1075,0.0993,0.0449,0.0513,0.0596,0.0510,0.1458,1.0000,0.0564,0.0528,0.0487,0.0614,0.0623,0.0634,0.0439,0.0633,0.0584,0.0940,0.0997,0.0545,0.0566,0.0672,0.0623,0.0613,0.0640,0.0280,0.0334,0.0322,0.0263,0.0262,0.0288,0.0270,0.0476
MD/number_sorting,0.0616,0.0603,0.0606,0.0516,0.0706,0.0619,0.0546,0.0555,0.0436,0.0398,0.0381,0.0468,0.0443,0.0516,0.0564,1.0000,0.0423,0.0342,0.0404,0.0461,0.0473,0.0356,0.0462,0.0456,0.0516,0.0546,0.0389,0.0349,0.0426,0.0463,0.0442,0.0364,0.0238,0.0270,0.0269,0.0248,0.0219,0.0245,0.0234,0.0293
ToM/agent,0.0354,0.0466,0.0481,0.0447,0.0449,0.0468,0.0491,0.0438,0.0232,0.0637,0.0797,0.0654,0.0617,0.0314,0.0528,0.0423,1.0000,0.0933,0.0399,0.0513,0.0533,0.1053,0.1933,0.2421,0.0687,0.0665,0.0295,0.0301,0.0417,0.0426,0.0437,0.0296,0.0169,0.0249,0.0258,0.0224,0.0171,0.0291,0.0178,0.0196
ToM/desires_goals,0.0298,0.0388,0.0436,0.0433,0.0293,0.0322,0.0285,0.0311,0.0253,0.0437,0.0560,0.0384,0.0414,0.0303,0.0487,0.0342,0.0933,1.0000,0.0270,0.0348,0.0334,0.1154,0.0949,0.0840,0.0442,0.0433,0.0227,0.0190,0.0305,0.0271,0.0279,0.0221,0.0153,0.0169,0.0182,0.0181,0.0145,0.0240,0.0160,0.0121
ToM/emotion_fewshot,0.0515,0.0674,0.0395,0.0423,0.0829,0.1064,0.1028,0.1093,0.0237,0.0228,0.0247,0.0565,0.0263,0.0500,0.0614,0.0404,0.0399,0.0270,1.0000,0.1263,0.1198,0.0417,0.0489,0.0437,0.0864,0.1017,0.0902,0.0933,0.0940,0.1179,0.1218,0.0923,0.0356,0.0410,0.0375,0.0360,0.0395,0.0263,0.0340,0.0560
ToM/norm_appropriate,0.0529,0.0667,0.0415,0.0478,0.0887,0.0969,0.1070,0.0986,0.0266,0.0293,0.0334,0.0675,0.0332,0.0528,0.0623,0.0461,0.0513,0.0348,0.1263,1.0000,0.1671,0.0439,0.0658,0.0561,0.0855,0.0952,0.0833,0.0867,0.0913,0.1075,0.1656,0.0806,0.0311,0.0407,0.0394,0.0362,0.0304,0.0310,0.0348,0.0548
ToM/norm_moral,0.0522,0.0707,0.0433,0.0488,0.0909,0.1087,0.1103,0.1099,0.0275,0.0324,0.0365,0.0697,0.0341,0.0515,0.0634,0.0473,0.0533,0.0334,0.1198,0.1671,1.0000,0.0460,0.0727,0.0532,0.0977,0.1081,0.0864,0.0890,0.1020,0.1122,0.1521,0.1054,0.0312,0.0348,0.0366,0.0323,0.0350,0.0234,0.0320,0.0555
ToM/primary_emotions,0.0291,0.0379,0.0401,0.0362,0.0373,0.0349,0.0364,0.0327,0.0311,0.0426,0.0504,0.0451,0.0421,0.0249,0.0439,0.0356,0.1053,0.1154,0.0417,0.0439,0.0460,1.0000,0.0990,0.0893,0.0469,0.0459,0.0249,0.0265,0.0296,0.0330,0.0346,0.0224,0.0176,0.0190,0.0193,0.0175,0.0157,0.0230,0.0169,0.0142
ToM/social_interactions,0.0389,0.0562,0.0507,0.0533,0.0571,0.0631,0.0620,0.0613,0.0262,0.0664,0.0826,0.0688,0.0639,0.0378,0.0633,0.0462,0.1933,0.0949,0.0489,0.0658,0.0727,0.0990,1.0000,0.1417,0.0812,0.0817,0.0403,0.0402,0.0520,0.0473,0.0565,0.0405,0.0216,0.0306,0.0317,0.0284,0.0214,0.0305,0.0243,0.0240
ToM/social_relations,0.0388,0.0475,0.0511,0.0499,0.0539,0.0658,0.0575,0.0656,0.0283,0.0587,0.0671,0.0578,0.0576,0.0381,0.0584,0.0456,0.2421,0.0840,0.0437,0.0561,0.0532,0.0893,0.1417,1.0000,0.0770,0.0771,0.0401,0.0391,0.0449,0.0433,0.0456,0.0404,0.0211,0.0290,0.0291,0.0272,0.0199,0.0317,0.0223,0.0259
phys/phys_newton,0.0536,0.0964,0.0507,0.0652,0.1772,0.2790,0.2074,0.2656,0.0333,0.1434,0.0692,0.1006,0.1598,0.0484,0.0940,0.0516,0.0687,0.0442,0.0864,0.0855,0.0977,0.0469,0.0812,0.0770,1.0000,0.4620,0.0749,0.0811,0.0856,0.0795,0.0909,0.0783,0.0310,0.0368,0.0369,0.0372,0.0506,0.0261,0.0269,0.0758
phys/phys_prost,0.0583,0.1064,0.0520,0.0658,0.1881,0.3166,0.2251,0.3104,0.0363,0.1123,0.0626,0.1063,0.1254,0.0529,0.0997,0.0546,0.0665,0.0433,0.1017,0.0952,0.1081,0.0459,0.0817,0.0771,0.4620,1.0000,0.0892,0.0922,0.0966,0.0902,0.1031,0.0928,0.0343,0.0416,0.0439,0.0425,0.0602,0.0249,0.0297,0.0915
phys/physics_brightness,0.0520,0.0610,0.0384,0.0384,0.0787,0.1038,0.0954,0.1064,0.0240,0.0147,0.0209,0.0457,0.0218,0.0526,0.0545,0.0389,0.0295,0.0227,0.0902,0.0833,0.0864,0.0249,0.0403,0.0401,0.0749,0.0892,1.0000,0.1005,0.1003,0.0944,0.0901,0.0913,0.0295,0.0416,0.0381,0.0391,0.0376,0.0206,0.0375,0.0648
phys/physics_elasticity,0.0521,0.0636,0.0386,0.0389,0.0781,0.1064,0.0932,0.1072,0.0245,0.0161,0.0204,0.0469,0.0220,0.0535,0.0566,0.0349,0.0301,0.0190,0.0933,0.0867,0.0890,0.0265,0.0402,0.0391,0.0811,0.0922,0.1005,1.0000,0.1022,0.0921,0.0993,0.1022,0.0326,0.0468,0.0446,0.0435,0.0378,0.0216,0.0420,0.0757
phys/physics_solubility,0.0523,0.0687,0.0428,0.0457,0.0748,0.1102,0.0887,0.1177,0.0263,0.0222,0.0307,0.0501,0.0273,0.0558,0.0672,0.0426,0.0417,0.0305,0.0940,0.0913,0.1020,0.0296,0.0520,0.0449,0.0856,0.0966,0.1003,0.1022,1.0000,0.1102,0.1004,0.1244,0.0308,0.0417,0.0407,0.0413,0.0368,0.0265,0.0405,0.0669
phys/physics_speed,0.0581,0.0710,0.0427,0.0495,0.0916,0.0950,0.1033,0.0945,0.0294,0.0254,0.0277,0.0631,0.0307,0.0529,0.0623,0.0463,0.0426,0.0271,0.1179,0.1075,0.1122,0.0330,0.0473,0.0433,0.0795,0.0902,0.0944,0.0921,0.1102,1.0000,0.1277,0.1009,0.0326,0.0357,0.0343,0.0286,0.0355,0.0282,0.0307,0.0446
phys/physics_stability,0.0528,0.0687,0.0392,0.0439,0.0871,0.0990,0.1042,0.1018,0.0275,0.0276,0.0314,0.0651,0.0326,0.0510,0.0613,0.0442,0.0437,0.0279,0.1218,0.1656,0.1521,0.0346,0.0565,0.0456,0.0909,0.1031,0.0901,0.0993,0.1004,0.1277,1.0000,0.0867,0.0322,0.0397,0.0376,0.0342,0.0340,0.0276,0.0332,0.0546
phys/physics_temperature,0.0504,0.0685,0.0397,0.0409,0.0734,0.1060,0.0875,0.1091,0.0257,0.0160,0.0214,0.0426,0.0214,0.0540,0.0640,0.0364,0.0296,0.0221,0.0923,0.0806,0.1054,0.0224,0.0405,0.0404,0.0783,0.0928,0.0913,0.1022,0.1244,0.1009,0.0867,1.0000,0.0317,0.0406,0.0401,0.0366,0.0359,0.0217,0.0375,0.0602
Lan/anaphor_gender_agreement,0.0318,0.0271,0.0233,0.0200,0.0299,0.0404,0.0325,0.0409,0.0191,0.0121,0.0140,0.0216,0.0139,0.0310,0.0280,0.0238,0.0169,0.0153,0.0356,0.0311,0.0312,0.0176,0.0216,0.0211,0.0310,0.0343,0.0295,0.0326,0.0308,0.0326,0.0322,0.0317,1.0000,0.0671,0.0615,0.0617,0.0564,0.0343,0.0587,0.0465
Lan/det_noun_agreement_irregular,0.0340,0.0335,0.0243,0.0230,0.0333,0.0525,0.0414,0.0539,0.0183,0.0160,0.0179,0.0264,0.0145,0.0347,0.0334,0.0270,0.0249,0.0169,0.0410,0.0407,0.0348,0.0190,0.0306,0.0290,0.0368,0.0416,0.0416,0.0468,0.0417,0.0357,0.0397,0.0406,0.0671,1.0000,0.5142,0.3671,0.0838,0.0455,0.1058,0.1310
Lan/det_noun_agreement_regular,0.0321,0.0336,0.0234,0.0233,0.0337,0.0522,0.0410,0.0540,0.0188,0.0150,0.0200,0.0271,0.0161,0.0331,0.0322,0.0269,0.0258,0.0182,0.0375,0.0394,0.0366,0.0193,0.0317,0.0291,0.0369,0.0439,0.0381,0.0446,0.0407,0.0343,0.0376,0.0401,0.0615,0.5142,1.0000,0.3906,0.0883,0.0456,0.1066,0.1408
Lan/det_noun_agreement_with_adjective,0.0287,0.0272,0.0214,0.0192,0.0302,0.0498,0.0388,0.0517,0.0139,0.0177,0.0169,0.0257,0.0159,0.0276,0.0263,0.0248,0.0224,0.0181,0.0360,0.0362,0.0323,0.0175,0.0284,0.0272,0.0372,0.0425,0.0391,0.0435,0.0413,0.0286,0.0342,0.0366,0.0617,0.3671,0.3906,1.0000,0.0919,0.0467,0.1153,0.1598
Lan/hypernymy,0.0209,0.0263,0.0175,0.0183,0.0281,0.0559,0.0393,0.0568,0.0160,0.0144,0.0133,0.0234,0.0141,0.0210,0.0262,0.0219,0.0171,0.0145,0.0395,0.0304,0.0350,0.0157,0.0214,0.0199,0.0506,0.0602,0.0376,0.0378,0.0368,0.0355,0.0340,0.0359,0.0564,0.0838,0.0883,0.0919,1.0000,0.0298,0.0504,0.0550
Lan/npi,0.0236,0.0294,0.0233,0.0245,0.0253,0.0244,0.0305,0.0243,0.0169,0.0276,0.0242,0.0306,0.0255,0.0208,0.0288,0.0245,0.0291,0.0240,0.0263,0.0310,0.0234,0.0230,0.0305,0.0317,0.0261,0.0249,0.0206,0.0216,0.0265,0.0282,0.0276,0.0217,0.0343,0.0455,0.0456,0.0467,0.0298,1.0000,0.0496,0.0320
Lan/subject_verb_agreement,0.0273,0.0290,0.0200,0.0202,0.0271,0.0377,0.0343,0.0377,0.0143,0.0135,0.0161,0.0222,0.0144,0.0266,0.0270,0.0234,0.0178,0.0160,0.0340,0.0348,0.0320,0.0169,0.0243,0.0223,0.0269,0.0297,0.0375,0.0420,0.0405,0.0307,0.0332,0.0375,0.0587,0.1058,0.1066,0.1153,0.0504,0.0496,1.0000,0.0859
Lan/wug,0.0409,0.0484,0.0269,0.0278,0.0784,0.1260,0.1034,0.1237,0.0209,0.0173,0.0150,0.0383,0.0211,0.0435,0.0476,0.0293,0.0196,0.0121,0.0560,0.0548,0.0555,0.0142,0.0240,0.0259,0.0758,0.0915,0.0648,0.0757,0.0669,0.0446,0.0546,0.0602,0.0465,0.1310,0.1408,0.1598,0.0550,0.0320,0.0859,1.0000
