,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/number_sorting,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,1.0000,0.4023,0.4588,0.1435,0.2840,0.0229,0.0099,0.0031,0.3618,0.0069,0.0084,0.0130,0.0053,0.7160,0.3588,0.0305,0.0084,0.0099,0.0107,0.0168,0.0115,0.0084,0.0084,0.0099,0.0061,0.0046,0.0122,0.0099,0.0099,0.0069,0.0076,0.0122,0.0069,0.0053,0.0031,0.0023,0.0015,0.0046,0.0031,0.0038
MD/add_sub_2op_verbal,0.4023,1.0000,0.3000,0.2328,0.2412,0.0794,0.0580,0.0740,0.2649,0.0076,0.0153,0.0382,0.0115,0.3832,0.4901,0.0275,0.0137,0.0084,0.0397,0.0282,0.0298,0.0115,0.0137,0.0137,0.0634,0.0733,0.0313,0.0412,0.0420,0.0542,0.0435,0.0511,0.0061,0.0061,0.0038,0.0015,0.0038,0.0031,0.0038,0.0076
MD/add_sub_3op_symbolic,0.4588,0.3000,1.0000,0.1573,0.2206,0.0267,0.0137,0.0122,0.2931,0.0153,0.0229,0.0214,0.0214,0.4496,0.2756,0.0405,0.0137,0.0214,0.0206,0.0183,0.0221,0.0137,0.0198,0.0198,0.0160,0.0130,0.0183,0.0160,0.0206,0.0244,0.0115,0.0122,0.0107,0.0076,0.0061,0.0069,0.0023,0.0031,0.0069,0.0053
MD/add_sub_3op_verbal,0.1435,0.2328,0.1573,1.0000,0.1038,0.0321,0.0336,0.0282,0.1198,0.0237,0.0298,0.0282,0.0290,0.1527,0.2015,0.0382,0.0191,0.0214,0.0298,0.0313,0.0328,0.0176,0.0252,0.0237,0.0389,0.0290,0.0221,0.0252,0.0321,0.0374,0.0282,0.0321,0.0076,0.0053,0.0061,0.0023,0.0046,0.0092,0.0061,0.0023
MD/code_A,0.2840,0.2412,0.2206,0.1038,1.0000,0.2504,0.4466,0.2008,0.3794,0.0336,0.0107,0.1153,0.0443,0.2817,0.1954,0.0427,0.0168,0.0046,0.0771,0.0786,0.0763,0.0099,0.0244,0.0313,0.1748,0.1710,0.0595,0.0504,0.0542,0.0786,0.0779,0.0588,0.0053,0.0046,0.0023,0.0023,0.0076,0.0031,0.0023,0.0107
MD/code_B,0.0229,0.0794,0.0267,0.0321,0.2504,1.0000,0.3947,0.6450,0.0168,0.0359,0.0160,0.0947,0.0641,0.0237,0.0916,0.0382,0.0130,0.0069,0.0954,0.0718,0.0947,0.0061,0.0351,0.0550,0.3718,0.3824,0.1267,0.0969,0.1290,0.0954,0.0985,0.1191,0.0099,0.0038,0.0061,0.0046,0.0137,0.0008,0.0046,0.0298
MD/code_conditional,0.0099,0.0580,0.0137,0.0336,0.4466,0.3947,1.0000,0.3489,0.0069,0.0420,0.0137,0.1908,0.0649,0.0145,0.0618,0.0366,0.0229,0.0069,0.1137,0.1145,0.1244,0.0130,0.0344,0.0405,0.2679,0.2611,0.1107,0.0847,0.0817,0.1168,0.1313,0.0947,0.0069,0.0076,0.0099,0.0069,0.0130,0.0031,0.0038,0.0374
MD/code_list,0.0031,0.0740,0.0122,0.0282,0.2008,0.6450,0.3489,1.0000,0.0015,0.0275,0.0160,0.0840,0.0588,0.0076,0.0809,0.0328,0.0145,0.0053,0.1031,0.0725,0.1061,0.0069,0.0420,0.0565,0.3656,0.3901,0.1221,0.0969,0.1435,0.0992,0.1038,0.1229,0.0115,0.0046,0.0069,0.0061,0.0137,0.0015,0.0046,0.0344
MD/code_loop,0.3618,0.2649,0.2931,0.1198,0.3794,0.0168,0.0069,0.0015,1.0000,0.0137,0.0023,0.0122,0.0107,0.3748,0.2328,0.0206,0.0061,0.0076,0.0053,0.0046,0.0076,0.0069,0.0069,0.0076,0.0053,0.0038,0.0092,0.0046,0.0031,0.0069,0.0092,0.0084,0.0031,0.0031,0.0031,0.0015,0.0000,0.0031,0.0038,0.0038
MD/logic_propositional_1,0.0069,0.0076,0.0153,0.0237,0.0336,0.0359,0.0420,0.0275,0.0137,1.0000,0.0603,0.0664,0.2809,0.0084,0.0183,0.0275,0.0366,0.0176,0.0221,0.0183,0.0290,0.0183,0.0374,0.0405,0.1824,0.1206,0.0176,0.0137,0.0137,0.0260,0.0275,0.0122,0.0069,0.0031,0.0023,0.0023,0.0008,0.0107,0.0015,0.0038
