,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/number_sorting,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/logic_propositional_symbolic,0.0031,0.0076,0.0183,0.0275,0.0076,0.0122,0.0107,0.0153,0.0015,0.0550,1.0000,0.0198,0.0489,0.0015,0.0107,0.0229,0.0473,0.0397,0.0153,0.0107,0.0229,0.0427,0.0748,0.0595,0.0351,0.0214,0.0153,0.0092,0.0137,0.0229,0.0092,0.0122,0.0046,0.0061,0.0031,0.0015,0.0015,0.0061,0.0031,0.0046
MD/logic_syllogism_1,0.0046,0.0183,0.0046,0.0244,0.0947,0.0779,0.1954,0.0718,0.0046,0.0641,0.0198,1.0000,0.0779,0.0031,0.0275,0.0382,0.0321,0.0137,0.0702,0.0763,0.0748,0.0153,0.0351,0.0244,0.0992,0.0794,0.0290,0.0229,0.0351,0.0962,0.0840,0.0366,0.0061,0.0122,0.0107,0.0076,0.0061,0.0122,0.0031,0.0107
MD/logic_syllogism_symbolic,0.0015,0.0000,0.0122,0.0214,0.0427,0.0611,0.0595,0.0611,0.0031,0.2870,0.0489,0.0779,1.0000,0.0015,0.0061,0.0168,0.0397,0.0122,0.0229,0.0168,0.0366,0.0092,0.0397,0.0489,0.2198,0.1710,0.0214,0.0107,0.0168,0.0305,0.0290,0.0122,0.0046,0.0015,0.0015,0.0000,0.0000,0.0031,0.0000,0.0031
MD/mul_div_2op_symbolic,0.8061,0.4214,0.5542,0.1359,0.3084,0.0183,0.0015,0.0000,0.3771,0.0031,0.0015,0.0031,0.0015,1.0000,0.4626,0.0153,0.0015,0.0000,0.0015,0.0000,0.0000,0.0015,0.0015,0.0000,0.0000,0.0000,0.0000,0.0015,0.0031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0015
MD/mul_div_2op_verbal,0.4168,0.5496,0.3206,0.2275,0.2000,0.0855,0.0534,0.0794,0.2229,0.0061,0.0107,0.0275,0.0061,0.4626,1.0000,0.0198,0.0061,0.0046,0.0275,0.0092,0.0229,0.0076,0.0107,0.0107,0.0656,0.0611,0.0183,0.0260,0.0366,0.0427,0.0290,0.0397,0.0000,0.0000,0.0000,0.0000,0.0031,0.0031,0.0000,0.0015
MD/number_sorting,0.0214,0.0229,0.0214,0.0397,0.0412,0.0305,0.0321,0.0290,0.0153,0.0168,0.0229,0.0382,0.0168,0.0153,0.0198,1.0000,0.0153,0.0183,0.0305,0.0290,0.0351,0.0153,0.0275,0.0168,0.0305,0.0336,0.0321,0.0198,0.0229,0.0382,0.0305,0.0198,0.0061,0.0092,0.0076,0.0046,0.0000,0.0061,0.0000,0.0031
ToM/agent,0.0015,0.0031,0.0076,0.0198,0.0076,0.0137,0.0183,0.0122,0.0031,0.0321,0.0473,0.0321,0.0397,0.0015,0.0061,0.0153,1.0000,0.0702,0.0229,0.0244,0.0366,0.1069,0.1954,0.2534,0.0275,0.0214,0.0168,0.0183,0.0168,0.0244,0.0214,0.0137,0.0015,0.0046,0.0031,0.0000,0.0015,0.0076,0.0015,0.0000
ToM/desires_goals,0.0015,0.0031,0.0168,0.0168,0.0000,0.0015,0.0046,0.0031,0.0015,0.0153,0.0397,0.0137,0.0122,0.0000,0.0046,0.0183,0.0702,1.0000,0.0061,0.0076,0.0092,0.1191,0.0626,0.0504,0.0031,0.0015,0.0092,0.0015,0.0076,0.0076,0.0092,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0046,0.0015,0.0015
ToM/emotion_fewshot,0.0000,0.0260,0.0076,0.0183,0.0580,0.0992,0.1023,0.0962,0.0000,0.0260,0.0153,0.0702,0.0229,0.0015,0.0275,0.0305,0.0229,0.0061,1.0000,0.1710,0.1786,0.0351,0.0214,0.0229,0.1023,0.1099,0.0779,0.0641,0.0992,0.1695,0.1771,0.0824,0.0061,0.0031,0.0031,0.0015,0.0061,0.0076,0.0031,0.0107
ToM/norm_appropriate,0.0000,0.0092,0.0031,0.0229,0.0458,0.0550,0.0992,0.0534,0.0000,0.0214,0.0107,0.0763,0.0168,0.0000,0.0092,0.0290,0.0244,0.0076,0.1710,1.0000,0.2427,0.0122,0.0321,0.0260,0.0672,0.0611,0.0885,0.0489,0.0550,0.1313,0.2351,0.0580,0.0076,0.0015,0.0000,0.0000,0.0076,0.0031,0.0092,0.0046
ToM/norm_moral,0.0000,0.0092,0.0076,0.0183,0.0565,0.1084,0.1160,0.1084,0.0000,0.0305,0.0229,0.0748,0.0366,0.0000,0.0229,0.0351,0.0366,0.0092,0.1786,0.2427,1.0000,0.0229,0.0489,0.0473,0.1191,0.1221,0.1023,0.0550,0.0855,0.1542,0.2580,0.1588,0.0122,0.0061,0.0061,0.0076,0.0061,0.0031,0.0046,0.0092
ToM/primary_emotions,0.0015,0.0061,0.0031,0.0214,0.0031,0.0031,0.0031,0.0046,0.0015,0.0168,0.0427,0.0153,0.0092,0.0015,0.0076,0.0153,0.1069,0.1191,0.0351,0.0122,0.0229,1.0000,0.0779,0.0611,0.0092,0.0061,0.0031,0.0061,0.0031,0.0183,0.0153,0.0061,0.0061,0.0015,0.0015,0.0000,0.0015,0.0061,0.0000,0.0000
ToM/social_interactions,0.0015,0.0046,0.0137,0.0183,0.0168,0.0336,0.0336,0.0336,0.0031,0.0443,0.0748,0.0351,0.0397,0.0015,0.0107,0.0275,0.1954,0.0626,0.0214,0.0321,0.0489,0.0779,1.0000,0.1420,0.0489,0.0412,0.0290,0.0137,0.0229,0.0275,0.0336,0.0244,0.0061,0.0031,0.0015,0.0015,0.0015,0.0076,0.0046,0.0015
ToM/social_relations,0.0000,0.0046,0.0092,0.0183,0.0183,0.0550,0.0351,0.0489,0.0015,0.0458,0.0595,0.0244,0.0489,0.0000,0.0107,0.0168,0.2534,0.0504,0.0229,0.0260,0.0473,0.0611,0.1420,1.0000,0.0641,0.0702,0.0214,0.0153,0.0275,0.0260,0.0198,0.0366,0.0092,0.0061,0.0031,0.0000,0.0015,0.0107,0.0000,0.0015
phys/phys_newton,0.0000,0.0458,0.0076,0.0366,0.1634,0.3802,0.2748,0.3802,0.0000,0.1893,0.0351,0.0992,0.2198,0.0000,0.0656,0.0305,0.0275,0.0031,0.1023,0.0672,0.1191,0.0092,0.0489,0.0641,1.0000,0.6061,0.0916,0.0763,0.1267,0.1053,0.1053,0.0885,0.0198,0.0000,0.0000,0.0000,0.0061,0.0015,0.0000,0.0092
phys/phys_prost,0.0000,0.0443,0.0031,0.0244,0.1496,0.3908,0.2611,0.4015,0.0000,0.1206,0.0214,0.0794,0.1710,0.0000,0.0611,0.0336,0.0214,0.0015,0.1099,0.0611,0.1221,0.0061,0.0412,0.0702,0.6061,1.0000,0.1038,0.0809,0.1176,0.1069,0.1008,0.0992,0.0168,0.0000,0.0000,0.0000,0.0107,0.0000,0.0000,0.0046
phys/physics_brightness,0.0031,0.0107,0.0092,0.0153,0.0458,0.1053,0.0931,0.0947,0.0015,0.0122,0.0153,0.0290,0.0214,0.0000,0.0183,0.0321,0.0168,0.0092,0.0779,0.0885,0.1023,0.0031,0.0290,0.0214,0.0916,0.1038,1.0000,0.0779,0.0885,0.0870,0.0794,0.0809,0.0076,0.0076,0.0061,0.0031,0.0061,0.0015,0.0061,0.0153
phys/physics_elasticity,0.0031,0.0183,0.0061,0.0183,0.0305,0.0916,0.0611,0.0916,0.0015,0.0107,0.0092,0.0229,0.0107,0.0015,0.0260,0.0198,0.0183,0.0015,0.0641,0.0489,0.0550,0.0061,0.0137,0.0153,0.0763,0.0809,0.0779,1.0000,0.1115,0.0672,0.0748,0.0718,0.0122,0.0244,0.0244,0.0214,0.0046,0.0015,0.0153,0.0290
phys/physics_solubility,0.0031,0.0275,0.0046,0.0275,0.0427,0.1450,0.0824,0.1405,0.0031,0.0092,0.0137,0.0351,0.0168,0.0031,0.0366,0.0229,0.0168,0.0076,0.0992,0.0550,0.0855,0.0031,0.0229,0.0275,0.1267,0.1176,0.0885,0.1115,1.0000,0.1145,0.0947,0.1191,0.0107,0.0107,0.0061,0.0076,0.0092,0.0031,0.0153,0.0198
phys/physics_speed,0.0000,0.0382,0.0122,0.0321,0.0702,0.1023,0.1237,0.0947,0.0031,0.0244,0.0229,0.0962,0.0305,0.0000,0.0427,0.0382,0.0244,0.0076,0.1695,0.1313,0.1542,0.0183,0.0275,0.0260,0.1053,0.1069,0.0870,0.0672,0.1145,1.0000,0.2046,0.1267,0.0137,0.0076,0.0092,0.0076,0.0092,0.0046,0.0046,0.0046
phys/physics_stability,0.0000,0.0137,0.0031,0.0168,0.0519,0.0855,0.1069,0.0931,0.0000,0.0260,0.0092,0.0840,0.0290,0.0000,0.0290,0.0305,0.0214,0.0092,0.1771,0.2351,0.2580,0.0153,0.0336,0.0198,0.1053,0.1008,0.0794,0.0748,0.0947,0.2046,1.0000,0.0626,0.0092,0.0061,0.0076,0.0046,0.0046,0.0046,0.0015,0.0061
phys/physics_temperature,0.0000,0.0321,0.0046,0.0336,0.0397,0.1282,0.0901,0.1145,0.0000,0.0092,0.0122,0.0366,0.0122,0.0000,0.0397,0.0198,0.0137,0.0061,0.0824,0.0580,0.1588,0.0061,0.0244,0.0366,0.0885,0.0992,0.0809,0.0718,0.1191,0.1267,0.0626,1.0000,0.0153,0.0122,0.0092,0.0031,0.0092,0.0031,0.0046,0.0031
Lan/anaphor_gender_agreement,0.0000,0.0031,0.0031,0.0015,0.0000,0.0061,0.0015,0.0061,0.0000,0.0015,0.0046,0.0061,0.0046,0.0000,0.0000,0.0061,0.0015,0.0000,0.0061,0.0076,0.0122,0.0061,0.0061,0.0092,0.0198,0.0168,0.0076,0.0122,0.0107,0.0137,0.0092,0.0153,1.0000,0.0153,0.0153,0.0198,0.0107,0.0107,0.0076,0.0076
Lan/det_noun_agreement_irregular,0.0000,0.0015,0.0000,0.0031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0061,0.0122,0.0015,0.0000,0.0000,0.0092,0.0046,0.0000,0.0031,0.0015,0.0061,0.0015,0.0031,0.0061,0.0000,0.0000,0.0076,0.0244,0.0107,0.0076,0.0061,0.0122,0.0153,1.0000,0.6870,0.5450,0.0305,0.0107,0.0565,0.1374
Lan/det_noun_agreement_regular,0.0000,0.0015,0.0000,0.0031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0031,0.0107,0.0015,0.0000,0.0000,0.0076,0.0031,0.0000,0.0031,0.0000,0.0061,0.0015,0.0015,0.0031,0.0000,0.0000,0.0061,0.0244,0.0061,0.0092,0.0076,0.0092,0.0153,0.6870,1.0000,0.6366,0.0260,0.0061,0.0626,0.1603
Lan/det_noun_agreement_with_adjective,0.0000,0.0000,0.0015,0.0000,0.0000,0.0000,0.0015,0.0000,0.0000,0.0000,0.0015,0.0076,0.0000,0.0000,0.0000,0.0046,0.0000,0.0000,0.0015,0.0000,0.0076,0.0000,0.0015,0.0000,0.0000,0.0000,0.0031,0.0214,0.0076,0.0076,0.0046,0.0031,0.0198,0.5450,0.6366,1.0000,0.0305,0.0046,0.0641,0.2015
Lan/hypernymy,0.0000,0.0031,0.0000,0.0031,0.0061,0.0076,0.0076,0.0061,0.0000,0.0000,0.0015,0.0061,0.0000,0.0000,0.0031,0.0000,0.0015,0.0000,0.0061,0.0076,0.0061,0.0015,0.0015,0.0015,0.0061,0.0107,0.0061,0.0046,0.0092,0.0092,0.0046,0.0092,0.0107,0.0305,0.0260,0.0305,1.0000,0.0015,0.0061,0.0061
Lan/npi,0.0000,0.0015,0.0015,0.0076,0.0000,0.0000,0.0015,0.0000,0.0000,0.0046,0.0061,0.0122,0.0031,0.0000,0.0031,0.0061,0.0076,0.0046,0.0076,0.0031,0.0031,0.0061,0.0076,0.0107,0.0015,0.0000,0.0015,0.0015,0.0031,0.0046,0.0046,0.0031,0.0107,0.0107,0.0061,0.0046,0.0015,1.0000,0.0092,0.0031
Lan/subject_verb_agreement,0.0000,0.0000,0.0015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0031,0.0031,0.0000,0.0000,0.0000,0.0000,0.0015,0.0015,0.0031,0.0092,0.0046,0.0000,0.0046,0.0000,0.0000,0.0000,0.0061,0.0153,0.0153,0.0046,0.0015,0.0046,0.0076,0.0565,0.0626,0.0641,0.0061,0.0092,1.0000,0.0351
Lan/wug,0.0000,0.0000,0.0031,0.0000,0.0015,0.0137,0.0153,0.0153,0.0000,0.0031,0.0046,0.0107,0.0031,0.0015,0.0015,0.0031,0.0000,0.0015,0.0107,0.0046,0.0092,0.0000,0.0015,0.0015,0.0092,0.0046,0.0153,0.0290,0.0198,0.0046,0.0061,0.0031,0.0076,0.1374,0.1603,0.2015,0.0061,0.0031,0.0351,1.0000
