,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/number_sorting,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,1.0000,0.4244,0.5725,0.1435,0.3053,0.0153,0.0015,0.0000,0.3588,0.0015,0.0031,0.0046,0.0015,0.8061,0.4168,0.0214,0.0015,0.0015,0.0000,0.0000,0.0000,0.0015,0.0015,0.0000,0.0000,0.0000,0.0031,0.0031,0.0031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
MD/add_sub_2op_verbal,0.4244,1.0000,0.3267,0.2366,0.2153,0.0626,0.0397,0.0519,0.2473,0.0000,0.0076,0.0183,0.0000,0.4214,0.5496,0.0229,0.0031,0.0031,0.0260,0.0092,0.0092,0.0061,0.0046,0.0046,0.0458,0.0443,0.0107,0.0183,0.0275,0.0382,0.0137,0.0321,0.0031,0.0015,0.0015,0.0000,0.0031,0.0015,0.0000,0.0000
MD/add_sub_3op_symbolic,0.5725,0.3267,1.0000,0.1405,0.2626,0.0198,0.0046,0.0031,0.3145,0.0107,0.0183,0.0046,0.0122,0.5542,0.3206,0.0214,0.0076,0.0168,0.0076,0.0031,0.0076,0.0031,0.0137,0.0092,0.0076,0.0031,0.0092,0.0061,0.0046,0.0122,0.0031,0.0046,0.0031,0.0000,0.0000,0.0015,0.0000,0.0015,0.0015,0.0031
MD/add_sub_3op_verbal,0.1435,0.2366,0.1405,1.0000,0.0947,0.0260,0.0275,0.0214,0.0870,0.0198,0.0275,0.0244,0.0214,0.1359,0.2275,0.0397,0.0198,0.0168,0.0183,0.0229,0.0183,0.0214,0.0183,0.0183,0.0366,0.0244,0.0153,0.0183,0.0275,0.0321,0.0168,0.0336,0.0015,0.0031,0.0031,0.0000,0.0031,0.0076,0.0000,0.0000
MD/code_A,0.3053,0.2153,0.2626,0.0947,1.0000,0.2015,0.3985,0.1542,0.4137,0.0351,0.0076,0.0947,0.0427,0.3084,0.2000,0.0412,0.0076,0.0000,0.0580,0.0458,0.0565,0.0031,0.0168,0.0183,0.1634,0.1496,0.0458,0.0305,0.0427,0.0702,0.0519,0.0397,0.0000,0.0000,0.0000,0.0000,0.0061,0.0000,0.0000,0.0015
MD/code_B,0.0153,0.0626,0.0198,0.0260,0.2015,1.0000,0.3695,0.6565,0.0122,0.0366,0.0122,0.0779,0.0611,0.0183,0.0855,0.0305,0.0137,0.0015,0.0992,0.0550,0.1084,0.0031,0.0336,0.0550,0.3802,0.3908,0.1053,0.0916,0.1450,0.1023,0.0855,0.1282,0.0061,0.0000,0.0000,0.0000,0.0076,0.0000,0.0000,0.0137
MD/code_conditional,0.0015,0.0397,0.0046,0.0275,0.3985,0.3695,1.0000,0.3176,0.0015,0.0412,0.0107,0.1954,0.0595,0.0015,0.0534,0.0321,0.0183,0.0046,0.1023,0.0992,0.1160,0.0031,0.0336,0.0351,0.2748,0.2611,0.0931,0.0611,0.0824,0.1237,0.1069,0.0901,0.0015,0.0000,0.0000,0.0015,0.0076,0.0015,0.0000,0.0153
MD/code_list,0.0000,0.0519,0.0031,0.0214,0.1542,0.6565,0.3176,1.0000,0.0000,0.0275,0.0153,0.0718,0.0611,0.0000,0.0794,0.0290,0.0122,0.0031,0.0962,0.0534,0.1084,0.0046,0.0336,0.0489,0.3802,0.4015,0.0947,0.0916,0.1405,0.0947,0.0931,0.1145,0.0061,0.0000,0.0000,0.0000,0.0061,0.0000,0.0000,0.0153
MD/code_loop,0.3588,0.2473,0.3145,0.0870,0.4137,0.0122,0.0015,0.0000,1.0000,0.0031,0.0015,0.0046,0.0031,0.3771,0.2229,0.0153,0.0031,0.0015,0.0000,0.0000,0.0000,0.0015,0.0031,0.0015,0.0000,0.0000,0.0015,0.0015,0.0031,0.0031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
MD/logic_propositional_1,0.0015,0.0000,0.0107,0.0198,0.0351,0.0366,0.0412,0.0275,0.0031,1.0000,0.0550,0.0641,0.2870,0.0031,0.0061,0.0168,0.0321,0.0153,0.0260,0.0214,0.0305,0.0168,0.0443,0.0458,0.1893,0.1206,0.0122,0.0107,0.0092,0.0244,0.0260,0.0092,0.0015,0.0000,0.0000,0.0000,0.0000,0.0046,0.0000,0.0031
