,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/number_sorting,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,0.000000,0.111809,0.150452,0.064873,0.065143,0.005787,0.002633,0.000816,0.156653,0.003866,0.006138,0.005296,0.002468,0.210613,0.100322,0.020529,0.004021,0.008335,0.003817,0.006197,0.003536,0.005815,0.003642,0.004217,0.001391,0.001122,0.004993,0.004388,0.003811,0.002366,0.002526,0.005179,0.006862,0.001853,0.001080,0.000838,0.002254,0.008769,0.003007,0.002585
MD/add_sub_2op_verbal,0.111809,0.000000,0.090530,0.096849,0.050913,0.018464,0.014196,0.017925,0.105548,0.003918,0.010288,0.014320,0.004928,0.103728,0.126103,0.017033,0.006035,0.006508,0.013033,0.009573,0.008431,0.007326,0.005466,0.005370,0.013301,0.016459,0.011788,0.016803,0.014878,0.017105,0.013304,0.019963,0.005582,0.001963,0.001218,0.000503,0.005254,0.005438,0.003391,0.004757
MD/add_sub_3op_symbolic,0.150452,0.090530,0.000000,0.077213,0.054942,0.007326,0.003957,0.003487,0.137794,0.009307,0.018168,0.009465,0.010820,0.143597,0.083670,0.029598,0.007121,0.019564,0.007979,0.007330,0.007378,0.010297,0.009320,0.009157,0.003961,0.003444,0.008132,0.007699,0.008610,0.009086,0.004150,0.005624,0.011554,0.002885,0.002307,0.002730,0.003752,0.006417,0.007266,0.003914
MD/add_sub_3op_verbal,0.064873,0.096849,0.077213,0.000000,0.035640,0.012142,0.013378,0.011111,0.077645,0.019875,0.032594,0.017195,0.020213,0.067236,0.084335,0.038487,0.013687,0.026971,0.015913,0.017284,0.015096,0.018237,0.016353,0.015110,0.013275,0.010592,0.013538,0.016718,0.018497,0.019199,0.014029,0.020399,0.011314,0.002774,0.003180,0.001254,0.010345,0.026253,0.008856,0.002342
MD/code_A,0.065143,0.050913,0.054942,0.035640,0.000000,0.048058,0.090218,0.040144,0.124764,0.014296,0.005938,0.035672,0.015667,0.062934,0.041495,0.021828,0.006108,0.002942,0.020890,0.022022,0.017817,0.005205,0.008034,0.010125,0.030266,0.031690,0.018494,0.016965,0.015846,0.020472,0.019664,0.018959,0.004003,0.001222,0.000608,0.000636,0.008672,0.004488,0.001694,0.005527
MD/code_B,0.005787,0.018464,0.007326,0.012142,0.048058,0.000000,0.087842,0.142062,0.006086,0.016828,0.009782,0.032278,0.024974,0.005833,0.021430,0.021513,0.005207,0.004861,0.028476,0.022162,0.024362,0.003533,0.012732,0.019601,0.070923,0.078073,0.043385,0.035933,0.041550,0.027375,0.027392,0.042307,0.008238,0.001112,0.001778,0.001402,0.017222,0.001276,0.003733,0.016959
MD/code_conditional,0.002633,0.014196,0.003957,0.013378,0.090218,0.087842,0.000000,0.080884,0.002631,0.020722,0.008816,0.068451,0.026614,0.003756,0.015218,0.021695,0.009655,0.005116,0.035722,0.037199,0.033685,0.007925,0.013134,0.015192,0.053789,0.056109,0.039898,0.033060,0.027698,0.035277,0.038432,0.035407,0.006043,0.002340,0.003037,0.002214,0.017201,0.005205,0.003246,0.022403
MD/code_list,0.000816,0.017925,0.003487,0.011111,0.040144,0.142062,0.080884,0.000000,0.000566,0.013428,0.010190,0.029824,0.023864,0.001948,0.019715,0.019242,0.006050,0.003889,0.032057,0.023311,0.028432,0.004163,0.015870,0.020975,0.072646,0.082964,0.043552,0.037430,0.048146,0.029651,0.030068,0.045475,0.009968,0.001402,0.002095,0.001937,0.017940,0.002492,0.003888,0.020393
MD/code_loop,0.156653,0.105548,0.137794,0.077645,0.124764,0.006086,0.002631,0.000566,0.000000,0.011003,0.002409,0.007125,0.007143,0.158057,0.093319,0.019878,0.004187,0.009174,0.002711,0.002433,0.003350,0.006848,0.004289,0.004641,0.001732,0.001329,0.005398,0.002923,0.001711,0.003392,0.004384,0.005113,0.004420,0.001554,0.001548,0.000784,0.000000,0.008472,0.005284,0.003705
MD/logic_propositional_1,0.003866,0.003918,0.009307,0.019875,0.014296,0.016828,0.020722,0.013428,0.011003,0.000000,0.081731,0.050174,0.242625,0.004583,0.009491,0.034334,0.032501,0.027488,0.014625,0.012523,0.016539,0.023498,0.030076,0.031998,0.077136,0.054587,0.013361,0.011263,0.009783,0.016540,0.016954,0.009607,0.012729,0.002011,0.001486,0.001555,0.002230,0.037837,0.002699,0.004794
MD/logic_propositional_symbolic,0.006138,0.010288,0.018168,0.032594,0.005938,0.009782,0.008816,0.010190,0.002409,0.081731,0.000000,0.027793,0.073114,0.007615,0.017588,0.045921,0.061038,0.066815,0.015191,0.017047,0.023283,0.061297,0.084854,0.062138,0.023993,0.018478,0.015842,0.013939,0.018440,0.022153,0.014152,0.016434,0.020211,0.006429,0.004466,0.004672,0.002908,0.045660,0.012436,0.010038
