,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/number_sorting,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
ToM/primary_emotions,0.001096,0.004552,0.002480,0.025395,0.001844,0.001940,0.002170,0.003116,0.001770,0.023742,0.082140,0.016963,0.011460,0.001090,0.005290,0.031715,0.129739,0.289809,0.032714,0.012798,0.017769,0.000000,0.090044,0.069914,0.005144,0.003684,0.003815,0.008238,0.003182,0.015369,0.013623,0.006888,0.025854,0.001332,0.001276,0.000000,0.009639,0.042405,0.000000,0.000000
ToM/social_interactions,0.000689,0.002158,0.006888,0.013649,0.006281,0.013214,0.014783,0.014305,0.002299,0.039350,0.090438,0.024459,0.031082,0.000685,0.004681,0.035829,0.149054,0.095741,0.012536,0.021165,0.023849,0.090044,0.000000,0.102126,0.017184,0.015637,0.022431,0.011628,0.014772,0.014516,0.018804,0.017318,0.016250,0.001731,0.000802,0.000823,0.006058,0.033207,0.011532,0.002003
ToM/social_relations,0.000000,0.002136,0.004579,0.013512,0.006773,0.021412,0.015287,0.020610,0.001101,0.040273,0.071216,0.016832,0.037899,0.000000,0.004634,0.021668,0.191351,0.076307,0.013280,0.016970,0.022836,0.069914,0.102126,0.000000,0.022298,0.026376,0.016386,0.012856,0.017561,0.013586,0.010969,0.025715,0.024262,0.003371,0.001641,0.000000,0.005997,0.046281,0.000000,0.001982
phys/phys_newton,0.000000,0.010390,0.001848,0.013204,0.029550,0.072322,0.058478,0.078295,0.000000,0.081330,0.020527,0.033435,0.083235,0.000000,0.013880,0.019220,0.010146,0.002293,0.028986,0.021431,0.028095,0.005144,0.017184,0.022298,0.000000,0.111269,0.034270,0.031325,0.039532,0.026885,0.028504,0.030381,0.025513,0.000000,0.000000,0.000000,0.011917,0.003170,0.000000,0.005941
phys/phys_prost,0.000000,0.010855,0.000814,0.009508,0.029221,0.080292,0.060013,0.089304,0.000000,0.055964,0.013517,0.028905,0.069942,0.000000,0.013963,0.022870,0.008528,0.001199,0.033634,0.021046,0.031110,0.003684,0.015637,0.026376,0.111269,0.000000,0.041944,0.035873,0.039632,0.029480,0.029471,0.036782,0.023381,0.000000,0.000000,0.000000,0.022577,0.000000,0.000000,0.003208
phys/physics_brightness,0.001516,0.005343,0.004924,0.012150,0.018231,0.044089,0.043608,0.042926,0.001184,0.011537,0.019695,0.021515,0.017838,0.000000,0.008523,0.044526,0.013644,0.014980,0.048584,0.062124,0.053117,0.003815,0.022431,0.016386,0.034270,0.041944,0.000000,0.070395,0.060780,0.048893,0.047308,0.061130,0.021555,0.004517,0.003473,0.001810,0.026230,0.006978,0.016282,0.021747
phys/physics_elasticity,0.001663,0.010028,0.003583,0.015947,0.013323,0.042087,0.031406,0.045563,0.001300,0.011104,0.012996,0.018643,0.009787,0.000800,0.013288,0.030138,0.016309,0.002680,0.043870,0.037668,0.031338,0.008238,0.011628,0.012856,0.031325,0.035873,0.070395,0.000000,0.084031,0.041443,0.048906,0.059536,0.037970,0.015915,0.015245,0.013710,0.021706,0.007657,0.044814,0.045233
phys/physics_solubility,0.001264,0.011452,0.002053,0.018212,0.014175,0.050632,0.032189,0.053113,0.002041,0.007256,0.014707,0.021717,0.011679,0.001257,0.014216,0.026491,0.011379,0.010321,0.051597,0.032199,0.037024,0.003182,0.014772,0.017561,0.039532,0.039632,0.060780,0.084031,0.000000,0.053665,0.047057,0.075054,0.025309,0.005304,0.002897,0.003700,0.032993,0.012027,0.034058,0.023471
phys/physics_speed,0.000000,0.013018,0.004457,0.017396,0.019070,0.029231,0.039542,0.029295,0.001671,0.015747,0.020117,0.048706,0.017350,0.000000,0.013572,0.036161,0.013523,0.008445,0.072144,0.062900,0.054641,0.015369,0.014516,0.013586,0.026885,0.029480,0.048893,0.041443,0.053665,0.000000,0.083194,0.065336,0.026517,0.003083,0.003575,0.003028,0.026998,0.014603,0.008379,0.004462
phys/physics_stability,0.000000,0.004950,0.001201,0.009653,0.014948,0.025902,0.036229,0.030533,0.000000,0.017790,0.008569,0.045090,0.017490,0.000000,0.009772,0.030610,0.012575,0.010839,0.079916,0.119407,0.096926,0.013623,0.018804,0.010969,0.028504,0.029471,0.047308,0.048906,0.047057,0.083194,0.000000,0.034225,0.018879,0.002623,0.003131,0.001943,0.014312,0.015482,0.002897,0.006273
phys/physics_temperature,0.000000,0.014708,0.002259,0.024483,0.014501,0.049254,0.038725,0.047623,0.000000,0.007983,0.014410,0.024915,0.009331,0.000000,0.016966,0.025201,0.010209,0.009114,0.047156,0.037359,0.075659,0.006888,0.017318,0.025715,0.030381,0.036782,0.061130,0.059536,0.075054,0.065336,0.034225,0.000000,0.039818,0.006654,0.004806,0.001661,0.036300,0.013232,0.011266,0.004043
Lan/anaphor_gender_agreement,0.000000,0.005331,0.005715,0.004102,0.000000,0.008797,0.002420,0.009523,0.000000,0.004886,0.020394,0.015586,0.013206,0.000000,0.000000,0.029142,0.004196,0.000000,0.013103,0.018374,0.021817,0.025854,0.016250,0.024262,0.025513,0.023381,0.021555,0.037970,0.025309,0.026517,0.018879,0.039818,0.000000,0.031321,0.030003,0.039812,0.158466,0.171429,0.069866,0.037205
Lan/det_noun_agreement_irregular,0.000000,0.000541,0.000000,0.001777,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005668,0.006533,0.000902,0.000000,0.000000,0.009211,0.002696,0.000000,0.001395,0.000760,0.002286,0.001332,0.001731,0.003371,0.000000,0.000000,0.004517,0.015915,0.005304,0.003083,0.002623,0.006654,0.031321,0.000000,0.282327,0.229651,0.094663,0.035926,0.108850,0.140962
Lan/det_noun_agreement_regular,0.000000,0.000518,0.000000,0.001702,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002759,0.005488,0.000864,0.000000,0.000000,0.007289,0.001741,0.000000,0.001337,0.000000,0.002190,0.001276,0.000802,0.001641,0.000000,0.000000,0.003473,0.015245,0.002897,0.003575,0.003131,0.004806,0.030003,0.282327,0.000000,0.256959,0.077300,0.019619,0.115525,0.157534
Lan/det_noun_agreement_with_adjective,0.000000,0.000000,0.000569,0.000000,0.000000,0.000000,0.000498,0.000000,0.000000,0.000000,0.001369,0.003997,0.000000,0.000000,0.000000,0.004523,0.000000,0.000000,0.000663,0.000000,0.002798,0.000000,0.000823,0.000000,0.000000,0.000000,0.001810,0.013710,0.003700,0.003028,0.001943,0.001661,0.039812,0.229651,0.256959,0.000000,0.092978,0.015170,0.121293,0.203045
Lan/hypernymy,0.000000,0.008083,0.000000,0.012854,0.012679,0.016616,0.018589,0.014438,0.000000,0.000000,0.010082,0.023631,0.000000,0.000000,0.007539,0.000000,0.006361,0.000000,0.019866,0.027858,0.016539,0.009639,0.006058,0.005997,0.011917,0.022577,0.026230,0.021706,0.032993,0.026998,0.014312,0.036300,0.158466,0.094663,0.077300,0.092978,0.000000,0.036436,0.085019,0.045275
Lan/npi,0.000000,0.004231,0.004536,0.034092,0.000000,0.000000,0.003969,0.000000,0.000000,0.024573,0.044356,0.051128,0.014597,0.000000,0.008156,0.047797,0.034866,0.042311,0.026775,0.012293,0.009093,0.042405,0.033207,0.046281,0.003170,0.000000,0.006978,0.007657,0.012027,0.014603,0.015482,0.013232,0.171429,0.035926,0.019619,0.015170,0.036436,0.000000,0.138715,0.024891
Lan/subject_verb_agreement,0.000000,0.000000,0.002602,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012934,0.007454,0.000000,0.000000,0.000000,0.000000,0.003948,0.007917,0.006267,0.020932,0.007742,0.000000,0.011532,0.000000,0.000000,0.000000,0.016282,0.044814,0.034058,0.008379,0.002897,0.011266,0.069866,0.108850,0.115525,0.121293,0.085019,0.138715,0.000000,0.161707
Lan/wug,0.000000,0.000000,0.002864,0.000000,0.001031,0.009901,0.012370,0.011970,0.000000,0.005060,0.010220,0.013702,0.004460,0.001259,0.001206,0.007422,0.000000,0.004216,0.011518,0.005573,0.008245,0.000000,0.002003,0.001982,0.005941,0.003208,0.021747,0.045233,0.023471,0.004462,0.006273,0.004043,0.037205,0.140962,0.157534,0.203045,0.045275,0.024891,0.161707,0.000000
