,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/number_sorting,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/number_sorting,0.1109,0.1039,0.1100,0.0945,0.1084,0.1075,0.1005,0.1026,0.0984,0.0903,0.0867,0.1003,0.0947,0.1076,0.1017,1.0000,0.1013,0.0862,0.0921,0.0978,0.0961,0.0939,0.0998,0.0994,0.1003,0.1025,0.0931,0.0907,0.0919,0.0968,0.0956,0.0904,0.0717,0.0795,0.0795,0.0753,0.0728,0.0774,0.0706,0.0831
ToM/agent,0.0866,0.0970,0.1042,0.0953,0.0947,0.1008,0.0951,0.0939,0.0776,0.1296,0.1297,0.1170,0.1202,0.0830,0.1017,0.1013,1.0000,0.1429,0.0787,0.0997,0.0986,0.1630,0.2408,0.2836,0.1377,0.1305,0.0746,0.0714,0.0838,0.0870,0.0866,0.0699,0.0629,0.0725,0.0763,0.0760,0.0622,0.0891,0.0622,0.0709
ToM/desires_goals,0.0709,0.0804,0.0931,0.0925,0.0762,0.0752,0.0701,0.0685,0.0785,0.1175,0.1108,0.0901,0.1052,0.0683,0.0900,0.0862,0.1429,1.0000,0.0614,0.0752,0.0745,0.1648,0.1403,0.1280,0.1099,0.1022,0.0588,0.0533,0.0679,0.0671,0.0672,0.0554,0.0565,0.0584,0.0614,0.0632,0.0538,0.0773,0.0553,0.0559
ToM/emotion_fewshot,0.1221,0.1170,0.0945,0.0853,0.1215,0.1305,0.1353,0.1389,0.0904,0.0475,0.0586,0.1010,0.0575,0.1243,0.1064,0.0921,0.0787,0.0614,1.0000,0.1776,0.1718,0.0861,0.0856,0.0873,0.0892,0.1074,0.1548,0.1597,0.1538,0.1706,0.1716,0.1542,0.0888,0.1043,0.0987,0.0943,0.1044,0.0719,0.0878,0.1166
ToM/norm_appropriate,0.1158,0.1126,0.0972,0.0895,0.1201,0.1242,0.1301,0.1287,0.0882,0.0696,0.0730,0.1094,0.0737,0.1182,0.1050,0.0978,0.0997,0.0752,0.1776,1.0000,0.2144,0.0947,0.1075,0.1008,0.1030,0.1129,0.1368,0.1406,0.1414,0.1537,0.2087,0.1364,0.0824,0.1004,0.0965,0.0902,0.0901,0.0802,0.0869,0.1103
ToM/norm_moral,0.1185,0.1139,0.0997,0.0909,0.1264,0.1285,0.1347,0.1340,0.0956,0.0619,0.0710,0.1115,0.0707,0.1196,0.1080,0.0961,0.0986,0.0745,0.1718,0.2144,1.0000,0.0950,0.1081,0.0979,0.0993,0.1111,0.1435,0.1507,0.1507,0.1601,0.1924,0.1527,0.0845,0.0979,0.0947,0.0888,0.0964,0.0749,0.0833,0.1095
ToM/primary_emotions,0.0811,0.0866,0.1026,0.0939,0.0957,0.0887,0.0855,0.0804,0.0981,0.1110,0.1040,0.1043,0.1040,0.0778,0.0933,0.0939,0.1630,0.1648,0.0861,0.0947,0.0950,1.0000,0.1538,0.1443,0.1090,0.1055,0.0725,0.0698,0.0792,0.0806,0.0834,0.0669,0.0621,0.0674,0.0691,0.0698,0.0610,0.0794,0.0577,0.0638
ToM/social_interactions,0.0919,0.0993,0.1069,0.0994,0.1025,0.1065,0.1010,0.1006,0.0831,0.1248,0.1261,0.1151,0.1199,0.0885,0.1044,0.0998,0.2408,0.1403,0.0856,0.1075,0.1081,0.1538,1.0000,0.1770,0.1365,0.1322,0.0810,0.0792,0.0908,0.0897,0.0956,0.0774,0.0654,0.0761,0.0782,0.0773,0.0644,0.0879,0.0658,0.0747
ToM/social_relations,0.0933,0.0992,0.1061,0.0983,0.1012,0.1108,0.0992,0.1051,0.0867,0.1198,0.1123,0.1128,0.1136,0.0912,0.1012,0.0994,0.2836,0.1280,0.0873,0.1008,0.0979,0.1443,0.1770,1.0000,0.1327,0.1269,0.0857,0.0818,0.0886,0.0923,0.0914,0.0810,0.0690,0.0791,0.0815,0.0790,0.0673,0.0877,0.0660,0.0784
phys/phys_newton,0.0858,0.1132,0.0978,0.1028,0.1332,0.1876,0.1493,0.1785,0.0623,0.1943,0.1283,0.1223,0.1834,0.0834,0.1157,0.1003,0.1377,0.1099,0.0892,0.1030,0.0993,0.1090,0.1365,0.1327,1.0000,0.3887,0.0807,0.0835,0.0925,0.0893,0.0962,0.0810,0.0658,0.0711,0.0746,0.0817,0.0831,0.0815,0.0634,0.1008
