,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/number_sorting,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,0.000000,0.047772,0.072648,0.038414,0.040106,0.020396,0.018211,0.016878,0.073465,0.014726,0.017010,0.020171,0.016502,0.134864,0.040852,0.031813,0.014024,0.016931,0.018850,0.018215,0.017486,0.015504,0.014305,0.015018,0.013398,0.013820,0.021317,0.020586,0.019072,0.021317,0.018400,0.020142,0.021475,0.011936,0.011129,0.010827,0.012927,0.017606,0.015643,0.016243
MD/add_sub_2op_verbal,0.047772,0.000000,0.048302,0.068468,0.034727,0.026378,0.022904,0.024103,0.052203,0.019551,0.022040,0.022721,0.019259,0.046181,0.072977,0.027753,0.016451,0.019646,0.021985,0.020468,0.021106,0.017995,0.018418,0.016385,0.021475,0.022478,0.022285,0.022396,0.022326,0.023215,0.021336,0.024397,0.016310,0.010481,0.010382,0.009145,0.014497,0.019546,0.014809,0.017130
MD/add_sub_3op_symbolic,0.072648,0.048302,0.000000,0.049877,0.033862,0.018292,0.015699,0.015221,0.072023,0.022883,0.029167,0.024243,0.024521,0.075495,0.045883,0.036661,0.022321,0.029018,0.016936,0.016739,0.016991,0.025027,0.021840,0.023169,0.014846,0.014440,0.018440,0.017866,0.018283,0.018352,0.016002,0.018586,0.018432,0.009993,0.009504,0.009457,0.012680,0.020361,0.013425,0.012514
MD/add_sub_3op_verbal,0.038414,0.068468,0.049877,0.000000,0.028868,0.021032,0.018598,0.019068,0.047233,0.028847,0.034606,0.024294,0.028925,0.037709,0.060725,0.033364,0.022170,0.030801,0.019384,0.020607,0.020466,0.024147,0.024540,0.024181,0.020405,0.019529,0.019708,0.019244,0.020864,0.022738,0.019154,0.020465,0.016910,0.010109,0.010114,0.009069,0.014171,0.022883,0.014492,0.013823
MD/code_A,0.040106,0.034727,0.033862,0.028868,0.000000,0.043259,0.085038,0.039223,0.091819,0.020070,0.014139,0.035061,0.021998,0.037620,0.031338,0.025453,0.012417,0.011621,0.021181,0.021321,0.021256,0.013873,0.014658,0.014564,0.030921,0.031127,0.022521,0.021542,0.019041,0.023461,0.021189,0.020477,0.014096,0.008161,0.008156,0.007953,0.012133,0.013175,0.010840,0.021735
MD/code_B,0.020396,0.026378,0.018292,0.021032,0.043259,0.000000,0.055090,0.091166,0.023088,0.019663,0.015142,0.027113,0.023572,0.019170,0.025871,0.021902,0.012702,0.012534,0.026681,0.022860,0.024947,0.012739,0.015898,0.017449,0.047780,0.051419,0.029152,0.028803,0.027531,0.023880,0.023637,0.029023,0.018692,0.012627,0.012399,0.012872,0.023688,0.012471,0.014800,0.034283
MD/code_conditional,0.018211,0.022904,0.015699,0.018598,0.085038,0.055090,0.000000,0.054451,0.018408,0.023242,0.016507,0.043606,0.025252,0.016274,0.021676,0.021663,0.014943,0.012440,0.028907,0.028305,0.028386,0.014899,0.017516,0.017098,0.039829,0.040995,0.030045,0.028292,0.024849,0.029117,0.027897,0.026865,0.016862,0.011166,0.010921,0.011246,0.018675,0.017480,0.015100,0.031548
MD/code_list,0.016878,0.024103,0.015221,0.019068,0.039223,0.091166,0.054451,0.000000,0.018108,0.018260,0.014057,0.026764,0.023141,0.015766,0.023748,0.020692,0.012526,0.012756,0.028881,0.024510,0.026577,0.012577,0.016274,0.018330,0.047929,0.053120,0.031488,0.030579,0.030985,0.025030,0.025611,0.031477,0.019940,0.013660,0.013516,0.014081,0.025363,0.013087,0.015595,0.035465
MD/code_loop,0.073465,0.052203,0.072023,0.047233,0.091819,0.023088,0.018408,0.018108,0.000000,0.019187,0.017060,0.027438,0.020854,0.069695,0.047511,0.035206,0.014370,0.022475,0.013563,0.014321,0.014403,0.025907,0.015064,0.017127,0.013015,0.013455,0.015383,0.015136,0.014995,0.016866,0.014984,0.016059,0.020168,0.010045,0.010191,0.008199,0.015473,0.019712,0.012812,0.012978
MD/logic_propositional_1,0.014726,0.019551,0.022883,0.028847,0.020070,0.019663,0.023242,0.018260,0.019187,0.000000,0.065495,0.037182,0.143765,0.011766,0.021106,0.031575,0.038764,0.038140,0.012819,0.015498,0.016672,0.034865,0.037509,0.034902,0.055063,0.040894,0.009257,0.009772,0.012436,0.014316,0.014775,0.009823,0.012552,0.008629,0.007989,0.010258,0.013682,0.031629,0.011883,0.010554
MD/logic_propositional_symbolic,0.017010,0.022040,0.029167,0.034606,0.014139,0.015142,0.016507,0.014057,0.017060,0.065495,0.000000,0.029283,0.065946,0.016281,0.026938,0.033765,0.054179,0.054598,0.015514,0.019735,0.020981,0.046079,0.052124,0.044568,0.029683,0.025465,0.014702,0.013832,0.019211,0.017440,0.018778,0.014676,0.016224,0.010784,0.011899,0.010941,0.014117,0.030980,0.015831,0.010223
MD/logic_syllogism_1,0.020171,0.022721,0.024243,0.024294,0.035061,0.027113,0.043606,0.026764,0.027438,0.037182,0.029283,0.000000,0.036806,0.019251,0.022565,0.029903,0.032054,0.026993,0.025586,0.028756,0.028887,0.029729,0.031302,0.027679,0.031112,0.031177,0.023178,0.022928,0.022603,0.028643,0.028068,0.021064,0.018047,0.011467,0.011625,0.011996,0.017907,0.028243,0.015739,0.018819
MD/logic_syllogism_symbolic,0.016502,0.019259,0.024521,0.028925,0.021998,0.023572,0.025252,0.023141,0.020854,0.143765,0.065946,0.036806,0.000000,0.014208,0.021640,0.031723,0.033891,0.032615,0.013348,0.015851,0.015839,0.031101,0.032583,0.030913,0.055387,0.041219,0.012391,0.012053,0.013804,0.015618,0.015753,0.011859,0.013016,0.007058,0.007740,0.008317,0.012093,0.026377,0.011441,0.011619
MD/mul_div_2op_symbolic,0.134864,0.046181,0.075495,0.037709,0.037620,0.019170,0.016274,0.015766,0.069695,0.011766,0.016281,0.019251,0.014208,0.000000,0.047208,0.028197,0.013162,0.018215,0.019364,0.019237,0.018254,0.014037,0.014708,0.015604,0.012801,0.013269,0.022815,0.022368,0.021530,0.020537,0.018806,0.022835,0.022151,0.012890,0.012143,0.011017,0.013744,0.016418,0.016128,0.018279
MD/mul_div_2op_verbal,0.040852,0.072977,0.045883,0.060725,0.031338,0.025871,0.021676,0.023748,0.047511,0.021106,0.026938,0.022565,0.021640,0.047208,0.000000,0.027336,0.019630,0.025967,0.021091,0.020133,0.019932,0.021951,0.021846,0.021214,0.022052,0.022181,0.020967,0.020989,0.022998,0.021452,0.020048,0.024004,0.017746,0.011004,0.010477,0.009312,0.015209,0.020163,0.014520,0.017741
MD/number_sorting,0.031813,0.027753,0.036661,0.033364,0.025453,0.021902,0.021663,0.020692,0.035206,0.031575,0.033765,0.029903,0.031723,0.028197,0.027336,0.000000,0.026541,0.030776,0.023421,0.025142,0.025096,0.030042,0.026909,0.027955,0.020429,0.020501,0.025257,0.021842,0.024605,0.026906,0.024397,0.023041,0.025457,0.015013,0.014772,0.014819,0.021455,0.028949,0.021237,0.018430
ToM/agent,0.014024,0.016451,0.022321,0.022170,0.012417,0.012702,0.014943,0.012526,0.014370,0.038764,0.054179,0.032054,0.033891,0.013162,0.019630,0.026541,0.000000,0.064402,0.017743,0.021461,0.021692,0.068160,0.086362,0.113847,0.020864,0.019152,0.014692,0.014450,0.018474,0.018989,0.018502,0.014372,0.013866,0.010620,0.010868,0.010267,0.012850,0.026374,0.012392,0.009457
ToM/desires_goals,0.016931,0.019646,0.029018,0.030801,0.011621,0.012534,0.012440,0.012756,0.022475,0.038140,0.054598,0.026993,0.032615,0.018215,0.025967,0.030776,0.064402,0.000000,0.017220,0.020880,0.019495,0.107133,0.060810,0.056653,0.019252,0.017886,0.016215,0.013082,0.019380,0.017325,0.016942,0.015390,0.018004,0.010338,0.010995,0.011898,0.015628,0.031197,0.015975,0.008373
ToM/emotion_fewshot,0.018850,0.021985,0.016936,0.019384,0.021181,0.026681,0.028907,0.028881,0.013563,0.012819,0.015514,0.025586,0.013348,0.019364,0.021091,0.023421,0.017743,0.017220,0.000000,0.048818,0.045048,0.024939,0.020186,0.018987,0.024243,0.027062,0.041506,0.041383,0.038478,0.048557,0.047647,0.041407,0.026987,0.016157,0.014595,0.015246,0.027425,0.022024,0.021869,0.024965
ToM/norm_appropriate,0.018215,0.020468,0.016739,0.020607,0.021321,0.022860,0.028305,0.024510,0.014321,0.015498,0.019735,0.028756,0.015851,0.019237,0.020133,0.025142,0.021461,0.020880,0.048818,0.000000,0.059112,0.024700,0.025553,0.022931,0.022570,0.023832,0.036061,0.036177,0.035159,0.041652,0.060944,0.034016,0.022179,0.015089,0.014426,0.014422,0.019857,0.024422,0.021058,0.022983
