,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/number_sorting,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
ToM/norm_moral,0.017486,0.021106,0.016991,0.020466,0.021256,0.024947,0.028386,0.026577,0.014403,0.016672,0.020981,0.028887,0.015839,0.018254,0.019932,0.025096,0.021692,0.019495,0.045048,0.059112,0.000000,0.025178,0.027466,0.021155,0.025090,0.026327,0.036387,0.036128,0.038212,0.042292,0.054455,0.043275,0.021646,0.012551,0.013037,0.012519,0.022240,0.017934,0.018838,0.022644
ToM/primary_emotions,0.015504,0.017995,0.025027,0.024147,0.013873,0.012739,0.014899,0.012577,0.025907,0.034865,0.046079,0.029729,0.031101,0.014037,0.021951,0.030042,0.068160,0.107133,0.024939,0.024700,0.025178,0.000000,0.059487,0.056477,0.019156,0.017779,0.016679,0.017109,0.017637,0.019784,0.019702,0.014628,0.019421,0.010899,0.010934,0.010788,0.015867,0.028036,0.015823,0.009215
ToM/social_interactions,0.014305,0.018418,0.021840,0.024540,0.014658,0.015898,0.017516,0.016274,0.015064,0.037509,0.052124,0.031302,0.032583,0.014708,0.021846,0.026909,0.086362,0.060810,0.020186,0.025553,0.027466,0.059487,0.000000,0.061856,0.022891,0.021843,0.018632,0.017914,0.021386,0.019572,0.022206,0.018254,0.016451,0.012116,0.012395,0.012084,0.014928,0.025661,0.015704,0.010750
ToM/social_relations,0.015018,0.016385,0.023169,0.024181,0.014564,0.017449,0.017098,0.018330,0.017127,0.034902,0.044568,0.027679,0.030913,0.015604,0.021214,0.027955,0.113847,0.056653,0.018987,0.022931,0.021155,0.056477,0.061856,0.000000,0.022848,0.021696,0.019513,0.018340,0.019436,0.018858,0.018864,0.019166,0.016915,0.012085,0.011977,0.012181,0.014611,0.028072,0.015168,0.012210
phys/phys_newton,0.013398,0.021475,0.014846,0.020405,0.030921,0.047780,0.039829,0.047929,0.013015,0.055063,0.029683,0.031112,0.055387,0.012801,0.022052,0.020429,0.020864,0.019252,0.024243,0.022570,0.025090,0.019156,0.022891,0.022848,0.000000,0.083960,0.023538,0.024566,0.023930,0.022361,0.024285,0.023989,0.016049,0.009904,0.009808,0.010759,0.023993,0.014927,0.011817,0.023078
phys/phys_prost,0.013820,0.022478,0.014440,0.019529,0.031127,0.051419,0.040995,0.053120,0.013455,0.040894,0.025465,0.031177,0.041219,0.013269,0.022181,0.020501,0.019152,0.017886,0.027062,0.023832,0.026327,0.017779,0.021843,0.021696,0.083960,0.000000,0.026584,0.026486,0.025610,0.024060,0.026121,0.026963,0.016840,0.010618,0.011066,0.011657,0.027071,0.013505,0.012373,0.026419
phys/physics_brightness,0.021317,0.022285,0.018440,0.019708,0.022521,0.029152,0.030045,0.031488,0.015383,0.009257,0.014702,0.023178,0.012391,0.022815,0.020967,0.025257,0.014692,0.016215,0.041506,0.036061,0.036387,0.016679,0.018632,0.019513,0.023538,0.026584,0.000000,0.049925,0.045983,0.043544,0.039475,0.045873,0.025046,0.018361,0.016607,0.018545,0.029239,0.019320,0.027015,0.032354
phys/physics_elasticity,0.020586,0.022396,0.017866,0.019244,0.021542,0.028803,0.028292,0.030579,0.015136,0.009772,0.013832,0.022928,0.012053,0.022368,0.020989,0.021842,0.014450,0.013082,0.041383,0.036177,0.036128,0.017109,0.017914,0.018340,0.024566,0.026486,0.049925,0.000000,0.045162,0.040949,0.041935,0.049495,0.026679,0.019910,0.018739,0.019887,0.028333,0.019527,0.029164,0.036432
phys/physics_solubility,0.019072,0.022326,0.018283,0.020864,0.019041,0.027531,0.024849,0.030985,0.014995,0.012436,0.019211,0.022603,0.013804,0.021530,0.022998,0.024605,0.018474,0.019380,0.038478,0.035159,0.038212,0.017637,0.021386,0.019436,0.023930,0.025610,0.045983,0.045162,0.000000,0.045218,0.039130,0.055601,0.023262,0.016372,0.015781,0.017425,0.025456,0.022109,0.025954,0.029714
phys/physics_speed,0.021317,0.023215,0.018352,0.022738,0.023461,0.023880,0.029117,0.025030,0.016866,0.014316,0.017440,0.028643,0.015618,0.020537,0.021452,0.026906,0.018989,0.017325,0.048557,0.041652,0.042292,0.019784,0.019572,0.018858,0.022361,0.024060,0.043544,0.040949,0.045218,0.000000,0.050075,0.045374,0.024773,0.014103,0.013382,0.012141,0.024707,0.023672,0.019794,0.019931
phys/physics_stability,0.018400,0.021336,0.016002,0.019154,0.021189,0.023637,0.027897,0.025611,0.014984,0.014775,0.018778,0.028068,0.015753,0.018806,0.020048,0.024397,0.018502,0.016942,0.047647,0.060944,0.054455,0.019702,0.022206,0.018864,0.024285,0.026121,0.039475,0.041935,0.039130,0.050075,0.000000,0.037033,0.023241,0.014896,0.013933,0.013790,0.022476,0.022006,0.020332,0.023175
phys/physics_temperature,0.020142,0.024397,0.018586,0.020465,0.020477,0.029023,0.026865,0.031477,0.016059,0.009823,0.014676,0.021064,0.011859,0.022835,0.024004,0.023041,0.014372,0.015390,0.041407,0.034016,0.043275,0.014628,0.018254,0.019166,0.023989,0.026963,0.045873,0.049495,0.055601,0.045374,0.037033,0.000000,0.026239,0.017470,0.017041,0.016924,0.027216,0.019841,0.026337,0.029303
Lan/anaphor_gender_agreement,0.021475,0.016310,0.018432,0.016910,0.014096,0.018692,0.016862,0.019940,0.020168,0.012552,0.016224,0.018047,0.013016,0.022151,0.017746,0.025457,0.013866,0.018004,0.026987,0.022179,0.021646,0.019421,0.016451,0.016915,0.016049,0.016840,0.025046,0.026679,0.023262,0.024773,0.023241,0.026239,0.000000,0.048789,0.044163,0.048210,0.072251,0.052996,0.069664,0.038248
Lan/det_noun_agreement_irregular,0.011936,0.010481,0.009993,0.010109,0.008161,0.012627,0.011166,0.013660,0.010045,0.008629,0.010784,0.011467,0.007058,0.012890,0.011004,0.015013,0.010620,0.010338,0.016157,0.015089,0.012551,0.010899,0.012116,0.012085,0.009904,0.010618,0.018361,0.019910,0.016372,0.014103,0.014896,0.017470,0.048789,0.000000,0.191949,0.149112,0.055807,0.036546,0.065273,0.056015
Lan/det_noun_agreement_regular,0.011129,0.010382,0.009504,0.010114,0.008156,0.012399,0.010921,0.013516,0.010191,0.007989,0.011899,0.011625,0.007740,0.012143,0.010477,0.014772,0.010868,0.010995,0.014595,0.014426,0.013037,0.010934,0.012395,0.011977,0.009808,0.011066,0.016607,0.018739,0.015781,0.013382,0.013933,0.017041,0.044163,0.191949,0.000000,0.156690,0.058074,0.036172,0.064951,0.059459
Lan/det_noun_agreement_with_adjective,0.010827,0.009145,0.009457,0.009069,0.007953,0.012872,0.011246,0.014081,0.008199,0.010258,0.010941,0.011996,0.008317,0.011017,0.009312,0.014819,0.010267,0.011898,0.015246,0.014422,0.012519,0.010788,0.012084,0.012181,0.010759,0.011657,0.018545,0.019887,0.017425,0.012141,0.013790,0.016924,0.048210,0.149112,0.156690,0.000000,0.065768,0.040309,0.076442,0.073428
Lan/hypernymy,0.012927,0.014497,0.012680,0.014171,0.012133,0.023688,0.018675,0.025363,0.015473,0.013682,0.014117,0.017907,0.012093,0.013744,0.015209,0.021455,0.012850,0.015628,0.027425,0.019857,0.022240,0.015867,0.014928,0.014611,0.023993,0.027071,0.029239,0.028333,0.025456,0.024707,0.022476,0.027216,0.072251,0.055807,0.058074,0.065768,0.000000,0.042171,0.054783,0.041435
Lan/npi,0.017606,0.019546,0.020361,0.022883,0.013175,0.012471,0.017480,0.013087,0.019712,0.031629,0.030980,0.028243,0.026377,0.016418,0.020163,0.028949,0.026374,0.031197,0.022024,0.024422,0.017934,0.028036,0.025661,0.028072,0.014927,0.013505,0.019320,0.019527,0.022109,0.023672,0.022006,0.019841,0.052996,0.036546,0.036172,0.040309,0.042171,0.000000,0.065025,0.029076
Lan/subject_verb_agreement,0.015643,0.014809,0.013425,0.014492,0.010840,0.014800,0.015100,0.015595,0.012812,0.011883,0.015831,0.015739,0.011441,0.016128,0.014520,0.021237,0.012392,0.015975,0.021869,0.021058,0.018838,0.015823,0.015704,0.015168,0.011817,0.012373,0.027015,0.029164,0.025954,0.019794,0.020332,0.026337,0.069664,0.065273,0.064951,0.076442,0.054783,0.065025,0.000000,0.059952
Lan/wug,0.016243,0.017130,0.012514,0.013823,0.021735,0.034283,0.031548,0.035465,0.012978,0.010554,0.010223,0.018819,0.011619,0.018279,0.017741,0.018430,0.009457,0.008373,0.024965,0.022983,0.022644,0.009215,0.010750,0.012210,0.023078,0.026419,0.032354,0.036432,0.029714,0.019931,0.023175,0.029303,0.038248,0.056015,0.059459,0.073428,0.041435,0.029076,0.059952,0.000000
