,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_syllogism_1,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_elasticity,phys/physics_solubility,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
ToM/norm_moral,0.0000,0.0260,0.0023,0.0435,0.0842,0.1227,0.0882,0.0057,0.0724,0.0034,0.0311,0.0017,0.0141,0.0204,0.0034,0.0548,0.0170,0.1685,0.3573,1.0000,0.0328,0.0594,0.0859,0.0701,0.1323,0.1470,0.0695,0.0656,0.0735,0.0028,0.0028,0.0023,0.0028,0.0028,0.0085
ToM/primary_emotions,0.0006,0.0028,0.0017,0.0102,0.0079,0.0209,0.0085,0.0017,0.0226,0.0023,0.0051,0.0000,0.0136,0.0164,0.0006,0.0859,0.0599,0.0667,0.0305,0.0328,1.0000,0.2940,0.0916,0.0729,0.0119,0.0141,0.0124,0.0090,0.0079,0.0045,0.0006,0.0000,0.0040,0.0017,0.0000
ToM/secondary_emotions,0.0011,0.0040,0.0040,0.0153,0.0107,0.0277,0.0107,0.0028,0.0277,0.0017,0.0068,0.0006,0.0181,0.0209,0.0011,0.1001,0.0854,0.0984,0.0492,0.0594,0.2940,1.0000,0.1272,0.0752,0.0260,0.0294,0.0209,0.0113,0.0119,0.0028,0.0028,0.0000,0.0034,0.0034,0.0011
ToM/social_interactions,0.0000,0.0090,0.0023,0.0339,0.0622,0.0667,0.0588,0.0079,0.0639,0.0023,0.0153,0.0011,0.0249,0.0170,0.0023,0.3126,0.0927,0.0503,0.0695,0.0859,0.0916,0.1272,1.0000,0.2154,0.0944,0.1023,0.0277,0.0294,0.0237,0.0051,0.0057,0.0006,0.0034,0.0023,0.0096
ToM/social_relations,0.0006,0.0130,0.0023,0.0430,0.1159,0.1051,0.1148,0.0073,0.0447,0.0023,0.0198,0.0017,0.0300,0.0305,0.0023,0.1854,0.0633,0.0452,0.0452,0.0701,0.0729,0.0752,0.2154,1.0000,0.1447,0.1436,0.0288,0.0367,0.0334,0.0158,0.0034,0.0023,0.0028,0.0034,0.0107
phys/phys_newton,0.0045,0.0514,0.0068,0.0837,0.3284,0.2137,0.3109,0.0153,0.0588,0.0096,0.0531,0.0051,0.0209,0.0339,0.0102,0.0616,0.0175,0.1012,0.1153,0.1323,0.0119,0.0260,0.0944,0.1447,1.0000,0.5478,0.1136,0.0933,0.0888,0.0147,0.0073,0.0073,0.0017,0.0051,0.0226
phys/phys_prost,0.0057,0.0503,0.0085,0.0859,0.3177,0.2199,0.3019,0.0124,0.0661,0.0113,0.0497,0.0062,0.0181,0.0356,0.0096,0.0712,0.0130,0.1046,0.1181,0.1470,0.0141,0.0294,0.1023,0.1436,0.5478,1.0000,0.1057,0.0876,0.0916,0.0130,0.0068,0.0062,0.0028,0.0040,0.0226
phys/physics_elasticity,0.0028,0.0345,0.0068,0.0328,0.0848,0.0820,0.0904,0.0113,0.0181,0.0051,0.0390,0.0051,0.0085,0.0051,0.0034,0.0164,0.0107,0.0876,0.0746,0.0695,0.0124,0.0209,0.0277,0.0288,0.1136,0.1057,1.0000,0.0978,0.0904,0.0057,0.0107,0.0045,0.0034,0.0192,0.0187
phys/physics_solubility,0.0045,0.0288,0.0040,0.0243,0.0786,0.0718,0.0791,0.0040,0.0277,0.0073,0.0328,0.0045,0.0124,0.0147,0.0045,0.0237,0.0119,0.0707,0.0644,0.0656,0.0090,0.0113,0.0294,0.0367,0.0933,0.0876,0.0978,1.0000,0.1159,0.0045,0.0085,0.0068,0.0023,0.0119,0.0153
phys/physics_temperature,0.0023,0.0407,0.0062,0.0300,0.0854,0.0774,0.0888,0.0079,0.0209,0.0062,0.0350,0.0040,0.0079,0.0068,0.0057,0.0130,0.0045,0.0690,0.0599,0.0735,0.0079,0.0119,0.0237,0.0334,0.0888,0.0916,0.0904,0.1159,1.0000,0.0045,0.0062,0.0079,0.0023,0.0181,0.0090
Lan/anaphor_gender_agreement,0.0006,0.0006,0.0023,0.0034,0.0079,0.0057,0.0090,0.0051,0.0040,0.0023,0.0000,0.0011,0.0040,0.0017,0.0011,0.0011,0.0028,0.0073,0.0090,0.0028,0.0045,0.0028,0.0051,0.0158,0.0147,0.0130,0.0057,0.0045,0.0045,1.0000,0.0164,0.0158,0.0170,0.0232,0.0057
Lan/det_noun_agreement_with_adjective,0.0000,0.0023,0.0017,0.0028,0.0057,0.0062,0.0057,0.0028,0.0023,0.0017,0.0023,0.0011,0.0023,0.0017,0.0011,0.0011,0.0023,0.0062,0.0057,0.0028,0.0006,0.0028,0.0057,0.0034,0.0073,0.0068,0.0107,0.0085,0.0062,0.0164,1.0000,0.0407,0.0107,0.0786,0.1622
Lan/hypernymy,0.0006,0.0006,0.0006,0.0000,0.0073,0.0023,0.0079,0.0006,0.0023,0.0006,0.0011,0.0006,0.0000,0.0000,0.0006,0.0000,0.0000,0.0023,0.0051,0.0023,0.0000,0.0000,0.0006,0.0023,0.0073,0.0062,0.0045,0.0068,0.0079,0.0158,0.0407,1.0000,0.0023,0.0062,0.0079
Lan/npi,0.0011,0.0023,0.0023,0.0028,0.0028,0.0028,0.0040,0.0040,0.0068,0.0006,0.0034,0.0017,0.0028,0.0011,0.0011,0.0034,0.0034,0.0028,0.0057,0.0028,0.0040,0.0034,0.0034,0.0028,0.0017,0.0028,0.0034,0.0023,0.0023,0.0170,0.0107,0.0023,1.0000,0.0147,0.0034
Lan/subject_verb_agreement,0.0017,0.0017,0.0017,0.0051,0.0023,0.0062,0.0040,0.0079,0.0023,0.0023,0.0028,0.0006,0.0023,0.0023,0.0017,0.0011,0.0017,0.0028,0.0045,0.0028,0.0017,0.0034,0.0023,0.0034,0.0051,0.0040,0.0192,0.0119,0.0181,0.0232,0.0786,0.0062,0.0147,1.0000,0.0464
Lan/wug,0.0107,0.0079,0.0147,0.0085,0.0317,0.0311,0.0317,0.0040,0.0073,0.0062,0.0073,0.0062,0.0057,0.0057,0.0057,0.0028,0.0028,0.0062,0.0085,0.0085,0.0000,0.0011,0.0096,0.0107,0.0226,0.0226,0.0187,0.0153,0.0090,0.0057,0.1622,0.0079,0.0034,0.0464,1.0000
