,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_syllogism_1,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_elasticity,phys/physics_solubility,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,1.0000,0.2237,0.2839,0.1900,0.1000,0.1336,0.1085,0.2054,0.0941,0.2414,0.1944,0.2235,0.0612,0.0662,0.2182,0.0413,0.0286,0.1514,0.1372,0.1310,0.0276,0.0279,0.0456,0.0492,0.0687,0.0869,0.1573,0.1409,0.1612,0.0845,0.0771,0.1011,0.0605,0.0920,0.1191
MD/add_sub_2op_verbal,0.2237,1.0000,0.2191,0.1842,0.1187,0.1458,0.1299,0.1885,0.1134,0.1969,0.2539,0.2097,0.0758,0.0845,0.1992,0.0657,0.0462,0.1577,0.1451,0.1431,0.0435,0.0428,0.0667,0.0704,0.0879,0.1055,0.1639,0.1527,0.1690,0.0938,0.0810,0.1002,0.0752,0.0965,0.1168
MD/add_sub_3op_symbolic,0.2839,0.2191,1.0000,0.1882,0.0947,0.1343,0.1073,0.2006,0.0996,0.2182,0.2025,0.2343,0.0587,0.0727,0.2133,0.0426,0.0293,0.1563,0.1397,0.1379,0.0289,0.0289,0.0445,0.0506,0.0662,0.0858,0.1608,0.1485,0.1708,0.0904,0.0779,0.1023,0.0657,0.0962,0.1150
MD/code_A,0.1900,0.1842,0.1882,1.0000,0.1730,0.3158,0.1750,0.3933,0.1434,0.1834,0.1751,0.1932,0.0948,0.0993,0.2135,0.0925,0.0575,0.1607,0.1516,0.1493,0.0565,0.0550,0.0875,0.0900,0.1171,0.1316,0.1575,0.1552,0.1608,0.0883,0.0784,0.0964,0.0786,0.0912,0.1205
MD/code_B,0.1000,0.1187,0.0947,0.1730,1.0000,0.2189,0.4621,0.1160,0.1690,0.0928,0.1111,0.0990,0.1269,0.1276,0.1248,0.1714,0.1042,0.1380,0.1420,0.1490,0.0977,0.0945,0.1557,0.1558,0.2085,0.2081,0.1286,0.1454,0.1257,0.0888,0.0823,0.0999,0.0957,0.0876,0.1265
MD/code_conditional,0.1336,0.1458,0.1343,0.3158,0.2189,1.0000,0.2085,0.1419,0.1899,0.1268,0.1420,0.1360,0.0969,0.1102,0.1465,0.1332,0.0796,0.1616,0.1626,0.1631,0.0774,0.0757,0.1211,0.1198,0.1536,0.1654,0.1499,0.1544,0.1456,0.0893,0.0786,0.0969,0.0884,0.0919,0.1201
MD/code_list,0.1085,0.1299,0.1073,0.1750,0.4621,0.2085,1.0000,0.1251,0.1610,0.1027,0.1231,0.1125,0.1123,0.1244,0.1322,0.1490,0.0924,0.1444,0.1448,0.1516,0.0867,0.0839,0.1392,0.1392,0.1861,0.1911,0.1378,0.1507,0.1367,0.0950,0.0861,0.1035,0.0957,0.0922,0.1257
MD/code_loop,0.2054,0.1885,0.2006,0.3933,0.1160,0.1419,0.1251,1.0000,0.1066,0.2036,0.1831,0.2016,0.0697,0.0776,0.2060,0.0559,0.0370,0.1508,0.1353,0.1333,0.0353,0.0336,0.0559,0.0608,0.0773,0.0937,0.1539,0.1453,0.1604,0.0849,0.0771,0.1001,0.0658,0.0919,0.1196
MD/logic_syllogism_1,0.0941,0.1134,0.0996,0.1434,0.1690,0.1899,0.1610,0.1066,1.0000,0.0869,0.1106,0.1049,0.1119,0.1172,0.1123,0.1724,0.1069,0.1294,0.1467,0.1470,0.1007,0.1000,0.1519,0.1478,0.1548,0.1611,0.1203,0.1336,0.1139,0.0849,0.0733,0.0819,0.0938,0.0817,0.1077
MD/mul_div_2op_symbolic,0.2414,0.1969,0.2182,0.1834,0.0928,0.1268,0.1027,0.2036,0.0869,1.0000,0.2051,0.2700,0.0544,0.0601,0.2339,0.0362,0.0256,0.1497,0.1308,0.1279,0.0248,0.0249,0.0395,0.0450,0.0639,0.0834,0.1579,0.1383,0.1627,0.0833,0.0751,0.1016,0.0550,0.0908,0.1182
MD/mul_div_2op_verbal,0.1944,0.2539,0.2025,0.1751,0.1111,0.1420,0.1231,0.1831,0.1106,0.2051,1.0000,0.2214,0.0723,0.0861,0.1907,0.0652,0.0476,0.1561,0.1429,0.1406,0.0452,0.0445,0.0668,0.0701,0.0863,0.1049,0.1619,0.1499,0.1653,0.0938,0.0823,0.0988,0.0755,0.0980,0.1127
MD/mul_div_3op_symbolic,0.2235,0.2097,0.2343,0.1932,0.0990,0.1360,0.1125,0.2016,0.1049,0.2700,0.2214,1.0000,0.0655,0.0791,0.2252,0.0487,0.0348,0.1559,0.1403,0.1361,0.0329,0.0316,0.0503,0.0543,0.0706,0.0900,0.1603,0.1502,0.1693,0.0936,0.0803,0.1003,0.0700,0.0960,0.1106
MD/number_sequence,0.0612,0.0758,0.0587,0.0948,0.1269,0.0969,0.1123,0.0697,0.1119,0.0544,0.0723,0.0655,1.0000,0.1204,0.0818,0.1476,0.1385,0.0774,0.0888,0.0922,0.1307,0.1327,0.1449,0.1445,0.1307,0.1204,0.0699,0.0808,0.0645,0.0665,0.0560,0.0604,0.0816,0.0619,0.0756
MD/number_sorting,0.0662,0.0845,0.0727,0.0993,0.1276,0.1102,0.1244,0.0776,0.1172,0.0601,0.0861,0.0791,0.1204,1.0000,0.0852,0.1309,0.1138,0.0910,0.0971,0.0976,0.1135,0.1105,0.1255,0.1242,0.1253,0.1219,0.0867,0.0971,0.0882,0.0754,0.0630,0.0714,0.0830,0.0702,0.0847
MD/simple_equation,0.2182,0.1992,0.2133,0.2135,0.1248,0.1465,0.1322,0.2060,0.1123,0.2339,0.1907,0.2252,0.0818,0.0852,1.0000,0.0682,0.0468,0.1530,0.1405,0.1378,0.0443,0.0427,0.0670,0.0703,0.0879,0.1044,0.1563,0.1477,0.1597,0.0864,0.0756,0.1010,0.0692,0.0919,0.1168
ToM/agent,0.0413,0.0657,0.0426,0.0925,0.1714,0.1332,0.1490,0.0559,0.1724,0.0362,0.0652,0.0487,0.1476,0.1309,0.0682,1.0000,0.1670,0.1010,0.1255,0.1269,0.1840,0.1668,0.3374,0.2711,0.1879,0.1823,0.0853,0.1065,0.0732,0.0730,0.0660,0.0657,0.0966,0.0696,0.0931
ToM/desires_goals,0.0286,0.0462,0.0293,0.0575,0.1042,0.0796,0.0924,0.0370,0.1069,0.0256,0.0476,0.0348,0.1385,0.1138,0.0468,0.1670,1.0000,0.0661,0.0779,0.0805,0.1524,0.1711,0.1751,0.1605,0.1286,0.1145,0.0571,0.0681,0.0502,0.0677,0.0548,0.0570,0.0819,0.0589,0.0666
ToM/emotion_fewshot,0.1514,0.1577,0.1563,0.1607,0.1380,0.1616,0.1444,0.1508,0.1294,0.1497,0.1561,0.1559,0.0774,0.0910,0.1530,0.1010,0.0661,1.0000,0.2001,0.1910,0.0806,0.0801,0.1008,0.0962,0.1129,0.1284,0.1751,0.1700,0.1654,0.0941,0.0814,0.1070,0.0785,0.0925,0.1138
ToM/norm_appropriate,0.1372,0.1451,0.1397,0.1516,0.1420,0.1626,0.1448,0.1353,0.1467,0.1308,0.1429,0.1403,0.0888,0.0971,0.1405,0.1255,0.0779,0.2001,1.0000,0.2817,0.0853,0.0844,0.1256,0.1146,0.1254,0.1378,0.1598,0.1601,0.1520,0.0889,0.0784,0.0969,0.0834,0.0903,0.1093
ToM/norm_moral,0.1310,0.1431,0.1379,0.1493,0.1490,0.1631,0.1516,0.1333,0.1470,0.1279,0.1406,0.1361,0.0922,0.0976,0.1378,0.1269,0.0805,0.1910,0.2817,1.0000,0.0822,0.0820,0.1249,0.1172,0.1298,0.1436,0.1573,0.1650,0.1549,0.0912,0.0794,0.1002,0.0833,0.0897,0.1110
ToM/primary_emotions,0.0276,0.0435,0.0289,0.0565,0.0977,0.0774,0.0867,0.0353,0.1007,0.0248,0.0452,0.0329,0.1307,0.1135,0.0443,0.1840,0.1524,0.0806,0.0853,0.0822,1.0000,0.3586,0.2098,0.1901,0.1225,0.1079,0.0565,0.0670,0.0475,0.0638,0.0518,0.0552,0.0793,0.0572,0.0639
ToM/secondary_emotions,0.0279,0.0428,0.0289,0.0550,0.0945,0.0757,0.0839,0.0336,0.1000,0.0249,0.0445,0.0316,0.1327,0.1105,0.0427,0.1668,0.1711,0.0801,0.0844,0.0820,0.3586,1.0000,0.1892,0.1663,0.1205,0.1079,0.0563,0.0647,0.0475,0.0633,0.0498,0.0546,0.0780,0.0545,0.0604
ToM/social_interactions,0.0456,0.0667,0.0445,0.0875,0.1557,0.1211,0.1392,0.0559,0.1519,0.0395,0.0668,0.0503,0.1449,0.1255,0.0670,0.3374,0.1751,0.1008,0.1256,0.1249,0.2098,0.1892,1.0000,0.2543,0.1751,0.1659,0.0852,0.0989,0.0723,0.0735,0.0637,0.0674,0.0929,0.0687,0.0880
ToM/social_relations,0.0492,0.0704,0.0506,0.0900,0.1558,0.1198,0.1392,0.0608,0.1478,0.0450,0.0701,0.0543,0.1445,0.1242,0.0703,0.2711,0.1605,0.0962,0.1146,0.1172,0.1901,0.1663,0.2543,1.0000,0.1790,0.1669,0.0842,0.0982,0.0749,0.0741,0.0642,0.0705,0.0897,0.0688,0.0902
phys/phys_newton,0.0687,0.0879,0.0662,0.1171,0.2085,0.1536,0.1861,0.0773,0.1548,0.0639,0.0863,0.0706,0.1307,0.1253,0.0879,0.1879,0.1286,0.1129,0.1254,0.1298,0.1225,0.1205,0.1751,0.1790,1.0000,0.3951,0.1065,0.1208,0.0964,0.0791,0.0754,0.0914,0.0888,0.0762,0.1084
phys/phys_prost,0.0869,0.1055,0.0858,0.1316,0.2081,0.1654,0.1911,0.0937,0.1611,0.0834,0.1049,0.0900,0.1204,0.1219,0.1044,0.1823,0.1145,0.1284,0.1378,0.1436,0.1079,0.1079,0.1659,0.1669,0.3951,1.0000,0.1236,0.1345,0.1131,0.0840,0.0794,0.0992,0.0883,0.0812,0.1136
phys/physics_elasticity,0.1573,0.1639,0.1608,0.1575,0.1286,0.1499,0.1378,0.1539,0.1203,0.1579,0.1619,0.1603,0.0699,0.0867,0.1563,0.0853,0.0571,0.1751,0.1598,0.1573,0.0565,0.0563,0.0852,0.0842,0.1065,0.1236,1.0000,0.1766,0.1795,0.0930,0.0830,0.1112,0.0752,0.0952,0.1127
phys/physics_solubility,0.1409,0.1527,0.1485,0.1552,0.1454,0.1544,0.1507,0.1453,0.1336,0.1383,0.1499,0.1502,0.0808,0.0971,0.1477,0.1065,0.0681,0.1700,0.1601,0.1650,0.0670,0.0647,0.0989,0.0982,0.1208,0.1345,0.1766,1.0000,0.1852,0.0909,0.0803,0.1083,0.0803,0.0954,0.1140
phys/physics_temperature,0.1612,0.1690,0.1708,0.1608,0.1257,0.1456,0.1367,0.1604,0.1139,0.1627,0.1653,0.1693,0.0645,0.0882,0.1597,0.0732,0.0502,0.1654,0.1520,0.1549,0.0475,0.0475,0.0723,0.0749,0.0964,0.1131,0.1795,0.1852,1.0000,0.0936,0.0834,0.1132,0.0752,0.0972,0.1132
Lan/anaphor_gender_agreement,0.0845,0.0938,0.0904,0.0883,0.0888,0.0893,0.0950,0.0849,0.0849,0.0833,0.0938,0.0936,0.0665,0.0754,0.0864,0.0730,0.0677,0.0941,0.0889,0.0912,0.0638,0.0633,0.0735,0.0741,0.0791,0.0840,0.0930,0.0909,0.0936,1.0000,0.0973,0.1022,0.0917,0.0969,0.0840
Lan/det_noun_agreement_with_adjective,0.0771,0.0810,0.0779,0.0784,0.0823,0.0786,0.0861,0.0771,0.0733,0.0751,0.0823,0.0803,0.0560,0.0630,0.0756,0.0660,0.0548,0.0814,0.0784,0.0794,0.0518,0.0498,0.0637,0.0642,0.0754,0.0794,0.0830,0.0803,0.0834,0.0973,1.0000,0.1072,0.0912,0.1148,0.1025
Lan/hypernymy,0.1011,0.1002,0.1023,0.0964,0.0999,0.0969,0.1035,0.1001,0.0819,0.1016,0.0988,0.1003,0.0604,0.0714,0.1010,0.0657,0.0570,0.1070,0.0969,0.1002,0.0552,0.0546,0.0674,0.0705,0.0914,0.0992,0.1112,0.1083,0.1132,0.1022,0.1072,1.0000,0.0709,0.0993,0.0930
Lan/npi,0.0605,0.0752,0.0657,0.0786,0.0957,0.0884,0.0957,0.0658,0.0938,0.0550,0.0755,0.0700,0.0816,0.0830,0.0692,0.0966,0.0819,0.0785,0.0834,0.0833,0.0793,0.0780,0.0929,0.0897,0.0888,0.0883,0.0752,0.0803,0.0752,0.0917,0.0912,0.0709,1.0000,0.0919,0.0802
Lan/subject_verb_agreement,0.0920,0.0965,0.0962,0.0912,0.0876,0.0919,0.0922,0.0919,0.0817,0.0908,0.0980,0.0960,0.0619,0.0702,0.0919,0.0696,0.0589,0.0925,0.0903,0.0897,0.0572,0.0545,0.0687,0.0688,0.0762,0.0812,0.0952,0.0954,0.0972,0.0969,0.1148,0.0993,0.0919,1.0000,0.1022
Lan/wug,0.1191,0.1168,0.1150,0.1205,0.1265,0.1201,0.1257,0.1196,0.1077,0.1182,0.1127,0.1106,0.0756,0.0847,0.1168,0.0931,0.0666,0.1138,0.1093,0.1110,0.0639,0.0604,0.0880,0.0902,0.1084,0.1136,0.1127,0.1140,0.1132,0.0840,0.1025,0.0930,0.0802,0.1022,1.0000
