,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_syllogism_1,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_elasticity,phys/physics_solubility,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,1.0000,0.1815,0.2327,0.1740,0.0651,0.0570,0.0583,0.1376,0.0277,0.2054,0.1369,0.1813,0.0762,0.0253,0.1920,0.0135,0.0113,0.0471,0.0448,0.0407,0.0090,0.0107,0.0191,0.0240,0.0411,0.0423,0.0486,0.0447,0.0509,0.0180,0.0182,0.0208,0.0158,0.0216,0.0428
MD/add_sub_2op_verbal,0.1815,1.0000,0.1525,0.1580,0.0838,0.0717,0.0795,0.1180,0.0378,0.1441,0.2146,0.1481,0.0774,0.0359,0.1629,0.0238,0.0212,0.0635,0.0612,0.0563,0.0161,0.0197,0.0333,0.0381,0.0596,0.0606,0.0594,0.0571,0.0642,0.0210,0.0209,0.0206,0.0218,0.0225,0.0405
MD/add_sub_3op_symbolic,0.2327,0.1525,1.0000,0.1447,0.0504,0.0449,0.0459,0.1194,0.0259,0.1577,0.1238,0.1686,0.0622,0.0261,0.1653,0.0099,0.0089,0.0458,0.0409,0.0400,0.0075,0.0089,0.0140,0.0189,0.0314,0.0336,0.0482,0.0420,0.0492,0.0182,0.0178,0.0211,0.0145,0.0208,0.0361
MD/code_A,0.1740,0.1580,0.1447,1.0000,0.1502,0.2668,0.1343,0.3540,0.0804,0.1573,0.1347,0.1601,0.1025,0.0552,0.1994,0.0451,0.0231,0.0779,0.0809,0.0773,0.0246,0.0278,0.0520,0.0583,0.0999,0.1068,0.0676,0.0715,0.0633,0.0192,0.0187,0.0193,0.0214,0.0247,0.0473
MD/code_B,0.0651,0.0838,0.0504,0.1502,1.0000,0.1920,0.4412,0.0570,0.0832,0.0553,0.0748,0.0484,0.0732,0.0657,0.0740,0.0714,0.0410,0.0750,0.0741,0.0780,0.0309,0.0356,0.0795,0.0981,0.1940,0.1937,0.0635,0.0719,0.0612,0.0249,0.0255,0.0261,0.0248,0.0231,0.0678
MD/code_conditional,0.0570,0.0717,0.0449,0.2668,0.1920,1.0000,0.1745,0.0515,0.1264,0.0483,0.0627,0.0427,0.0522,0.0597,0.0668,0.0738,0.0405,0.0939,0.1089,0.1055,0.0398,0.0462,0.0826,0.0836,0.1420,0.1501,0.0712,0.0788,0.0643,0.0214,0.0200,0.0191,0.0277,0.0232,0.0514
MD/code_list,0.0583,0.0795,0.0459,0.1343,0.4412,0.1745,1.0000,0.0537,0.0751,0.0500,0.0684,0.0450,0.0609,0.0644,0.0691,0.0589,0.0377,0.0744,0.0730,0.0782,0.0310,0.0336,0.0728,0.0861,0.1702,0.1690,0.0655,0.0723,0.0648,0.0264,0.0263,0.0300,0.0275,0.0269,0.0647
MD/code_loop,0.1376,0.1180,0.1194,0.3540,0.0570,0.0515,0.0537,1.0000,0.0300,0.1313,0.1098,0.1334,0.0654,0.0322,0.1545,0.0146,0.0112,0.0422,0.0400,0.0358,0.0097,0.0103,0.0193,0.0205,0.0335,0.0360,0.0470,0.0461,0.0448,0.0181,0.0194,0.0208,0.0166,0.0227,0.0346
MD/logic_syllogism_1,0.0277,0.0378,0.0259,0.0804,0.0832,0.1264,0.0751,0.0300,1.0000,0.0226,0.0357,0.0239,0.0505,0.0494,0.0414,0.1033,0.0495,0.0565,0.0831,0.0778,0.0489,0.0531,0.0897,0.0870,0.0890,0.0994,0.0396,0.0510,0.0327,0.0162,0.0135,0.0122,0.0276,0.0174,0.0309
MD/mul_div_2op_symbolic,0.2054,0.1441,0.1577,0.1573,0.0553,0.0483,0.0500,0.1313,0.0226,1.0000,0.1386,0.2083,0.0653,0.0187,0.1862,0.0094,0.0089,0.0423,0.0404,0.0344,0.0071,0.0079,0.0140,0.0205,0.0369,0.0389,0.0500,0.0397,0.0493,0.0185,0.0197,0.0207,0.0113,0.0224,0.0402
