,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_syllogism_1,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_elasticity,phys/physics_solubility,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/mul_div_2op_verbal,0.1369,0.2146,0.1238,0.1347,0.0748,0.0627,0.0684,0.1098,0.0357,0.1386,1.0000,0.1486,0.0662,0.0343,0.1449,0.0231,0.0224,0.0593,0.0556,0.0538,0.0181,0.0216,0.0310,0.0363,0.0526,0.0548,0.0596,0.0544,0.0591,0.0226,0.0212,0.0220,0.0228,0.0258,0.0343
MD/mul_div_3op_symbolic,0.1813,0.1481,0.1686,0.1601,0.0484,0.0427,0.0450,0.1334,0.0239,0.2083,0.1486,1.0000,0.0723,0.0258,0.1840,0.0110,0.0110,0.0409,0.0389,0.0349,0.0087,0.0097,0.0148,0.0179,0.0297,0.0310,0.0432,0.0410,0.0459,0.0190,0.0153,0.0210,0.0168,0.0181,0.0303
MD/number_sequence,0.0762,0.0774,0.0622,0.1025,0.0732,0.0522,0.0609,0.0654,0.0505,0.0653,0.0662,0.0723,1.0000,0.0596,0.0914,0.0717,0.0662,0.0359,0.0412,0.0429,0.0493,0.0580,0.0677,0.0722,0.0576,0.0582,0.0272,0.0341,0.0251,0.0138,0.0115,0.0084,0.0200,0.0144,0.0253
MD/number_sorting,0.0253,0.0359,0.0261,0.0552,0.0657,0.0597,0.0644,0.0322,0.0494,0.0187,0.0343,0.0258,0.0596,1.0000,0.0375,0.0495,0.0501,0.0331,0.0389,0.0404,0.0400,0.0421,0.0500,0.0523,0.0597,0.0600,0.0276,0.0354,0.0281,0.0168,0.0127,0.0128,0.0196,0.0157,0.0254
MD/simple_equation,0.1920,0.1629,0.1653,0.1994,0.0740,0.0668,0.0691,0.1545,0.0414,0.1862,0.1449,0.1840,0.0914,0.0375,1.0000,0.0249,0.0180,0.0529,0.0541,0.0460,0.0154,0.0177,0.0292,0.0340,0.0510,0.0537,0.0507,0.0506,0.0507,0.0181,0.0168,0.0182,0.0171,0.0207,0.0357
ToM/agent,0.0135,0.0238,0.0099,0.0451,0.0714,0.0738,0.0589,0.0146,0.1033,0.0094,0.0231,0.0110,0.0717,0.0495,0.0249,1.0000,0.1030,0.0505,0.0692,0.0700,0.1159,0.1087,0.2956,0.2241,0.1024,0.1092,0.0348,0.0491,0.0246,0.0172,0.0136,0.0079,0.0257,0.0145,0.0248
ToM/desires_goals,0.0113,0.0212,0.0089,0.0231,0.0410,0.0405,0.0377,0.0112,0.0495,0.0089,0.0224,0.0110,0.0662,0.0501,0.0180,0.1030,1.0000,0.0328,0.0392,0.0440,0.0863,0.1098,0.1158,0.1012,0.0588,0.0568,0.0233,0.0294,0.0197,0.0198,0.0132,0.0092,0.0247,0.0168,0.0193
ToM/emotion_fewshot,0.0471,0.0635,0.0458,0.0779,0.0750,0.0939,0.0744,0.0422,0.0565,0.0423,0.0593,0.0409,0.0359,0.0331,0.0529,0.0505,0.0328,1.0000,0.1485,0.1376,0.0546,0.0659,0.0632,0.0550,0.0778,0.0844,0.0917,0.0886,0.0758,0.0255,0.0213,0.0283,0.0203,0.0233,0.0292
ToM/norm_appropriate,0.0448,0.0612,0.0409,0.0809,0.0741,0.1089,0.0730,0.0400,0.0831,0.0404,0.0556,0.0389,0.0412,0.0389,0.0541,0.0692,0.0392,0.1485,1.0000,0.2487,0.0506,0.0618,0.0875,0.0726,0.0878,0.0938,0.0828,0.0825,0.0666,0.0232,0.0221,0.0247,0.0253,0.0263,0.0328
ToM/norm_moral,0.0407,0.0563,0.0400,0.0773,0.0780,0.1055,0.0782,0.0358,0.0778,0.0344,0.0538,0.0349,0.0429,0.0404,0.0460,0.0700,0.0440,0.1376,0.2487,1.0000,0.0483,0.0566,0.0886,0.0743,0.0912,0.0984,0.0788,0.0865,0.0747,0.0233,0.0211,0.0254,0.0259,0.0251,0.0323
ToM/primary_emotions,0.0090,0.0161,0.0075,0.0246,0.0309,0.0398,0.0310,0.0097,0.0489,0.0071,0.0181,0.0087,0.0493,0.0400,0.0154,0.1159,0.0863,0.0546,0.0506,0.0483,1.0000,0.3096,0.1361,0.1194,0.0500,0.0526,0.0235,0.0277,0.0165,0.0159,0.0105,0.0088,0.0198,0.0153,0.0150
ToM/secondary_emotions,0.0107,0.0197,0.0089,0.0278,0.0356,0.0462,0.0336,0.0103,0.0531,0.0079,0.0216,0.0097,0.0580,0.0421,0.0177,0.1087,0.1098,0.0659,0.0618,0.0566,0.3096,1.0000,0.1337,0.1029,0.0557,0.0558,0.0298,0.0331,0.0214,0.0162,0.0096,0.0088,0.0210,0.0142,0.0141
ToM/social_interactions,0.0191,0.0333,0.0140,0.0520,0.0795,0.0826,0.0728,0.0193,0.0897,0.0140,0.0310,0.0148,0.0677,0.0500,0.0292,0.2956,0.1158,0.0632,0.0875,0.0886,0.1361,0.1337,1.0000,0.2037,0.1093,0.1157,0.0444,0.0516,0.0329,0.0215,0.0164,0.0110,0.0252,0.0181,0.0286
ToM/social_relations,0.0240,0.0381,0.0189,0.0583,0.0981,0.0836,0.0861,0.0205,0.0870,0.0205,0.0363,0.0179,0.0722,0.0523,0.0340,0.2241,0.1012,0.0550,0.0726,0.0743,0.1194,0.1029,0.2037,1.0000,0.1238,0.1247,0.0439,0.0511,0.0372,0.0234,0.0174,0.0114,0.0236,0.0198,0.0319
phys/phys_newton,0.0411,0.0596,0.0314,0.0999,0.1940,0.1420,0.1702,0.0335,0.0890,0.0369,0.0526,0.0297,0.0576,0.0597,0.0510,0.1024,0.0588,0.0778,0.0878,0.0912,0.0500,0.0557,0.1093,0.1238,1.0000,0.4238,0.0692,0.0743,0.0575,0.0238,0.0280,0.0318,0.0207,0.0241,0.0569
phys/phys_prost,0.0423,0.0606,0.0336,0.1068,0.1937,0.1501,0.1690,0.0360,0.0994,0.0389,0.0548,0.0310,0.0582,0.0600,0.0537,0.1092,0.0568,0.0844,0.0938,0.0984,0.0526,0.0558,0.1157,0.1247,0.4238,1.0000,0.0759,0.0791,0.0644,0.0253,0.0288,0.0336,0.0211,0.0244,0.0588
phys/physics_elasticity,0.0486,0.0594,0.0482,0.0676,0.0635,0.0712,0.0655,0.0470,0.0396,0.0500,0.0596,0.0432,0.0272,0.0276,0.0507,0.0348,0.0233,0.0917,0.0828,0.0788,0.0235,0.0298,0.0444,0.0439,0.0692,0.0759,1.0000,0.1064,0.0926,0.0206,0.0242,0.0335,0.0189,0.0306,0.0358
phys/physics_solubility,0.0447,0.0571,0.0420,0.0715,0.0719,0.0788,0.0723,0.0461,0.0510,0.0397,0.0544,0.0410,0.0341,0.0354,0.0506,0.0491,0.0294,0.0886,0.0825,0.0865,0.0277,0.0331,0.0516,0.0511,0.0743,0.0791,0.1064,1.0000,0.1046,0.0214,0.0232,0.0343,0.0188,0.0302,0.0367
phys/physics_temperature,0.0509,0.0642,0.0492,0.0633,0.0612,0.0643,0.0648,0.0448,0.0327,0.0493,0.0591,0.0459,0.0251,0.0281,0.0507,0.0246,0.0197,0.0758,0.0666,0.0747,0.0165,0.0214,0.0329,0.0372,0.0575,0.0644,0.0926,0.1046,1.0000,0.0228,0.0225,0.0360,0.0185,0.0296,0.0329
Lan/anaphor_gender_agreement,0.0180,0.0210,0.0182,0.0192,0.0249,0.0214,0.0264,0.0181,0.0162,0.0185,0.0226,0.0190,0.0138,0.0168,0.0181,0.0172,0.0198,0.0255,0.0232,0.0233,0.0159,0.0162,0.0215,0.0234,0.0238,0.0253,0.0206,0.0214,0.0228,1.0000,0.0496,0.0460,0.0404,0.0495,0.0263
Lan/det_noun_agreement_with_adjective,0.0182,0.0209,0.0178,0.0187,0.0255,0.0200,0.0263,0.0194,0.0135,0.0197,0.0212,0.0153,0.0115,0.0127,0.0168,0.0136,0.0132,0.0213,0.0221,0.0211,0.0105,0.0096,0.0164,0.0174,0.0280,0.0288,0.0242,0.0232,0.0225,0.0496,1.0000,0.0644,0.0363,0.0920,0.0895
Lan/hypernymy,0.0208,0.0206,0.0211,0.0193,0.0261,0.0191,0.0300,0.0208,0.0122,0.0207,0.0220,0.0210,0.0084,0.0128,0.0182,0.0079,0.0092,0.0283,0.0247,0.0254,0.0088,0.0088,0.0110,0.0114,0.0318,0.0336,0.0335,0.0343,0.0360,0.0460,0.0644,1.0000,0.0149,0.0378,0.0294
Lan/npi,0.0158,0.0218,0.0145,0.0214,0.0248,0.0277,0.0275,0.0166,0.0276,0.0113,0.0228,0.0168,0.0200,0.0196,0.0171,0.0257,0.0247,0.0203,0.0253,0.0259,0.0198,0.0210,0.0252,0.0236,0.0207,0.0211,0.0189,0.0188,0.0185,0.0404,0.0363,0.0149,1.0000,0.0437,0.0244
Lan/subject_verb_agreement,0.0216,0.0225,0.0208,0.0247,0.0231,0.0232,0.0269,0.0227,0.0174,0.0224,0.0258,0.0181,0.0144,0.0157,0.0207,0.0145,0.0168,0.0233,0.0263,0.0251,0.0153,0.0142,0.0181,0.0198,0.0241,0.0244,0.0306,0.0302,0.0296,0.0495,0.0920,0.0378,0.0437,1.0000,0.0605
Lan/wug,0.0428,0.0405,0.0361,0.0473,0.0678,0.0514,0.0647,0.0346,0.0309,0.0402,0.0343,0.0303,0.0253,0.0254,0.0357,0.0248,0.0193,0.0292,0.0328,0.0323,0.0150,0.0141,0.0286,0.0319,0.0569,0.0588,0.0358,0.0367,0.0329,0.0263,0.0895,0.0294,0.0244,0.0605,1.0000
