,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_syllogism_1,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_elasticity,phys/physics_solubility,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,1.0000,0.4638,0.6855,0.2410,0.0034,0.0034,0.0000,0.1097,0.0000,0.4355,0.2296,0.3348,0.1324,0.0011,0.2828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0023
MD/add_sub_2op_verbal,0.4638,1.0000,0.3948,0.2704,0.0509,0.0271,0.0339,0.1731,0.0023,0.2557,0.4627,0.2636,0.1946,0.0045,0.3541,0.0034,0.0023,0.0192,0.0079,0.0147,0.0011,0.0034,0.0090,0.0113,0.0317,0.0317,0.0271,0.0170,0.0215,0.0000,0.0011,0.0000,0.0011,0.0011,0.0045
MD/add_sub_3op_symbolic,0.6855,0.3948,1.0000,0.2240,0.0057,0.0045,0.0023,0.1041,0.0000,0.2998,0.1708,0.2523,0.1109,0.0023,0.2511,0.0000,0.0000,0.0000,0.0023,0.0000,0.0000,0.0011,0.0000,0.0011,0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,0.0011,0.0079
MD/code_A,0.2410,0.2704,0.2240,1.0000,0.0814,0.1765,0.0577,0.3971,0.0430,0.2952,0.2376,0.3066,0.2262,0.0192,0.4378,0.0170,0.0011,0.0249,0.0317,0.0238,0.0068,0.0079,0.0215,0.0271,0.0520,0.0520,0.0192,0.0158,0.0170,0.0023,0.0011,0.0000,0.0011,0.0011,0.0034
MD/code_B,0.0034,0.0509,0.0057,0.0814,1.0000,0.2771,0.5701,0.0136,0.0305,0.0045,0.0498,0.0057,0.0317,0.0452,0.0102,0.0373,0.0090,0.0679,0.0577,0.0826,0.0068,0.0068,0.0690,0.1391,0.3326,0.3213,0.0758,0.0837,0.0905,0.0079,0.0023,0.0034,0.0023,0.0011,0.0249
MD/code_conditional,0.0034,0.0271,0.0045,0.1765,0.2771,1.0000,0.2308,0.0102,0.1380,0.0011,0.0351,0.0000,0.0136,0.0305,0.0057,0.0600,0.0057,0.0860,0.1188,0.1301,0.0226,0.0249,0.0600,0.1109,0.1968,0.2036,0.0769,0.0633,0.0735,0.0023,0.0023,0.0011,0.0023,0.0011,0.0226
MD/code_list,0.0000,0.0339,0.0023,0.0577,0.5701,0.2308,1.0000,0.0090,0.0215,0.0023,0.0385,0.0011,0.0226,0.0362,0.0000,0.0294,0.0113,0.0690,0.0622,0.0905,0.0079,0.0090,0.0622,0.1335,0.3337,0.3156,0.0860,0.0803,0.0837,0.0057,0.0034,0.0079,0.0011,0.0023,0.0181
MD/code_loop,0.1097,0.1731,0.1041,0.3971,0.0136,0.0102,0.0090,1.0000,0.0079,0.2195,0.2025,0.2398,0.1674,0.0124,0.3145,0.0023,0.0034,0.0011,0.0034,0.0011,0.0000,0.0034,0.0045,0.0034,0.0057,0.0045,0.0034,0.0023,0.0045,0.0011,0.0023,0.0000,0.0023,0.0045,0.0034
MD/logic_syllogism_1,0.0000,0.0023,0.0000,0.0430,0.0305,0.1380,0.0215,0.0079,1.0000,0.0011,0.0023,0.0000,0.0090,0.0147,0.0023,0.0814,0.0090,0.0339,0.0905,0.0758,0.0136,0.0226,0.0520,0.0351,0.0475,0.0520,0.0124,0.0204,0.0147,0.0034,0.0000,0.0023,0.0034,0.0011,0.0057
MD/mul_div_2op_symbolic,0.4355,0.2557,0.2998,0.2952,0.0045,0.0011,0.0023,0.2195,0.0011,1.0000,0.4016,0.6799,0.1425,0.0011,0.4525,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000,0.0000,0.0011,0.0000,0.0011,0.0000
