,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_syllogism_1,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_elasticity,phys/physics_solubility,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/mul_div_2op_verbal,0.2296,0.4627,0.1708,0.2376,0.0498,0.0351,0.0385,0.2025,0.0023,0.4016,1.0000,0.4367,0.1572,0.0057,0.3925,0.0034,0.0057,0.0158,0.0102,0.0124,0.0011,0.0023,0.0079,0.0079,0.0328,0.0328,0.0249,0.0226,0.0181,0.0000,0.0011,0.0011,0.0000,0.0000,0.0011
MD/mul_div_3op_symbolic,0.3348,0.2636,0.2523,0.3066,0.0057,0.0000,0.0011,0.2398,0.0000,0.6799,0.4367,1.0000,0.1595,0.0011,0.4615,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000,0.0011,0.0011,0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000,0.0000,0.0000
MD/number_sequence,0.1324,0.1946,0.1109,0.2262,0.0317,0.0136,0.0226,0.1674,0.0090,0.1425,0.1572,0.1595,1.0000,0.0362,0.2410,0.0158,0.0068,0.0045,0.0079,0.0079,0.0045,0.0102,0.0102,0.0181,0.0090,0.0090,0.0057,0.0057,0.0045,0.0011,0.0011,0.0000,0.0011,0.0000,0.0023
MD/number_sorting,0.0011,0.0045,0.0023,0.0192,0.0452,0.0305,0.0362,0.0124,0.0147,0.0011,0.0057,0.0011,0.0362,1.0000,0.0068,0.0192,0.0113,0.0113,0.0158,0.0170,0.0124,0.0136,0.0158,0.0283,0.0271,0.0294,0.0023,0.0079,0.0045,0.0034,0.0023,0.0000,0.0000,0.0023,0.0034
MD/simple_equation,0.2828,0.3541,0.2511,0.4378,0.0102,0.0057,0.0000,0.3145,0.0023,0.4525,0.3925,0.4615,0.2410,0.0068,1.0000,0.0011,0.0000,0.0000,0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000,0.0011,0.0011,0.0000,0.0011
ToM/agent,0.0000,0.0034,0.0000,0.0170,0.0373,0.0600,0.0294,0.0023,0.0814,0.0000,0.0034,0.0000,0.0158,0.0192,0.0011,1.0000,0.0701,0.0136,0.0362,0.0396,0.0826,0.0950,0.3043,0.1844,0.0509,0.0588,0.0102,0.0204,0.0079,0.0000,0.0011,0.0000,0.0034,0.0000,0.0011
ToM/desires_goals,0.0000,0.0023,0.0000,0.0011,0.0090,0.0057,0.0113,0.0034,0.0090,0.0000,0.0057,0.0000,0.0068,0.0113,0.0000,0.0701,1.0000,0.0068,0.0045,0.0057,0.0452,0.0814,0.0916,0.0464,0.0102,0.0079,0.0057,0.0045,0.0011,0.0023,0.0023,0.0000,0.0023,0.0023,0.0023
ToM/emotion_fewshot,0.0000,0.0192,0.0000,0.0249,0.0679,0.0860,0.0690,0.0011,0.0339,0.0000,0.0158,0.0000,0.0045,0.0113,0.0000,0.0136,0.0068,1.0000,0.1335,0.1324,0.0724,0.1052,0.0328,0.0328,0.0995,0.0769,0.0735,0.0611,0.0498,0.0023,0.0023,0.0011,0.0000,0.0011,0.0000
ToM/norm_appropriate,0.0000,0.0079,0.0023,0.0317,0.0577,0.1188,0.0622,0.0034,0.0905,0.0000,0.0102,0.0000,0.0079,0.0158,0.0011,0.0362,0.0045,0.1335,1.0000,0.3778,0.0215,0.0452,0.0543,0.0373,0.1052,0.0973,0.0611,0.0554,0.0430,0.0045,0.0045,0.0045,0.0045,0.0034,0.0057
ToM/norm_moral,0.0000,0.0147,0.0000,0.0238,0.0826,0.1301,0.0905,0.0011,0.0758,0.0000,0.0124,0.0000,0.0079,0.0170,0.0000,0.0396,0.0057,0.1324,0.3778,1.0000,0.0271,0.0566,0.0758,0.0645,0.1391,0.1471,0.0577,0.0520,0.0713,0.0023,0.0034,0.0000,0.0023,0.0000,0.0011
ToM/primary_emotions,0.0000,0.0011,0.0000,0.0068,0.0068,0.0226,0.0079,0.0000,0.0136,0.0000,0.0011,0.0000,0.0045,0.0124,0.0000,0.0826,0.0452,0.0724,0.0215,0.0271,1.0000,0.2907,0.0826,0.0713,0.0068,0.0068,0.0057,0.0034,0.0000,0.0011,0.0011,0.0000,0.0000,0.0011,0.0000
ToM/secondary_emotions,0.0011,0.0034,0.0011,0.0079,0.0068,0.0249,0.0090,0.0034,0.0226,0.0011,0.0023,0.0011,0.0102,0.0136,0.0000,0.0950,0.0814,0.1052,0.0452,0.0566,0.2907,1.0000,0.1029,0.0600,0.0226,0.0226,0.0170,0.0079,0.0045,0.0000,0.0023,0.0000,0.0000,0.0011,0.0000
ToM/social_interactions,0.0000,0.0090,0.0000,0.0215,0.0690,0.0600,0.0622,0.0045,0.0520,0.0000,0.0079,0.0000,0.0102,0.0158,0.0000,0.3043,0.0916,0.0328,0.0543,0.0758,0.0826,0.1029,1.0000,0.2149,0.0939,0.0962,0.0170,0.0271,0.0204,0.0034,0.0057,0.0000,0.0000,0.0011,0.0045
ToM/social_relations,0.0000,0.0113,0.0011,0.0271,0.1391,0.1109,0.1335,0.0034,0.0351,0.0000,0.0079,0.0011,0.0181,0.0283,0.0000,0.1844,0.0464,0.0328,0.0373,0.0645,0.0713,0.0600,0.2149,1.0000,0.1538,0.1482,0.0260,0.0294,0.0430,0.0170,0.0011,0.0023,0.0000,0.0011,0.0057
phys/phys_newton,0.0000,0.0317,0.0011,0.0520,0.3326,0.1968,0.3337,0.0057,0.0475,0.0000,0.0328,0.0011,0.0090,0.0271,0.0011,0.0509,0.0102,0.0995,0.1052,0.1391,0.0068,0.0226,0.0939,0.1538,1.0000,0.5633,0.1018,0.0995,0.0928,0.0136,0.0034,0.0023,0.0011,0.0011,0.0147
phys/phys_prost,0.0000,0.0317,0.0000,0.0520,0.3213,0.2036,0.3156,0.0045,0.0520,0.0000,0.0328,0.0011,0.0090,0.0294,0.0000,0.0588,0.0079,0.0769,0.0973,0.1471,0.0068,0.0226,0.0962,0.1482,0.5633,1.0000,0.0984,0.0814,0.0882,0.0102,0.0011,0.0034,0.0000,0.0000,0.0113
phys/physics_elasticity,0.0000,0.0271,0.0000,0.0192,0.0758,0.0769,0.0860,0.0034,0.0124,0.0000,0.0249,0.0000,0.0057,0.0023,0.0000,0.0102,0.0057,0.0735,0.0611,0.0577,0.0057,0.0170,0.0170,0.0260,0.1018,0.0984,1.0000,0.0814,0.0792,0.0023,0.0102,0.0023,0.0023,0.0158,0.0136
phys/physics_solubility,0.0000,0.0170,0.0000,0.0158,0.0837,0.0633,0.0803,0.0023,0.0204,0.0000,0.0226,0.0000,0.0057,0.0079,0.0000,0.0204,0.0045,0.0611,0.0554,0.0520,0.0034,0.0079,0.0271,0.0294,0.0995,0.0814,0.0814,1.0000,0.1041,0.0011,0.0045,0.0034,0.0011,0.0090,0.0124
phys/physics_temperature,0.0000,0.0215,0.0000,0.0170,0.0905,0.0735,0.0837,0.0045,0.0147,0.0011,0.0181,0.0000,0.0045,0.0045,0.0000,0.0079,0.0011,0.0498,0.0430,0.0713,0.0000,0.0045,0.0204,0.0430,0.0928,0.0882,0.0792,0.1041,1.0000,0.0023,0.0034,0.0023,0.0000,0.0158,0.0057
Lan/anaphor_gender_agreement,0.0000,0.0000,0.0000,0.0023,0.0079,0.0023,0.0057,0.0011,0.0034,0.0000,0.0000,0.0000,0.0011,0.0034,0.0011,0.0000,0.0023,0.0023,0.0045,0.0023,0.0011,0.0000,0.0034,0.0170,0.0136,0.0102,0.0023,0.0011,0.0023,1.0000,0.0068,0.0079,0.0102,0.0124,0.0045
Lan/det_noun_agreement_with_adjective,0.0000,0.0011,0.0000,0.0011,0.0023,0.0023,0.0034,0.0023,0.0000,0.0000,0.0011,0.0000,0.0011,0.0023,0.0000,0.0011,0.0023,0.0023,0.0045,0.0034,0.0011,0.0023,0.0057,0.0011,0.0034,0.0011,0.0102,0.0045,0.0034,0.0068,1.0000,0.0238,0.0068,0.0577,0.1482
Lan/hypernymy,0.0000,0.0000,0.0000,0.0000,0.0034,0.0011,0.0079,0.0000,0.0023,0.0011,0.0011,0.0011,0.0000,0.0000,0.0011,0.0000,0.0000,0.0011,0.0045,0.0000,0.0000,0.0000,0.0000,0.0023,0.0023,0.0034,0.0023,0.0034,0.0023,0.0079,0.0238,1.0000,0.0000,0.0045,0.0068
Lan/npi,0.0000,0.0011,0.0011,0.0011,0.0023,0.0023,0.0011,0.0023,0.0034,0.0000,0.0000,0.0000,0.0011,0.0000,0.0011,0.0034,0.0023,0.0000,0.0045,0.0023,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000,0.0023,0.0011,0.0000,0.0102,0.0068,0.0000,1.0000,0.0068,0.0023
Lan/subject_verb_agreement,0.0000,0.0011,0.0011,0.0011,0.0011,0.0011,0.0023,0.0045,0.0011,0.0011,0.0000,0.0000,0.0000,0.0023,0.0000,0.0000,0.0023,0.0011,0.0034,0.0000,0.0011,0.0011,0.0011,0.0011,0.0011,0.0000,0.0158,0.0090,0.0158,0.0124,0.0577,0.0045,0.0068,1.0000,0.0328
Lan/wug,0.0023,0.0045,0.0079,0.0034,0.0249,0.0226,0.0181,0.0034,0.0057,0.0000,0.0011,0.0000,0.0023,0.0034,0.0011,0.0011,0.0023,0.0000,0.0057,0.0011,0.0000,0.0000,0.0045,0.0057,0.0147,0.0113,0.0136,0.0124,0.0057,0.0045,0.1482,0.0068,0.0023,0.0328,1.0000
