,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_syllogism_1,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_elasticity,phys/physics_solubility,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,0.000000,0.137090,0.274679,0.063628,0.001016,0.001131,0.000000,0.052083,0.000000,0.134978,0.073095,0.105984,0.067180,0.001804,0.084140,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002620
MD/add_sub_2op_verbal,0.137090,0.000000,0.138560,0.062529,0.013327,0.007895,0.009477,0.071983,0.001624,0.069414,0.129021,0.073088,0.086485,0.006463,0.092277,0.001474,0.002634,0.009507,0.003010,0.005338,0.000741,0.001547,0.003264,0.004063,0.008101,0.008508,0.015934,0.010234,0.013870,0.000000,0.000686,0.000000,0.005839,0.001529,0.004489
MD/add_sub_3op_symbolic,0.274679,0.138560,0.000000,0.070221,0.002023,0.001777,0.000872,0.058685,0.000000,0.110330,0.064564,0.094833,0.066815,0.004478,0.088707,0.000000,0.000000,0.000000,0.001188,0.000000,0.000000,0.000678,0.000000,0.000536,0.000381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007915,0.002072,0.010684
MD/code_A,0.063628,0.062529,0.070221,0.000000,0.019037,0.045927,0.014408,0.147501,0.027125,0.071580,0.059179,0.075933,0.089795,0.024633,0.101907,0.006582,0.001125,0.011013,0.010790,0.007719,0.004090,0.003211,0.006965,0.008703,0.011870,0.012466,0.010084,0.008496,0.009796,0.003464,0.000613,0.000000,0.005215,0.001365,0.003030
MD/code_B,0.001016,0.013327,0.002023,0.019037,0.000000,0.081638,0.161178,0.005720,0.021783,0.001235,0.014044,0.001598,0.014248,0.065657,0.002688,0.016352,0.010424,0.034001,0.022236,0.030333,0.004631,0.003129,0.025309,0.050579,0.085959,0.087207,0.045073,0.050956,0.059043,0.013471,0.001450,0.015643,0.012346,0.001546,0.025121
MD/code_conditional,0.001131,0.007895,0.001777,0.045927,0.081638,0.000000,0.072602,0.004773,0.109664,0.000336,0.011013,0.000000,0.006801,0.049295,0.001671,0.029266,0.007345,0.047917,0.050939,0.053159,0.017123,0.012748,0.024487,0.044867,0.056592,0.061486,0.050878,0.042878,0.053354,0.004364,0.001614,0.005631,0.013737,0.001720,0.025369
MD/code_list,0.000000,0.009477,0.000872,0.014408,0.161178,0.072602,0.000000,0.004041,0.016395,0.000674,0.011592,0.000329,0.010846,0.056145,0.000000,0.013761,0.013974,0.036892,0.025593,0.035485,0.005744,0.004422,0.024360,0.051830,0.092084,0.091461,0.054601,0.052197,0.058305,0.010378,0.002289,0.038808,0.006305,0.003451,0.019497
MD/code_loop,0.052083,0.071983,0.058685,0.147501,0.005720,0.004773,0.004041,0.000000,0.008962,0.095713,0.090699,0.106799,0.119501,0.028608,0.131645,0.001601,0.006254,0.000875,0.002081,0.000642,0.000000,0.002485,0.002622,0.001964,0.002340,0.001940,0.003211,0.002224,0.004663,0.002979,0.002304,0.000000,0.019610,0.010045,0.005448
MD/logic_syllogism_1,0.000000,0.001624,0.000000,0.027125,0.021783,0.109664,0.016395,0.008962,0.000000,0.000815,0.001749,0.000000,0.010911,0.057596,0.001635,0.096253,0.028116,0.045789,0.094071,0.075083,0.024980,0.028049,0.051446,0.034425,0.033113,0.038069,0.019888,0.033499,0.025868,0.015638,0.000000,0.028543,0.049229,0.004170,0.015511
MD/mul_div_2op_symbolic,0.134978,0.069414,0.110330,0.071580,0.001235,0.000336,0.000674,0.095713,0.000815,0.000000,0.117424,0.197672,0.066407,0.001657,0.123647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000525,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000744,0.000000,0.000000,0.005247,0.000000,0.001603,0.000000
