,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_syllogism_1,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_elasticity,phys/physics_solubility,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/mul_div_2op_verbal,0.073095,0.129021,0.064564,0.059179,0.014044,0.011013,0.011592,0.090699,0.001749,0.117424,0.000000,0.130415,0.075248,0.008818,0.110167,0.001587,0.007031,0.008426,0.004186,0.004850,0.000798,0.001127,0.003086,0.003059,0.009028,0.009481,0.015769,0.014653,0.012576,0.000000,0.000739,0.005390,0.000000,0.000000,0.001182
MD/mul_div_3op_symbolic,0.105984,0.073088,0.094833,0.075933,0.001598,0.000000,0.000329,0.106799,0.000000,0.197672,0.130415,0.000000,0.075917,0.001692,0.128802,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000536,0.000000,0.000424,0.000301,0.000316,0.000000,0.000000,0.000000,0.000000,0.000000,0.005359,0.000000,0.000000,0.000000
MD/number_sequence,0.067180,0.086485,0.066815,0.089795,0.014248,0.006801,0.010846,0.119501,0.010911,0.066407,0.075248,0.075917,0.000000,0.089257,0.107811,0.011757,0.013369,0.003825,0.005168,0.004924,0.005201,0.007967,0.006351,0.011171,0.003948,0.004146,0.005753,0.005890,0.004983,0.003184,0.001177,0.000000,0.010023,0.000000,0.003939
MD/number_sorting,0.001804,0.006463,0.004478,0.024633,0.065657,0.049295,0.056145,0.028608,0.057596,0.001657,0.008818,0.001692,0.089257,0.000000,0.009831,0.046175,0.071798,0.031042,0.033403,0.034248,0.046322,0.034330,0.031792,0.056451,0.038422,0.043776,0.007503,0.026384,0.016106,0.031805,0.007957,0.000000,0.000000,0.017733,0.018818
MD/simple_equation,0.084140,0.092277,0.088707,0.101907,0.002688,0.001671,0.000000,0.131645,0.001635,0.123647,0.110167,0.128802,0.107811,0.009831,0.000000,0.000480,0.000000,0.000000,0.000422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000283,0.000000,0.000000,0.000000,0.000000,0.001867,0.000000,0.005037,0.005877,0.000000,0.001105
ToM/agent,0.000000,0.001474,0.000000,0.006582,0.016352,0.029266,0.013761,0.001601,0.096253,0.000000,0.001587,0.000000,0.011757,0.046175,0.000480,0.000000,0.134420,0.011275,0.023097,0.024077,0.093124,0.072372,0.184792,0.111010,0.021780,0.026423,0.010042,0.020562,0.008533,0.000000,0.001148,0.000000,0.030217,0.000000,0.001837
ToM/desires_goals,0.000000,0.002634,0.000000,0.001125,0.010424,0.007345,0.013974,0.006254,0.028116,0.000000,0.007031,0.000000,0.013369,0.071798,0.000000,0.134420,0.000000,0.014894,0.007585,0.009156,0.134632,0.163831,0.146961,0.073798,0.011531,0.009379,0.014825,0.011983,0.003139,0.017155,0.006344,0.000000,0.054005,0.014139,0.010150
ToM/emotion_fewshot,0.000000,0.009507,0.000000,0.011013,0.034001,0.047917,0.036892,0.000875,0.045789,0.000000,0.008426,0.000000,0.003825,0.031042,0.000000,0.011275,0.014894,0.000000,0.097295,0.091952,0.093238,0.091544,0.022752,0.022555,0.048632,0.039473,0.082654,0.070347,0.061444,0.007417,0.002743,0.009571,0.000000,0.002924,0.000000
ToM/norm_appropriate,0.000000,0.003010,0.001188,0.010790,0.022236,0.050939,0.025593,0.002081,0.094071,0.000000,0.004186,0.000000,0.005168,0.033403,0.000422,0.023097,0.007585,0.097295,0.000000,0.201922,0.021308,0.030269,0.028987,0.019739,0.039570,0.038436,0.052877,0.049087,0.040829,0.011168,0.004130,0.030132,0.035157,0.006955,0.008369
ToM/norm_moral,0.000000,0.005338,0.000000,0.007719,0.030333,0.053159,0.035485,0.000642,0.075083,0.000000,0.004850,0.000000,0.004924,0.034248,0.000000,0.024077,0.009156,0.091952,0.201922,0.000000,0.025594,0.036120,0.038560,0.032527,0.049859,0.055373,0.047584,0.043906,0.064514,0.005439,0.002974,0.000000,0.017123,0.000000,0.001539
ToM/primary_emotions,0.000000,0.000741,0.000000,0.004090,0.004631,0.017123,0.005744,0.000000,0.024980,0.000000,0.000798,0.000000,0.005201,0.046322,0.000000,0.093124,0.134632,0.093238,0.021308,0.025594,0.000000,0.343996,0.077916,0.066674,0.004520,0.004747,0.008717,0.005323,0.000000,0.004824,0.001784,0.000000,0.000000,0.003976,0.000000
ToM/secondary_emotions,0.000571,0.001547,0.000678,0.003211,0.003129,0.012748,0.004422,0.002485,0.028049,0.000525,0.001127,0.000536,0.007967,0.034330,0.000000,0.072372,0.163831,0.091544,0.030269,0.036120,0.343996,0.000000,0.065588,0.037912,0.010150,0.010660,0.017566,0.008358,0.005102,0.000000,0.002520,0.000000,0.000000,0.002687,0.000000
ToM/social_interactions,0.000000,0.003264,0.000000,0.006965,0.025309,0.024487,0.024360,0.002622,0.051446,0.000000,0.003086,0.000000,0.006351,0.031792,0.000000,0.184792,0.146961,0.022752,0.028987,0.038560,0.077916,0.065588,0.000000,0.108243,0.033617,0.036169,0.014003,0.022854,0.018436,0.008031,0.004979,0.000000,0.000000,0.002142,0.006289
ToM/social_relations,0.000000,0.004063,0.000536,0.008703,0.050579,0.044867,0.051830,0.001964,0.034425,0.000000,0.003059,0.000424,0.011171,0.056451,0.000000,0.111010,0.073798,0.022555,0.019739,0.032527,0.066674,0.037912,0.108243,0.000000,0.054585,0.055237,0.021231,0.024579,0.038524,0.039808,0.000953,0.014531,0.000000,0.002123,0.007897
phys/phys_newton,0.000000,0.008101,0.000381,0.011870,0.085959,0.056592,0.092084,0.002340,0.033113,0.000000,0.009028,0.000301,0.003948,0.038422,0.000283,0.021780,0.011531,0.048632,0.039570,0.049859,0.004520,0.010150,0.033617,0.054585,0.000000,0.149229,0.059083,0.059125,0.059094,0.022635,0.002093,0.010328,0.005763,0.001509,0.014475
phys/phys_prost,0.000000,0.008508,0.000000,0.012466,0.087207,0.061486,0.091461,0.001940,0.038069,0.000000,0.009481,0.000316,0.004146,0.043776,0.000000,0.026423,0.009379,0.039473,0.038436,0.055373,0.004747,0.010660,0.036169,0.055237,0.149229,0.000000,0.059977,0.050797,0.058984,0.017829,0.000711,0.016035,0.000000,0.000000,0.011686
phys/physics_elasticity,0.000000,0.015934,0.000000,0.010084,0.045073,0.050878,0.054601,0.003211,0.019888,0.000000,0.015769,0.000000,0.005753,0.007503,0.000000,0.010042,0.014825,0.082654,0.052877,0.047584,0.008717,0.017566,0.014003,0.021231,0.059083,0.059977,0.000000,0.111288,0.116037,0.008807,0.014445,0.023764,0.027726,0.049868,0.030812
phys/physics_solubility,0.000000,0.010234,0.000000,0.008496,0.050956,0.042878,0.052197,0.002224,0.033499,0.000000,0.014653,0.000000,0.005890,0.026384,0.000000,0.020562,0.011983,0.070347,0.049087,0.043906,0.005323,0.008358,0.022854,0.024579,0.059125,0.050797,0.111288,0.000000,0.156153,0.004313,0.006525,0.035966,0.013576,0.029083,0.028763
phys/physics_temperature,0.000000,0.013870,0.000000,0.009796,0.059043,0.053354,0.058305,0.004663,0.025868,0.000744,0.012576,0.000000,0.004983,0.016106,0.000000,0.008533,0.003139,0.061444,0.040829,0.064514,0.000000,0.005102,0.018436,0.038524,0.059094,0.058984,0.116037,0.156153,0.000000,0.009663,0.005283,0.026073,0.000000,0.054714,0.014169
Lan/anaphor_gender_agreement,0.000000,0.000000,0.000000,0.003464,0.013471,0.004364,0.010378,0.002979,0.015638,0.000000,0.000000,0.000000,0.003184,0.031805,0.001867,0.000000,0.017155,0.007417,0.011168,0.005439,0.004824,0.000000,0.008031,0.039808,0.022635,0.017829,0.008807,0.004313,0.009663,0.000000,0.027615,0.234067,0.352610,0.112231,0.029237
Lan/det_noun_agreement_with_adjective,0.000000,0.000686,0.000000,0.000613,0.001450,0.001614,0.002289,0.002304,0.000000,0.000000,0.000739,0.000000,0.001177,0.007957,0.000000,0.001148,0.006344,0.002743,0.004130,0.002974,0.001784,0.002520,0.004979,0.000953,0.002093,0.000711,0.014445,0.006525,0.005283,0.027615,0.000000,0.260780,0.086933,0.193131,0.356080
Lan/hypernymy,0.000000,0.000000,0.000000,0.000000,0.015643,0.005631,0.038808,0.000000,0.028543,0.005247,0.005390,0.005359,0.000000,0.000000,0.005037,0.000000,0.000000,0.009571,0.030132,0.000000,0.000000,0.000000,0.000000,0.014531,0.010328,0.016035,0.023764,0.035966,0.026073,0.234067,0.260780,0.000000,0.000000,0.109892,0.119202
Lan/npi,0.000000,0.005839,0.007915,0.005215,0.012346,0.013737,0.006305,0.019610,0.049229,0.000000,0.000000,0.000000,0.010023,0.000000,0.005877,0.030217,0.054005,0.000000,0.035157,0.017123,0.000000,0.000000,0.000000,0.000000,0.005763,0.000000,0.027726,0.013576,0.000000,0.352610,0.086933,0.000000,0.000000,0.193750,0.047042
Lan/subject_verb_agreement,0.000000,0.001529,0.002072,0.001365,0.001546,0.001720,0.003451,0.010045,0.004170,0.001603,0.000000,0.000000,0.000000,0.017733,0.000000,0.000000,0.014139,0.002924,0.006955,0.000000,0.003976,0.002687,0.002142,0.002123,0.001509,0.000000,0.049868,0.029083,0.054714,0.112231,0.193131,0.109892,0.193750,0.000000,0.175642
Lan/wug,0.002620,0.004489,0.010684,0.003030,0.025121,0.025369,0.019497,0.005448,0.015511,0.000000,0.001182,0.000000,0.003939,0.018818,0.001105,0.001837,0.010150,0.000000,0.008369,0.001539,0.000000,0.000000,0.006289,0.007897,0.014475,0.011686,0.030812,0.028763,0.014169,0.029237,0.356080,0.119202,0.047042,0.175642,0.000000
