,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_syllogism_1,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_elasticity,phys/physics_solubility,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,0.000000,0.066340,0.102705,0.047610,0.020757,0.019564,0.019635,0.061108,0.013758,0.087814,0.054261,0.078405,0.037936,0.016923,0.070864,0.005672,0.007057,0.020280,0.017534,0.016140,0.004890,0.005363,0.007190,0.009385,0.013724,0.013532,0.024130,0.021011,0.027158,0.016273,0.014124,0.019933,0.015650,0.016670,0.026604
MD/add_sub_2op_verbal,0.066340,0.000000,0.063795,0.040976,0.025325,0.023325,0.025378,0.049669,0.017794,0.058391,0.080619,0.060704,0.036522,0.022761,0.056985,0.009477,0.012548,0.025914,0.022703,0.021161,0.008291,0.009359,0.011882,0.014122,0.018863,0.018374,0.027953,0.025439,0.032467,0.017994,0.015372,0.018711,0.020466,0.016458,0.023861
MD/add_sub_3op_symbolic,0.102705,0.063795,0.000000,0.045314,0.018392,0.017638,0.017693,0.060688,0.014723,0.077163,0.056160,0.083449,0.035441,0.019981,0.069825,0.004760,0.006361,0.022570,0.018321,0.018154,0.004664,0.005106,0.006032,0.008459,0.012000,0.012302,0.027389,0.022595,0.030045,0.018832,0.015809,0.023142,0.016437,0.018372,0.025682
MD/code_A,0.047610,0.040976,0.045314,0.000000,0.033980,0.064975,0.032094,0.111546,0.028333,0.047716,0.037881,0.049125,0.036207,0.026199,0.052218,0.013444,0.010236,0.023798,0.022466,0.021750,0.009483,0.009887,0.013890,0.016176,0.023669,0.024241,0.023814,0.023846,0.023964,0.012316,0.010296,0.013123,0.015040,0.013525,0.020861
MD/code_B,0.020757,0.025325,0.018392,0.033980,0.000000,0.054488,0.122862,0.020930,0.034166,0.019548,0.024513,0.017306,0.030131,0.036337,0.022582,0.024802,0.021170,0.026700,0.023979,0.025574,0.013881,0.014754,0.024745,0.031719,0.053562,0.051233,0.026068,0.027943,0.026999,0.018613,0.016362,0.020680,0.020310,0.014740,0.034846
MD/code_conditional,0.019564,0.023325,0.017638,0.064975,0.054488,0.000000,0.052309,0.020356,0.055876,0.018379,0.022119,0.016435,0.023130,0.035543,0.021944,0.027596,0.022511,0.035985,0.037936,0.037236,0.019246,0.020612,0.027676,0.029098,0.042203,0.042737,0.031464,0.032967,0.030536,0.017220,0.013814,0.016291,0.024420,0.015936,0.028437
MD/code_list,0.019635,0.025378,0.017693,0.032094,0.122862,0.052309,0.000000,0.020828,0.032576,0.018669,0.023678,0.016996,0.026479,0.037623,0.022274,0.021612,0.020562,0.027978,0.024953,0.027083,0.014710,0.014709,0.023935,0.029406,0.049636,0.047217,0.028402,0.029681,0.030197,0.020845,0.017825,0.025108,0.023789,0.018131,0.035124
MD/code_loop,0.061108,0.049669,0.060688,0.111546,0.020930,0.020356,0.020828,0.000000,0.017159,0.064644,0.050118,0.066436,0.037495,0.024804,0.065668,0.007064,0.008055,0.020925,0.018029,0.016349,0.006069,0.005946,0.008367,0.009232,0.012882,0.013262,0.026873,0.024954,0.027528,0.018844,0.017337,0.022955,0.018935,0.020175,0.024768
MD/logic_syllogism_1,0.013758,0.017794,0.014723,0.028333,0.034166,0.055876,0.032576,0.017159,0.000000,0.012444,0.018224,0.013312,0.032380,0.042558,0.019679,0.055895,0.039813,0.031331,0.041889,0.039735,0.034217,0.034280,0.043491,0.043817,0.038276,0.040953,0.025322,0.030874,0.022471,0.018863,0.013493,0.015057,0.035208,0.017295,0.024737
MD/mul_div_2op_symbolic,0.087814,0.058391,0.077163,0.047716,0.019548,0.018379,0.018669,0.064644,0.012444,0.000000,0.060903,0.099866,0.036041,0.013867,0.076188,0.004378,0.006162,0.020191,0.017530,0.015123,0.004277,0.004390,0.005843,0.008887,0.013660,0.013796,0.027522,0.020688,0.029162,0.018542,0.016948,0.021992,0.012408,0.019165,0.027702
MD/mul_div_2op_verbal,0.054261,0.080619,0.056160,0.037881,0.024513,0.022119,0.023678,0.050118,0.018224,0.060903,0.000000,0.066050,0.033874,0.023582,0.054967,0.009975,0.014378,0.026243,0.022366,0.021928,0.010107,0.011128,0.011995,0.014590,0.018053,0.018018,0.030414,0.026281,0.032410,0.021000,0.016909,0.021669,0.023211,0.020465,0.021913
MD/mul_div_3op_symbolic,0.078405,0.060704,0.083449,0.049125,0.017306,0.016435,0.016996,0.066436,0.013312,0.099866,0.066050,0.000000,0.040365,0.019353,0.076156,0.005183,0.007704,0.019748,0.017074,0.015520,0.005301,0.005453,0.006248,0.007850,0.011122,0.011121,0.024053,0.021612,0.027464,0.019263,0.013315,0.022568,0.018661,0.015665,0.021121
MD/number_sequence,0.037936,0.036522,0.035441,0.036207,0.030131,0.023130,0.026479,0.037495,0.032380,0.036041,0.033874,0.040365,0.000000,0.051468,0.043550,0.038889,0.053371,0.019955,0.020817,0.021962,0.034579,0.037532,0.032902,0.036450,0.024830,0.024036,0.017434,0.020692,0.017289,0.016106,0.011521,0.010392,0.025574,0.014347,0.020302
MD/number_sorting,0.016923,0.022761,0.019981,0.026199,0.036337,0.035543,0.037623,0.024804,0.042558,0.013867,0.023582,0.019353,0.051468,0.000000,0.024007,0.036073,0.054270,0.024721,0.026409,0.027789,0.037697,0.036604,0.032650,0.035476,0.034579,0.033293,0.023770,0.028863,0.026007,0.026345,0.017095,0.021277,0.033674,0.021017,0.027386
MD/simple_equation,0.070864,0.056985,0.069825,0.052218,0.022582,0.021944,0.022274,0.065668,0.019679,0.076188,0.054967,0.076156,0.043550,0.024007,0.000000,0.010012,0.010758,0.021799,0.020265,0.017458,0.008008,0.008491,0.010521,0.012725,0.016299,0.016441,0.024092,0.022763,0.025890,0.015661,0.012477,0.016692,0.016210,0.015289,0.021238
ToM/agent,0.005672,0.009477,0.004760,0.013444,0.024802,0.027596,0.021612,0.007064,0.055895,0.004378,0.009975,0.005183,0.038889,0.036073,0.010012,0.000000,0.070077,0.023689,0.029507,0.030242,0.068602,0.059360,0.121235,0.095475,0.037252,0.038058,0.018824,0.025144,0.014300,0.016941,0.011498,0.008248,0.027732,0.012191,0.016794
ToM/desires_goals,0.007057,0.012548,0.006361,0.010236,0.021170,0.022511,0.020562,0.008055,0.039813,0.006162,0.014378,0.007704,0.053371,0.054270,0.010758,0.070077,0.000000,0.022870,0.024846,0.028256,0.075930,0.089129,0.070596,0.064088,0.031796,0.029425,0.018734,0.022379,0.017022,0.028988,0.016588,0.014277,0.039619,0.020996,0.019428
ToM/emotion_fewshot,0.020280,0.025914,0.022570,0.023798,0.026700,0.035985,0.027978,0.020925,0.031331,0.020191,0.026243,0.019748,0.019955,0.024721,0.021799,0.023689,0.022870,0.000000,0.064893,0.060923,0.033121,0.036882,0.026564,0.024014,0.029006,0.030145,0.050834,0.046498,0.045156,0.025740,0.018455,0.030280,0.022450,0.020077,0.020265
ToM/norm_appropriate,0.017534,0.022703,0.018321,0.022466,0.023979,0.037936,0.024953,0.018029,0.041889,0.017530,0.022366,0.017074,0.020817,0.026409,0.020265,0.029507,0.024846,0.064893,0.000000,0.100095,0.027902,0.031440,0.033432,0.028814,0.029756,0.030454,0.041724,0.039357,0.036066,0.021287,0.017406,0.024023,0.025433,0.020600,0.020693
ToM/norm_moral,0.016140,0.021161,0.018154,0.021750,0.025574,0.037236,0.027083,0.016349,0.039735,0.015123,0.021928,0.015520,0.021962,0.027789,0.017458,0.030242,0.028256,0.060923,0.100095,0.000000,0.026985,0.029174,0.034298,0.029878,0.031316,0.032369,0.040232,0.041810,0.040986,0.021661,0.016838,0.025030,0.026380,0.019919,0.020646
ToM/primary_emotions,0.004890,0.008291,0.004664,0.009483,0.013881,0.019246,0.014710,0.006069,0.034217,0.004277,0.010107,0.005301,0.034579,0.037697,0.008008,0.068602,0.075930,0.033121,0.027902,0.026985,0.000000,0.218642,0.072185,0.065783,0.023523,0.023707,0.016438,0.018344,0.012403,0.020252,0.011480,0.011881,0.027630,0.016636,0.013136
ToM/secondary_emotions,0.005363,0.009359,0.005106,0.009887,0.014754,0.020612,0.014709,0.005946,0.034280,0.004390,0.011128,0.005453,0.037532,0.036604,0.008491,0.059360,0.089129,0.036882,0.031440,0.029174,0.218642,0.000000,0.065423,0.052304,0.024176,0.023202,0.019232,0.020223,0.014842,0.019037,0.009683,0.010961,0.027037,0.014245,0.011392
ToM/social_interactions,0.007190,0.011882,0.006032,0.013890,0.024745,0.027676,0.023935,0.008367,0.043491,0.005843,0.011995,0.006248,0.032902,0.032650,0.010521,0.121235,0.070596,0.026564,0.033432,0.034298,0.072185,0.065423,0.000000,0.077762,0.035629,0.036131,0.021520,0.023677,0.017136,0.018975,0.012424,0.010290,0.024366,0.013636,0.017354
ToM/social_relations,0.009385,0.014122,0.008459,0.016176,0.031719,0.029098,0.029406,0.009232,0.043817,0.008887,0.014590,0.007850,0.036450,0.035476,0.012725,0.095475,0.064088,0.024014,0.028814,0.029878,0.065783,0.052304,0.077762,0.000000,0.041921,0.040452,0.022103,0.024357,0.020128,0.021452,0.013693,0.011078,0.023704,0.015495,0.020108
phys/phys_newton,0.013724,0.018863,0.012000,0.023669,0.053562,0.042203,0.049636,0.012882,0.038276,0.013660,0.018053,0.011122,0.024830,0.034579,0.016299,0.037252,0.031796,0.029006,0.029756,0.031316,0.023523,0.024176,0.035629,0.041921,0.000000,0.117393,0.029750,0.030241,0.026566,0.018631,0.018815,0.026387,0.017754,0.016105,0.030626
phys/phys_prost,0.013532,0.018374,0.012302,0.024241,0.051233,0.042737,0.047217,0.013262,0.040953,0.013796,0.018018,0.011121,0.024036,0.033293,0.016441,0.038058,0.029425,0.030145,0.030454,0.032369,0.023707,0.023202,0.036131,0.040452,0.117393,0.000000,0.031261,0.030843,0.028504,0.018974,0.018540,0.026710,0.017337,0.015621,0.030319
phys/physics_elasticity,0.024130,0.027953,0.027389,0.023814,0.026068,0.031464,0.028402,0.026873,0.025322,0.027522,0.030414,0.024053,0.017434,0.023770,0.024092,0.018824,0.018734,0.050834,0.041724,0.040232,0.016438,0.019232,0.021520,0.022103,0.029750,0.031261,0.000000,0.064391,0.063612,0.023978,0.024179,0.041332,0.024102,0.030405,0.028650
phys/physics_solubility,0.021011,0.025439,0.022595,0.023846,0.027943,0.032967,0.029681,0.024954,0.030874,0.020688,0.026281,0.021612,0.020692,0.028863,0.022763,0.025144,0.022379,0.046498,0.039357,0.041810,0.018344,0.020223,0.023677,0.024357,0.030241,0.030843,0.064391,0.000000,0.068027,0.023582,0.021944,0.040064,0.022697,0.028408,0.027806
phys/physics_temperature,0.027158,0.032467,0.030045,0.023964,0.026999,0.030536,0.030197,0.027528,0.022471,0.029162,0.032410,0.027464,0.017289,0.026007,0.025890,0.014300,0.017022,0.045156,0.036066,0.040986,0.012403,0.014842,0.017136,0.020128,0.026566,0.028504,0.063612,0.068027,0.000000,0.028519,0.024158,0.047733,0.025353,0.031607,0.028295
Lan/anaphor_gender_agreement,0.016273,0.017994,0.018832,0.012316,0.018613,0.017220,0.020845,0.018844,0.018863,0.018542,0.021000,0.019263,0.016106,0.026345,0.015661,0.016941,0.028988,0.025740,0.021287,0.021661,0.020252,0.019037,0.018975,0.021452,0.018631,0.018974,0.023978,0.023582,0.028519,0.000000,0.090235,0.103343,0.093810,0.089557,0.038325
Lan/det_noun_agreement_with_adjective,0.014124,0.015372,0.015809,0.010296,0.016362,0.013814,0.017825,0.017337,0.013493,0.016948,0.016909,0.013315,0.011521,0.017095,0.012477,0.011498,0.016588,0.018455,0.017406,0.016838,0.011480,0.009683,0.012424,0.013693,0.018815,0.018540,0.024179,0.021944,0.024158,0.090235,0.000000,0.124190,0.072352,0.142877,0.111950
