,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/mul_div_3op_verbal,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/simple_equation,0.5854,0.4196,0.5017,0.3663,0.4019,0.0110,0.0059,0.0068,0.4585,0.0000,0.0025,0.0025,0.0059,0.5846,0.4442,0.5812,0.4222,0.0922,0.0313,1.0000,0.0017,0.0017,0.0042,0.0034,0.0042,0.0000,0.0008,0.0017,0.0025,0.0034,0.0034,0.0051,0.0068,0.0059,0.0051,0.0042,0.0051,0.0051,0.0017,0.0034,0.0025,0.0017,0.0025,0.0017,0.0017,0.0034
ToM/agent,0.0068,0.0042,0.0034,0.0042,0.0161,0.0186,0.0313,0.0212,0.0034,0.0296,0.0415,0.0440,0.0313,0.0000,0.0025,0.0025,0.0025,0.0127,0.0237,0.0017,1.0000,0.0804,0.0262,0.0330,0.0448,0.1201,0.0888,0.1777,0.2843,0.0245,0.0178,0.0195,0.0364,0.0262,0.0195,0.0220,0.0245,0.0254,0.0076,0.0034,0.0017,0.0000,0.0017,0.0017,0.0008,0.0059
ToM/desires_goals,0.0059,0.0059,0.0017,0.0076,0.0118,0.0245,0.0220,0.0288,0.0051,0.0118,0.0161,0.0279,0.0135,0.0017,0.0059,0.0017,0.0051,0.0245,0.0118,0.0017,0.0804,1.0000,0.0127,0.0152,0.0237,0.0719,0.1591,0.1616,0.0812,0.0279,0.0271,0.0186,0.0169,0.0152,0.0195,0.0144,0.0144,0.0186,0.0051,0.0008,0.0025,0.0017,0.0008,0.0042,0.0034,0.0051
ToM/emotion_fewshot,0.0093,0.0347,0.0008,0.0355,0.0609,0.1379,0.1151,0.1540,0.0034,0.0051,0.0102,0.0415,0.0482,0.0068,0.0423,0.0059,0.0482,0.0051,0.0288,0.0042,0.0262,0.0127,1.0000,0.1303,0.1201,0.0169,0.0135,0.0212,0.0254,0.1371,0.1371,0.1210,0.1354,0.1201,0.1151,0.1413,0.1311,0.1134,0.0059,0.0102,0.0118,0.0110,0.0203,0.0008,0.0042,0.0144
ToM/norm_appropriate,0.0076,0.0169,0.0042,0.0237,0.0533,0.1100,0.1286,0.1235,0.0042,0.0195,0.0245,0.0821,0.0567,0.0085,0.0169,0.0068,0.0262,0.0085,0.0355,0.0034,0.0330,0.0152,0.1303,1.0000,0.2369,0.0152,0.0161,0.0245,0.0262,0.1142,0.1193,0.1337,0.1489,0.1058,0.1125,0.1201,0.2496,0.1303,0.0034,0.0161,0.0118,0.0135,0.0127,0.0034,0.0076,0.0220
ToM/norm_moral,0.0076,0.0203,0.0025,0.0186,0.0592,0.1142,0.1320,0.1303,0.0051,0.0389,0.0541,0.0821,0.0753,0.0059,0.0178,0.0051,0.0271,0.0144,0.0431,0.0042,0.0448,0.0237,0.1201,0.2369,1.0000,0.0296,0.0338,0.0423,0.0491,0.1421,0.1404,0.1151,0.1675,0.1091,0.1379,0.1176,0.2335,0.1565,0.0051,0.0093,0.0076,0.0068,0.0093,0.0017,0.0059,0.0271
ToM/primary_emotions,0.0034,0.0008,0.0008,0.0025,0.0085,0.0034,0.0144,0.0025,0.0017,0.0135,0.0212,0.0288,0.0093,0.0008,0.0034,0.0008,0.0017,0.0195,0.0102,0.0000,0.1201,0.0719,0.0169,0.0152,0.0296,1.0000,0.1870,0.0888,0.0854,0.0085,0.0068,0.0076,0.0203,0.0068,0.0085,0.0178,0.0127,0.0076,0.0017,0.0017,0.0008,0.0000,0.0000,0.0051,0.0017,0.0017
ToM/secondary_emotions,0.0034,0.0034,0.0000,0.0042,0.0076,0.0203,0.0203,0.0195,0.0025,0.0110,0.0220,0.0271,0.0110,0.0000,0.0017,0.0000,0.0017,0.0203,0.0068,0.0008,0.0888,0.1591,0.0135,0.0161,0.0338,0.1870,1.0000,0.1303,0.0711,0.0262,0.0220,0.0110,0.0186,0.0102,0.0135,0.0102,0.0127,0.0161,0.0008,0.0008,0.0000,0.0000,0.0000,0.0034,0.0008,0.0017
ToM/social_interactions,0.0059,0.0042,0.0034,0.0076,0.0169,0.0245,0.0296,0.0262,0.0051,0.0220,0.0330,0.0431,0.0254,0.0017,0.0042,0.0008,0.0034,0.0220,0.0144,0.0017,0.1777,0.1616,0.0212,0.0245,0.0423,0.0888,0.1303,1.0000,0.1937,0.0338,0.0288,0.0262,0.0271,0.0212,0.0212,0.0313,0.0305,0.0305,0.0059,0.0068,0.0034,0.0017,0.0017,0.0008,0.0025,0.0008
ToM/social_relations,0.0042,0.0034,0.0025,0.0085,0.0212,0.0415,0.0372,0.0398,0.0025,0.0305,0.0355,0.0355,0.0457,0.0025,0.0051,0.0034,0.0051,0.0178,0.0212,0.0025,0.2843,0.0812,0.0254,0.0262,0.0491,0.0854,0.0711,0.1937,1.0000,0.0499,0.0448,0.0245,0.0431,0.0305,0.0381,0.0254,0.0364,0.0448,0.0085,0.0076,0.0068,0.0034,0.0008,0.0059,0.0034,0.0059
