,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/mul_div_3op_verbal,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,0.000000,0.077197,0.104134,0.069882,0.049319,0.006762,0.004308,0.005267,0.086863,0.002081,0.004436,0.008440,0.006554,0.088932,0.058019,0.084591,0.054910,0.043387,0.024450,0.094874,0.004587,0.004193,0.007131,0.006044,0.005073,0.002690,0.002516,0.003723,0.004857,0.003647,0.003287,0.006655,0.004928,0.005793,0.005575,0.005333,0.005451,0.007217,0.005182,0.002794,0.002332,0.001763,0.008330,0.003896,0.004646,0.007948
MD/add_sub_2op_verbal,0.077197,0.000000,0.070842,0.087241,0.041032,0.017329,0.013861,0.016159,0.058524,0.001952,0.002317,0.011903,0.007938,0.057384,0.075678,0.055073,0.071472,0.035080,0.021262,0.062491,0.004682,0.006738,0.015785,0.011403,0.010349,0.002524,0.003185,0.005891,0.005496,0.011516,0.011882,0.010786,0.011233,0.014035,0.011741,0.014451,0.012219,0.013893,0.006102,0.003324,0.002497,0.002243,0.006735,0.005117,0.003472,0.007967
MD/add_sub_3op_symbolic,0.104134,0.070842,0.000000,0.079978,0.049307,0.007252,0.004838,0.005076,0.084365,0.003283,0.004372,0.007920,0.006799,0.085639,0.057267,0.085597,0.054879,0.038734,0.027937,0.087922,0.005013,0.003963,0.006500,0.006462,0.004611,0.003482,0.002467,0.004359,0.004893,0.003376,0.003032,0.006001,0.005824,0.006846,0.004729,0.006658,0.005141,0.007975,0.006810,0.003009,0.002989,0.002551,0.007683,0.008021,0.004511,0.006953
MD/add_sub_3op_verbal,0.069882,0.087241,0.079978,0.000000,0.038227,0.016093,0.012643,0.014228,0.055396,0.001589,0.003982,0.014424,0.009147,0.056283,0.070088,0.055881,0.069391,0.033498,0.021262,0.060194,0.006030,0.008432,0.017438,0.012707,0.009519,0.005995,0.004696,0.007421,0.007175,0.011137,0.010950,0.013055,0.010917,0.014301,0.011722,0.013234,0.013078,0.015107,0.005539,0.003387,0.002728,0.001885,0.011005,0.002360,0.003199,0.007557
MD/code_A,0.049319,0.041032,0.049307,0.038227,0.000000,0.030817,0.062579,0.025856,0.078389,0.015527,0.013856,0.026591,0.015881,0.047609,0.038978,0.048054,0.038166,0.037851,0.029985,0.052502,0.006293,0.006050,0.017218,0.016758,0.015145,0.004877,0.005249,0.006300,0.007018,0.022075,0.022738,0.015471,0.017122,0.013680,0.012433,0.018411,0.017193,0.013813,0.002786,0.001019,0.000878,0.000428,0.001198,0.005579,0.001990,0.007752
MD/code_B,0.006762,0.017329,0.007252,0.016093,0.030817,0.000000,0.064415,0.117194,0.006596,0.011517,0.017566,0.023151,0.028854,0.006518,0.016261,0.005896,0.016928,0.015523,0.027815,0.007194,0.008229,0.014498,0.036047,0.028573,0.026367,0.003415,0.008755,0.009698,0.013977,0.062291,0.065606,0.030768,0.029041,0.032627,0.032976,0.031262,0.028007,0.034608,0.004615,0.002697,0.002690,0.003062,0.012907,0.003004,0.002949,0.027649
MD/code_conditional,0.004308,0.013861,0.004838,0.012643,0.062579,0.064415,0.000000,0.060679,0.003333,0.037842,0.033806,0.053266,0.036047,0.003915,0.012375,0.003087,0.011114,0.007224,0.028294,0.004443,0.014096,0.012587,0.035493,0.036441,0.033983,0.009813,0.010353,0.011904,0.014410,0.044450,0.045971,0.033259,0.033323,0.027327,0.026261,0.037633,0.037053,0.027327,0.003827,0.002400,0.001492,0.001037,0.005329,0.010819,0.003463,0.021880
MD/code_list,0.005267,0.016159,0.005076,0.014228,0.025856,0.117194,0.060679,0.000000,0.003965,0.011178,0.017926,0.024689,0.031091,0.003833,0.014226,0.003783,0.015588,0.007140,0.022957,0.004353,0.008715,0.015293,0.038137,0.031962,0.028999,0.003379,0.008096,0.010454,0.013699,0.062564,0.067696,0.034728,0.031556,0.033876,0.035296,0.033030,0.031631,0.036478,0.007570,0.003171,0.003678,0.003843,0.016238,0.003538,0.003604,0.027581
MD/code_loop,0.086863,0.058524,0.084365,0.055396,0.078389,0.006596,0.003333,0.003965,0.000000,0.000613,0.004404,0.007089,0.005938,0.092594,0.064086,0.097460,0.068860,0.057866,0.030489,0.101065,0.003454,0.004048,0.004648,0.003934,0.003453,0.002399,0.001854,0.003321,0.003098,0.001777,0.002035,0.003285,0.003614,0.004717,0.003938,0.004053,0.003670,0.004880,0.005118,0.002273,0.002166,0.001387,0.004926,0.005024,0.004631,0.004402
MD/logic_propositional_1,0.002081,0.001952,0.003283,0.001589,0.015527,0.011517,0.037842,0.011178,0.000613,0.000000,0.233586,0.062685,0.139163,0.000860,0.000801,0.000882,0.000626,0.010316,0.019264,0.001092,0.030665,0.017009,0.005632,0.014010,0.025108,0.028640,0.024120,0.023462,0.030554,0.065845,0.051722,0.010713,0.018560,0.006002,0.011584,0.014089,0.019510,0.009570,0.002677,0.000350,0.000000,0.000363,0.000822,0.031527,0.000956,0.001650
MD/logic_propositional_symbolic,0.004436,0.002317,0.004372,0.003982,0.013856,0.017566,0.033806,0.017926,0.004404,0.233586,0.000000,0.049036,0.077777,0.002350,0.000995,0.002586,0.002075,0.033431,0.023505,0.002768,0.036948,0.021179,0.007387,0.017666,0.025580,0.034594,0.032456,0.030415,0.034487,0.055836,0.045553,0.011923,0.018214,0.008827,0.011801,0.013915,0.017814,0.011377,0.005935,0.001846,0.001196,0.000000,0.000694,0.015646,0.003432,0.004504
MD/logic_syllogism_1,0.008440,0.011903,0.007920,0.014424,0.026591,0.023151,0.053266,0.024689,0.007089,0.062685,0.049036,0.000000,0.037852,0.007057,0.009370,0.007124,0.008800,0.015975,0.029424,0.006412,0.030780,0.021179,0.025122,0.036558,0.033900,0.023257,0.021529,0.026292,0.023076,0.025496,0.024391,0.021780,0.027899,0.023936,0.024782,0.035423,0.034423,0.023195,0.010311,0.006612,0.005132,0.005133,0.019002,0.029810,0.008436,0.021339
MD/logic_syllogism_symbolic,0.006554,0.007938,0.006799,0.009147,0.015881,0.028854,0.036047,0.031091,0.005938,0.139163,0.077777,0.037852,0.000000,0.005450,0.007862,0.005267,0.008621,0.010286,0.030476,0.005405,0.019501,0.014121,0.021852,0.024515,0.026889,0.009317,0.009853,0.015385,0.021057,0.048137,0.043368,0.026636,0.024182,0.022246,0.023977,0.022173,0.025542,0.022504,0.011588,0.007653,0.006248,0.005366,0.019279,0.022368,0.010231,0.019602
MD/mul_div_2op_symbolic,0.088932,0.057384,0.085639,0.056283,0.047609,0.006518,0.003915,0.003833,0.092594,0.000860,0.002350,0.007057,0.005450,0.000000,0.083883,0.109762,0.073653,0.044292,0.023760,0.095889,0.003196,0.002670,0.005584,0.005669,0.003997,0.002560,0.001712,0.003125,0.003816,0.002982,0.003215,0.005551,0.004606,0.006318,0.005998,0.004836,0.005034,0.005937,0.004277,0.002499,0.002493,0.002319,0.009956,0.002784,0.003055,0.006149
MD/mul_div_2op_verbal,0.058019,0.075678,0.057267,0.070088,0.038978,0.016261,0.012375,0.014226,0.064086,0.000801,0.000995,0.009370,0.007862,0.083883,0.000000,0.076097,0.092725,0.035784,0.020787,0.066829,0.003978,0.005013,0.016483,0.011386,0.009046,0.002557,0.001291,0.004440,0.005457,0.011541,0.012238,0.010453,0.011289,0.012630,0.012184,0.013490,0.011452,0.012591,0.004926,0.002081,0.001982,0.001563,0.006246,0.003704,0.003144,0.006721
MD/mul_div_3op_symbolic,0.084591,0.055073,0.085597,0.055881,0.048054,0.005896,0.003087,0.003783,0.097460,0.000882,0.002586,0.007124,0.005267,0.109762,0.076097,0.000000,0.080421,0.041882,0.024771,0.098685,0.003149,0.003305,0.006164,0.005816,0.004652,0.002817,0.001590,0.004065,0.003916,0.003148,0.003226,0.005821,0.004913,0.007115,0.004918,0.005062,0.004249,0.006507,0.003464,0.002564,0.002558,0.002254,0.008370,0.004080,0.003464,0.005915
MD/mul_div_3op_verbal,0.054910,0.071472,0.054879,0.069391,0.038166,0.016928,0.011114,0.015588,0.068860,0.000626,0.002075,0.008800,0.008621,0.073653,0.092725,0.080421,0.000000,0.035095,0.021076,0.064332,0.003948,0.006297,0.016668,0.012469,0.010480,0.002261,0.001825,0.004940,0.006183,0.012493,0.013156,0.011874,0.011873,0.014818,0.012461,0.013889,0.013008,0.013740,0.003645,0.001904,0.001254,0.002208,0.006388,0.003788,0.002297,0.007403
MD/number_sequence,0.043387,0.035080,0.038734,0.033498,0.037851,0.015523,0.007224,0.007140,0.057866,0.010316,0.033431,0.015975,0.010286,0.044292,0.035784,0.041882,0.035095,0.000000,0.069954,0.047758,0.020886,0.049192,0.007396,0.011398,0.013787,0.038660,0.040218,0.032850,0.026857,0.003771,0.003341,0.011467,0.010489,0.008896,0.015150,0.010635,0.009294,0.012379,0.015860,0.005561,0.004363,0.001923,0.002051,0.012290,0.008943,0.001267
