,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/mul_div_3op_verbal,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,0.000000,0.043175,0.059453,0.039039,0.032351,0.020520,0.016685,0.018790,0.048230,0.009599,0.012068,0.018282,0.018058,0.057982,0.037591,0.053307,0.037527,0.023086,0.028357,0.052588,0.011303,0.010876,0.019285,0.018385,0.017022,0.009559,0.008508,0.011354,0.012143,0.013644,0.013681,0.018434,0.018182,0.019086,0.018017,0.018828,0.017844,0.020017,0.010599,0.009363,0.009560,0.010342,0.014729,0.012216,0.012871,0.017466
MD/add_sub_2op_verbal,0.043175,0.000000,0.039284,0.054855,0.028013,0.023522,0.019491,0.021514,0.035353,0.010395,0.011710,0.019457,0.018900,0.035844,0.053222,0.035696,0.049590,0.020377,0.025128,0.037625,0.012824,0.011442,0.023024,0.021571,0.019353,0.010153,0.009354,0.011927,0.013519,0.016332,0.017283,0.020032,0.020066,0.021411,0.020859,0.021803,0.020018,0.021701,0.011120,0.010289,0.009840,0.010535,0.015422,0.013211,0.013360,0.020405
MD/add_sub_3op_symbolic,0.059453,0.039284,0.000000,0.044127,0.031419,0.019570,0.017261,0.017858,0.048325,0.009696,0.012094,0.019986,0.018964,0.050639,0.036592,0.053769,0.036592,0.022355,0.031700,0.047656,0.013195,0.010404,0.019241,0.018448,0.017984,0.010190,0.008599,0.012037,0.012790,0.012934,0.013839,0.019656,0.017769,0.019041,0.017334,0.019580,0.018197,0.019423,0.010294,0.009440,0.009700,0.010349,0.015774,0.014072,0.014450,0.017918
MD/add_sub_3op_verbal,0.039039,0.054855,0.044127,0.000000,0.026760,0.021944,0.018826,0.020538,0.035500,0.009864,0.012077,0.019651,0.018794,0.035507,0.048799,0.037519,0.048231,0.020342,0.025969,0.036592,0.013932,0.011891,0.022754,0.021431,0.019852,0.011005,0.010388,0.013168,0.014205,0.015739,0.016460,0.020595,0.019544,0.020672,0.020661,0.022078,0.020771,0.021745,0.010934,0.011402,0.010535,0.011607,0.016700,0.014231,0.013356,0.019412
MD/code_A,0.032351,0.028013,0.031419,0.026760,0.000000,0.030956,0.072927,0.029903,0.064944,0.021174,0.020554,0.028303,0.023058,0.031373,0.026894,0.032767,0.027444,0.019637,0.025747,0.033026,0.014010,0.010399,0.019378,0.020489,0.019134,0.010063,0.009548,0.012989,0.014189,0.024097,0.024935,0.018892,0.019484,0.018683,0.018200,0.020381,0.020428,0.018792,0.007930,0.006573,0.006938,0.007168,0.010606,0.011917,0.009699,0.017828
MD/code_B,0.020520,0.023522,0.019570,0.021944,0.030956,0.000000,0.044191,0.085974,0.019508,0.019622,0.019699,0.022684,0.026208,0.018977,0.021373,0.017754,0.021829,0.015649,0.023927,0.018877,0.015253,0.013308,0.023456,0.022162,0.021669,0.009284,0.010979,0.014517,0.016521,0.036331,0.037645,0.023167,0.023274,0.024450,0.023872,0.021924,0.021675,0.025451,0.011016,0.011102,0.011553,0.013015,0.021257,0.012148,0.012097,0.030092
MD/code_conditional,0.016685,0.019491,0.017261,0.018826,0.072927,0.044191,0.000000,0.045086,0.016191,0.032326,0.028564,0.037180,0.028815,0.014814,0.017216,0.013628,0.016721,0.012591,0.023764,0.016058,0.020214,0.014207,0.022939,0.024881,0.024065,0.014657,0.014662,0.018381,0.019722,0.032490,0.033710,0.022812,0.023707,0.022080,0.022153,0.025082,0.025329,0.022462,0.009606,0.009118,0.009309,0.010246,0.014715,0.016544,0.011787,0.022787
MD/code_list,0.018790,0.021514,0.017858,0.020538,0.029903,0.085974,0.045086,0.000000,0.018168,0.022679,0.021610,0.023686,0.026696,0.017346,0.020397,0.016342,0.020289,0.013455,0.022167,0.017278,0.016690,0.014962,0.023901,0.021898,0.022071,0.010432,0.011777,0.015782,0.017940,0.037775,0.039786,0.023469,0.023535,0.023002,0.023598,0.021013,0.021767,0.025710,0.010984,0.011590,0.012161,0.013683,0.022124,0.013761,0.012591,0.028223
MD/code_loop,0.048230,0.035353,0.048325,0.035500,0.064944,0.019508,0.016191,0.018168,0.000000,0.009997,0.011446,0.018396,0.017691,0.052665,0.039915,0.060775,0.042370,0.024395,0.034496,0.053179,0.010054,0.008131,0.019259,0.016030,0.016692,0.006429,0.006475,0.009284,0.010076,0.011422,0.012363,0.017966,0.017128,0.018223,0.016760,0.019615,0.016051,0.019668,0.009105,0.008197,0.008511,0.009012,0.016750,0.013840,0.015669,0.015744
MD/logic_propositional_1,0.009599,0.010395,0.009696,0.009864,0.021174,0.019622,0.032326,0.022679,0.009997,0.000000,0.116678,0.042244,0.084045,0.005632,0.005636,0.004077,0.005914,0.026510,0.016560,0.007393,0.032843,0.033273,0.007772,0.013301,0.016527,0.032086,0.033172,0.031762,0.031111,0.058910,0.044471,0.012781,0.015507,0.009939,0.013609,0.012181,0.014867,0.009193,0.024127,0.011426,0.010622,0.009995,0.005252,0.031447,0.010004,0.013784
MD/logic_propositional_symbolic,0.012068,0.011710,0.012094,0.012077,0.020554,0.019699,0.028564,0.021610,0.011446,0.116678,0.000000,0.035784,0.044723,0.008077,0.007874,0.007142,0.007799,0.042352,0.021129,0.009929,0.033723,0.040158,0.010579,0.015076,0.018193,0.034665,0.038076,0.033633,0.032724,0.043761,0.036616,0.014810,0.016428,0.012707,0.015008,0.013423,0.016477,0.011229,0.023424,0.011907,0.010086,0.008518,0.006403,0.026087,0.011095,0.013882
MD/logic_syllogism_1,0.018282,0.019457,0.019986,0.019651,0.028303,0.022684,0.037180,0.023686,0.018396,0.042244,0.035784,0.000000,0.029976,0.015987,0.017375,0.016213,0.017748,0.018421,0.024652,0.016577,0.030350,0.022367,0.021901,0.027055,0.026774,0.022453,0.022216,0.026369,0.027780,0.028358,0.027601,0.021051,0.023043,0.020844,0.021191,0.023679,0.025668,0.019150,0.013384,0.011868,0.010541,0.011281,0.014958,0.023845,0.013768,0.019902
MD/logic_syllogism_symbolic,0.018058,0.018900,0.018964,0.018794,0.023058,0.026208,0.028815,0.026696,0.017691,0.084045,0.044723,0.029976,0.000000,0.017526,0.017148,0.017008,0.018347,0.015410,0.024130,0.017805,0.020591,0.016133,0.020968,0.022906,0.022766,0.015310,0.015573,0.018954,0.021313,0.037437,0.033893,0.022174,0.021562,0.021534,0.021539,0.021150,0.022565,0.020840,0.011510,0.011466,0.010581,0.011980,0.017276,0.020361,0.014257,0.022060
MD/mul_div_2op_symbolic,0.057982,0.035844,0.050639,0.035507,0.031373,0.018977,0.014814,0.017346,0.052665,0.005632,0.008077,0.015987,0.017526,0.000000,0.048159,0.070983,0.043573,0.021172,0.028392,0.056972,0.009880,0.009340,0.021910,0.019010,0.017403,0.007844,0.007512,0.009343,0.009990,0.011724,0.012129,0.018703,0.018077,0.019787,0.018292,0.019532,0.017807,0.020890,0.009303,0.009327,0.009115,0.010530,0.017399,0.011544,0.014365,0.017625
MD/mul_div_2op_verbal,0.037591,0.053222,0.036592,0.048799,0.026894,0.021373,0.017216,0.020397,0.039915,0.005636,0.007874,0.017375,0.017148,0.048159,0.000000,0.046561,0.063003,0.018902,0.024155,0.040962,0.010919,0.010727,0.024000,0.020825,0.019470,0.009092,0.008522,0.011213,0.011592,0.015000,0.016223,0.020602,0.019827,0.021982,0.020837,0.021659,0.020567,0.023004,0.010086,0.009904,0.009614,0.010775,0.016785,0.012453,0.013202,0.019344
MD/mul_div_3op_symbolic,0.053307,0.035696,0.053769,0.037519,0.032767,0.017754,0.013628,0.016342,0.060775,0.004077,0.007142,0.016213,0.017008,0.070983,0.046561,0.000000,0.051068,0.020344,0.030961,0.060217,0.009559,0.007842,0.020520,0.018919,0.018029,0.006758,0.005838,0.008952,0.009176,0.010746,0.011665,0.018857,0.017904,0.020443,0.018275,0.019918,0.017430,0.020357,0.008178,0.009050,0.008928,0.009760,0.016654,0.011014,0.013756,0.015343
MD/mul_div_3op_verbal,0.037527,0.049590,0.036592,0.048231,0.027444,0.021829,0.016721,0.020289,0.042370,0.005914,0.007799,0.017748,0.018347,0.043573,0.063003,0.051068,0.000000,0.019478,0.025504,0.040857,0.011142,0.010246,0.022921,0.020619,0.019159,0.008640,0.007975,0.011026,0.011060,0.015032,0.016070,0.021276,0.020319,0.022820,0.020929,0.021860,0.020395,0.022854,0.009078,0.009934,0.009970,0.010705,0.016481,0.012638,0.013830,0.019141
