,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/mul_div_3op_verbal,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,1.0000,0.2215,0.2295,0.1784,0.1894,0.1048,0.0779,0.0922,0.1563,0.0216,0.0302,0.0661,0.0716,0.2403,0.1745,0.2026,0.1724,0.0361,0.0765,0.2233,0.0410,0.0271,0.0729,0.0726,0.0684,0.0241,0.0224,0.0405,0.0421,0.0646,0.0668,0.0714,0.0755,0.0742,0.0706,0.0731,0.0727,0.0758,0.0122,0.0249,0.0259,0.0279,0.0333,0.0222,0.0233,0.0510
MD/add_sub_2op_verbal,0.2215,1.0000,0.1718,0.2840,0.1858,0.1361,0.1031,0.1196,0.1298,0.0265,0.0332,0.0797,0.0849,0.1683,0.2799,0.1537,0.2581,0.0361,0.0768,0.1810,0.0527,0.0323,0.0986,0.0965,0.0881,0.0290,0.0279,0.0482,0.0531,0.0876,0.0956,0.0879,0.0944,0.0943,0.0926,0.0959,0.0924,0.0931,0.0145,0.0310,0.0302,0.0322,0.0395,0.0272,0.0274,0.0675
MD/add_sub_3op_symbolic,0.2295,0.1718,1.0000,0.1719,0.1568,0.0852,0.0687,0.0747,0.1335,0.0186,0.0258,0.0616,0.0641,0.1789,0.1448,0.1742,0.1433,0.0298,0.0729,0.1725,0.0408,0.0221,0.0620,0.0621,0.0616,0.0219,0.0193,0.0366,0.0378,0.0522,0.0576,0.0649,0.0629,0.0631,0.0579,0.0648,0.0632,0.0627,0.0101,0.0214,0.0224,0.0238,0.0304,0.0218,0.0223,0.0446
MD/add_sub_3op_verbal,0.1784,0.2840,0.1719,1.0000,0.1581,0.1131,0.0887,0.1017,0.1161,0.0224,0.0305,0.0717,0.0752,0.1485,0.2286,0.1439,0.2236,0.0321,0.0707,0.1568,0.0510,0.0299,0.0868,0.0854,0.0805,0.0280,0.0276,0.0474,0.0497,0.0752,0.0811,0.0805,0.0819,0.0811,0.0817,0.0865,0.0854,0.0831,0.0127,0.0306,0.0288,0.0316,0.0381,0.0261,0.0244,0.0572
MD/code_A,0.1894,0.1858,0.1568,0.1581,1.0000,0.2044,0.4402,0.1897,0.2721,0.0616,0.0665,0.1323,0.1182,0.1681,0.1614,0.1610,0.1630,0.0397,0.0898,0.1813,0.0657,0.0335,0.0947,0.1046,0.0994,0.0328,0.0325,0.0599,0.0636,0.1475,0.1574,0.0946,0.1046,0.0939,0.0922,0.1023,0.1076,0.0920,0.0118,0.0226,0.0243,0.0250,0.0310,0.0280,0.0227,0.0673
MD/code_B,0.1048,0.1361,0.0852,0.1131,0.2044,1.0000,0.2327,0.4758,0.0713,0.0498,0.0556,0.0925,0.1172,0.0887,0.1119,0.0761,0.1131,0.0276,0.0728,0.0904,0.0624,0.0374,0.1000,0.0987,0.0982,0.0264,0.0326,0.0584,0.0646,0.1940,0.2073,0.1012,0.1090,0.1072,0.1055,0.0960,0.0996,0.1087,0.0143,0.0333,0.0353,0.0396,0.0542,0.0249,0.0247,0.0991
MD/code_conditional,0.0779,0.1031,0.0687,0.0887,0.4402,0.2327,1.0000,0.2281,0.0541,0.0750,0.0737,0.1386,0.1178,0.0633,0.0824,0.0534,0.0792,0.0203,0.0661,0.0703,0.0756,0.0365,0.0894,0.1013,0.0997,0.0381,0.0398,0.0676,0.0705,0.1586,0.1697,0.0911,0.1015,0.0885,0.0895,0.1004,0.1064,0.0877,0.0114,0.0250,0.0260,0.0285,0.0343,0.0310,0.0220,0.0686
MD/code_list,0.0922,0.1196,0.0747,0.1017,0.1897,0.4758,0.2281,1.0000,0.0638,0.0553,0.0586,0.0928,0.1147,0.0779,0.1026,0.0673,0.1010,0.0228,0.0648,0.0795,0.0656,0.0404,0.0979,0.0937,0.0961,0.0285,0.0336,0.0610,0.0674,0.1938,0.2105,0.0985,0.1059,0.0969,0.1002,0.0884,0.0961,0.1055,0.0137,0.0334,0.0357,0.0400,0.0542,0.0271,0.0247,0.0893
MD/code_loop,0.1563,0.1298,0.1335,0.1161,0.2721,0.0713,0.0541,0.0638,1.0000,0.0161,0.0205,0.0476,0.0502,0.1562,0.1326,0.1653,0.1393,0.0273,0.0666,0.1616,0.0261,0.0145,0.0521,0.0453,0.0480,0.0116,0.0122,0.0237,0.0250,0.0387,0.0432,0.0498,0.0509,0.0507,0.0470,0.0545,0.0468,0.0533,0.0075,0.0156,0.0165,0.0174,0.0271,0.0180,0.0203,0.0329
MD/logic_propositional_1,0.0216,0.0265,0.0186,0.0224,0.0616,0.0498,0.0750,0.0553,0.0161,1.0000,0.1451,0.0759,0.1656,0.0116,0.0130,0.0077,0.0135,0.0206,0.0222,0.0156,0.0592,0.0412,0.0146,0.0261,0.0330,0.0402,0.0434,0.0563,0.0536,0.1386,0.1079,0.0246,0.0320,0.0192,0.0265,0.0235,0.0301,0.0173,0.0138,0.0151,0.0143,0.0134,0.0059,0.0284,0.0090,0.0200
