,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/mul_div_3op_verbal,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
phys/physics_stability,0.002150,0.006441,0.002408,0.007857,0.013737,0.029780,0.038764,0.033479,0.001318,0.021904,0.021165,0.038037,0.023646,0.001778,0.006733,0.001812,0.008634,0.003532,0.027284,0.001207,0.011468,0.009063,0.050075,0.085020,0.070219,0.009012,0.007509,0.014109,0.015804,0.031658,0.035705,0.052711,0.050996,0.043286,0.043491,0.063029,0.000000,0.044056,0.008774,0.006419,0.005126,0.006084,0.022318,0.006038,0.004334,0.012031
phys/physics_temperature,0.002653,0.009454,0.001224,0.007853,0.010432,0.037462,0.028983,0.040508,0.001800,0.008030,0.006999,0.023115,0.023789,0.001790,0.008617,0.002038,0.010579,0.004825,0.018330,0.001358,0.013376,0.013169,0.048728,0.049931,0.052945,0.006067,0.010709,0.015872,0.021882,0.034969,0.039008,0.055816,0.055739,0.061370,0.067088,0.051704,0.044056,0.000000,0.013160,0.005292,0.003404,0.006484,0.035556,0.006793,0.013337,0.023707
Lan/anaphor_gender_agreement,0.000000,0.001030,0.002454,0.001149,0.002828,0.007414,0.007528,0.007119,0.002973,0.000000,0.000000,0.010527,0.012095,0.002218,0.002092,0.001063,0.000000,0.023910,0.017995,0.002243,0.019831,0.017893,0.012563,0.006456,0.008550,0.006725,0.002637,0.015214,0.020573,0.008702,0.006977,0.010356,0.005388,0.015701,0.006455,0.010436,0.008774,0.013160,0.000000,0.064007,0.043656,0.030120,0.098139,0.285423,0.150645,0.026987
Lan/det_noun_agreement_irregular,0.000747,0.000507,0.001405,0.000832,0.000891,0.000842,0.000582,0.001100,0.002391,0.000000,0.000000,0.003950,0.006841,0.000756,0.000485,0.000524,0.000234,0.004563,0.001688,0.001040,0.002056,0.000650,0.005033,0.007085,0.003613,0.001559,0.000611,0.004064,0.004263,0.002017,0.001870,0.005553,0.004958,0.008905,0.007832,0.005217,0.006419,0.005292,0.064007,0.000000,0.258726,0.228804,0.098497,0.044930,0.097491,0.101171
Lan/det_noun_agreement_regular,0.000907,0.000453,0.001523,0.000505,0.000796,0.000511,0.000519,0.000982,0.001520,0.000000,0.000563,0.004823,0.004666,0.000675,0.000433,0.000467,0.000209,0.002425,0.001507,0.000682,0.000918,0.001815,0.005199,0.004636,0.002636,0.000655,0.000000,0.001814,0.003406,0.001801,0.001444,0.007479,0.004427,0.007609,0.007307,0.003599,0.005126,0.003404,0.043656,0.258726,0.000000,0.248011,0.106813,0.054325,0.093369,0.107659
Lan/det_noun_agreement_with_adjective,0.000510,0.000000,0.001142,0.000267,0.000211,0.000271,0.000584,0.000552,0.001017,0.000000,0.000000,0.003440,0.004865,0.000243,0.000000,0.000526,0.000235,0.000000,0.000000,0.000522,0.000000,0.001388,0.005449,0.005964,0.002652,0.000000,0.000000,0.001020,0.001915,0.001518,0.001623,0.007984,0.005604,0.009373,0.008216,0.004428,0.006084,0.006484,0.030120,0.228804,0.248011,0.000000,0.129266,0.042287,0.100683,0.136745
Lan/hypernymy,0.001765,0.001763,0.000000,0.000926,0.000000,0.008902,0.000952,0.011473,0.001127,0.000000,0.000000,0.017167,0.020979,0.002628,0.000000,0.000000,0.000814,0.000000,0.002762,0.002658,0.003575,0.002262,0.034830,0.019432,0.012563,0.000000,0.000000,0.003532,0.001560,0.007837,0.008378,0.022090,0.013024,0.039453,0.018052,0.030670,0.022318,0.035556,0.098139,0.098497,0.106813,0.129266,0.000000,0.064008,0.067566,0.086663
Lan/npi,0.000000,0.000000,0.003446,0.000000,0.002700,0.003469,0.005181,0.001568,0.006138,0.032313,0.008115,0.023927,0.031659,0.001465,0.001382,0.001493,0.000000,0.005265,0.010226,0.003149,0.006228,0.020687,0.002391,0.009064,0.004001,0.028324,0.015732,0.002896,0.020048,0.004492,0.001536,0.007127,0.007564,0.007251,0.013593,0.002298,0.006038,0.006793,0.285423,0.044930,0.054325,0.042287,0.064008,0.000000,0.168597,0.032873
Lan/subject_verb_agreement,0.000000,0.001621,0.003637,0.000851,0.001425,0.000862,0.003719,0.000827,0.003239,0.000000,0.002016,0.010957,0.007747,0.000773,0.000729,0.000788,0.000000,0.002779,0.010794,0.001662,0.001547,0.008839,0.006627,0.010693,0.007329,0.004983,0.001954,0.004777,0.006098,0.002371,0.001723,0.017755,0.014912,0.038882,0.022649,0.006369,0.004334,0.013337,0.150645,0.097491,0.093369,0.100683,0.067566,0.168597,0.000000,0.092044
Lan/wug,0.003146,0.002237,0.002031,0.001010,0.005524,0.020875,0.016554,0.021027,0.003691,0.000000,0.001126,0.019292,0.017986,0.001835,0.002597,0.002310,0.002666,0.000000,0.010461,0.001856,0.006371,0.007405,0.012689,0.017288,0.018801,0.002783,0.002319,0.000854,0.005910,0.011228,0.012454,0.037648,0.027214,0.036164,0.031899,0.012872,0.012031,0.023707,0.026987,0.101171,0.107659,0.136745,0.086663,0.032873,0.092044,0.000000
