,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/mul_div_3op_verbal,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,1.0000,0.5040,0.5679,0.4004,0.3586,0.0376,0.0228,0.0296,0.3438,0.0042,0.0106,0.0304,0.0275,0.5336,0.3738,0.4947,0.3459,0.0702,0.0520,0.5535,0.0148,0.0101,0.0292,0.0271,0.0241,0.0059,0.0063,0.0118,0.0165,0.0216,0.0190,0.0279,0.0249,0.0249,0.0241,0.0224,0.0262,0.0309,0.0047,0.0097,0.0085,0.0059,0.0123,0.0030,0.0059,0.0190
MD/add_sub_2op_verbal,0.5040,1.0000,0.4118,0.5328,0.3180,0.1027,0.0782,0.0968,0.2469,0.0042,0.0059,0.0457,0.0355,0.3670,0.5197,0.3433,0.4799,0.0605,0.0482,0.3886,0.0161,0.0173,0.0689,0.0545,0.0524,0.0059,0.0085,0.0199,0.0199,0.0727,0.0732,0.0482,0.0605,0.0643,0.0541,0.0647,0.0626,0.0634,0.0059,0.0123,0.0097,0.0080,0.0106,0.0042,0.0047,0.0203
MD/add_sub_3op_symbolic,0.5679,0.4118,1.0000,0.4080,0.3192,0.0359,0.0228,0.0254,0.2973,0.0059,0.0093,0.0254,0.0254,0.4575,0.3285,0.4457,0.3078,0.0558,0.0529,0.4567,0.0144,0.0085,0.0237,0.0258,0.0195,0.0068,0.0055,0.0123,0.0148,0.0178,0.0156,0.0224,0.0262,0.0262,0.0182,0.0249,0.0220,0.0304,0.0055,0.0093,0.0097,0.0076,0.0101,0.0055,0.0051,0.0148
MD/add_sub_3op_verbal,0.4004,0.5328,0.4080,1.0000,0.2600,0.0837,0.0626,0.0748,0.2051,0.0030,0.0089,0.0486,0.0359,0.3159,0.4224,0.3057,0.4089,0.0507,0.0423,0.3285,0.0182,0.0190,0.0668,0.0533,0.0423,0.0123,0.0110,0.0220,0.0228,0.0617,0.0592,0.0512,0.0516,0.0575,0.0474,0.0520,0.0588,0.0605,0.0047,0.0110,0.0093,0.0059,0.0152,0.0017,0.0038,0.0169
MD/code_A,0.3586,0.3180,0.3192,0.2600,1.0000,0.2034,0.3932,0.1725,0.3683,0.0372,0.0393,0.1137,0.0791,0.3391,0.2981,0.3336,0.2854,0.0727,0.0757,0.3636,0.0241,0.0173,0.0837,0.0892,0.0854,0.0127,0.0156,0.0237,0.0283,0.1552,0.1560,0.0770,0.1027,0.0698,0.0638,0.0918,0.0981,0.0702,0.0030,0.0042,0.0038,0.0017,0.0021,0.0051,0.0030,0.0220
MD/code_B,0.0376,0.1027,0.0359,0.0837,0.2034,1.0000,0.3095,0.5979,0.0237,0.0211,0.0381,0.0757,0.1099,0.0355,0.0951,0.0313,0.0968,0.0228,0.0537,0.0381,0.0241,0.0317,0.1340,0.1163,0.1137,0.0068,0.0199,0.0279,0.0431,0.3349,0.3442,0.1171,0.1332,0.1273,0.1294,0.1192,0.1222,0.1345,0.0038,0.0085,0.0089,0.0093,0.0173,0.0021,0.0034,0.0600
MD/code_conditional,0.0228,0.0782,0.0228,0.0626,0.3932,0.3095,1.0000,0.2947,0.0114,0.0660,0.0698,0.1658,0.1307,0.0203,0.0689,0.0156,0.0605,0.0101,0.0520,0.0224,0.0393,0.0262,0.1256,0.1412,0.1395,0.0186,0.0224,0.0326,0.0423,0.2275,0.2296,0.1205,0.1455,0.1015,0.0981,0.1366,0.1539,0.1011,0.0030,0.0072,0.0047,0.0030,0.0068,0.0072,0.0038,0.0452
MD/code_list,0.0296,0.0968,0.0254,0.0748,0.1725,0.5979,0.2947,1.0000,0.0144,0.0207,0.0393,0.0816,0.1197,0.0211,0.0841,0.0203,0.0901,0.0106,0.0448,0.0233,0.0258,0.0338,0.1433,0.1315,0.1264,0.0068,0.0186,0.0304,0.0427,0.3400,0.3590,0.1336,0.1463,0.1336,0.1400,0.1273,0.1395,0.1433,0.0063,0.0101,0.0123,0.0118,0.0220,0.0025,0.0042,0.0605
MD/code_loop,0.3438,0.2469,0.2973,0.2051,0.3683,0.0237,0.0114,0.0144,1.0000,0.0008,0.0068,0.0165,0.0161,0.3590,0.2668,0.3683,0.2803,0.0605,0.0419,0.3810,0.0072,0.0063,0.0123,0.0114,0.0106,0.0034,0.0030,0.0068,0.0068,0.0068,0.0076,0.0089,0.0118,0.0131,0.0110,0.0110,0.0114,0.0135,0.0030,0.0051,0.0051,0.0030,0.0047,0.0025,0.0038,0.0068
MD/logic_propositional_1,0.0042,0.0042,0.0059,0.0030,0.0372,0.0211,0.0660,0.0207,0.0008,1.0000,0.1839,0.0744,0.1924,0.0017,0.0017,0.0017,0.0013,0.0055,0.0135,0.0021,0.0326,0.0135,0.0076,0.0207,0.0393,0.0207,0.0199,0.0245,0.0342,0.1285,0.0985,0.0148,0.0309,0.0085,0.0165,0.0195,0.0309,0.0135,0.0008,0.0004,0.0000,0.0004,0.0004,0.0080,0.0004,0.0013
