,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/mul_div_3op_verbal,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/logic_syllogism_1,0.002214,0.007705,0.002362,0.012391,0.030627,0.024683,0.080614,0.024592,0.008149,0.060670,0.049517,0.000000,0.048141,0.002225,0.007954,0.001757,0.005877,0.012685,0.038557,0.003432,0.052853,0.023421,0.033146,0.051037,0.044241,0.022388,0.021658,0.034302,0.028346,0.030424,0.029389,0.020944,0.024243,0.020901,0.022325,0.042302,0.038726,0.021861,0.014786,0.005337,0.004691,0.003398,0.020027,0.059888,0.006145,0.017796
MD/logic_syllogism_symbolic,0.004783,0.002729,0.006680,0.007546,0.012746,0.023531,0.028205,0.024242,0.004700,0.206325,0.102197,0.048141,0.000000,0.003086,0.003716,0.004976,0.002754,0.011826,0.040560,0.006608,0.030040,0.015796,0.021451,0.021036,0.027150,0.013439,0.008955,0.021912,0.033412,0.061282,0.052532,0.025457,0.022687,0.021136,0.019300,0.019154,0.024305,0.017567,0.009156,0.002060,0.001497,0.001331,0.005739,0.016401,0.002582,0.007918
MD/mul_div_2op_symbolic,0.150052,0.078114,0.132499,0.065326,0.058539,0.004379,0.002158,0.001969,0.108302,0.001722,0.002170,0.002225,0.003086,0.000000,0.100092,0.160138,0.086928,0.058298,0.012917,0.109784,0.001713,0.003453,0.001155,0.002333,0.000590,0.002710,0.000327,0.001781,0.001557,0.000887,0.000968,0.000898,0.002940,0.001717,0.002495,0.000974,0.000977,0.002624,0.001182,0.000252,0.000248,0.000049,0.001575,0.001598,0.000825,0.001271
MD/mul_div_2op_verbal,0.078529,0.138181,0.070194,0.111250,0.045912,0.017300,0.012312,0.015789,0.081029,0.001462,0.003170,0.007954,0.003716,0.100092,0.000000,0.095983,0.109700,0.059520,0.014638,0.086281,0.001649,0.004525,0.008795,0.004736,0.005661,0.002490,0.002370,0.002723,0.002868,0.011239,0.011420,0.008618,0.012750,0.010118,0.012580,0.013231,0.007890,0.012574,0.001628,0.000710,0.000721,0.000259,0.003578,0.005376,0.000182,0.001538
MD/mul_div_3op_symbolic,0.109795,0.068389,0.104750,0.070457,0.058017,0.003564,0.001816,0.001545,0.101881,0.001749,0.002193,0.001757,0.004976,0.160138,0.095983,0.000000,0.100114,0.061315,0.013957,0.117853,0.002214,0.004417,0.002279,0.002775,0.000974,0.003290,0.000332,0.001997,0.002739,0.001306,0.001169,0.001904,0.002956,0.003059,0.003688,0.001352,0.001339,0.003112,0.002613,0.000539,0.000418,0.000347,0.001524,0.001163,0.000263,0.001237
MD/mul_div_3op_verbal,0.060463,0.084759,0.061137,0.080483,0.043238,0.012638,0.009041,0.013073,0.075024,0.000411,0.000000,0.005877,0.002754,0.086928,0.109700,0.100114,0.000000,0.042857,0.017664,0.073371,0.000859,0.002357,0.013519,0.006553,0.005984,0.000886,0.000738,0.001155,0.001626,0.009980,0.009604,0.006794,0.008662,0.009443,0.008453,0.010485,0.008634,0.010579,0.000000,0.000234,0.000209,0.000235,0.000814,0.000000,0.000000,0.002666
MD/number_sequence,0.056774,0.063218,0.055497,0.037978,0.071329,0.013129,0.005854,0.006856,0.094459,0.008010,0.029588,0.012685,0.011826,0.058298,0.059520,0.061315,0.042857,0.000000,0.091546,0.083639,0.013979,0.027695,0.004567,0.006529,0.008363,0.021456,0.020338,0.017043,0.016116,0.003038,0.002909,0.009232,0.005268,0.004594,0.006472,0.010204,0.003532,0.004904,0.013547,0.004563,0.002425,0.000589,0.000000,0.007644,0.001389,0.001969
MD/number_sorting,0.014344,0.015050,0.017479,0.029272,0.030659,0.033622,0.027194,0.028469,0.025783,0.029582,0.041462,0.038557,0.040560,0.012917,0.014638,0.013957,0.017664,0.091546,0.000000,0.018811,0.029677,0.039285,0.032859,0.036547,0.035546,0.032208,0.021905,0.026801,0.032072,0.025661,0.026489,0.034461,0.040557,0.026385,0.031895,0.036128,0.030599,0.026085,0.020471,0.003979,0.002971,0.003119,0.001057,0.023378,0.008567,0.009192
MD/simple_equation,0.098836,0.079234,0.100488,0.077785,0.073538,0.003731,0.001723,0.000868,0.124245,0.002851,0.005015,0.003432,0.006608,0.109784,0.086281,0.117853,0.073371,0.083639,0.018811,0.000000,0.001812,0.004420,0.002156,0.003130,0.000682,0.003544,0.000907,0.002696,0.002600,0.000925,0.000642,0.001665,0.002900,0.003298,0.003224,0.001296,0.001057,0.004475,0.002878,0.000685,0.000227,0.000291,0.002117,0.005184,0.001348,0.001356
ToM/agent,0.001319,0.001835,0.002839,0.006545,0.007198,0.009363,0.017036,0.009068,0.002770,0.038299,0.062704,0.052853,0.030040,0.001713,0.001649,0.002214,0.000859,0.013979,0.029677,0.001812,0.000000,0.099609,0.017871,0.020803,0.020668,0.107689,0.071081,0.148586,0.137273,0.015817,0.015674,0.011921,0.017453,0.015612,0.014395,0.014330,0.013470,0.012508,0.011016,0.002159,0.001312,0.000860,0.002691,0.020853,0.002883,0.003795
ToM/desires_goals,0.003117,0.003888,0.009274,0.012753,0.003996,0.008288,0.008020,0.009356,0.005691,0.023063,0.050912,0.023421,0.015796,0.003453,0.004525,0.004417,0.002357,0.027695,0.039285,0.004420,0.099609,0.000000,0.014676,0.015543,0.011530,0.151341,0.173719,0.125070,0.077198,0.009582,0.007581,0.013833,0.017845,0.016616,0.014895,0.010615,0.009579,0.014159,0.018567,0.002766,0.002305,0.003089,0.006160,0.040137,0.009205,0.006824
ToM/emotion_fewshot,0.001263,0.009519,0.002364,0.010169,0.015858,0.034230,0.037820,0.036904,0.002034,0.016703,0.015125,0.033146,0.021451,0.001155,0.008795,0.002279,0.013519,0.004567,0.032859,0.002156,0.017871,0.014676,0.000000,0.078447,0.064126,0.044921,0.042093,0.020289,0.020762,0.034967,0.035385,0.048721,0.050914,0.056755,0.051176,0.063877,0.058784,0.048416,0.019554,0.005642,0.005474,0.004593,0.024906,0.017413,0.007332,0.010391
ToM/norm_appropriate,0.002177,0.005166,0.003189,0.012223,0.014671,0.024116,0.039170,0.026016,0.003274,0.020415,0.020216,0.051037,0.021036,0.002333,0.004736,0.002775,0.006553,0.006529,0.036547,0.003130,0.020803,0.015543,0.078447,0.000000,0.119232,0.022377,0.018449,0.022738,0.019601,0.028000,0.027808,0.051751,0.045553,0.047314,0.044413,0.052547,0.094564,0.045830,0.016423,0.004634,0.004125,0.004331,0.020704,0.023829,0.012809,0.011290
ToM/norm_moral,0.000848,0.005053,0.000910,0.006050,0.011865,0.028984,0.036239,0.032122,0.001525,0.023031,0.022596,0.044241,0.027150,0.000590,0.005661,0.000974,0.005984,0.008363,0.035546,0.000682,0.020668,0.011530,0.064126,0.119232,0.000000,0.018945,0.022765,0.026846,0.026018,0.035700,0.038881,0.044993,0.041417,0.042339,0.039923,0.046604,0.079543,0.062466,0.013771,0.004208,0.003917,0.003847,0.010588,0.009048,0.005024,0.010448
ToM/primary_emotions,0.002594,0.002482,0.004632,0.011625,0.004645,0.004110,0.009816,0.003477,0.002576,0.022805,0.051685,0.022388,0.013439,0.002710,0.002490,0.003290,0.000886,0.021456,0.032208,0.003544,0.107689,0.151341,0.044921,0.022377,0.018945,0.000000,0.302873,0.089240,0.070777,0.005482,0.004574,0.006304,0.016485,0.012237,0.009980,0.013420,0.011942,0.010455,0.011685,0.002738,0.001661,0.001431,0.005331,0.028393,0.005456,0.002433
ToM/secondary_emotions,0.000692,0.001911,0.000226,0.003590,0.002976,0.007099,0.009682,0.006750,0.002387,0.014148,0.029062,0.021658,0.008955,0.000327,0.002370,0.000332,0.000738,0.020338,0.021905,0.000907,0.071081,0.173719,0.042093,0.018449,0.022765,0.302873,0.000000,0.087565,0.047059,0.010900,0.010168,0.007010,0.010780,0.011873,0.009687,0.010281,0.010493,0.009574,0.002937,0.002480,0.001741,0.002007,0.002268,0.012179,0.002321,0.002537
