,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/mul_div_3op_verbal,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,0.000000,0.087691,0.144755,0.070706,0.054131,0.008428,0.005007,0.005004,0.094894,0.002760,0.005257,0.005712,0.007303,0.132227,0.072046,0.103761,0.054910,0.057270,0.016404,0.099895,0.003133,0.004966,0.004309,0.005297,0.003298,0.004417,0.001648,0.003360,0.003604,0.003013,0.002766,0.005572,0.005492,0.004832,0.004964,0.003681,0.003705,0.005903,0.004653,0.002261,0.001642,0.001142,0.003355,0.005586,0.003320,0.007049
MD/add_sub_2op_verbal,0.087691,0.000000,0.078533,0.101005,0.045814,0.019866,0.015206,0.017917,0.070704,0.003632,0.004976,0.011675,0.006966,0.072297,0.109539,0.064848,0.071472,0.049907,0.015166,0.072966,0.003818,0.006674,0.013514,0.010667,0.008962,0.004402,0.003072,0.005090,0.005645,0.013361,0.014145,0.011931,0.013867,0.013953,0.014585,0.016295,0.012265,0.017327,0.006873,0.003571,0.003015,0.002538,0.005502,0.007274,0.002746,0.007833
MD/add_sub_3op_symbolic,0.144755,0.078533,0.000000,0.076799,0.049755,0.008214,0.005515,0.005299,0.086057,0.005053,0.008671,0.007225,0.009993,0.116712,0.066258,0.104101,0.054879,0.052911,0.020986,0.096899,0.004662,0.008807,0.006183,0.006119,0.004139,0.006671,0.001961,0.005437,0.005647,0.003783,0.003397,0.005672,0.006953,0.006614,0.006395,0.005404,0.003978,0.007031,0.007191,0.002297,0.002198,0.001828,0.003209,0.006325,0.005085,0.007116
MD/add_sub_3op_verbal,0.070706,0.101005,0.076799,0.000000,0.038093,0.015868,0.013029,0.012595,0.063905,0.008660,0.011651,0.014825,0.011178,0.062622,0.090341,0.062627,0.069391,0.035231,0.024176,0.068254,0.007516,0.012756,0.014592,0.014384,0.010868,0.010099,0.004749,0.009364,0.009605,0.011002,0.010031,0.013287,0.012751,0.013664,0.015511,0.015030,0.012908,0.016749,0.010021,0.004087,0.003776,0.003004,0.009089,0.012179,0.003952,0.006555
MD/code_A,0.054131,0.045814,0.049755,0.038093,0.000000,0.037642,0.073764,0.031542,0.097910,0.013888,0.011978,0.030070,0.015219,0.052090,0.042437,0.053443,0.038166,0.051046,0.026921,0.061742,0.007441,0.005270,0.017294,0.018193,0.015338,0.005766,0.004858,0.007165,0.011173,0.024922,0.025767,0.018291,0.015574,0.015465,0.014147,0.020001,0.017343,0.016595,0.005071,0.001859,0.001681,0.001340,0.003974,0.006302,0.003347,0.008954
MD/code_B,0.008428,0.019866,0.008214,0.015868,0.037642,0.000000,0.075655,0.130005,0.009113,0.016074,0.016381,0.026927,0.026827,0.007750,0.020028,0.007371,0.016928,0.014363,0.030233,0.007772,0.008802,0.009441,0.031256,0.025911,0.028696,0.004666,0.006605,0.012543,0.022438,0.069963,0.074666,0.035506,0.030858,0.033630,0.036136,0.029207,0.027752,0.038328,0.008080,0.002629,0.002824,0.002986,0.013485,0.005510,0.003172,0.025328
MD/code_conditional,0.005007,0.015206,0.005515,0.013029,0.073764,0.075655,0.000000,0.072515,0.006334,0.026614,0.022597,0.065695,0.030407,0.004828,0.014331,0.004247,0.011114,0.006877,0.025449,0.004793,0.015684,0.009904,0.036131,0.038407,0.035451,0.010020,0.010195,0.013894,0.022093,0.052043,0.055056,0.036550,0.028225,0.032401,0.029035,0.036556,0.034998,0.033178,0.007989,0.003488,0.003245,0.003170,0.010740,0.010861,0.005394,0.027732
MD/code_list,0.005004,0.017917,0.005299,0.012595,0.031542,0.130005,0.072515,0.000000,0.005172,0.014304,0.013693,0.026332,0.027945,0.004639,0.017386,0.004397,0.015588,0.008936,0.025245,0.004526,0.008855,0.010014,0.034505,0.028234,0.031828,0.004642,0.006494,0.013346,0.023935,0.072603,0.079682,0.038471,0.033279,0.036632,0.039189,0.029342,0.031009,0.041706,0.010622,0.003298,0.003678,0.003630,0.016466,0.006767,0.004513,0.028004
MD/code_loop,0.094894,0.070704,0.086057,0.063905,0.097910,0.009113,0.006334,0.005172,0.000000,0.005808,0.005940,0.009441,0.009034,0.099506,0.071222,0.095432,0.068860,0.072631,0.026453,0.105480,0.004297,0.007259,0.005567,0.005500,0.003458,0.005207,0.002822,0.004729,0.004865,0.003934,0.003359,0.005552,0.007390,0.007102,0.006075,0.005405,0.005316,0.007511,0.011074,0.004120,0.003934,0.003190,0.005605,0.012413,0.006890,0.006724
MD/logic_propositional_1,0.002760,0.003632,0.005053,0.008660,0.013888,0.016074,0.026614,0.014304,0.005808,0.000000,0.177088,0.054885,0.165290,0.003164,0.003484,0.002839,0.000626,0.010053,0.037207,0.004415,0.035236,0.023956,0.015081,0.018249,0.021860,0.024152,0.019831,0.027102,0.030960,0.062112,0.049146,0.013343,0.018987,0.013589,0.011665,0.016225,0.018930,0.010665,0.005880,0.001241,0.000888,0.000932,0.001207,0.030221,0.001519,0.005265
