,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/mul_div_3op_verbal,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,1.000000,0.206333,0.249817,0.175260,0.184050,0.142750,0.145100,0.146467,0.183667,0.055920,0.064560,0.117983,0.112640,0.265817,0.187967,0.224240,0.219700,0.054067,0.111417,0.207320,0.077933,0.056100,0.145550,0.136200,0.143180,0.062233,0.049500,0.076000,0.078417,0.094867,0.111817,0.152250,0.148275,0.149217,0.142433,0.152625,0.148700,0.149933,0.072833,0.089160,0.086800,0.086800,0.105783,0.071117,0.086460,0.122200
MD/add_sub_2op_verbal,0.206333,1.000000,0.189883,0.259200,0.174950,0.154850,0.152167,0.158367,0.162317,0.062880,0.070440,0.123833,0.114360,0.187533,0.275483,0.189880,0.258000,0.061733,0.112767,0.186820,0.087383,0.065083,0.148400,0.140367,0.145820,0.069183,0.059200,0.084750,0.087850,0.110800,0.127217,0.149100,0.154250,0.151967,0.147667,0.150675,0.148100,0.154500,0.076133,0.092680,0.090180,0.090167,0.106650,0.076083,0.089160,0.126267
MD/add_sub_3op_symbolic,0.249817,0.189883,1.000000,0.179780,0.171167,0.134350,0.139350,0.138467,0.175983,0.061040,0.069720,0.119250,0.114360,0.221217,0.182850,0.222620,0.211600,0.052000,0.115383,0.193880,0.082650,0.060800,0.139717,0.132083,0.138620,0.067617,0.050350,0.079867,0.082483,0.096633,0.111500,0.143075,0.147025,0.142133,0.138367,0.142550,0.139300,0.144917,0.072267,0.085400,0.083640,0.084883,0.102433,0.073283,0.086380,0.116017
MD/add_sub_3op_verbal,0.175260,0.259200,0.179780,1.000000,0.156860,0.141400,0.137660,0.142800,0.150360,0.066300,0.075020,0.121720,0.116180,0.166980,0.230420,0.179325,0.248200,0.053450,0.119400,0.176850,0.093680,0.072860,0.135560,0.130780,0.138200,0.077560,0.065167,0.089140,0.092080,0.108160,0.119680,0.139300,0.149425,0.137820,0.137280,0.141175,0.138150,0.138780,0.067640,0.083880,0.082500,0.084880,0.098440,0.074640,0.082275,0.114440
MD/code_A,0.184050,0.174950,0.171167,0.156860,1.000000,0.206750,0.411783,0.197967,0.335417,0.081800,0.082240,0.154500,0.122320,0.178100,0.170333,0.180900,0.190200,0.069933,0.118483,0.187060,0.097750,0.067917,0.145950,0.141767,0.147560,0.076500,0.066100,0.093200,0.096367,0.137383,0.154500,0.144475,0.150500,0.146683,0.142800,0.148525,0.148375,0.145650,0.075950,0.091560,0.089360,0.088633,0.101233,0.078800,0.086940,0.126583
MD/code_B,0.142750,0.154850,0.134350,0.141400,0.206750,1.000000,0.239917,0.432633,0.131033,0.097640,0.095020,0.137783,0.115240,0.134267,0.149733,0.129160,0.171700,0.090233,0.113400,0.138460,0.118217,0.084433,0.139750,0.135267,0.138820,0.087667,0.088450,0.113233,0.116783,0.194783,0.210133,0.134925,0.146750,0.140017,0.140250,0.132775,0.136600,0.138200,0.083933,0.109020,0.106840,0.105083,0.114750,0.086600,0.088620,0.147983
MD/code_conditional,0.145100,0.152167,0.139350,0.137660,0.411783,0.239917,1.000000,0.230667,0.135083,0.089540,0.087360,0.170583,0.121160,0.138683,0.148083,0.138080,0.154600,0.068167,0.110500,0.139940,0.108517,0.072817,0.146217,0.144067,0.149940,0.079333,0.075425,0.101500,0.103933,0.156300,0.174083,0.142800,0.147200,0.144733,0.141817,0.146125,0.147425,0.141767,0.078250,0.096340,0.093500,0.094033,0.106400,0.083467,0.087040,0.133733
MD/code_list,0.146467,0.158367,0.138467,0.142800,0.197967,0.432633,0.230667,1.000000,0.132200,0.085680,0.083740,0.134767,0.115500,0.139500,0.155333,0.136800,0.166900,0.078700,0.111933,0.141000,0.108900,0.077117,0.146200,0.139083,0.144720,0.080217,0.080175,0.104850,0.109067,0.183950,0.205217,0.143650,0.153075,0.148467,0.147967,0.139950,0.144125,0.147950,0.085433,0.109160,0.106120,0.105733,0.121250,0.084033,0.091900,0.148633
MD/code_loop,0.183667,0.162317,0.175983,0.150360,0.335417,0.131033,0.135083,0.132200,1.000000,0.060420,0.064700,0.119283,0.107140,0.186567,0.164767,0.197300,0.206800,0.054567,0.113550,0.189540,0.078833,0.058400,0.130983,0.123850,0.130780,0.067317,0.050200,0.076433,0.079167,0.089150,0.104250,0.134875,0.137050,0.134067,0.129383,0.133950,0.130750,0.136050,0.070083,0.080940,0.079260,0.079283,0.097167,0.070833,0.085000,0.107250
MD/logic_propositional_1,0.055920,0.062880,0.061040,0.066300,0.081800,0.097640,0.089540,0.085680,0.060420,1.000000,0.175980,0.098460,0.174980,0.048860,0.055200,0.045575,0.039700,0.102600,0.078520,0.060125,0.126420,0.111940,0.055000,0.066740,0.058450,0.108780,0.118833,0.117120,0.117020,0.178340,0.145660,0.048350,0.064650,0.052400,0.056500,0.050000,0.056100,0.049020,0.069160,0.065800,0.067720,0.070240,0.051720,0.089740,0.053650,0.071580
