,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/mul_div_3op_verbal,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,1.000000,0.413767,0.550583,0.291940,0.298817,0.039300,0.021733,0.023600,0.297933,0.005200,0.010180,0.015067,0.018880,0.562033,0.324500,0.458120,0.345900,0.122133,0.030967,0.434940,0.007800,0.009633,0.013617,0.015933,0.011980,0.008567,0.004100,0.008783,0.010050,0.014700,0.013267,0.017450,0.019975,0.013967,0.014683,0.012500,0.014475,0.017267,0.004367,0.006960,0.005260,0.003517,0.004067,0.003217,0.003740,0.012233
MD/add_sub_2op_verbal,0.413767,1.000000,0.329583,0.445900,0.271200,0.100100,0.071100,0.088150,0.238300,0.007240,0.009580,0.032500,0.020920,0.337950,0.533583,0.309300,0.479900,0.110233,0.029417,0.338400,0.010100,0.013467,0.045717,0.036567,0.033360,0.008783,0.008400,0.014983,0.017250,0.069533,0.071317,0.039475,0.055225,0.040867,0.045050,0.057325,0.049100,0.050817,0.008100,0.012360,0.010920,0.008550,0.009383,0.005267,0.003320,0.015117
MD/add_sub_3op_symbolic,0.550583,0.329583,1.000000,0.278980,0.245267,0.033417,0.020583,0.021167,0.240500,0.008420,0.013860,0.016100,0.021740,0.443550,0.266900,0.403080,0.307800,0.099633,0.034800,0.367300,0.010083,0.014483,0.016317,0.016017,0.012800,0.011383,0.004200,0.012433,0.013550,0.015933,0.013867,0.015350,0.022150,0.016267,0.016217,0.016050,0.013475,0.017767,0.005967,0.006280,0.006180,0.004667,0.003383,0.003167,0.005040,0.010333
MD/add_sub_3op_verbal,0.291940,0.445900,0.278980,1.000000,0.196820,0.068400,0.050880,0.053160,0.188620,0.012820,0.015820,0.033900,0.024420,0.250480,0.381900,0.268125,0.408900,0.054450,0.037960,0.281525,0.015260,0.019400,0.041160,0.039780,0.032075,0.015700,0.010867,0.020900,0.022860,0.047640,0.042560,0.035100,0.043625,0.035280,0.040800,0.040700,0.041025,0.043480,0.009000,0.011220,0.010700,0.008400,0.011100,0.006480,0.003500,0.011280
MD/code_A,0.298817,0.271200,0.245267,0.196820,1.000000,0.216867,0.394650,0.177683,0.376250,0.031240,0.029320,0.093683,0.051520,0.287767,0.243233,0.294920,0.285400,0.132000,0.051300,0.328740,0.022533,0.012867,0.066633,0.071433,0.065740,0.013567,0.014500,0.024317,0.039183,0.150583,0.149683,0.068950,0.073275,0.052933,0.051283,0.080900,0.079750,0.057800,0.006383,0.007120,0.006760,0.004783,0.006067,0.005067,0.004560,0.019750
MD/code_B,0.039300,0.100100,0.033417,0.068400,0.216867,1.000000,0.334833,0.599950,0.031433,0.028820,0.031640,0.068717,0.075340,0.036250,0.095583,0.033640,0.096800,0.027767,0.042883,0.033420,0.022250,0.017833,0.099250,0.084733,0.099680,0.009117,0.016750,0.035967,0.065067,0.344333,0.356083,0.111875,0.116850,0.093617,0.107017,0.099300,0.106375,0.108483,0.008167,0.008680,0.009720,0.008883,0.013133,0.003450,0.003580,0.045750
MD/code_conditional,0.021733,0.071100,0.020583,0.050880,0.394650,0.334833,1.000000,0.313650,0.019717,0.045800,0.042020,0.151950,0.080920,0.020883,0.063450,0.018000,0.060500,0.013167,0.033950,0.019020,0.036533,0.017033,0.105217,0.116783,0.117460,0.017583,0.023800,0.036700,0.059667,0.238367,0.243267,0.110225,0.102000,0.083417,0.078733,0.117950,0.128325,0.086367,0.008200,0.011040,0.010780,0.009017,0.012667,0.007083,0.005520,0.046217
MD/code_list,0.023600,0.088150,0.021167,0.053160,0.177683,0.599950,0.313650,1.000000,0.017083,0.025760,0.026460,0.066417,0.079660,0.021450,0.080533,0.020040,0.090100,0.018400,0.033517,0.019520,0.021967,0.018083,0.108450,0.092200,0.111960,0.008533,0.016750,0.037033,0.067433,0.349517,0.370300,0.122875,0.125525,0.100267,0.114717,0.101300,0.120725,0.116067,0.010417,0.010900,0.012700,0.011000,0.016900,0.004467,0.004880,0.049367
MD/code_loop,0.297933,0.238300,0.240500,0.188620,0.376250,0.031433,0.019717,0.017083,1.000000,0.008300,0.008700,0.016900,0.017120,0.312500,0.233733,0.309600,0.280300,0.098733,0.031783,0.327460,0.007667,0.010150,0.012400,0.012333,0.007860,0.007633,0.004925,0.009400,0.010133,0.013417,0.011317,0.011425,0.019725,0.013750,0.013333,0.012100,0.013425,0.015267,0.008367,0.009440,0.009400,0.006817,0.006467,0.006000,0.005100,0.008583
MD/logic_propositional_1,0.005200,0.007240,0.008420,0.012820,0.031240,0.028820,0.045800,0.025760,0.008300,1.000000,0.125440,0.057180,0.174720,0.006140,0.006660,0.005050,0.001300,0.005300,0.023240,0.007150,0.034460,0.018160,0.018400,0.022300,0.029100,0.018040,0.016567,0.029580,0.035200,0.123580,0.092560,0.015250,0.025650,0.014920,0.014520,0.020150,0.026250,0.012600,0.002700,0.001640,0.001260,0.001260,0.000580,0.007560,0.000775,0.003740
