,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/mul_div_3op_verbal,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,0.000000,0.046354,0.073169,0.037800,0.037648,0.022873,0.019812,0.020517,0.056104,0.012034,0.013936,0.019286,0.017410,0.083719,0.041282,0.063857,0.037527,0.030511,0.024407,0.055598,0.011634,0.013103,0.019338,0.018127,0.016778,0.011618,0.007682,0.012273,0.013361,0.014992,0.015411,0.020258,0.018924,0.020887,0.019813,0.019777,0.018002,0.022006,0.017518,0.013180,0.012672,0.013021,0.016722,0.015611,0.015543,0.021852
MD/add_sub_2op_verbal,0.046354,0.000000,0.043851,0.063826,0.033144,0.027104,0.023641,0.025682,0.041054,0.013358,0.014969,0.021064,0.017606,0.042395,0.071994,0.041478,0.049590,0.028449,0.023484,0.042774,0.012763,0.015105,0.023093,0.021485,0.020530,0.012669,0.010060,0.014192,0.015039,0.020065,0.021022,0.021702,0.022271,0.023693,0.023419,0.022715,0.020868,0.025815,0.016897,0.013318,0.012812,0.013217,0.016751,0.017850,0.015474,0.022376
MD/add_sub_3op_symbolic,0.073169,0.043851,0.000000,0.041046,0.034547,0.021644,0.019166,0.019756,0.053321,0.014004,0.017319,0.020481,0.019850,0.066675,0.041397,0.064542,0.036592,0.028898,0.027177,0.052873,0.013610,0.015992,0.020140,0.018352,0.017484,0.014062,0.007871,0.013805,0.015224,0.014982,0.015578,0.019992,0.019504,0.021369,0.020218,0.018842,0.017493,0.022629,0.017485,0.013061,0.013025,0.013542,0.018253,0.017487,0.016529,0.021200
MD/add_sub_3op_verbal,0.037800,0.063826,0.041046,0.000000,0.028331,0.023609,0.020999,0.021802,0.037925,0.017315,0.020435,0.023174,0.022126,0.035870,0.057945,0.037078,0.048231,0.020342,0.028415,0.039413,0.016983,0.020386,0.021707,0.021429,0.020981,0.017090,0.012092,0.018146,0.018680,0.018674,0.018907,0.021091,0.021510,0.021878,0.022478,0.022526,0.020512,0.022478,0.016201,0.013246,0.012756,0.012506,0.015684,0.018644,0.015424,0.019418
MD/code_A,0.037648,0.033144,0.034547,0.028331,0.000000,0.036760,0.076001,0.033858,0.081111,0.018551,0.016663,0.030419,0.021283,0.036478,0.031073,0.036438,0.027444,0.027922,0.025701,0.039257,0.013609,0.012267,0.021451,0.021356,0.020257,0.012082,0.010328,0.014272,0.015551,0.026291,0.027277,0.020864,0.020032,0.021386,0.020418,0.021791,0.020897,0.021514,0.013385,0.010178,0.010053,0.009898,0.013480,0.014326,0.012465,0.020911
MD/code_B,0.022873,0.027104,0.021644,0.023609,0.036760,0.000000,0.049818,0.090457,0.022022,0.016997,0.015307,0.026026,0.021637,0.021243,0.026255,0.020138,0.021829,0.022890,0.023470,0.021166,0.015413,0.015120,0.025226,0.022998,0.023709,0.011917,0.012465,0.016760,0.019852,0.043966,0.045883,0.025705,0.024985,0.026102,0.026592,0.022702,0.022675,0.027609,0.018433,0.014891,0.014531,0.015709,0.023731,0.015104,0.015629,0.033181
MD/code_conditional,0.019812,0.023641,0.019166,0.020999,0.076001,0.049818,0.000000,0.049138,0.019413,0.023830,0.020348,0.042963,0.024598,0.018274,0.022397,0.017300,0.016721,0.017861,0.023639,0.019315,0.018921,0.015833,0.028092,0.028677,0.027973,0.015183,0.015962,0.019302,0.020493,0.036746,0.038549,0.025967,0.024203,0.026795,0.025974,0.026505,0.026071,0.026376,0.016774,0.013093,0.012623,0.013498,0.018665,0.019188,0.015548,0.028457
MD/code_list,0.020517,0.025682,0.019756,0.021802,0.033858,0.090457,0.049138,0.000000,0.019420,0.017069,0.015098,0.025557,0.021337,0.019230,0.025259,0.018292,0.020289,0.019967,0.022256,0.019468,0.014733,0.015042,0.026999,0.023989,0.024767,0.011998,0.012555,0.016746,0.019812,0.044164,0.047147,0.026927,0.026709,0.027485,0.028189,0.023087,0.023674,0.029689,0.019806,0.015809,0.015550,0.016944,0.026589,0.016286,0.017631,0.033980
MD/code_loop,0.056104,0.041054,0.053321,0.037925,0.081111,0.022022,0.019413,0.019420,0.000000,0.015656,0.015781,0.022523,0.020102,0.057656,0.041139,0.058186,0.042370,0.030945,0.031729,0.056473,0.012115,0.014907,0.018239,0.017133,0.016412,0.014499,0.008585,0.013007,0.013890,0.013731,0.014297,0.017606,0.018531,0.019983,0.019149,0.018562,0.016725,0.021012,0.017554,0.012114,0.012134,0.012408,0.017679,0.018462,0.016677,0.018411
MD/logic_propositional_1,0.012034,0.013358,0.014004,0.017315,0.018551,0.016997,0.023830,0.017069,0.015656,0.000000,0.096533,0.037857,0.113741,0.009920,0.011660,0.009480,0.005914,0.026510,0.028127,0.013063,0.041683,0.037340,0.013451,0.016594,0.015649,0.034799,0.032561,0.034618,0.035975,0.055099,0.041178,0.011307,0.016452,0.012488,0.014097,0.013038,0.014470,0.011116,0.018622,0.009245,0.009179,0.009951,0.010931,0.031508,0.011027,0.012725
MD/logic_propositional_symbolic,0.013936,0.014969,0.017319,0.020435,0.016663,0.015307,0.020348,0.015098,0.015781,0.096533,0.000000,0.034996,0.061858,0.012383,0.014289,0.012293,0.007799,0.042352,0.036134,0.015851,0.047182,0.047046,0.015738,0.019887,0.018794,0.039552,0.037776,0.041370,0.041046,0.037995,0.030285,0.014732,0.018919,0.015215,0.017642,0.015276,0.017189,0.014454,0.019675,0.010392,0.009981,0.009424,0.010579,0.029015,0.012360,0.011985
MD/logic_syllogism_1,0.019286,0.021064,0.020481,0.023174,0.030419,0.026026,0.042963,0.025557,0.022523,0.037857,0.034996,0.000000,0.033893,0.017820,0.020097,0.018041,0.017748,0.025400,0.032549,0.021581,0.037193,0.027975,0.025533,0.030926,0.030420,0.027697,0.025936,0.032232,0.031825,0.031252,0.031308,0.022648,0.022945,0.023138,0.023697,0.026068,0.026312,0.021472,0.017542,0.012662,0.012091,0.012304,0.016354,0.029792,0.015359,0.020860
MD/logic_syllogism_symbolic,0.017410,0.017606,0.019850,0.022126,0.021283,0.021637,0.024598,0.021337,0.020102,0.113741,0.061858,0.033893,0.000000,0.016700,0.017507,0.018807,0.018347,0.015410,0.035044,0.022153,0.029907,0.026812,0.018715,0.020984,0.022636,0.024471,0.018878,0.027341,0.028311,0.042888,0.034880,0.019150,0.021527,0.019022,0.018652,0.019053,0.020676,0.017584,0.013860,0.008815,0.008766,0.008968,0.012913,0.021974,0.012241,0.015386
