,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/primary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,0.000000,0.070274,0.079599,0.068618,0.049808,0.013450,0.006815,0.005513,0.102003,0.007451,0.009588,0.008301,0.013341,0.102032,0.071098,0.096943,0.036119,0.090395,0.008348,0.014442,0.007205,0.012208,0.015898,0.009701,0.007870,0.005340,0.003520,0.010810,0.009933,0.010988,0.013498,0.009147,0.002630,0.002316,0.001141,0.003013,0.011239,0.004962,0.004444
MD/add_sub_2op_verbal,0.070274,0.000000,0.058265,0.106132,0.041315,0.025853,0.018448,0.022255,0.070293,0.006072,0.007040,0.014314,0.006286,0.067599,0.129569,0.063738,0.028310,0.069564,0.006628,0.012067,0.009427,0.012871,0.009939,0.009059,0.009550,0.016755,0.017057,0.014758,0.012003,0.015081,0.014589,0.005208,0.002215,0.002922,0.001650,0.001072,0.011345,0.002038,0.008438
MD/add_sub_3op_symbolic,0.079599,0.058265,0.000000,0.061239,0.043767,0.014076,0.006970,0.005752,0.084683,0.010928,0.013961,0.013777,0.017885,0.083317,0.057449,0.088430,0.045037,0.081159,0.013057,0.025690,0.012331,0.015530,0.022826,0.014872,0.015034,0.006022,0.004198,0.015960,0.014860,0.013744,0.016442,0.012515,0.002333,0.003080,0.001770,0.001359,0.010723,0.008071,0.003291
MD/add_sub_3op_verbal,0.068618,0.106132,0.061239,0.000000,0.039811,0.020430,0.014931,0.012637,0.066578,0.011575,0.012171,0.017283,0.011560,0.061796,0.102406,0.060200,0.036189,0.068153,0.010148,0.016095,0.014041,0.016229,0.016003,0.011861,0.013557,0.011591,0.010158,0.015445,0.014339,0.015484,0.018249,0.008992,0.002999,0.003228,0.001928,0.004739,0.014235,0.002252,0.006716
MD/code_A,0.049808,0.041315,0.043767,0.039811,0.000000,0.046767,0.100167,0.040055,0.064134,0.014291,0.015390,0.035850,0.015150,0.047525,0.042294,0.047974,0.029100,0.049500,0.012951,0.010061,0.018696,0.020569,0.011947,0.009911,0.015588,0.032299,0.034468,0.014686,0.017132,0.016205,0.019473,0.006874,0.001554,0.001351,0.000858,0.004076,0.008933,0.005665,0.013807
MD/code_B,0.013450,0.025853,0.014076,0.020430,0.046767,0.000000,0.080495,0.143127,0.012321,0.011324,0.015344,0.025465,0.016830,0.012677,0.025832,0.011707,0.022160,0.011993,0.010082,0.011745,0.026551,0.024994,0.009504,0.011604,0.021977,0.076708,0.090012,0.030652,0.031281,0.030547,0.035988,0.012808,0.003170,0.003630,0.003354,0.013070,0.010263,0.003137,0.029073
MD/code_conditional,0.006815,0.018448,0.006970,0.014931,0.100167,0.080495,0.000000,0.086066,0.004852,0.025704,0.025508,0.071571,0.026868,0.006589,0.017431,0.006142,0.012199,0.006669,0.020794,0.009133,0.034775,0.035273,0.014797,0.015692,0.025648,0.065991,0.072986,0.022909,0.028435,0.023449,0.030405,0.006802,0.002219,0.002187,0.002257,0.011473,0.015530,0.006039,0.035781
MD/code_list,0.005513,0.022255,0.005752,0.012637,0.040055,0.143127,0.086066,0.000000,0.003312,0.013842,0.016991,0.026486,0.015763,0.005429,0.021554,0.005001,0.011897,0.004224,0.009858,0.011662,0.031299,0.026130,0.009088,0.012956,0.026292,0.091792,0.111711,0.032834,0.032272,0.032165,0.038633,0.016202,0.002897,0.003146,0.002947,0.016862,0.007234,0.005889,0.038226
MD/code_loop,0.102003,0.070293,0.084683,0.066578,0.064134,0.012321,0.004852,0.003312,0.000000,0.010696,0.009555,0.009775,0.015215,0.095447,0.071744,0.095744,0.038274,0.099300,0.007710,0.013327,0.007464,0.008731,0.013102,0.006713,0.007347,0.003753,0.002381,0.009996,0.009718,0.010778,0.010447,0.008302,0.002841,0.001345,0.000925,0.001953,0.009341,0.005671,0.004228
MD/logic_propositional_1,0.007451,0.006072,0.010928,0.011575,0.014291,0.011324,0.025704,0.013842,0.010696,0.000000,0.142077,0.059386,0.206331,0.010376,0.002845,0.009225,0.035264,0.014137,0.044053,0.030550,0.024836,0.020403,0.028378,0.033919,0.035557,0.049135,0.033967,0.017992,0.019688,0.016977,0.013008,0.002064,0.002077,0.002633,0.002414,0.001275,0.018288,0.002422,0.008839
