,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/primary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/logic_propositional_symbolic,0.009588,0.007040,0.013961,0.012171,0.015390,0.015344,0.025508,0.016991,0.009555,0.142077,0.000000,0.065301,0.129884,0.010529,0.006505,0.010426,0.045859,0.014167,0.060133,0.033181,0.024429,0.029967,0.036448,0.034846,0.038622,0.038580,0.033790,0.029201,0.027860,0.022182,0.024630,0.001844,0.000265,0.000523,0.000270,0.001139,0.004901,0.002885,0.004011
MD/logic_syllogism_1,0.008301,0.014314,0.013777,0.017283,0.035850,0.025465,0.071571,0.026486,0.009775,0.059386,0.065301,0.000000,0.055664,0.008566,0.011782,0.007511,0.026056,0.012213,0.057614,0.031582,0.032420,0.032903,0.026123,0.039087,0.043036,0.037580,0.034957,0.023172,0.028431,0.019385,0.017428,0.009237,0.002124,0.001309,0.001621,0.009128,0.051970,0.007227,0.024363
MD/logic_syllogism_symbolic,0.013341,0.006286,0.017885,0.011560,0.015150,0.016830,0.026868,0.015763,0.015215,0.206331,0.129884,0.055664,0.000000,0.011369,0.003247,0.012965,0.035881,0.016846,0.033584,0.026859,0.027294,0.024840,0.029211,0.028066,0.031881,0.047356,0.037243,0.019081,0.018985,0.013994,0.019087,0.006851,0.000281,0.000832,0.000286,0.003627,0.010406,0.000766,0.008383
MD/mul_div_2op_symbolic,0.102032,0.067599,0.083317,0.061796,0.047525,0.012677,0.006589,0.005429,0.095447,0.010376,0.010529,0.008566,0.011369,0.000000,0.075125,0.108527,0.037436,0.086069,0.008244,0.017144,0.007621,0.010500,0.015738,0.009843,0.009528,0.006328,0.004750,0.011581,0.010623,0.012508,0.013348,0.006957,0.001864,0.001337,0.001103,0.002331,0.008358,0.005074,0.004809
MD/mul_div_2op_verbal,0.071098,0.129569,0.057449,0.102406,0.042294,0.025832,0.017431,0.021554,0.071744,0.002845,0.006505,0.011782,0.003247,0.075125,0.000000,0.070049,0.024026,0.070348,0.004777,0.008531,0.009963,0.012425,0.008925,0.006159,0.007566,0.016030,0.015892,0.015352,0.013065,0.014716,0.016036,0.005870,0.003212,0.003423,0.002079,0.003904,0.014202,0.003886,0.010681
MD/mul_div_3op_symbolic,0.096943,0.063738,0.088430,0.060200,0.047974,0.011707,0.006142,0.005001,0.095744,0.009225,0.010426,0.007511,0.012965,0.108527,0.070049,0.000000,0.040193,0.088330,0.010053,0.016528,0.010217,0.012141,0.017976,0.009834,0.011613,0.005494,0.003647,0.010284,0.013222,0.014121,0.012582,0.005724,0.002356,0.001917,0.001369,0.003857,0.004611,0.004886,0.004457
MD/number_sorting,0.036119,0.028310,0.045037,0.036189,0.029100,0.022160,0.012199,0.011897,0.038274,0.035264,0.045859,0.026056,0.035881,0.037436,0.024026,0.040193,0.000000,0.042200,0.026659,0.037137,0.028687,0.034306,0.037024,0.027131,0.024307,0.014535,0.010089,0.038565,0.029500,0.035893,0.037561,0.015263,0.002472,0.003168,0.002514,0.007436,0.027047,0.008074,0.006430
MD/simple_equation,0.090395,0.069564,0.081159,0.068153,0.049500,0.011993,0.006669,0.004224,0.099300,0.014137,0.014167,0.012213,0.016846,0.086069,0.070348,0.088330,0.042200,0.000000,0.010272,0.018073,0.008900,0.011993,0.016277,0.010877,0.012303,0.004739,0.003316,0.012140,0.012963,0.012963,0.014464,0.005755,0.001158,0.000816,0.000505,0.002133,0.007139,0.004503,0.003443
ToM/agent,0.008348,0.006628,0.013057,0.010148,0.012951,0.010082,0.020794,0.009858,0.007710,0.044053,0.060133,0.057614,0.033584,0.008244,0.004777,0.010053,0.026659,0.010272,0.000000,0.074788,0.037921,0.030400,0.078294,0.129437,0.098221,0.018084,0.018276,0.025791,0.022874,0.016264,0.022904,0.012224,0.003514,0.003276,0.002600,0.003295,0.035839,0.007651,0.003384
ToM/desires_goals,0.014442,0.012067,0.025690,0.016095,0.010061,0.011745,0.009133,0.011662,0.013327,0.030550,0.033181,0.031582,0.026859,0.017144,0.008531,0.016528,0.037137,0.018073,0.074788,0.000000,0.027873,0.032211,0.101505,0.105591,0.074483,0.012844,0.009840,0.032804,0.031222,0.024663,0.024332,0.024128,0.006436,0.004374,0.002797,0.004296,0.038134,0.018198,0.005674
ToM/emotion_fewshot,0.007205,0.009427,0.012331,0.014041,0.018696,0.026551,0.034775,0.031299,0.007464,0.024836,0.024429,0.032420,0.027294,0.007621,0.009963,0.010217,0.028687,0.008900,0.037921,0.027873,0.000000,0.087996,0.051100,0.032284,0.031291,0.030293,0.030072,0.054019,0.052825,0.045304,0.045390,0.018260,0.006697,0.008269,0.008531,0.033964,0.024919,0.018229,0.018605
ToM/norm_appropriate,0.012208,0.012871,0.015530,0.016229,0.020569,0.024994,0.035273,0.026130,0.008731,0.020403,0.029967,0.032903,0.024840,0.010500,0.012425,0.012141,0.034306,0.011993,0.030400,0.032211,0.087996,0.000000,0.045390,0.025526,0.028571,0.025758,0.025509,0.054914,0.053596,0.059272,0.061399,0.018717,0.006865,0.004817,0.004970,0.008504,0.027068,0.020705,0.015795
ToM/primary_emotions,0.015898,0.009939,0.022826,0.016003,0.011947,0.009504,0.014797,0.009088,0.013102,0.028378,0.036448,0.026123,0.029211,0.015738,0.008925,0.017976,0.037024,0.016277,0.078294,0.101505,0.051100,0.045390,0.000000,0.091453,0.062495,0.012366,0.012076,0.027434,0.028576,0.027914,0.027063,0.022459,0.004010,0.003953,0.003595,0.007009,0.033095,0.015353,0.005657
ToM/social_interactions,0.009701,0.009059,0.014872,0.011861,0.009911,0.011604,0.015692,0.012956,0.006713,0.033919,0.034846,0.039087,0.028066,0.009843,0.006159,0.009834,0.027131,0.010877,0.129437,0.105591,0.032284,0.025526,0.091453,0.000000,0.109178,0.017844,0.017148,0.026576,0.021194,0.018616,0.024927,0.014888,0.004964,0.003320,0.002322,0.003923,0.036231,0.006834,0.005613
ToM/social_relations,0.007870,0.009550,0.015034,0.013557,0.015588,0.021977,0.025648,0.026292,0.007347,0.035557,0.038622,0.043036,0.031881,0.009528,0.007566,0.011613,0.024307,0.012303,0.098221,0.074483,0.031291,0.028571,0.062495,0.109178,0.000000,0.031078,0.026947,0.024923,0.029598,0.022569,0.027594,0.020241,0.002610,0.002949,0.002213,0.004674,0.027823,0.009917,0.005349
phys/phys_newton,0.005340,0.016755,0.006022,0.011591,0.032299,0.076708,0.065991,0.091792,0.003753,0.049135,0.038580,0.037580,0.047356,0.006328,0.016030,0.005494,0.014535,0.004739,0.018084,0.012844,0.030293,0.025758,0.012366,0.017844,0.031078,0.000000,0.134632,0.026783,0.030613,0.024969,0.027643,0.013456,0.003195,0.002355,0.001505,0.026307,0.006635,0.002930,0.020680
phys/phys_prost,0.003520,0.017057,0.004198,0.010158,0.034468,0.090012,0.072986,0.111711,0.002381,0.033967,0.033790,0.034957,0.037243,0.004750,0.015892,0.003647,0.010089,0.003316,0.018276,0.009840,0.030072,0.025509,0.012076,0.017148,0.026947,0.134632,0.000000,0.027372,0.033295,0.023678,0.033884,0.010911,0.002848,0.003093,0.002164,0.033154,0.003556,0.001963,0.025440
phys/physics_buoyancy,0.010810,0.014758,0.015960,0.015445,0.014686,0.030652,0.022909,0.032834,0.009996,0.017992,0.029201,0.023172,0.019081,0.011581,0.015352,0.010284,0.038565,0.012140,0.025791,0.032804,0.054019,0.054914,0.027434,0.026576,0.024923,0.026783,0.027372,0.000000,0.072517,0.088922,0.071314,0.014628,0.006608,0.006151,0.007474,0.012510,0.009116,0.025911,0.038815
phys/physics_elasticity,0.009933,0.012003,0.014860,0.014339,0.017132,0.031281,0.028435,0.032272,0.009718,0.019688,0.027860,0.028431,0.018985,0.010623,0.013065,0.013222,0.029500,0.012963,0.022874,0.031222,0.052825,0.053596,0.028576,0.021194,0.029598,0.030613,0.033295,0.072517,0.000000,0.075023,0.063309,0.019171,0.007515,0.007190,0.006738,0.014113,0.022991,0.031212,0.032119
phys/physics_solubility,0.010988,0.015081,0.013744,0.015484,0.016205,0.030547,0.023449,0.032165,0.010778,0.016977,0.022182,0.019385,0.013994,0.012508,0.014716,0.014121,0.035893,0.012963,0.016264,0.024663,0.045304,0.059272,0.027914,0.018616,0.022569,0.024969,0.023678,0.088922,0.075023,0.000000,0.089629,0.019128,0.007847,0.007316,0.008852,0.020876,0.018100,0.033421,0.036458
phys/physics_temperature,0.013498,0.014589,0.016442,0.018249,0.019473,0.035988,0.030405,0.038633,0.010447,0.013008,0.024630,0.017428,0.019087,0.013348,0.016036,0.012582,0.037561,0.014464,0.022904,0.024332,0.045390,0.061399,0.027063,0.024927,0.027594,0.027643,0.033884,0.071314,0.063309,0.089629,0.000000,0.018194,0.007653,0.005157,0.004200,0.013958,0.017648,0.020230,0.027704
Lan/anaphor_gender_agreement,0.009147,0.005208,0.012515,0.008992,0.006874,0.012808,0.006802,0.016202,0.008302,0.002064,0.001844,0.009237,0.006851,0.006957,0.005870,0.005724,0.015263,0.005755,0.012224,0.024128,0.018260,0.018717,0.022459,0.014888,0.020241,0.013456,0.010911,0.014628,0.019171,0.019128,0.018194,0.000000,0.055037,0.034579,0.054572,0.206664,0.127361,0.130901,0.018065
Lan/det_noun_agreement_irregular,0.002630,0.002215,0.002333,0.002999,0.001554,0.003170,0.002219,0.002897,0.002841,0.002077,0.000265,0.002124,0.000281,0.001864,0.003212,0.002356,0.002472,0.001158,0.003514,0.006436,0.006697,0.006865,0.004010,0.004964,0.002610,0.003195,0.002848,0.006608,0.007515,0.007847,0.007653,0.055037,0.000000,0.278328,0.226984,0.110452,0.025536,0.088300,0.105935
Lan/det_noun_agreement_regular,0.002316,0.002922,0.003080,0.003228,0.001351,0.003630,0.002187,0.003146,0.001345,0.002633,0.000523,0.001309,0.000832,0.001337,0.003423,0.001917,0.003168,0.000816,0.003276,0.004374,0.008269,0.004817,0.003953,0.003320,0.002949,0.002355,0.003093,0.006151,0.007190,0.007316,0.005157,0.034579,0.278328,0.000000,0.249785,0.096428,0.027605,0.094965,0.116926
Lan/det_noun_agreement_with_adjective,0.001141,0.001650,0.001770,0.001928,0.000858,0.003354,0.002257,0.002947,0.000925,0.002414,0.000270,0.001621,0.000286,0.001103,0.002079,0.001369,0.002514,0.000505,0.002600,0.002797,0.008531,0.004970,0.003595,0.002322,0.002213,0.001505,0.002164,0.007474,0.006738,0.008852,0.004200,0.054572,0.226984,0.249785,0.000000,0.114100,0.025976,0.100737,0.140895
Lan/hypernymy,0.003013,0.001072,0.001359,0.004739,0.004076,0.013070,0.011473,0.016862,0.001953,0.001275,0.001139,0.009128,0.003627,0.002331,0.003904,0.003857,0.007436,0.002133,0.003295,0.004296,0.033964,0.008504,0.007009,0.003923,0.004674,0.026307,0.033154,0.012510,0.014113,0.020876,0.013958,0.206664,0.110452,0.096428,0.114100,0.000000,0.083292,0.060128,0.049905
Lan/npi,0.011239,0.011345,0.010723,0.014235,0.008933,0.010263,0.015530,0.007234,0.009341,0.018288,0.004901,0.051970,0.010406,0.008358,0.014202,0.004611,0.027047,0.007139,0.035839,0.038134,0.024919,0.027068,0.033095,0.036231,0.027823,0.006635,0.003556,0.009116,0.022991,0.018100,0.017648,0.127361,0.025536,0.027605,0.025976,0.083292,0.000000,0.142360,0.020953
Lan/subject_verb_agreement,0.004962,0.002038,0.008071,0.002252,0.005665,0.003137,0.006039,0.005889,0.005671,0.002422,0.002885,0.007227,0.000766,0.005074,0.003886,0.004886,0.008074,0.004503,0.007651,0.018198,0.018229,0.020705,0.015353,0.006834,0.009917,0.002930,0.001963,0.025911,0.031212,0.033421,0.020230,0.130901,0.088300,0.094965,0.100737,0.060128,0.142360,0.000000,0.086606
Lan/wug,0.004444,0.008438,0.003291,0.006716,0.013807,0.029073,0.035781,0.038226,0.004228,0.008839,0.004011,0.024363,0.008383,0.004809,0.010681,0.004457,0.006430,0.003443,0.003384,0.005674,0.018605,0.015795,0.005657,0.005613,0.005349,0.020680,0.025440,0.038815,0.032119,0.036458,0.027704,0.018065,0.105935,0.116926,0.140895,0.049905,0.020953,0.086606,0.000000
