,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/primary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/logic_propositional_symbolic,0.006454,0.003062,0.007824,0.007538,0.013473,0.014233,0.024379,0.016456,0.004199,0.157554,0.000000,0.061552,0.149963,0.005966,0.003859,0.005779,0.045825,0.009346,0.064822,0.033234,0.028989,0.036247,0.040623,0.033550,0.043099,0.038759,0.033166,0.027982,0.024705,0.017275,0.023481,0.002592,0.000000,0.000000,0.000000,0.003325,0.006870,0.000000,0.003819
MD/logic_syllogism_1,0.003468,0.009833,0.007228,0.012758,0.036174,0.026332,0.086089,0.028170,0.004710,0.062218,0.061552,0.000000,0.056427,0.005442,0.008292,0.003318,0.016842,0.006565,0.072455,0.029742,0.035497,0.034885,0.028313,0.038540,0.037707,0.035020,0.033657,0.021174,0.025375,0.013423,0.015224,0.005324,0.000542,0.000000,0.000535,0.006831,0.104962,0.002001,0.023374
MD/logic_syllogism_symbolic,0.010304,0.002332,0.013637,0.004647,0.011312,0.015224,0.027463,0.013318,0.008211,0.229960,0.149963,0.056427,0.000000,0.006345,0.001199,0.010150,0.035484,0.011497,0.037330,0.025494,0.029518,0.024650,0.025932,0.020373,0.036724,0.053813,0.044935,0.019388,0.020715,0.014130,0.020212,0.005839,0.000000,0.000000,0.000000,0.000000,0.007739,0.000000,0.005737
MD/mul_div_2op_symbolic,0.115550,0.080058,0.097264,0.068363,0.054263,0.007951,0.003796,0.002402,0.104868,0.005157,0.005966,0.005442,0.006345,0.000000,0.086345,0.117877,0.031181,0.095659,0.007845,0.016456,0.002935,0.008221,0.012032,0.007624,0.006623,0.002214,0.002057,0.007231,0.006605,0.009343,0.008519,0.003692,0.000251,0.000000,0.000000,0.000000,0.006524,0.000925,0.002418
MD/mul_div_2op_verbal,0.084190,0.150187,0.070324,0.116529,0.043817,0.020489,0.014536,0.017259,0.082112,0.001581,0.003859,0.008292,0.001199,0.086345,0.000000,0.079432,0.026269,0.077628,0.002200,0.003913,0.005229,0.005715,0.004638,0.002389,0.002632,0.011246,0.011564,0.012625,0.008637,0.011716,0.009372,0.001308,0.000799,0.001022,0.000000,0.001679,0.017340,0.000000,0.001928
MD/mul_div_3op_symbolic,0.110939,0.072961,0.095385,0.070097,0.053556,0.007929,0.003446,0.001958,0.106459,0.004814,0.005779,0.003318,0.010150,0.117877,0.079432,0.000000,0.034726,0.099498,0.007476,0.016841,0.006447,0.007439,0.012722,0.007309,0.008745,0.002603,0.002037,0.007374,0.009854,0.011396,0.008322,0.008053,0.001093,0.000786,0.000540,0.000000,0.000000,0.000000,0.002637
MD/number_sorting,0.034296,0.027869,0.043304,0.038415,0.028701,0.023415,0.007853,0.009938,0.037214,0.032005,0.045825,0.016842,0.035484,0.031181,0.026269,0.034726,0.000000,0.040990,0.021935,0.040253,0.033259,0.040739,0.044457,0.022410,0.021705,0.013741,0.008168,0.045784,0.030545,0.040940,0.044361,0.010182,0.001555,0.001988,0.001024,0.000000,0.053134,0.005740,0.003751
MD/simple_equation,0.100277,0.075895,0.088016,0.077901,0.057431,0.007191,0.002700,0.001042,0.113949,0.008554,0.009346,0.006565,0.011497,0.095659,0.077628,0.099498,0.040990,0.000000,0.006160,0.015522,0.006758,0.009247,0.012652,0.008989,0.007809,0.002187,0.001705,0.006585,0.009286,0.008356,0.013972,0.004753,0.000323,0.000000,0.000000,0.000000,0.008399,0.002382,0.000778
ToM/agent,0.003489,0.003520,0.008847,0.006613,0.011831,0.008072,0.018776,0.007868,0.004339,0.048937,0.064822,0.072455,0.037330,0.007845,0.002200,0.007476,0.021935,0.006160,0.000000,0.076684,0.038496,0.028801,0.097435,0.148875,0.107116,0.018199,0.017134,0.024370,0.021643,0.015986,0.021117,0.016067,0.001636,0.000523,0.000539,0.000000,0.014196,0.006038,0.002631
ToM/desires_goals,0.011355,0.007609,0.027693,0.014470,0.010439,0.012292,0.007200,0.009828,0.007390,0.028280,0.033234,0.029742,0.025494,0.016456,0.003913,0.016841,0.040253,0.015522,0.076684,0.000000,0.028688,0.031352,0.114354,0.131794,0.082043,0.010560,0.005605,0.031387,0.039237,0.023533,0.028872,0.018396,0.003211,0.001540,0.001057,0.003372,0.041796,0.005926,0.002582
ToM/emotion_fewshot,0.003345,0.005768,0.008483,0.009300,0.018430,0.026822,0.037336,0.032237,0.002295,0.026177,0.028989,0.035497,0.029518,0.002935,0.005229,0.006447,0.033259,0.006758,0.038496,0.028688,0.000000,0.097929,0.055481,0.034495,0.031715,0.027768,0.030885,0.063234,0.065980,0.046581,0.047221,0.022789,0.003660,0.002507,0.002582,0.029238,0.027224,0.013510,0.011194
ToM/norm_appropriate,0.007728,0.008124,0.010975,0.015861,0.020767,0.025813,0.039835,0.027908,0.006637,0.020131,0.036247,0.034885,0.024650,0.008221,0.005715,0.007439,0.040739,0.009247,0.028801,0.031352,0.097929,0.000000,0.049009,0.023973,0.027744,0.024512,0.023940,0.056371,0.057651,0.072212,0.071032,0.016837,0.002286,0.002740,0.001693,0.003600,0.029752,0.012655,0.014990
ToM/primary_emotions,0.010068,0.006029,0.020204,0.015708,0.010417,0.008599,0.013663,0.003693,0.006748,0.030700,0.040623,0.028313,0.025932,0.012032,0.004638,0.012722,0.044457,0.012652,0.097435,0.114354,0.055481,0.049009,0.000000,0.098139,0.060856,0.009470,0.007839,0.027053,0.027193,0.030176,0.029968,0.014264,0.003486,0.002229,0.001148,0.003660,0.045372,0.012866,0.002803
ToM/social_interactions,0.005550,0.002945,0.011264,0.006885,0.008824,0.009586,0.011508,0.011781,0.002600,0.031341,0.033550,0.038540,0.020373,0.007624,0.002389,0.007309,0.022410,0.008989,0.148875,0.131794,0.034495,0.023973,0.098139,0.000000,0.122659,0.013805,0.015183,0.022209,0.021915,0.018926,0.026185,0.024615,0.003997,0.000974,0.000501,0.000000,0.039644,0.003747,0.004898
ToM/social_relations,0.004536,0.004288,0.013035,0.008478,0.013160,0.024086,0.022987,0.028569,0.003186,0.037614,0.043099,0.037707,0.036724,0.006623,0.002632,0.008745,0.021705,0.007809,0.107116,0.082043,0.031715,0.027744,0.060856,0.122659,0.000000,0.035414,0.032332,0.023382,0.032334,0.022907,0.027377,0.025717,0.002205,0.001269,0.000871,0.005557,0.028702,0.001628,0.003191
phys/phys_newton,0.001564,0.010578,0.002612,0.008135,0.030415,0.083661,0.072666,0.102060,0.001567,0.048007,0.038759,0.035020,0.053813,0.002214,0.011246,0.002603,0.013741,0.002187,0.018199,0.010560,0.027768,0.024512,0.009470,0.013805,0.035414,0.000000,0.143475,0.030849,0.032671,0.029763,0.028702,0.014524,0.001904,0.000782,0.000806,0.030630,0.010620,0.001004,0.013695
phys/phys_prost,0.001357,0.010265,0.001757,0.007658,0.031015,0.097864,0.080680,0.121604,0.001094,0.032112,0.033166,0.033657,0.044935,0.002057,0.011564,0.002037,0.008168,0.001705,0.017134,0.005605,0.030885,0.023940,0.007839,0.015183,0.032332,0.143475,0.000000,0.034770,0.035932,0.024987,0.037182,0.008813,0.001495,0.001147,0.001182,0.028034,0.011680,0.000000,0.015693
phys/physics_buoyancy,0.005962,0.013004,0.009881,0.012726,0.014735,0.035619,0.022179,0.037183,0.005135,0.016961,0.027982,0.021174,0.019388,0.007231,0.012625,0.007374,0.045784,0.006585,0.024370,0.031387,0.063234,0.056371,0.027053,0.022209,0.023382,0.030849,0.034770,0.000000,0.077283,0.103664,0.085410,0.007304,0.004415,0.004235,0.003994,0.009371,0.009680,0.017671,0.041820
phys/physics_elasticity,0.006767,0.006553,0.013119,0.009922,0.014593,0.027534,0.029457,0.033435,0.004524,0.021192,0.024705,0.025375,0.020715,0.006605,0.008637,0.009854,0.030545,0.009286,0.021643,0.039237,0.065980,0.057651,0.027193,0.021915,0.032334,0.032671,0.035932,0.077283,0.000000,0.084536,0.066437,0.016508,0.005702,0.004548,0.004209,0.009077,0.031254,0.022821,0.040253
phys/physics_solubility,0.008987,0.012275,0.010684,0.011550,0.014944,0.033465,0.025378,0.035006,0.007179,0.015893,0.017275,0.013423,0.014130,0.009343,0.011716,0.011396,0.040940,0.008356,0.015986,0.023533,0.046581,0.072212,0.030176,0.018926,0.022907,0.029763,0.024987,0.103664,0.084536,0.000000,0.102554,0.013292,0.003552,0.002596,0.003509,0.019897,0.011744,0.033095,0.034550
phys/physics_temperature,0.006906,0.012137,0.014198,0.013006,0.017542,0.037947,0.030727,0.040141,0.008142,0.011729,0.023481,0.015224,0.020212,0.008519,0.009372,0.008322,0.044361,0.013972,0.021117,0.028872,0.047221,0.071032,0.029968,0.026185,0.027377,0.028702,0.037182,0.085410,0.066437,0.102554,0.000000,0.022722,0.003690,0.001348,0.001851,0.008857,0.012198,0.022267,0.019073
Lan/anaphor_gender_agreement,0.005043,0.001272,0.005806,0.002797,0.003196,0.010429,0.004948,0.013941,0.005695,0.000000,0.002592,0.005324,0.005839,0.003692,0.001308,0.008053,0.010182,0.004753,0.016067,0.018396,0.022789,0.016837,0.014264,0.024615,0.025717,0.014524,0.008813,0.007304,0.016508,0.013292,0.022722,0.000000,0.053997,0.031492,0.036275,0.291189,0.075988,0.184951,0.009388
Lan/det_noun_agreement_irregular,0.000513,0.000777,0.002328,0.000570,0.000434,0.001618,0.000672,0.001279,0.000580,0.001763,0.000000,0.000542,0.000000,0.000251,0.000799,0.001093,0.001555,0.000323,0.001636,0.003211,0.003660,0.002286,0.003486,0.003997,0.002205,0.001904,0.001495,0.004415,0.005702,0.003552,0.003690,0.053997,0.000000,0.281392,0.228883,0.128573,0.025789,0.097077,0.127956
Lan/det_noun_agreement_regular,0.000246,0.000745,0.001417,0.001365,0.000000,0.001293,0.000000,0.001534,0.001112,0.001691,0.000000,0.000000,0.000000,0.000000,0.001022,0.000786,0.001988,0.000000,0.000523,0.001540,0.002507,0.002740,0.002229,0.000974,0.001269,0.000782,0.001147,0.004235,0.004548,0.002596,0.001348,0.031492,0.281392,0.000000,0.259674,0.099666,0.029680,0.113969,0.144490
Lan/det_noun_agreement_with_adjective,0.000254,0.000767,0.000292,0.000844,0.000000,0.001864,0.000332,0.001580,0.000573,0.002322,0.000000,0.000535,0.000000,0.000000,0.000000,0.000540,0.001024,0.000000,0.000539,0.001057,0.002582,0.001693,0.001148,0.000501,0.000871,0.000806,0.001182,0.003994,0.004209,0.003509,0.001851,0.036275,0.228883,0.259674,0.000000,0.124522,0.025471,0.105992,0.184317
Lan/hypernymy,0.000000,0.001632,0.000000,0.003588,0.005468,0.008496,0.012696,0.010077,0.000000,0.003703,0.003325,0.006831,0.000000,0.000000,0.001679,0.000000,0.000000,0.000000,0.000000,0.003372,0.029238,0.003600,0.003660,0.000000,0.005557,0.030630,0.028034,0.009371,0.009077,0.019897,0.008857,0.291189,0.128573,0.099666,0.124522,0.000000,0.032498,0.055293,0.059471
Lan/npi,0.003342,0.016858,0.011542,0.018534,0.005648,0.017552,0.008743,0.016655,0.007547,0.022953,0.006870,0.104962,0.007739,0.006524,0.017340,0.000000,0.053134,0.008399,0.014196,0.041796,0.027224,0.029752,0.045372,0.039644,0.028702,0.010620,0.011680,0.009680,0.031254,0.011744,0.012198,0.075988,0.025789,0.029680,0.025471,0.032498,0.000000,0.149928,0.012442
Lan/subject_verb_agreement,0.000000,0.000000,0.003273,0.001051,0.000000,0.000995,0.002479,0.001181,0.005351,0.002170,0.000000,0.002001,0.000000,0.000925,0.000000,0.000000,0.005740,0.002382,0.006038,0.005926,0.013510,0.012655,0.012866,0.003747,0.001628,0.001004,0.000000,0.017671,0.022821,0.033095,0.022267,0.184951,0.097077,0.113969,0.105992,0.055293,0.149928,0.000000,0.112016
Lan/wug,0.004877,0.004374,0.002139,0.001374,0.005691,0.018051,0.032100,0.025269,0.001399,0.002836,0.003819,0.023374,0.005737,0.002418,0.001928,0.002637,0.003751,0.000778,0.002631,0.002582,0.011194,0.014990,0.002803,0.004898,0.003191,0.013695,0.015693,0.041820,0.040253,0.034550,0.019073,0.009388,0.127956,0.144490,0.184317,0.059471,0.012442,0.112016,0.000000
