,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/primary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,0.000000,0.081685,0.093592,0.076450,0.056577,0.008496,0.003672,0.002046,0.116736,0.003380,0.006454,0.003468,0.010304,0.115550,0.084190,0.110939,0.034296,0.100277,0.003489,0.011355,0.003345,0.007728,0.010068,0.005550,0.004536,0.001564,0.001357,0.005962,0.006767,0.008987,0.006906,0.005043,0.000513,0.000246,0.000254,0.000000,0.003342,0.000000,0.004877
MD/add_sub_2op_verbal,0.081685,0.000000,0.068758,0.118087,0.042884,0.020978,0.015230,0.017198,0.081159,0.002305,0.003062,0.009833,0.002332,0.080058,0.150187,0.072961,0.027869,0.075895,0.003520,0.007609,0.005768,0.008124,0.006029,0.002945,0.004288,0.010578,0.010265,0.013004,0.006553,0.012275,0.012137,0.001272,0.000777,0.000745,0.000767,0.001632,0.016858,0.000000,0.004374
MD/add_sub_3op_symbolic,0.093592,0.068758,0.000000,0.072431,0.049258,0.009982,0.001973,0.002118,0.091960,0.007399,0.007824,0.007228,0.013637,0.097264,0.070324,0.095385,0.043304,0.088016,0.008847,0.027693,0.008483,0.010975,0.020204,0.011264,0.013035,0.002612,0.001757,0.009881,0.013119,0.010684,0.014198,0.005806,0.002328,0.001417,0.000292,0.000000,0.011542,0.003273,0.002139
MD/add_sub_3op_verbal,0.076450,0.118087,0.072431,0.000000,0.041571,0.018823,0.011494,0.010488,0.075578,0.008395,0.007538,0.012758,0.004647,0.068363,0.116529,0.070097,0.038415,0.077901,0.006613,0.014470,0.009300,0.015861,0.015708,0.006885,0.008478,0.008135,0.007658,0.012726,0.009922,0.011550,0.013006,0.002797,0.000570,0.001365,0.000844,0.003588,0.018534,0.001051,0.001374
MD/code_A,0.056577,0.042884,0.049258,0.041571,0.000000,0.044204,0.106446,0.037327,0.072384,0.013074,0.013473,0.036174,0.011312,0.054263,0.043817,0.053556,0.028701,0.057431,0.011831,0.010439,0.018430,0.020767,0.010417,0.008824,0.013160,0.030415,0.031015,0.014735,0.014593,0.014944,0.017542,0.003196,0.000434,0.000000,0.000000,0.005468,0.005648,0.000000,0.005691
MD/code_B,0.008496,0.020978,0.009982,0.018823,0.044204,0.000000,0.092654,0.168333,0.008607,0.013501,0.014233,0.026332,0.015224,0.007951,0.020489,0.007929,0.023415,0.007191,0.008072,0.012292,0.026822,0.025813,0.008599,0.009586,0.024086,0.083661,0.097864,0.035619,0.027534,0.033465,0.037947,0.010429,0.001618,0.001293,0.001864,0.008496,0.017552,0.000995,0.018051
MD/code_conditional,0.003672,0.015230,0.001973,0.011494,0.106446,0.092654,0.000000,0.094583,0.002672,0.026652,0.024379,0.086089,0.027463,0.003796,0.014536,0.003446,0.007853,0.002700,0.018776,0.007200,0.037336,0.039835,0.013663,0.011508,0.022987,0.072666,0.080680,0.022179,0.029457,0.025378,0.030727,0.004948,0.000672,0.000000,0.000332,0.012696,0.008743,0.002479,0.032100
MD/code_list,0.002046,0.017198,0.002118,0.010488,0.037327,0.168333,0.094583,0.000000,0.001843,0.012692,0.016456,0.028170,0.013318,0.002402,0.017259,0.001958,0.009938,0.001042,0.007868,0.009828,0.032237,0.027908,0.003693,0.011781,0.028569,0.102060,0.121604,0.037183,0.033435,0.035006,0.040141,0.013941,0.001279,0.001534,0.001580,0.010077,0.016655,0.001181,0.025269
MD/code_loop,0.116736,0.081159,0.091960,0.075578,0.072384,0.008607,0.002672,0.001843,0.000000,0.004247,0.004199,0.004710,0.008211,0.104868,0.082112,0.106459,0.037214,0.113949,0.004339,0.007390,0.002295,0.006637,0.006748,0.002600,0.003186,0.001567,0.001094,0.005135,0.004524,0.007179,0.008142,0.005695,0.000580,0.001112,0.000573,0.000000,0.007547,0.005351,0.001399
MD/logic_propositional_1,0.003380,0.002305,0.007399,0.008395,0.013074,0.013501,0.026652,0.012692,0.004247,0.000000,0.157554,0.062218,0.229960,0.005157,0.001581,0.004814,0.032005,0.008554,0.048937,0.028280,0.026177,0.020131,0.030700,0.031341,0.037614,0.048007,0.032112,0.016961,0.021192,0.015893,0.011729,0.000000,0.001763,0.001691,0.002322,0.003703,0.022953,0.002170,0.002836
