,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/primary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
phys/physics_buoyancy,0.018922,0.022767,0.020417,0.021774,0.019986,0.025619,0.024210,0.028235,0.018082,0.020919,0.026341,0.022644,0.020544,0.018468,0.024256,0.018647,0.029190,0.020383,0.026598,0.028738,0.041898,0.043514,0.025712,0.026114,0.024913,0.023634,0.024654,0.000000,0.049339,0.058114,0.045271,0.021685,0.019151,0.018972,0.019348,0.024033,0.021048,0.025883,0.029978
phys/physics_elasticity,0.020623,0.023721,0.022530,0.023350,0.022305,0.026265,0.026873,0.028698,0.020482,0.019226,0.022609,0.024119,0.018472,0.020317,0.024686,0.021081,0.025350,0.020952,0.022097,0.023891,0.041036,0.035895,0.025543,0.022875,0.024443,0.024059,0.026414,0.049339,0.000000,0.049235,0.046607,0.025712,0.020495,0.019849,0.020916,0.027316,0.023180,0.027544,0.031895
phys/physics_solubility,0.018967,0.022713,0.020312,0.022574,0.020146,0.026213,0.024151,0.028052,0.018082,0.019749,0.024400,0.022394,0.018757,0.018441,0.025154,0.018296,0.027402,0.019779,0.020603,0.026251,0.037275,0.041016,0.023477,0.022244,0.022338,0.023601,0.023717,0.058114,0.049235,0.000000,0.061021,0.025222,0.020746,0.020370,0.021349,0.025221,0.023642,0.028167,0.030811
phys/physics_temperature,0.020595,0.024704,0.022544,0.023441,0.022388,0.029327,0.026076,0.032166,0.020453,0.016761,0.021191,0.022823,0.017985,0.020716,0.026469,0.020451,0.028077,0.021489,0.020654,0.024029,0.041168,0.039858,0.023721,0.022174,0.024669,0.023613,0.026395,0.045271,0.046607,0.061021,0.000000,0.023824,0.020608,0.018709,0.019320,0.024812,0.020587,0.025849,0.029455
Lan/anaphor_gender_agreement,0.018806,0.019748,0.019668,0.017487,0.015752,0.024803,0.020609,0.027524,0.017787,0.013049,0.013494,0.016831,0.015072,0.018501,0.022474,0.016215,0.019174,0.017664,0.016544,0.022022,0.026078,0.023331,0.023451,0.018477,0.019344,0.018484,0.020505,0.021685,0.025712,0.025222,0.023824,0.000000,0.047588,0.046263,0.053929,0.072374,0.059604,0.064786,0.036122
Lan/det_noun_agreement_irregular,0.011593,0.014470,0.013603,0.013282,0.011523,0.017649,0.014446,0.019213,0.012429,0.007513,0.007527,0.011010,0.007411,0.011896,0.016522,0.012067,0.010787,0.011639,0.010291,0.013384,0.019393,0.017887,0.014060,0.011928,0.013042,0.012075,0.014704,0.019151,0.020495,0.020746,0.020608,0.047588,0.000000,0.169071,0.138701,0.067326,0.038881,0.057648,0.048438
Lan/det_noun_agreement_regular,0.011038,0.013811,0.013808,0.012723,0.011261,0.017190,0.013642,0.019164,0.012658,0.007659,0.007068,0.010588,0.007294,0.011540,0.015900,0.012446,0.010680,0.011821,0.010087,0.013165,0.019546,0.016982,0.013921,0.011899,0.012454,0.012309,0.014186,0.018972,0.019849,0.020370,0.018709,0.046263,0.169071,0.000000,0.143984,0.068433,0.038685,0.058092,0.052728
Lan/det_noun_agreement_with_adjective,0.009890,0.012957,0.011905,0.011445,0.010198,0.018037,0.014583,0.020241,0.010533,0.008662,0.007155,0.009716,0.007672,0.009791,0.015005,0.010183,0.010200,0.009634,0.009409,0.012759,0.020330,0.017312,0.013611,0.011163,0.011630,0.014109,0.016067,0.019348,0.020916,0.021349,0.019320,0.053929,0.138701,0.143984,0.000000,0.078505,0.042575,0.064778,0.062397
Lan/hypernymy,0.011377,0.015582,0.014208,0.012782,0.014327,0.029914,0.022834,0.035401,0.012746,0.011558,0.009156,0.014691,0.011105,0.012012,0.018796,0.011900,0.011723,0.010723,0.012338,0.016136,0.028662,0.022494,0.016236,0.012981,0.015247,0.028460,0.033758,0.024033,0.027316,0.025221,0.024812,0.072374,0.067326,0.068433,0.078505,0.000000,0.042123,0.059587,0.043123
Lan/npi,0.017267,0.019151,0.020726,0.020304,0.015940,0.016417,0.020745,0.016465,0.019287,0.024217,0.023138,0.033992,0.021083,0.018075,0.019094,0.017873,0.024154,0.020426,0.031840,0.029535,0.023294,0.028397,0.030057,0.027187,0.027249,0.016113,0.015907,0.021048,0.023180,0.023642,0.020587,0.059604,0.038881,0.038685,0.042575,0.042123,0.000000,0.059696,0.032048
Lan/subject_verb_agreement,0.016987,0.017267,0.019869,0.018425,0.015797,0.020880,0.019370,0.024208,0.018052,0.011194,0.010154,0.014634,0.011026,0.017801,0.021731,0.018054,0.018136,0.015772,0.013450,0.018551,0.026512,0.023534,0.019579,0.016086,0.017596,0.014672,0.016920,0.025883,0.027544,0.028167,0.025849,0.064786,0.057648,0.058092,0.064778,0.059587,0.059696,0.000000,0.051713
Lan/wug,0.015817,0.023484,0.017466,0.020591,0.021551,0.034028,0.030125,0.037729,0.015965,0.014274,0.013457,0.020112,0.013888,0.015084,0.025758,0.014859,0.016942,0.015859,0.012601,0.016501,0.026286,0.025568,0.014890,0.013785,0.015318,0.027743,0.031607,0.029978,0.031895,0.030811,0.029455,0.036122,0.048438,0.052728,0.062397,0.043123,0.032048,0.051713,0.000000
