source\target,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_syllogism_1,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/material,phys/phys_newton,phys/phys_prost,phys/physics_elasticity,phys/physics_solubility,phys/physics_temperature,phys/spatial
MD/number_sequence,0.0000,0.0013,0.0000,0.0000,0.0011,0.0099,0.8123,0.8859,0.7801,0.5665,0.0747,0.0000,0.0485,0.7041,0.0015,0.5082,0.5868,0.5771,0.9442,0.5504,0.8656,0.0129,0.0000,0.0005,0.0005,0.0015,0.0000,0.0000,0.0000,0.0043,0.0125,0.0174,0.0010,0.0000,0.0218,0.0000,0.0000
MD/number_sorting,0.0000,0.0027,0.0018,0.0000,0.0000,0.0029,0.0010,0.0071,0.0038,0.0034,0.1146,0.0010,0.1021,0.0129,0.0000,0.0000,0.0018,0.0043,0.0506,0.4209,0.0055,0.0116,0.0000,0.0107,0.0005,0.0124,0.0000,0.0154,0.0000,0.0086,0.0175,0.0305,0.0095,0.0000,0.0451,0.0000,0.0511
MD/simple_equation,0.0000,0.0000,0.0000,0.0000,0.0011,0.0033,0.9475,0.9212,0.9003,0.6257,0.0075,0.0000,0.0010,0.9205,0.0015,0.9990,0.9543,0.9600,0.6615,0.3686,0.9863,0.0103,0.0000,0.0005,0.0000,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0065,0.0010,0.0000,0.0047,0.0000,0.0073
ToM/agent,0.0000,0.0013,0.0000,0.0000,0.0011,0.0008,0.0000,0.0012,0.0000,0.0302,0.0511,0.0280,0.0155,0.0012,0.2163,0.0000,0.0018,0.0000,0.0208,0.0311,0.0000,0.0940,0.0000,0.0163,0.0475,0.0597,0.0114,0.0482,0.0833,0.1803,0.2356,0.0152,0.0048,0.0000,0.0653,0.0000,0.1606
ToM/desires_goals,0.0000,0.0013,0.0000,0.0000,0.0011,0.0008,0.0000,0.0024,0.0013,0.0000,0.0162,0.0000,0.0041,0.0023,0.0160,0.0000,0.0018,0.0029,0.0052,0.0062,0.0014,0.0103,0.0000,0.0025,0.0000,0.0010,0.0000,0.0014,0.0000,0.0129,0.0201,0.0109,0.0010,0.0000,0.0156,0.0000,0.0365
ToM/emotion_fewshot,0.0000,0.0013,0.0000,0.0000,0.0022,0.0004,0.0000,0.0035,0.0026,0.0056,0.0648,0.0031,0.0247,0.0035,0.0058,0.0010,0.0146,0.0014,0.0065,0.0511,0.0014,0.0142,0.0000,0.9975,0.5048,0.4923,0.6751,0.4630,0.0476,0.0730,0.1103,0.0501,0.0429,0.0066,0.1960,0.0025,0.0876
ToM/norm_appropriate,0.0000,0.0067,0.0000,0.0000,0.0011,0.0037,0.0000,0.0012,0.0038,0.0246,0.0498,0.0135,0.0144,0.0023,0.2656,0.0000,0.0018,0.0057,0.0195,0.0199,0.0014,0.0438,0.0000,0.3435,1.0000,0.9495,0.0749,0.1522,0.0714,0.0944,0.1404,0.0751,0.0591,0.0171,0.1586,0.0000,0.1460
ToM/norm_moral,0.0000,0.0013,0.0000,0.0000,0.0000,0.0029,0.0000,0.0047,0.0000,0.0212,0.0498,0.0156,0.0175,0.0012,0.4383,0.0000,0.0128,0.0071,0.0156,0.0075,0.0000,0.0425,0.0000,0.2997,0.9915,1.0000,0.0749,0.1362,0.0774,0.1073,0.1404,0.0979,0.0934,0.0079,0.1509,0.0051,0.1314
ToM/primary_emotions,0.0000,0.0000,0.0000,0.0000,0.0011,0.0008,0.0000,0.0012,0.0000,0.0000,0.0112,0.0010,0.0010,0.0035,0.0131,0.0000,0.0055,0.0014,0.0195,0.0062,0.0027,0.0077,0.0000,0.3206,0.0090,0.0237,0.0432,0.2709,0.0000,0.0086,0.0100,0.0011,0.0010,0.0000,0.0093,0.0000,0.0292
ToM/secondary_emotions,0.0000,0.0013,0.0000,0.0000,0.0000,0.0012,0.0000,0.0035,0.0000,0.0000,0.0100,0.0000,0.0010,0.0012,0.0029,0.0000,0.0000,0.0029,0.0052,0.0274,0.0014,0.0129,0.0000,0.3812,0.0445,0.0721,0.1792,0.3401,0.0000,0.0086,0.0000,0.0413,0.0229,0.0000,0.0358,0.0000,0.0292
ToM/social_interactions,0.0000,0.0027,0.0000,0.0000,0.0011,0.0181,0.0000,0.0012,0.0013,0.0212,0.1059,0.0187,0.0340,0.0082,0.0624,0.0000,0.0018,0.0029,0.0272,0.0025,0.0000,0.0734,0.0000,0.0305,0.1036,0.1262,0.0163,0.0524,0.1190,0.2017,0.2707,0.0337,0.0257,0.0000,0.1166,0.0000,0.1606
ToM/social_relations,0.0000,0.0027,0.0018,0.0000,0.0011,0.0082,0.0000,0.0035,0.0000,0.0268,0.1382,0.0239,0.0412,0.0000,0.0015,0.0000,0.0018,0.0071,0.0428,0.0224,0.0000,0.0914,0.0000,0.0056,0.0035,0.0711,0.0008,0.0063,0.0774,0.2318,0.2431,0.0392,0.0248,0.0000,0.1151,0.0000,0.1606
phys/material,0.0000,0.0027,0.0000,0.0000,0.0011,0.0008,0.0000,0.0000,0.0000,0.0212,0.0822,0.0166,0.0299,0.0094,0.0116,0.0000,0.0000,0.0043,0.0272,0.0187,0.0000,0.0476,0.0000,0.0025,0.0010,0.0160,0.0000,0.0021,0.0417,0.1373,0.3008,0.0098,0.0086,0.0000,0.0373,0.0000,0.1241
phys/phys_newton,0.0000,0.0000,0.0000,0.0000,0.0011,0.0255,0.0000,0.0035,0.0013,0.0525,0.3350,0.0508,0.2433,0.0000,0.0015,0.0000,0.0183,0.0086,0.0195,0.0374,0.0027,0.1042,0.0000,0.0468,0.1146,0.2173,0.0057,0.0154,0.0952,0.1803,0.2807,0.8585,0.6625,0.2145,0.3795,0.0038,0.1679
phys/phys_prost,0.0000,0.0013,0.0018,0.0000,0.0011,0.0279,0.0000,0.0047,0.0038,0.0425,0.3051,0.0363,0.2093,0.0012,0.0029,0.0010,0.0055,0.0086,0.0246,0.0448,0.0027,0.0888,0.0000,0.0565,0.2316,0.3218,0.0155,0.0237,0.0119,0.1502,0.1378,0.6812,0.8484,0.0803,0.2442,0.0038,0.1022
phys/physics_elasticity,0.0000,0.0027,0.0000,0.0000,0.0022,0.0070,0.0000,0.0012,0.0000,0.0056,0.0685,0.0031,0.0237,0.0012,0.0000,0.0000,0.0037,0.0057,0.0169,0.0199,0.0014,0.0116,0.0000,0.0346,0.0260,0.0772,0.0407,0.0196,0.0119,0.0773,0.1303,0.0511,0.0448,1.0000,0.1617,0.0000,0.0803
phys/physics_solubility,0.0000,0.0013,0.0000,0.0000,0.0032,0.0086,0.0010,0.0024,0.0000,0.0089,0.0623,0.0031,0.0216,0.0023,0.0174,0.0000,0.0091,0.0014,0.0182,0.0137,0.0000,0.0270,0.0000,0.0137,0.0045,0.0206,0.0008,0.0084,0.0179,0.0730,0.1328,0.0381,0.0200,0.0197,0.9969,0.7009,0.0803
phys/physics_temperature,0.0000,0.0000,0.0018,0.0000,0.0054,0.0041,0.0000,0.0035,0.0013,0.0067,0.0498,0.0031,0.0196,0.0023,0.0015,0.0000,0.0055,0.0029,0.0052,0.0436,0.0014,0.0142,0.0000,0.0081,0.0000,0.0407,0.0008,0.0091,0.0060,0.0558,0.0977,0.0207,0.0124,0.0184,0.4137,1.0000,0.0292
phys/spatial,0.0000,0.0040,0.0000,0.0000,0.0011,0.0049,0.0000,0.0012,0.0026,0.0223,0.0922,0.0259,0.0258,0.0023,0.0682,0.0000,0.0000,0.0043,0.0220,0.0212,0.0000,0.0656,0.0000,0.0122,0.0185,0.0592,0.0090,0.0209,0.0893,0.2017,0.2481,0.0413,0.0248,0.0000,0.0669,0.0000,0.2482
