,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/wug
ToM/primary_emotions,0.0000,0.0009,0.0000,0.0044,0.0044,0.0052,0.0096,0.0052,0.0026,0.0087,0.0244,0.0087,0.0070,0.0000,0.0000,0.0000,0.0070,0.0017,0.0628,0.0567,0.0297,0.0175,0.0113,1.0000,0.2269,0.0733,0.0698,0.0061,0.0044,0.0079,0.0096,0.0087,0.0044,0.0096,0.0148,0.0087,0.0017,0.0044,0.0026,0.0044,0.0061,0.0052,0.0026
ToM/secondary_emotions,0.0000,0.0061,0.0000,0.0096,0.0070,0.0209,0.0131,0.0166,0.0044,0.0131,0.0244,0.0166,0.0140,0.0009,0.0113,0.0009,0.0122,0.0044,0.0724,0.1379,0.0436,0.0253,0.0201,0.2269,1.0000,0.1169,0.0724,0.0297,0.0253,0.0096,0.0201,0.0140,0.0192,0.0218,0.0253,0.0201,0.0026,0.0070,0.0061,0.0061,0.0052,0.0070,0.0035
ToM/social_interactions,0.0000,0.0061,0.0000,0.0131,0.0166,0.0401,0.0279,0.0410,0.0035,0.0358,0.0515,0.0401,0.0358,0.0000,0.0052,0.0009,0.0183,0.0026,0.1876,0.0960,0.0401,0.0550,0.0480,0.0733,0.1169,1.0000,0.1449,0.0585,0.0585,0.0253,0.0349,0.0384,0.0332,0.0314,0.0436,0.0236,0.0087,0.0087,0.0061,0.0070,0.0087,0.0079,0.0052
ToM/social_relations,0.0000,0.0079,0.0000,0.0131,0.0489,0.0855,0.0689,0.0829,0.0096,0.0445,0.0567,0.0497,0.0654,0.0009,0.0070,0.0017,0.0288,0.0044,0.1422,0.0916,0.0532,0.0489,0.0593,0.0698,0.0724,0.1449,1.0000,0.1065,0.1038,0.0532,0.0401,0.0480,0.0445,0.0305,0.0471,0.0454,0.0096,0.0105,0.0087,0.0061,0.0122,0.0070,0.0070
phys/phys_newton,0.0035,0.0829,0.0026,0.0244,0.1169,0.3464,0.1972,0.3455,0.0070,0.1274,0.0742,0.0637,0.1763,0.0052,0.0628,0.0035,0.0436,0.0026,0.0532,0.0192,0.1178,0.0977,0.1152,0.0061,0.0297,0.0585,0.1065,1.0000,0.6222,0.1213,0.1483,0.1047,0.1457,0.0942,0.1309,0.1108,0.0079,0.0026,0.0026,0.0017,0.0070,0.0009,0.0087
phys/phys_prost,0.0061,0.0855,0.0044,0.0297,0.1195,0.3743,0.2086,0.3691,0.0096,0.1091,0.0593,0.0637,0.1588,0.0079,0.0637,0.0044,0.0401,0.0009,0.0506,0.0148,0.1195,0.0881,0.1222,0.0044,0.0253,0.0585,0.1038,0.6222,1.0000,0.1187,0.1475,0.1143,0.1405,0.1030,0.1335,0.1291,0.0044,0.0017,0.0035,0.0035,0.0070,0.0000,0.0113
phys/physics_brightness,0.0035,0.0305,0.0026,0.0253,0.0585,0.1326,0.1117,0.1283,0.0079,0.0236,0.0131,0.0340,0.0497,0.0026,0.0279,0.0052,0.0253,0.0044,0.0166,0.0131,0.0934,0.0846,0.0803,0.0079,0.0096,0.0253,0.0532,0.1213,0.1187,1.0000,0.1003,0.0768,0.1082,0.0829,0.1030,0.0846,0.0105,0.0201,0.0236,0.0244,0.0244,0.0140,0.0227
phys/physics_buoyancy,0.0000,0.0663,0.0000,0.0218,0.0515,0.1527,0.0908,0.1466,0.0140,0.0209,0.0122,0.0358,0.0567,0.0009,0.0541,0.0000,0.0323,0.0017,0.0209,0.0148,0.1056,0.0838,0.0829,0.0096,0.0201,0.0349,0.0401,0.1483,0.1475,0.1003,1.0000,0.1204,0.1492,0.1344,0.1117,0.1387,0.0157,0.0131,0.0175,0.0157,0.0192,0.0079,0.0244
phys/physics_elasticity,0.0000,0.0175,0.0009,0.0122,0.0445,0.0864,0.0672,0.0908,0.0096,0.0244,0.0087,0.0218,0.0445,0.0000,0.0140,0.0009,0.0253,0.0044,0.0192,0.0131,0.0672,0.0829,0.0855,0.0087,0.0140,0.0384,0.0480,0.1047,0.1143,0.0768,0.1204,1.0000,0.1030,0.0637,0.0777,0.0899,0.0105,0.0166,0.0192,0.0209,0.0140,0.0061,0.0201
phys/physics_solubility,0.0052,0.0480,0.0035,0.0244,0.0602,0.1553,0.1047,0.1623,0.0105,0.0262,0.0131,0.0314,0.0454,0.0026,0.0445,0.0052,0.0262,0.0079,0.0218,0.0166,0.0899,0.0602,0.0689,0.0044,0.0192,0.0332,0.0445,0.1457,0.1405,0.1082,0.1492,0.1030,1.0000,0.0951,0.0986,0.1126,0.0122,0.0157,0.0166,0.0166,0.0218,0.0070,0.0183
phys/physics_speed,0.0044,0.0698,0.0035,0.0271,0.0672,0.1117,0.1056,0.1065,0.0113,0.0271,0.0105,0.0558,0.0349,0.0052,0.0480,0.0052,0.0314,0.0035,0.0271,0.0140,0.1291,0.1065,0.0908,0.0096,0.0218,0.0314,0.0305,0.0942,0.1030,0.0829,0.1344,0.0637,0.0951,1.0000,0.1536,0.0899,0.0131,0.0183,0.0175,0.0175,0.0332,0.0140,0.0087
phys/physics_stability,0.0026,0.0349,0.0017,0.0227,0.0550,0.1134,0.1012,0.1257,0.0096,0.0349,0.0140,0.0620,0.0672,0.0035,0.0236,0.0026,0.0297,0.0026,0.0297,0.0113,0.1248,0.2112,0.1736,0.0148,0.0253,0.0436,0.0471,0.1309,0.1335,0.1030,0.1117,0.0777,0.0986,0.1536,1.0000,0.0803,0.0113,0.0227,0.0192,0.0236,0.0366,0.0157,0.0113
phys/physics_temperature,0.0061,0.0558,0.0044,0.0279,0.0462,0.1300,0.0881,0.1361,0.0140,0.0183,0.0079,0.0314,0.0297,0.0052,0.0419,0.0052,0.0192,0.0061,0.0140,0.0175,0.0838,0.0663,0.1143,0.0087,0.0201,0.0236,0.0454,0.1108,0.1291,0.0846,0.1387,0.0899,0.1126,0.0899,0.0803,1.0000,0.0122,0.0262,0.0271,0.0262,0.0375,0.0148,0.0157
Lan/anaphor_gender_agreement,0.0009,0.0035,0.0000,0.0087,0.0017,0.0044,0.0070,0.0061,0.0096,0.0017,0.0052,0.0113,0.0026,0.0000,0.0035,0.0009,0.0026,0.0017,0.0061,0.0113,0.0253,0.0175,0.0105,0.0017,0.0026,0.0087,0.0096,0.0079,0.0044,0.0105,0.0157,0.0105,0.0122,0.0131,0.0113,0.0122,1.0000,0.0305,0.0279,0.0288,0.0358,0.0201,0.0087
Lan/det_noun_agreement_irregular,0.0009,0.0061,0.0009,0.0105,0.0009,0.0000,0.0113,0.0061,0.0105,0.0009,0.0009,0.0166,0.0009,0.0000,0.0044,0.0000,0.0026,0.0017,0.0035,0.0079,0.0288,0.0192,0.0140,0.0044,0.0070,0.0087,0.0105,0.0026,0.0017,0.0201,0.0131,0.0166,0.0157,0.0183,0.0227,0.0262,0.0305,1.0000,0.6414,0.5375,0.0899,0.0183,0.1257
Lan/det_noun_agreement_regular,0.0009,0.0052,0.0009,0.0096,0.0026,0.0009,0.0166,0.0061,0.0122,0.0000,0.0009,0.0148,0.0009,0.0009,0.0044,0.0000,0.0009,0.0000,0.0035,0.0070,0.0323,0.0227,0.0157,0.0026,0.0061,0.0061,0.0087,0.0026,0.0035,0.0236,0.0175,0.0192,0.0166,0.0175,0.0192,0.0271,0.0279,0.6414,1.0000,0.6230,0.0908,0.0192,0.1492
Lan/det_noun_agreement_with_adjective,0.0009,0.0009,0.0009,0.0122,0.0017,0.0009,0.0122,0.0052,0.0122,0.0000,0.0000,0.0157,0.0009,0.0000,0.0017,0.0009,0.0017,0.0017,0.0044,0.0079,0.0288,0.0244,0.0157,0.0044,0.0061,0.0070,0.0061,0.0017,0.0035,0.0244,0.0157,0.0209,0.0166,0.0175,0.0236,0.0262,0.0288,0.5375,0.6230,1.0000,0.1030,0.0201,0.1728
Lan/hypernymy,0.0000,0.0044,0.0000,0.0131,0.0044,0.0061,0.0175,0.0087,0.0122,0.0017,0.0000,0.0183,0.0017,0.0000,0.0044,0.0009,0.0009,0.0009,0.0026,0.0131,0.0340,0.0244,0.0131,0.0061,0.0052,0.0087,0.0122,0.0070,0.0070,0.0244,0.0192,0.0140,0.0218,0.0332,0.0366,0.0375,0.0358,0.0899,0.0908,0.1030,1.0000,0.0253,0.0236
Lan/npi,0.0000,0.0000,0.0000,0.0035,0.0017,0.0000,0.0052,0.0026,0.0122,0.0026,0.0009,0.0236,0.0044,0.0000,0.0000,0.0017,0.0009,0.0017,0.0061,0.0096,0.0148,0.0157,0.0026,0.0052,0.0070,0.0079,0.0070,0.0009,0.0000,0.0140,0.0079,0.0061,0.0070,0.0140,0.0157,0.0148,0.0201,0.0183,0.0192,0.0201,0.0253,1.0000,0.0052
Lan/wug,0.0079,0.0052,0.0017,0.0052,0.0079,0.0358,0.0366,0.0366,0.0061,0.0026,0.0000,0.0113,0.0026,0.0009,0.0009,0.0000,0.0017,0.0017,0.0052,0.0044,0.0157,0.0096,0.0113,0.0026,0.0035,0.0052,0.0070,0.0087,0.0113,0.0227,0.0244,0.0201,0.0183,0.0087,0.0113,0.0157,0.0087,0.1257,0.1492,0.1728,0.0236,0.0052,1.0000
