,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/wug
MD/add_sub_2op_symbolic,0.000000,0.035377,0.079598,0.033759,0.032410,0.030638,0.026141,0.030099,0.037362,0.003422,0.006187,0.019373,0.013085,0.069147,0.035479,0.054551,0.011570,0.043962,0.007473,0.009852,0.019723,0.016992,0.016464,0.006002,0.009174,0.009302,0.010317,0.017956,0.020590,0.021022,0.019667,0.020008,0.021999,0.019186,0.017762,0.022117,0.020438,0.019827,0.018960,0.019920,0.024644,0.015318,0.033129
MD/add_sub_2op_verbal,0.035377,0.000000,0.034149,0.061075,0.029839,0.029337,0.026468,0.028528,0.031588,0.007467,0.008673,0.021414,0.014614,0.033962,0.078005,0.034205,0.015419,0.037012,0.008981,0.012376,0.022318,0.020804,0.020499,0.008260,0.011468,0.011651,0.012961,0.019921,0.021885,0.022790,0.023981,0.022983,0.025760,0.023126,0.021250,0.025804,0.019312,0.018031,0.017214,0.018074,0.019542,0.016876,0.027001
MD/add_sub_3op_symbolic,0.079598,0.034149,0.000000,0.034176,0.030080,0.030069,0.025991,0.030170,0.033696,0.003793,0.006393,0.019300,0.013811,0.065501,0.034238,0.053694,0.013733,0.043278,0.008111,0.010291,0.020583,0.017191,0.016807,0.006611,0.009908,0.010225,0.011302,0.019055,0.021625,0.021879,0.020327,0.020020,0.022565,0.018594,0.018279,0.022549,0.020199,0.019207,0.019090,0.020192,0.025461,0.015838,0.032419
MD/add_sub_3op_verbal,0.033759,0.061075,0.034176,0.000000,0.027262,0.025178,0.023764,0.024358,0.031364,0.009851,0.012260,0.022600,0.019121,0.033670,0.061609,0.035893,0.022878,0.038789,0.011719,0.015567,0.021907,0.020839,0.022624,0.011047,0.013796,0.014369,0.015586,0.017616,0.019144,0.022970,0.023213,0.024246,0.025814,0.022763,0.021611,0.024260,0.019473,0.018192,0.017651,0.017902,0.019083,0.017158,0.023845
MD/code_A,0.032410,0.029839,0.030080,0.027262,0.000000,0.034680,0.070302,0.031793,0.070077,0.014602,0.013294,0.027081,0.019837,0.031814,0.028049,0.032540,0.024810,0.036581,0.011831,0.012481,0.020476,0.020832,0.018889,0.009546,0.011550,0.013239,0.014900,0.023766,0.025268,0.021180,0.020627,0.020587,0.020859,0.021531,0.021073,0.021950,0.016832,0.014454,0.013858,0.013874,0.017211,0.015559,0.022579
MD/code_B,0.030638,0.029337,0.030069,0.025178,0.034680,0.000000,0.043007,0.066113,0.023845,0.013534,0.010704,0.022753,0.019077,0.028321,0.028364,0.025341,0.014816,0.022287,0.010566,0.012622,0.024273,0.021588,0.022647,0.007530,0.011661,0.012889,0.015140,0.036196,0.038976,0.024797,0.026061,0.024925,0.027399,0.022303,0.022712,0.027243,0.019043,0.018186,0.016980,0.018260,0.023114,0.014172,0.032654
MD/code_conditional,0.026141,0.026468,0.025991,0.023764,0.070302,0.043007,0.000000,0.041038,0.022907,0.016800,0.014223,0.032803,0.020940,0.024680,0.025576,0.022273,0.017296,0.020445,0.012462,0.013396,0.024488,0.024276,0.022204,0.009671,0.012611,0.014210,0.016446,0.029096,0.031108,0.025043,0.024691,0.025264,0.025748,0.025315,0.024986,0.025941,0.019572,0.017641,0.016621,0.017602,0.020811,0.016753,0.029390
MD/code_list,0.030099,0.028528,0.030170,0.024358,0.031793,0.066113,0.041038,0.000000,0.022339,0.011761,0.009552,0.021618,0.018019,0.028245,0.028256,0.024660,0.013176,0.021416,0.009811,0.011673,0.026121,0.023067,0.023337,0.006729,0.011180,0.012711,0.015206,0.036412,0.039912,0.025825,0.028358,0.026743,0.028628,0.023218,0.023644,0.028897,0.019736,0.018772,0.017357,0.018891,0.024950,0.014327,0.033357
MD/code_loop,0.037362,0.031588,0.033696,0.031364,0.070077,0.023845,0.022907,0.022339,0.000000,0.014810,0.017272,0.025451,0.020466,0.039230,0.031404,0.043987,0.032172,0.046892,0.013307,0.016267,0.018740,0.019005,0.018203,0.013241,0.013335,0.015146,0.015218,0.016917,0.018653,0.019468,0.020383,0.019202,0.020955,0.019205,0.019141,0.021354,0.021867,0.017784,0.017178,0.016961,0.020469,0.020538,0.022601
MD/logic_propositional_1,0.003422,0.007467,0.003793,0.009851,0.014602,0.013534,0.016800,0.011761,0.014810,0.000000,0.117352,0.031924,0.095864,0.004249,0.006151,0.006710,0.029131,0.009806,0.056119,0.046129,0.011384,0.014574,0.013748,0.043386,0.031950,0.037337,0.042174,0.060131,0.044585,0.011882,0.012931,0.011016,0.010592,0.012618,0.013768,0.008685,0.024759,0.009412,0.010446,0.010888,0.013232,0.038739,0.012289
