,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/wug
ToM/norm_appropriate,0.003279,0.013181,0.002232,0.014155,0.018630,0.022449,0.030470,0.024285,0.009922,0.025224,0.014215,0.034476,0.023819,0.004120,0.011587,0.004787,0.037398,0.005950,0.017530,0.019719,0.046762,0.000000,0.081812,0.015769,0.017973,0.023279,0.021026,0.026541,0.023988,0.037482,0.034350,0.038423,0.028498,0.043565,0.070830,0.031392,0.020810,0.011239,0.010234,0.011285,0.022181,0.027189,0.017944
ToM/norm_moral,0.004427,0.009578,0.004912,0.009571,0.016076,0.028729,0.025348,0.029693,0.005592,0.022425,0.015030,0.027905,0.031574,0.004921,0.010595,0.005718,0.045355,0.004496,0.019965,0.014390,0.048963,0.081812,0.000000,0.013961,0.014839,0.023971,0.027020,0.029793,0.032330,0.042880,0.035832,0.041032,0.031884,0.042013,0.065553,0.053602,0.015278,0.007992,0.008346,0.009274,0.014504,0.008796,0.014022
ToM/primary_emotions,0.000642,0.003402,0.000766,0.008057,0.005370,0.003995,0.007595,0.004187,0.005695,0.024269,0.056370,0.013860,0.013557,0.002488,0.003376,0.003094,0.026994,0.003428,0.090554,0.101907,0.025816,0.015769,0.013961,0.000000,0.267619,0.080578,0.061733,0.007183,0.006178,0.009670,0.009464,0.011487,0.007051,0.010194,0.014539,0.007662,0.020498,0.005418,0.004288,0.004058,0.008994,0.024010,0.004226
ToM/secondary_emotions,0.001584,0.005647,0.001892,0.006472,0.006120,0.009075,0.011601,0.009415,0.006491,0.016085,0.037835,0.019502,0.012803,0.002471,0.007103,0.005409,0.016268,0.004085,0.057365,0.126797,0.025388,0.017973,0.014839,0.267619,0.000000,0.076106,0.045216,0.011046,0.010562,0.009945,0.010571,0.011320,0.013260,0.012432,0.014358,0.013395,0.019335,0.006392,0.005346,0.006201,0.012100,0.023682,0.008892
ToM/social_interactions,0.000988,0.005693,0.001769,0.009281,0.006885,0.013259,0.011709,0.012481,0.007612,0.032186,0.053843,0.024509,0.024630,0.002802,0.005569,0.003596,0.029594,0.005979,0.125977,0.086473,0.022687,0.023279,0.023971,0.080578,0.076106,0.000000,0.067369,0.018135,0.019238,0.015755,0.016691,0.019766,0.015458,0.014937,0.019920,0.015614,0.022974,0.008813,0.006236,0.006879,0.010999,0.020667,0.009093
ToM/social_relations,0.001679,0.005623,0.001838,0.008546,0.014957,0.019406,0.020922,0.019738,0.008200,0.034576,0.058082,0.034364,0.033956,0.002441,0.006243,0.004071,0.034558,0.005658,0.092948,0.070296,0.022650,0.021026,0.027020,0.061733,0.045216,0.067369,0.000000,0.026461,0.025112,0.024760,0.019223,0.025598,0.018731,0.016155,0.017767,0.019713,0.017109,0.007323,0.006312,0.006335,0.013239,0.025071,0.007974
phys/phys_newton,0.004575,0.017215,0.004525,0.011172,0.023580,0.054897,0.037999,0.055398,0.007602,0.062976,0.042973,0.025246,0.055087,0.004461,0.015216,0.003817,0.029037,0.004230,0.019038,0.010469,0.029627,0.026541,0.029793,0.007183,0.011046,0.018135,0.026461,0.000000,0.094835,0.033313,0.034543,0.029806,0.035286,0.024872,0.030944,0.030506,0.009859,0.003279,0.003309,0.003520,0.009088,0.004526,0.014015
phys/phys_prost,0.005150,0.018289,0.004810,0.011000,0.023993,0.059183,0.040911,0.060342,0.007217,0.051140,0.033804,0.025273,0.049868,0.004975,0.015839,0.003874,0.027387,0.004118,0.018237,0.011440,0.028674,0.023988,0.032330,0.006178,0.010562,0.019238,0.025112,0.094835,0.000000,0.032714,0.034928,0.031820,0.034827,0.026877,0.030892,0.035539,0.009802,0.003367,0.004269,0.004303,0.011025,0.006749,0.015122
phys/physics_brightness,0.006327,0.014643,0.004693,0.015481,0.021523,0.035805,0.035484,0.036182,0.008956,0.019424,0.014502,0.022719,0.026407,0.006817,0.016713,0.006240,0.034381,0.006916,0.015435,0.012413,0.040076,0.037482,0.042880,0.009670,0.009945,0.015755,0.024760,0.033313,0.032714,0.000000,0.040954,0.043735,0.050587,0.043382,0.041468,0.040072,0.014157,0.012105,0.013938,0.013981,0.025523,0.025115,0.027327
phys/physics_buoyancy,0.002911,0.020172,0.002078,0.015233,0.017406,0.035172,0.027260,0.037284,0.011481,0.016960,0.011073,0.023373,0.024301,0.003202,0.018738,0.004455,0.032330,0.004937,0.016475,0.012995,0.042366,0.034350,0.035832,0.009464,0.010571,0.016691,0.019223,0.034543,0.034928,0.040954,0.000000,0.062453,0.056921,0.050092,0.040858,0.055938,0.017361,0.009325,0.009686,0.010561,0.021453,0.017626,0.030970
phys/physics_elasticity,0.003300,0.013426,0.003537,0.011520,0.017095,0.027774,0.028187,0.030757,0.011580,0.019097,0.013010,0.019362,0.029041,0.005314,0.012097,0.006926,0.037012,0.006844,0.015887,0.014649,0.039418,0.038423,0.041032,0.011487,0.011320,0.019766,0.025598,0.029806,0.031820,0.043735,0.062453,0.000000,0.054757,0.039322,0.039014,0.047686,0.021952,0.012073,0.012725,0.014339,0.024764,0.023931,0.028164
phys/physics_solubility,0.004024,0.019771,0.004806,0.018207,0.017660,0.038178,0.028206,0.042031,0.011194,0.015267,0.012724,0.020037,0.023608,0.007279,0.020074,0.007341,0.033791,0.007980,0.011599,0.018497,0.037481,0.028498,0.031884,0.007051,0.013260,0.015458,0.018731,0.035286,0.034827,0.050587,0.056921,0.054757,0.000000,0.041554,0.036405,0.051884,0.021539,0.010780,0.012051,0.013867,0.025413,0.015378,0.024114
phys/physics_speed,0.003784,0.022905,0.003013,0.015749,0.020954,0.029691,0.032258,0.027832,0.009865,0.020631,0.012877,0.029207,0.021933,0.005641,0.019757,0.005900,0.039686,0.006342,0.017746,0.013576,0.048625,0.043565,0.042013,0.010194,0.012432,0.014937,0.016155,0.024872,0.026877,0.043382,0.050092,0.039322,0.041554,0.000000,0.056564,0.040885,0.022869,0.012351,0.009846,0.010770,0.033470,0.024432,0.015447
phys/physics_stability,0.003352,0.014329,0.002821,0.012886,0.017260,0.027197,0.028437,0.029065,0.009115,0.020692,0.013090,0.029938,0.028508,0.004297,0.014450,0.004818,0.035157,0.005165,0.017617,0.013371,0.044641,0.070830,0.065553,0.014539,0.014358,0.019920,0.017767,0.030944,0.030892,0.041468,0.040858,0.039014,0.036405,0.056564,0.000000,0.032740,0.019837,0.009664,0.009603,0.011151,0.024169,0.022885,0.014630
phys/physics_temperature,0.005418,0.021795,0.005334,0.017338,0.018298,0.035524,0.029411,0.038761,0.012754,0.014494,0.008899,0.021983,0.016179,0.006862,0.022236,0.008485,0.022945,0.008363,0.008557,0.013448,0.035952,0.031392,0.053602,0.007662,0.013395,0.015614,0.019713,0.030506,0.035539,0.040072,0.055938,0.047686,0.051884,0.040885,0.032740,0.000000,0.024804,0.014889,0.012984,0.015060,0.029077,0.030984,0.022535
Lan/anaphor_gender_agreement,0.002582,0.017019,0.003084,0.016049,0.010261,0.008736,0.016512,0.011834,0.029456,0.008192,0.013905,0.027518,0.005280,0.006478,0.015854,0.010351,0.011239,0.013475,0.014683,0.035665,0.031108,0.020810,0.015278,0.020498,0.019335,0.022974,0.017109,0.009859,0.009802,0.014157,0.017361,0.021952,0.021539,0.022869,0.019837,0.024804,0.000000,0.052761,0.048230,0.049353,0.099929,0.124091,0.038171
Lan/det_noun_agreement_irregular,0.002050,0.008949,0.001405,0.009007,0.005063,0.004332,0.008452,0.006402,0.011136,0.001102,0.002165,0.013589,0.000791,0.004959,0.006274,0.005502,0.004535,0.005914,0.004185,0.008886,0.013101,0.011239,0.007992,0.005418,0.006392,0.008813,0.007323,0.003279,0.003367,0.012105,0.009325,0.012073,0.010780,0.012351,0.009664,0.014889,0.052761,0.000000,0.257187,0.212344,0.071878,0.043101,0.099916
Lan/det_noun_agreement_regular,0.001642,0.007617,0.001660,0.007990,0.005304,0.004299,0.007806,0.006669,0.012452,0.000319,0.001573,0.012065,0.000744,0.004251,0.006271,0.004766,0.001237,0.004212,0.003147,0.006430,0.014378,0.010234,0.008346,0.004288,0.005346,0.006236,0.006312,0.003309,0.004269,0.013938,0.009686,0.012725,0.012051,0.009846,0.009603,0.012984,0.048230,0.257187,0.000000,0.230951,0.070102,0.044600,0.104923
Lan/det_noun_agreement_with_adjective,0.001858,0.007972,0.002219,0.008738,0.004349,0.004333,0.007203,0.006444,0.010419,0.000329,0.000859,0.012734,0.000531,0.004681,0.005968,0.004502,0.002412,0.004668,0.003561,0.009612,0.013037,0.011285,0.009274,0.004058,0.006201,0.006879,0.006335,0.003520,0.004303,0.013981,0.010561,0.014339,0.013867,0.010770,0.011151,0.015060,0.049353,0.212344,0.230951,0.000000,0.080588,0.043644,0.125103
Lan/hypernymy,0.002971,0.016937,0.002988,0.016665,0.008753,0.009641,0.019256,0.014812,0.019322,0.001709,0.003970,0.023500,0.002077,0.007692,0.011393,0.009666,0.005899,0.007464,0.005693,0.020735,0.034872,0.022181,0.014504,0.008994,0.012100,0.010999,0.013239,0.009088,0.011025,0.025523,0.021453,0.024764,0.025413,0.033470,0.024169,0.029077,0.099929,0.071878,0.070102,0.080588,0.000000,0.093192,0.052294
Lan/npi,0.003374,0.013123,0.001170,0.015345,0.010418,0.006099,0.016156,0.010538,0.027937,0.012076,0.009881,0.046626,0.007687,0.008463,0.016848,0.012666,0.008053,0.011420,0.020851,0.030046,0.026822,0.027189,0.008796,0.024010,0.023682,0.020667,0.025071,0.004526,0.006749,0.025115,0.017626,0.023931,0.015378,0.024432,0.022885,0.030984,0.124091,0.043101,0.044600,0.043644,0.093192,0.000000,0.034736
Lan/wug,0.015514,0.015733,0.011391,0.013483,0.013165,0.028292,0.032163,0.027455,0.017384,0.005651,0.001515,0.022838,0.004996,0.011228,0.013239,0.007651,0.006503,0.007914,0.005725,0.013444,0.015101,0.017944,0.014022,0.004226,0.008892,0.009093,0.007974,0.014015,0.015122,0.027327,0.030970,0.028164,0.024114,0.015447,0.014630,0.022535,0.038171,0.099916,0.104923,0.125103,0.052294,0.034736,0.000000
