,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/wug
MD/add_sub_2op_symbolic,0.000000,0.046369,0.271792,0.059186,0.039125,0.007080,0.005786,0.005962,0.063487,0.000000,0.000000,0.003016,0.005746,0.174212,0.055053,0.132055,0.000953,0.107145,0.000000,0.000000,0.000310,0.001218,0.001680,0.000000,0.000000,0.000000,0.000000,0.000785,0.001384,0.001397,0.000000,0.000000,0.001947,0.001633,0.000837,0.002368,0.001292,0.000338,0.000310,0.000312,0.000000,0.000000,0.007220
MD/add_sub_2op_verbal,0.046369,0.000000,0.047772,0.143305,0.044095,0.026854,0.020203,0.023968,0.065649,0.001446,0.000000,0.012275,0.005777,0.051995,0.169030,0.064750,0.006595,0.074474,0.001183,0.003356,0.012571,0.006474,0.007409,0.000662,0.002682,0.002291,0.002589,0.016550,0.017267,0.010836,0.020275,0.007267,0.015993,0.023054,0.009999,0.019275,0.004470,0.002039,0.001596,0.000278,0.003097,0.000000,0.004229
MD/add_sub_3op_symbolic,0.271792,0.047772,0.000000,0.067568,0.028941,0.004185,0.002817,0.003702,0.045565,0.000000,0.000000,0.001082,0.005422,0.186907,0.056029,0.136375,0.001227,0.125590,0.000000,0.000000,0.000000,0.001165,0.000443,0.000000,0.000000,0.000000,0.000000,0.000751,0.001286,0.001337,0.000000,0.000541,0.001688,0.001673,0.000705,0.002199,0.000000,0.000435,0.000400,0.000402,0.000000,0.000000,0.002001
MD/add_sub_3op_verbal,0.059186,0.143305,0.067568,0.000000,0.036525,0.012221,0.011714,0.008423,0.069574,0.007066,0.005273,0.013946,0.004958,0.063466,0.147108,0.075445,0.010943,0.083091,0.002421,0.006169,0.009051,0.010793,0.004317,0.003916,0.005107,0.005952,0.005195,0.005894,0.007257,0.010875,0.008065,0.006130,0.009836,0.010829,0.007868,0.011660,0.013444,0.004245,0.003565,0.004556,0.011155,0.006769,0.005117
MD/code_A,0.039125,0.044095,0.028941,0.036525,0.000000,0.037055,0.086464,0.032042,0.136713,0.010886,0.012894,0.029625,0.011634,0.038791,0.039058,0.047152,0.039842,0.072273,0.009638,0.003535,0.017066,0.014322,0.013853,0.002906,0.002763,0.005597,0.014389,0.020953,0.021666,0.018660,0.014139,0.016591,0.018008,0.019927,0.014147,0.014328,0.001949,0.000270,0.000716,0.000471,0.002780,0.002440,0.005769
MD/code_B,0.007080,0.026854,0.004185,0.012221,0.037055,0.000000,0.079438,0.122436,0.009451,0.016131,0.011984,0.021792,0.026186,0.006013,0.019877,0.003361,0.027326,0.002846,0.009378,0.004454,0.034363,0.021242,0.027967,0.003342,0.008027,0.013155,0.024480,0.060412,0.066032,0.041153,0.040792,0.031344,0.045203,0.032229,0.028382,0.039228,0.004909,0.000000,0.000241,0.000243,0.003750,0.000000,0.025435
MD/code_conditional,0.005786,0.020203,0.002817,0.011714,0.086464,0.079438,0.000000,0.073013,0.009171,0.019702,0.020174,0.057620,0.020577,0.004195,0.013211,0.002262,0.023952,0.001322,0.016113,0.009414,0.029835,0.027884,0.023477,0.007358,0.006001,0.010917,0.023528,0.041018,0.043890,0.041346,0.028929,0.029076,0.036346,0.036339,0.030208,0.031707,0.009315,0.003934,0.005308,0.003923,0.012833,0.008661,0.031014
MD/code_list,0.005962,0.023968,0.003702,0.008423,0.032042,0.122436,0.073013,0.000000,0.006017,0.014648,0.013813,0.023136,0.026582,0.005477,0.018222,0.002754,0.027738,0.001125,0.010205,0.005494,0.034637,0.021810,0.030228,0.003392,0.006472,0.013654,0.024094,0.061165,0.066098,0.040420,0.039754,0.033438,0.047954,0.031192,0.031935,0.041689,0.006909,0.001808,0.001660,0.001423,0.005430,0.003686,0.026396
MD/code_loop,0.063487,0.065649,0.045565,0.069574,0.136713,0.009451,0.009171,0.006017,0.000000,0.002371,0.003046,0.019552,0.005568,0.067728,0.063120,0.088872,0.020240,0.141083,0.003879,0.009207,0.005681,0.006197,0.003901,0.003137,0.003172,0.002155,0.005160,0.002292,0.003179,0.004602,0.007020,0.006537,0.005737,0.006120,0.004510,0.007930,0.020107,0.005754,0.006140,0.006175,0.014080,0.031981,0.008136
MD/logic_propositional_1,0.000000,0.001446,0.000000,0.007066,0.010886,0.016131,0.019702,0.014648,0.002371,0.000000,0.165706,0.057744,0.156252,0.000000,0.001002,0.000000,0.046316,0.000000,0.042903,0.018520,0.017596,0.029216,0.024381,0.015055,0.013547,0.031623,0.034305,0.059823,0.051822,0.019721,0.015033,0.023833,0.020533,0.021053,0.023518,0.014868,0.005107,0.000707,0.000000,0.000000,0.002814,0.009776,0.004974
MD/logic_propositional_symbolic,0.000000,0.000000,0.000000,0.005273,0.012894,0.011984,0.020174,0.013813,0.003046,0.165706,0.000000,0.055703,0.093643,0.000000,0.000681,0.000000,0.044697,0.004530,0.087553,0.049338,0.008894,0.016380,0.017047,0.054241,0.032416,0.058440,0.056153,0.044760,0.036185,0.014063,0.011273,0.010917,0.013189,0.010479,0.012120,0.008246,0.020069,0.000909,0.000835,0.000000,0.000000,0.004347,0.000000
MD/logic_syllogism_1,0.003016,0.012275,0.001082,0.013946,0.029625,0.021792,0.057620,0.023136,0.019552,0.057744,0.055703,0.000000,0.038635,0.001772,0.013848,0.002250,0.033658,0.004667,0.042063,0.013569,0.021905,0.037232,0.030922,0.011909,0.013580,0.028020,0.030308,0.023661,0.023935,0.022475,0.020369,0.016844,0.019466,0.034291,0.033050,0.020181,0.026854,0.010321,0.008451,0.009016,0.023964,0.070193,0.017100
MD/logic_syllogism_symbolic,0.005746,0.005777,0.005422,0.004958,0.011634,0.026186,0.020577,0.026582,0.005568,0.156252,0.093643,0.038635,0.000000,0.004311,0.007239,0.003584,0.065162,0.006663,0.032736,0.007457,0.019889,0.024542,0.035230,0.008500,0.010160,0.022192,0.035381,0.058096,0.052934,0.029145,0.028620,0.030503,0.024969,0.019027,0.031779,0.016934,0.005482,0.000496,0.000456,0.000459,0.001975,0.011610,0.003490
MD/mul_div_2op_symbolic,0.174212,0.051995,0.186907,0.063466,0.038791,0.006013,0.004195,0.005477,0.067728,0.000000,0.000000,0.001772,0.004311,0.000000,0.065424,0.198678,0.000976,0.114916,0.000000,0.000000,0.000317,0.001247,0.001017,0.000000,0.000455,0.000000,0.000339,0.001194,0.001836,0.001063,0.000317,0.000000,0.000997,0.001976,0.001154,0.002067,0.000000,0.000000,0.000318,0.000000,0.000000,0.000000,0.000842
MD/mul_div_2op_verbal,0.055053,0.169030,0.056029,0.147108,0.039058,0.019877,0.013211,0.018222,0.063120,0.001002,0.000681,0.013848,0.007239,0.065424,0.000000,0.079307,0.003495,0.082132,0.000819,0.004788,0.009065,0.006007,0.007239,0.000000,0.005265,0.002070,0.002431,0.013287,0.013633,0.010504,0.017532,0.006161,0.015713,0.016801,0.007166,0.015338,0.004738,0.001558,0.001431,0.000556,0.003282,0.000000,0.000776
MD/mul_div_3op_symbolic,0.132055,0.064750,0.136375,0.075445,0.047152,0.003361,0.002262,0.002754,0.088872,0.000000,0.000000,0.002250,0.003584,0.198678,0.079307,0.000000,0.002847,0.136852,0.000476,0.000000,0.000926,0.001872,0.001738,0.000000,0.000460,0.000393,0.000648,0.000812,0.001033,0.002147,0.000000,0.000434,0.002014,0.001996,0.000866,0.002088,0.001336,0.000000,0.000000,0.000323,0.000736,0.003158,0.000000
MD/number_sorting,0.000953,0.006595,0.001227,0.010943,0.039842,0.027326,0.023952,0.027738,0.020240,0.046316,0.044697,0.033658,0.065162,0.000976,0.003495,0.002847,0.000000,0.005974,0.031717,0.015686,0.040558,0.044185,0.044958,0.020519,0.021373,0.027383,0.037611,0.034682,0.032266,0.035814,0.039356,0.041863,0.034783,0.041323,0.033904,0.026426,0.013232,0.003462,0.001101,0.002091,0.002524,0.005732,0.005509
MD/simple_equation,0.107145,0.074474,0.125590,0.083091,0.072273,0.002846,0.001322,0.001125,0.141083,0.000000,0.004530,0.004667,0.006663,0.114916,0.082132,0.136852,0.005974,0.000000,0.000000,0.001338,0.000636,0.001964,0.001077,0.001525,0.002359,0.001191,0.001758,0.000633,0.000222,0.001906,0.000634,0.002228,0.003209,0.001410,0.000908,0.002569,0.002648,0.000693,0.000000,0.000640,0.000772,0.003313,0.001686
ToM/agent,0.000000,0.001183,0.000000,0.002421,0.009638,0.009378,0.016113,0.010205,0.003879,0.042903,0.087553,0.042063,0.032736,0.000000,0.000819,0.000476,0.031717,0.000000,0.000000,0.097457,0.010321,0.018174,0.019417,0.088875,0.061234,0.135525,0.089655,0.020431,0.019657,0.011345,0.012294,0.015338,0.013973,0.017218,0.016368,0.009303,0.014988,0.002250,0.002066,0.002613,0.003520,0.018758,0.008135
ToM/desires_goals,0.000000,0.003356,0.000000,0.006169,0.003535,0.004454,0.009414,0.005494,0.009207,0.018520,0.049338,0.013569,0.007457,0.000000,0.004788,0.000000,0.015686,0.001338,0.097457,0.000000,0.012385,0.017670,0.012986,0.113851,0.165481,0.098399,0.081941,0.010462,0.008157,0.012702,0.012352,0.014848,0.015096,0.012620,0.008836,0.016499,0.039393,0.007205,0.005863,0.006655,0.025164,0.041885,0.009767
ToM/emotion_fewshot,0.000310,0.012571,0.000000,0.009051,0.017066,0.034363,0.029835,0.034637,0.005681,0.017596,0.008894,0.021905,0.019889,0.000317,0.009065,0.000926,0.040558,0.000636,0.010321,0.012385,0.000000,0.051168,0.049618,0.028330,0.024855,0.019526,0.022608,0.030492,0.031290,0.043024,0.041869,0.036183,0.038838,0.055286,0.046360,0.037532,0.041899,0.012479,0.012853,0.011526,0.031027,0.030675,0.016556
ToM/norm_appropriate,0.001218,0.006474,0.001165,0.010793,0.014322,0.021242,0.027884,0.021810,0.006197,0.029216,0.016380,0.037232,0.024542,0.001247,0.006007,0.001872,0.044185,0.001964,0.018174,0.017670,0.051168,0.000000,0.088952,0.016865,0.014572,0.027057,0.020995,0.025551,0.023306,0.039372,0.033569,0.045098,0.026275,0.046079,0.079265,0.030001,0.029281,0.008405,0.009126,0.009866,0.022496,0.032877,0.010228
ToM/norm_moral,0.001680,0.007409,0.000443,0.004317,0.013853,0.027967,0.023477,0.030228,0.003901,0.024381,0.017047,0.030922,0.035230,0.001017,0.007239,0.001738,0.044958,0.001077,0.019417,0.012986,0.049618,0.088952,0.000000,0.011948,0.012702,0.025908,0.027934,0.033055,0.035468,0.041003,0.036435,0.051032,0.032995,0.043104,0.071484,0.056747,0.019276,0.006724,0.006925,0.006965,0.013251,0.005974,0.013209
ToM/primary_emotions,0.000000,0.000662,0.000000,0.003916,0.002906,0.003342,0.007358,0.003392,0.003137,0.015055,0.054241,0.011909,0.008500,0.000000,0.000000,0.000000,0.020519,0.001525,0.088875,0.113851,0.028330,0.016865,0.011948,0.000000,0.310381,0.085644,0.071176,0.003789,0.002765,0.008732,0.009133,0.011241,0.004561,0.009865,0.013192,0.009350,0.006756,0.004575,0.002483,0.004225,0.013357,0.025862,0.006579
ToM/secondary_emotions,0.000000,0.002682,0.000000,0.005107,0.002763,0.008027,0.006001,0.006472,0.003172,0.013547,0.032416,0.013580,0.010160,0.000455,0.005265,0.000460,0.021373,0.002359,0.061234,0.165481,0.024855,0.014572,0.012702,0.310381,0.000000,0.081629,0.044122,0.011025,0.009500,0.006342,0.011429,0.010810,0.011895,0.013388,0.013478,0.012910,0.006175,0.004349,0.003481,0.003501,0.006805,0.020806,0.005293
ToM/social_interactions,0.000000,0.002291,0.000000,0.005952,0.005597,0.013155,0.010917,0.013654,0.002155,0.031623,0.058440,0.028020,0.022192,0.000000,0.002070,0.000393,0.027383,0.001191,0.135525,0.098399,0.019526,0.027057,0.025908,0.085644,0.081629,0.000000,0.075425,0.018548,0.018762,0.014275,0.016950,0.025326,0.017568,0.016471,0.019839,0.012947,0.017648,0.004617,0.002973,0.003431,0.009725,0.020056,0.006717
ToM/social_relations,0.000000,0.002589,0.000000,0.005195,0.014389,0.024480,0.023528,0.024094,0.005160,0.034305,0.056153,0.030308,0.035381,0.000339,0.002431,0.000648,0.037611,0.001758,0.089655,0.081941,0.022608,0.020995,0.027934,0.071176,0.044122,0.075425,0.000000,0.029470,0.029055,0.026197,0.016997,0.027629,0.020551,0.013963,0.018704,0.021737,0.016996,0.004863,0.003701,0.002610,0.011901,0.015510,0.007891
phys/phys_newton,0.000785,0.016550,0.000751,0.005894,0.020953,0.060412,0.041018,0.061165,0.002292,0.059823,0.044760,0.023661,0.058096,0.001194,0.013287,0.000812,0.034682,0.000633,0.020431,0.010462,0.030492,0.025551,0.033055,0.003789,0.011025,0.018548,0.029470,0.000000,0.106083,0.036383,0.038287,0.036709,0.040986,0.026268,0.031663,0.032313,0.008519,0.000734,0.000674,0.000443,0.004159,0.001215,0.005974
phys/phys_prost,0.001384,0.017267,0.001286,0.007257,0.021666,0.066032,0.043890,0.066098,0.003179,0.051822,0.036185,0.023935,0.052934,0.001836,0.013633,0.001033,0.032266,0.000222,0.019657,0.008157,0.031290,0.023306,0.035468,0.002765,0.009500,0.018762,0.029055,0.106083,0.000000,0.036015,0.038521,0.040537,0.039980,0.029053,0.032664,0.038085,0.004800,0.000485,0.000917,0.000923,0.004207,0.000000,0.007849
phys/physics_brightness,0.001397,0.010836,0.001337,0.010875,0.018660,0.041153,0.041346,0.040420,0.004602,0.019721,0.014063,0.022475,0.029145,0.001063,0.010504,0.002147,0.035814,0.001906,0.011345,0.012702,0.043024,0.039372,0.041003,0.008732,0.006342,0.014275,0.026197,0.036383,0.036015,0.000000,0.046082,0.047918,0.054165,0.041138,0.044336,0.043906,0.020150,0.010092,0.010882,0.011315,0.025801,0.033624,0.027738
phys/physics_buoyancy,0.000000,0.020275,0.000000,0.008065,0.014139,0.040792,0.028929,0.039754,0.007020,0.015033,0.011273,0.020369,0.028620,0.000317,0.017532,0.000000,0.039356,0.000634,0.012294,0.012352,0.041869,0.033569,0.036435,0.009133,0.011429,0.016950,0.016997,0.038287,0.038521,0.046082,0.000000,0.064660,0.064288,0.057406,0.041385,0.061959,0.025933,0.005661,0.006945,0.006267,0.017475,0.016331,0.025663
phys/physics_elasticity,0.000000,0.007267,0.000541,0.006130,0.016591,0.031344,0.029076,0.033438,0.006537,0.023833,0.010917,0.016844,0.030503,0.000000,0.006161,0.000434,0.041863,0.002228,0.015338,0.014848,0.036183,0.045098,0.051032,0.011241,0.010810,0.025326,0.027629,0.036709,0.040537,0.047918,0.064660,0.000000,0.060271,0.036949,0.039095,0.054537,0.023553,0.009742,0.010348,0.011329,0.017305,0.017125,0.028710
phys/physics_solubility,0.001947,0.015993,0.001688,0.009836,0.018008,0.045203,0.036346,0.047954,0.005737,0.020533,0.013189,0.019466,0.024969,0.000997,0.015713,0.002014,0.034783,0.003209,0.013973,0.015096,0.038838,0.026275,0.032995,0.004561,0.011895,0.017568,0.020551,0.040986,0.039980,0.054165,0.064288,0.060271,0.000000,0.044259,0.039804,0.054806,0.021957,0.007393,0.007178,0.007220,0.021619,0.015767,0.020972
phys/physics_speed,0.001633,0.023054,0.001673,0.010829,0.019927,0.032229,0.036339,0.031192,0.006120,0.021053,0.010479,0.034291,0.019027,0.001976,0.016801,0.001996,0.041323,0.001410,0.017218,0.012620,0.055286,0.046079,0.043104,0.009865,0.013388,0.016471,0.013963,0.026268,0.029053,0.041138,0.057406,0.036949,0.044259,0.000000,0.061467,0.043375,0.023371,0.008542,0.007502,0.007545,0.032638,0.031259,0.009883
phys/physics_stability,0.000837,0.009999,0.000705,0.007868,0.014147,0.028382,0.030208,0.031935,0.004510,0.023518,0.012120,0.033050,0.031779,0.001154,0.007166,0.000866,0.033904,0.000908,0.016368,0.008836,0.046360,0.079265,0.071484,0.013192,0.013478,0.019839,0.018704,0.031663,0.032664,0.044336,0.041385,0.039095,0.039804,0.061467,0.000000,0.033607,0.017487,0.009191,0.007139,0.008826,0.031210,0.030408,0.011135
phys/physics_temperature,0.002368,0.019275,0.002199,0.011660,0.014328,0.039228,0.031707,0.041689,0.007930,0.014868,0.008246,0.020181,0.016934,0.002067,0.015338,0.002088,0.026426,0.002569,0.009303,0.016499,0.037532,0.030001,0.056747,0.009350,0.012910,0.012947,0.021737,0.032313,0.038085,0.043906,0.061959,0.054537,0.054806,0.043375,0.033607,0.000000,0.022763,0.012790,0.012149,0.011813,0.038555,0.034561,0.018653
Lan/anaphor_gender_agreement,0.001292,0.004470,0.000000,0.013444,0.001949,0.004909,0.009315,0.006909,0.020107,0.005107,0.020069,0.026854,0.005482,0.000000,0.004738,0.001336,0.013232,0.002648,0.014988,0.039393,0.041899,0.029281,0.019276,0.006756,0.006175,0.017648,0.016996,0.008519,0.004800,0.020150,0.025933,0.023553,0.021957,0.023371,0.017487,0.022763,0.000000,0.055054,0.046250,0.048016,0.136099,0.173556,0.038220
Lan/det_noun_agreement_irregular,0.000338,0.002039,0.000435,0.004245,0.000270,0.000000,0.003934,0.001808,0.005754,0.000707,0.000909,0.010321,0.000496,0.000000,0.001558,0.000000,0.003462,0.000693,0.002250,0.007205,0.012479,0.008405,0.006724,0.004575,0.004349,0.004617,0.004863,0.000734,0.000485,0.010092,0.005661,0.009742,0.007393,0.008542,0.009191,0.012790,0.055054,0.000000,0.278182,0.234459,0.089418,0.041342,0.144477
Lan/det_noun_agreement_regular,0.000310,0.001596,0.000400,0.003565,0.000716,0.000241,0.005308,0.001660,0.006140,0.000000,0.000835,0.008451,0.000456,0.000318,0.001431,0.000000,0.001101,0.000000,0.002066,0.005863,0.012853,0.009126,0.006925,0.002483,0.003481,0.002973,0.003701,0.000674,0.000917,0.010882,0.006945,0.010348,0.007178,0.007502,0.007139,0.012149,0.046250,0.278182,0.000000,0.249571,0.082941,0.039834,0.157489
Lan/det_noun_agreement_with_adjective,0.000312,0.000278,0.000402,0.004556,0.000471,0.000243,0.003923,0.001423,0.006175,0.000000,0.000000,0.009016,0.000459,0.000000,0.000556,0.000323,0.002091,0.000640,0.002613,0.006655,0.011526,0.009866,0.006965,0.004225,0.003501,0.003431,0.002610,0.000443,0.000923,0.011315,0.006267,0.011329,0.007220,0.007545,0.008826,0.011813,0.048016,0.234459,0.249571,0.000000,0.094625,0.041941,0.183448
Lan/hypernymy,0.000000,0.003097,0.000000,0.011155,0.002780,0.003750,0.012833,0.005430,0.014080,0.002814,0.000000,0.023964,0.001975,0.000000,0.003282,0.000736,0.002524,0.000772,0.003520,0.025164,0.031027,0.022496,0.013251,0.013357,0.006805,0.009725,0.011901,0.004159,0.004207,0.025801,0.017475,0.017305,0.021619,0.032638,0.031210,0.038555,0.136099,0.089418,0.082941,0.094625,0.000000,0.120376,0.057129
Lan/npi,0.000000,0.000000,0.000000,0.006769,0.002440,0.000000,0.008661,0.003686,0.031981,0.009776,0.004347,0.070193,0.011610,0.000000,0.000000,0.003158,0.005732,0.003313,0.018758,0.041885,0.030675,0.032877,0.005974,0.025862,0.020806,0.020056,0.015510,0.001215,0.000000,0.033624,0.016331,0.017125,0.015767,0.031259,0.030408,0.034561,0.173556,0.041342,0.039834,0.041941,0.120376,0.000000,0.028591
Lan/wug,0.007220,0.004229,0.002001,0.005117,0.005769,0.025435,0.031014,0.026396,0.008136,0.004974,0.000000,0.017100,0.003490,0.000842,0.000776,0.000000,0.005509,0.001686,0.008135,0.009767,0.016556,0.010228,0.013209,0.006579,0.005293,0.006717,0.007891,0.005974,0.007849,0.027738,0.025663,0.028710,0.020972,0.009883,0.011135,0.018653,0.038220,0.144477,0.157489,0.183448,0.057129,0.028591,0.000000
