,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/wug
MD/add_sub_2op_symbolic,1.0000,0.2386,0.7466,0.2067,0.1989,0.0776,0.0471,0.0615,0.1775,0.0000,0.0017,0.0174,0.0188,0.6110,0.2276,0.4693,0.0031,0.3768,0.0004,0.0026,0.0078,0.0100,0.0113,0.0009,0.0039,0.0026,0.0048,0.0227,0.0257,0.0161,0.0087,0.0078,0.0113,0.0105,0.0105,0.0148,0.0031,0.0061,0.0052,0.0057,0.0057,0.0031,0.0270
MD/add_sub_2op_verbal,0.2386,1.0000,0.1910,0.4483,0.2303,0.1513,0.1147,0.1378,0.1858,0.0096,0.0035,0.0484,0.0201,0.2342,0.6127,0.2595,0.0078,0.2638,0.0057,0.0157,0.0593,0.0480,0.0292,0.0057,0.0166,0.0179,0.0192,0.1020,0.1090,0.0445,0.0720,0.0379,0.0663,0.0759,0.0536,0.0711,0.0244,0.0318,0.0288,0.0292,0.0388,0.0144,0.0327
MD/add_sub_3op_symbolic,0.7466,0.1910,1.0000,0.1836,0.1330,0.0519,0.0331,0.0414,0.1204,0.0000,0.0026,0.0100,0.0174,0.5587,0.1932,0.4278,0.0013,0.3463,0.0004,0.0022,0.0074,0.0057,0.0105,0.0009,0.0039,0.0039,0.0044,0.0188,0.0201,0.0100,0.0052,0.0070,0.0113,0.0070,0.0074,0.0122,0.0031,0.0035,0.0044,0.0057,0.0048,0.0009,0.0166
MD/add_sub_3op_verbal,0.2067,0.4483,0.1836,1.0000,0.1579,0.0824,0.0645,0.0637,0.1483,0.0131,0.0070,0.0414,0.0170,0.2032,0.4261,0.2307,0.0126,0.2311,0.0109,0.0153,0.0427,0.0401,0.0227,0.0105,0.0148,0.0227,0.0227,0.0515,0.0510,0.0366,0.0423,0.0253,0.0475,0.0406,0.0375,0.0440,0.0179,0.0249,0.0235,0.0249,0.0297,0.0131,0.0218
MD/code_A,0.1989,0.2303,0.1330,0.1579,1.0000,0.2490,0.4248,0.2072,0.3960,0.0235,0.0192,0.0850,0.0397,0.1827,0.1949,0.2242,0.0414,0.2643,0.0214,0.0157,0.0706,0.0724,0.0523,0.0096,0.0192,0.0231,0.0545,0.1491,0.1526,0.0698,0.0663,0.0515,0.0632,0.0741,0.0689,0.0637,0.0157,0.0192,0.0214,0.0170,0.0214,0.0122,0.0292
MD/code_B,0.0776,0.1513,0.0519,0.0824,0.2490,1.0000,0.3764,0.6472,0.0589,0.0283,0.0205,0.0645,0.0676,0.0615,0.1287,0.0536,0.0270,0.0340,0.0231,0.0170,0.1138,0.0855,0.0916,0.0070,0.0279,0.0436,0.0693,0.3402,0.3689,0.1138,0.1313,0.0820,0.1339,0.1029,0.1064,0.1212,0.0131,0.0161,0.0170,0.0166,0.0231,0.0070,0.0615
MD/code_conditional,0.0471,0.1147,0.0331,0.0645,0.4248,0.3764,1.0000,0.3406,0.0519,0.0371,0.0275,0.1265,0.0571,0.0432,0.0877,0.0340,0.0227,0.0270,0.0318,0.0283,0.0990,0.1064,0.0741,0.0122,0.0327,0.0353,0.0685,0.2159,0.2338,0.1034,0.0933,0.0763,0.0907,0.1025,0.1020,0.0920,0.0227,0.0288,0.0283,0.0253,0.0423,0.0170,0.0641
MD/code_list,0.0615,0.1378,0.0414,0.0637,0.2072,0.6472,0.3406,1.0000,0.0436,0.0275,0.0201,0.0689,0.0672,0.0488,0.1108,0.0397,0.0283,0.0310,0.0253,0.0174,0.1256,0.0933,0.0955,0.0074,0.0292,0.0414,0.0711,0.3463,0.3794,0.1160,0.1404,0.0916,0.1487,0.0973,0.1147,0.1334,0.0179,0.0240,0.0266,0.0249,0.0358,0.0122,0.0602
MD/code_loop,0.1775,0.1858,0.1204,0.1483,0.3960,0.0589,0.0519,0.0436,1.0000,0.0074,0.0092,0.0392,0.0179,0.1823,0.1666,0.2268,0.0161,0.2865,0.0100,0.0144,0.0196,0.0231,0.0109,0.0061,0.0122,0.0153,0.0179,0.0288,0.0275,0.0174,0.0262,0.0209,0.0240,0.0209,0.0218,0.0266,0.0270,0.0253,0.0301,0.0244,0.0283,0.0196,0.0231
MD/logic_propositional_1,0.0000,0.0096,0.0000,0.0131,0.0235,0.0283,0.0371,0.0275,0.0074,1.0000,0.0855,0.0419,0.1334,0.0000,0.0074,0.0013,0.0148,0.0035,0.0375,0.0161,0.0222,0.0305,0.0227,0.0135,0.0157,0.0336,0.0392,0.1239,0.1012,0.0196,0.0201,0.0179,0.0170,0.0227,0.0257,0.0157,0.0039,0.0013,0.0004,0.0004,0.0013,0.0044,0.0039
MD/logic_propositional_symbolic,0.0017,0.0035,0.0026,0.0070,0.0192,0.0205,0.0275,0.0201,0.0092,0.0855,1.0000,0.0340,0.0606,0.0004,0.0035,0.0070,0.0157,0.0078,0.0584,0.0310,0.0118,0.0148,0.0131,0.0270,0.0318,0.0484,0.0567,0.0728,0.0576,0.0126,0.0113,0.0105,0.0122,0.0122,0.0140,0.0083,0.0057,0.0022,0.0017,0.0009,0.0026,0.0031,0.0009
MD/logic_syllogism_1,0.0174,0.0484,0.0100,0.0414,0.0850,0.0645,0.1265,0.0689,0.0392,0.0419,0.0340,1.0000,0.0423,0.0166,0.0401,0.0235,0.0179,0.0205,0.0436,0.0179,0.0392,0.0611,0.0414,0.0113,0.0279,0.0375,0.0571,0.0728,0.0733,0.0336,0.0406,0.0266,0.0327,0.0471,0.0545,0.0349,0.0192,0.0235,0.0222,0.0227,0.0262,0.0249,0.0231
MD/logic_syllogism_symbolic,0.0188,0.0201,0.0174,0.0170,0.0397,0.0676,0.0571,0.0672,0.0179,0.1334,0.0606,0.0423,1.0000,0.0126,0.0249,0.0170,0.0345,0.0183,0.0358,0.0105,0.0349,0.0401,0.0445,0.0105,0.0174,0.0358,0.0536,0.1509,0.1374,0.0371,0.0401,0.0379,0.0366,0.0336,0.0493,0.0244,0.0035,0.0013,0.0013,0.0009,0.0022,0.0039,0.0048
MD/mul_div_2op_symbolic,0.6110,0.2342,0.5587,0.2032,0.1827,0.0615,0.0432,0.0488,0.1823,0.0000,0.0004,0.0166,0.0126,1.0000,0.2447,0.6001,0.0039,0.3637,0.0022,0.0061,0.0140,0.0126,0.0126,0.0035,0.0061,0.0074,0.0070,0.0222,0.0249,0.0174,0.0096,0.0126,0.0205,0.0157,0.0135,0.0188,0.0078,0.0148,0.0135,0.0144,0.0148,0.0078,0.0196
MD/mul_div_2op_verbal,0.2276,0.6127,0.1932,0.4261,0.1949,0.1287,0.0877,0.1108,0.1666,0.0074,0.0035,0.0401,0.0249,0.2447,1.0000,0.2713,0.0065,0.2638,0.0048,0.0166,0.0549,0.0388,0.0297,0.0052,0.0192,0.0161,0.0196,0.0829,0.0868,0.0467,0.0615,0.0314,0.0619,0.0602,0.0497,0.0667,0.0209,0.0205,0.0218,0.0201,0.0240,0.0170,0.0253
MD/mul_div_3op_symbolic,0.4693,0.2595,0.4278,0.2307,0.2242,0.0536,0.0340,0.0397,0.2268,0.0013,0.0070,0.0235,0.0170,0.6001,0.2713,1.0000,0.0083,0.4012,0.0035,0.0078,0.0179,0.0148,0.0148,0.0044,0.0135,0.0096,0.0118,0.0192,0.0196,0.0161,0.0135,0.0166,0.0209,0.0166,0.0153,0.0235,0.0126,0.0166,0.0153,0.0140,0.0188,0.0118,0.0135
MD/number_sorting,0.0031,0.0078,0.0013,0.0126,0.0414,0.0270,0.0227,0.0283,0.0161,0.0148,0.0157,0.0179,0.0345,0.0039,0.0065,0.0083,1.0000,0.0126,0.0144,0.0118,0.0240,0.0262,0.0266,0.0087,0.0092,0.0179,0.0227,0.0331,0.0314,0.0201,0.0222,0.0201,0.0218,0.0253,0.0253,0.0144,0.0031,0.0031,0.0009,0.0017,0.0026,0.0017,0.0026
MD/simple_equation,0.3768,0.2638,0.3463,0.2311,0.2643,0.0340,0.0270,0.0310,0.2865,0.0035,0.0078,0.0205,0.0183,0.3637,0.2638,0.4012,0.0126,1.0000,0.0061,0.0083,0.0166,0.0166,0.0105,0.0044,0.0092,0.0144,0.0148,0.0192,0.0188,0.0161,0.0135,0.0148,0.0205,0.0161,0.0148,0.0209,0.0148,0.0161,0.0122,0.0131,0.0131,0.0096,0.0126
ToM/agent,0.0004,0.0057,0.0004,0.0109,0.0214,0.0231,0.0318,0.0253,0.0100,0.0375,0.0584,0.0436,0.0358,0.0022,0.0048,0.0035,0.0144,0.0061,1.0000,0.0820,0.0257,0.0279,0.0266,0.0663,0.0737,0.1731,0.1387,0.0493,0.0475,0.0205,0.0257,0.0196,0.0170,0.0257,0.0288,0.0122,0.0092,0.0065,0.0052,0.0057,0.0057,0.0100,0.0052
ToM/desires_goals,0.0026,0.0157,0.0022,0.0153,0.0157,0.0170,0.0283,0.0174,0.0144,0.0161,0.0310,0.0179,0.0105,0.0061,0.0166,0.0078,0.0118,0.0083,0.0820,1.0000,0.0174,0.0257,0.0157,0.0611,0.1334,0.0973,0.0859,0.0222,0.0244,0.0135,0.0166,0.0148,0.0222,0.0161,0.0179,0.0157,0.0183,0.0113,0.0087,0.0126,0.0170,0.0118,0.0100
ToM/emotion_fewshot,0.0078,0.0593,0.0074,0.0427,0.0706,0.1138,0.0990,0.1256,0.0196,0.0222,0.0118,0.0392,0.0349,0.0140,0.0549,0.0179,0.0240,0.0166,0.0257,0.0174,1.0000,0.1134,0.0994,0.0288,0.0497,0.0475,0.0515,0.1169,0.1138,0.0811,0.1007,0.0741,0.0837,0.1073,0.1112,0.0781,0.0297,0.0310,0.0362,0.0318,0.0532,0.0196,0.0209
ToM/norm_appropriate,0.0100,0.0480,0.0057,0.0401,0.0724,0.0855,0.1064,0.0933,0.0231,0.0305,0.0148,0.0611,0.0401,0.0126,0.0388,0.0148,0.0262,0.0166,0.0279,0.0257,0.1134,1.0000,0.1605,0.0170,0.0340,0.0471,0.0462,0.1012,0.0920,0.0733,0.0789,0.0698,0.0615,0.0929,0.1705,0.0659,0.0192,0.0257,0.0249,0.0266,0.0327,0.0192,0.0240
