,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/wug
ToM/norm_moral,0.0113,0.0292,0.0105,0.0227,0.0523,0.0916,0.0741,0.0955,0.0109,0.0227,0.0131,0.0414,0.0445,0.0126,0.0297,0.0148,0.0266,0.0105,0.0266,0.0157,0.0994,0.1605,1.0000,0.0126,0.0235,0.0406,0.0497,0.0951,0.1038,0.0702,0.0689,0.0624,0.0576,0.0750,0.1321,0.0942,0.0118,0.0153,0.0170,0.0183,0.0179,0.0052,0.0157
ToM/primary_emotions,0.0009,0.0057,0.0009,0.0105,0.0096,0.0070,0.0122,0.0074,0.0061,0.0135,0.0270,0.0113,0.0105,0.0035,0.0052,0.0044,0.0087,0.0044,0.0663,0.0611,0.0288,0.0170,0.0126,1.0000,0.2329,0.0750,0.0624,0.0126,0.0109,0.0087,0.0100,0.0096,0.0070,0.0100,0.0161,0.0074,0.0087,0.0057,0.0048,0.0044,0.0061,0.0078,0.0026
ToM/secondary_emotions,0.0039,0.0166,0.0039,0.0148,0.0192,0.0279,0.0327,0.0292,0.0122,0.0157,0.0318,0.0279,0.0174,0.0061,0.0192,0.0135,0.0092,0.0092,0.0737,0.1334,0.0497,0.0340,0.0235,0.2329,1.0000,0.1243,0.0802,0.0340,0.0327,0.0157,0.0196,0.0166,0.0231,0.0214,0.0279,0.0227,0.0144,0.0118,0.0105,0.0118,0.0144,0.0135,0.0096
ToM/social_interactions,0.0026,0.0179,0.0039,0.0227,0.0231,0.0436,0.0353,0.0414,0.0153,0.0336,0.0484,0.0375,0.0358,0.0074,0.0161,0.0096,0.0179,0.0144,0.1731,0.0973,0.0475,0.0471,0.0406,0.0750,0.1243,1.0000,0.1278,0.0597,0.0637,0.0266,0.0331,0.0310,0.0288,0.0275,0.0414,0.0283,0.0183,0.0174,0.0131,0.0140,0.0140,0.0126,0.0105
ToM/social_relations,0.0048,0.0192,0.0044,0.0227,0.0545,0.0693,0.0685,0.0711,0.0179,0.0392,0.0567,0.0571,0.0536,0.0070,0.0196,0.0118,0.0227,0.0148,0.1387,0.0859,0.0515,0.0462,0.0497,0.0624,0.0802,0.1278,1.0000,0.0946,0.0903,0.0454,0.0414,0.0436,0.0379,0.0323,0.0401,0.0388,0.0148,0.0157,0.0144,0.0140,0.0183,0.0166,0.0100
phys/phys_newton,0.0227,0.1020,0.0188,0.0515,0.1491,0.3402,0.2159,0.3463,0.0288,0.1239,0.0728,0.0728,0.1509,0.0222,0.0829,0.0192,0.0331,0.0192,0.0493,0.0222,0.1169,0.1012,0.0951,0.0126,0.0340,0.0597,0.0946,1.0000,0.5918,0.1060,0.1291,0.0881,0.1239,0.0863,0.1212,0.1042,0.0148,0.0122,0.0131,0.0135,0.0218,0.0052,0.0305
phys/phys_prost,0.0257,0.1090,0.0201,0.0510,0.1526,0.3689,0.2338,0.3794,0.0275,0.1012,0.0576,0.0733,0.1374,0.0249,0.0868,0.0196,0.0314,0.0188,0.0475,0.0244,0.1138,0.0920,0.1038,0.0109,0.0327,0.0637,0.0903,0.5918,1.0000,0.1047,0.1313,0.0946,0.1230,0.0938,0.1217,0.1221,0.0148,0.0126,0.0170,0.0166,0.0266,0.0078,0.0331
phys/physics_brightness,0.0161,0.0445,0.0100,0.0366,0.0698,0.1138,0.1034,0.1160,0.0174,0.0196,0.0126,0.0336,0.0371,0.0174,0.0467,0.0161,0.0201,0.0161,0.0205,0.0135,0.0811,0.0733,0.0702,0.0087,0.0157,0.0266,0.0454,0.1060,0.1047,1.0000,0.0785,0.0663,0.0911,0.0772,0.0833,0.0702,0.0109,0.0231,0.0283,0.0275,0.0314,0.0148,0.0305
phys/physics_buoyancy,0.0087,0.0720,0.0052,0.0423,0.0663,0.1313,0.0933,0.1404,0.0262,0.0201,0.0113,0.0406,0.0401,0.0096,0.0615,0.0135,0.0222,0.0135,0.0257,0.0166,0.1007,0.0789,0.0689,0.0100,0.0196,0.0331,0.0414,0.1291,0.1313,0.0785,1.0000,0.1112,0.1204,0.1047,0.0964,0.1151,0.0157,0.0209,0.0231,0.0244,0.0310,0.0122,0.0406
phys/physics_elasticity,0.0078,0.0379,0.0070,0.0253,0.0515,0.0820,0.0763,0.0916,0.0209,0.0179,0.0105,0.0266,0.0379,0.0126,0.0314,0.0166,0.0201,0.0148,0.0196,0.0148,0.0741,0.0698,0.0624,0.0096,0.0166,0.0310,0.0436,0.0881,0.0946,0.0663,0.1112,1.0000,0.0916,0.0650,0.0728,0.0776,0.0157,0.0214,0.0240,0.0262,0.0283,0.0131,0.0292
phys/physics_solubility,0.0113,0.0663,0.0113,0.0475,0.0632,0.1339,0.0907,0.1487,0.0240,0.0170,0.0122,0.0327,0.0366,0.0205,0.0619,0.0209,0.0218,0.0205,0.0170,0.0222,0.0837,0.0615,0.0576,0.0070,0.0231,0.0288,0.0379,0.1239,0.1230,0.0911,0.1204,0.0916,1.0000,0.0816,0.0807,0.1003,0.0183,0.0227,0.0270,0.0301,0.0345,0.0100,0.0297
phys/physics_speed,0.0105,0.0759,0.0070,0.0406,0.0741,0.1029,0.1025,0.0973,0.0209,0.0227,0.0122,0.0471,0.0336,0.0157,0.0602,0.0166,0.0253,0.0161,0.0257,0.0161,0.1073,0.0929,0.0750,0.0100,0.0214,0.0275,0.0323,0.0863,0.0938,0.0772,0.1047,0.0650,0.0816,1.0000,0.1239,0.0781,0.0192,0.0257,0.0218,0.0231,0.0449,0.0157,0.0188
phys/physics_stability,0.0105,0.0536,0.0074,0.0375,0.0689,0.1064,0.1020,0.1147,0.0218,0.0257,0.0140,0.0545,0.0493,0.0135,0.0497,0.0153,0.0253,0.0148,0.0288,0.0179,0.1112,0.1705,0.1321,0.0161,0.0279,0.0414,0.0401,0.1212,0.1217,0.0833,0.0964,0.0728,0.0807,0.1239,1.0000,0.0706,0.0188,0.0227,0.0240,0.0270,0.0366,0.0166,0.0201
phys/physics_temperature,0.0148,0.0711,0.0122,0.0440,0.0637,0.1212,0.0920,0.1334,0.0266,0.0157,0.0083,0.0349,0.0244,0.0188,0.0667,0.0235,0.0144,0.0209,0.0122,0.0157,0.0781,0.0659,0.0942,0.0074,0.0227,0.0283,0.0388,0.1042,0.1221,0.0702,0.1151,0.0776,0.1003,0.0781,0.0706,1.0000,0.0205,0.0305,0.0283,0.0318,0.0384,0.0196,0.0270
Lan/anaphor_gender_agreement,0.0031,0.0244,0.0031,0.0179,0.0157,0.0131,0.0227,0.0179,0.0270,0.0039,0.0057,0.0192,0.0035,0.0078,0.0209,0.0126,0.0031,0.0148,0.0092,0.0183,0.0297,0.0192,0.0118,0.0087,0.0144,0.0183,0.0148,0.0148,0.0148,0.0109,0.0157,0.0157,0.0183,0.0192,0.0188,0.0205,1.0000,0.0475,0.0462,0.0458,0.0580,0.0345,0.0201
Lan/det_noun_agreement_irregular,0.0061,0.0318,0.0035,0.0249,0.0192,0.0161,0.0288,0.0240,0.0253,0.0013,0.0022,0.0235,0.0013,0.0148,0.0205,0.0166,0.0031,0.0161,0.0065,0.0113,0.0310,0.0257,0.0153,0.0057,0.0118,0.0174,0.0157,0.0122,0.0126,0.0231,0.0209,0.0214,0.0227,0.0257,0.0227,0.0305,0.0475,1.0000,0.6106,0.4884,0.1034,0.0297,0.1304
Lan/det_noun_agreement_regular,0.0052,0.0288,0.0044,0.0235,0.0214,0.0170,0.0283,0.0266,0.0301,0.0004,0.0017,0.0222,0.0013,0.0135,0.0218,0.0153,0.0009,0.0122,0.0052,0.0087,0.0362,0.0249,0.0170,0.0048,0.0105,0.0131,0.0144,0.0131,0.0170,0.0283,0.0231,0.0240,0.0270,0.0218,0.0240,0.0283,0.0462,0.6106,1.0000,0.5652,0.1073,0.0327,0.1457
Lan/det_noun_agreement_with_adjective,0.0057,0.0292,0.0057,0.0249,0.0170,0.0166,0.0253,0.0249,0.0244,0.0004,0.0009,0.0227,0.0009,0.0144,0.0201,0.0140,0.0017,0.0131,0.0057,0.0126,0.0318,0.0266,0.0183,0.0044,0.0118,0.0140,0.0140,0.0135,0.0166,0.0275,0.0244,0.0262,0.0301,0.0231,0.0270,0.0318,0.0458,0.4884,0.5652,1.0000,0.1195,0.0310,0.1683
Lan/hypernymy,0.0057,0.0388,0.0048,0.0297,0.0214,0.0231,0.0423,0.0358,0.0283,0.0013,0.0026,0.0262,0.0022,0.0148,0.0240,0.0188,0.0026,0.0131,0.0057,0.0170,0.0532,0.0327,0.0179,0.0061,0.0144,0.0140,0.0183,0.0218,0.0266,0.0314,0.0310,0.0283,0.0345,0.0449,0.0366,0.0384,0.0580,0.1034,0.1073,0.1195,1.0000,0.0414,0.0440
Lan/npi,0.0031,0.0144,0.0009,0.0131,0.0122,0.0070,0.0170,0.0122,0.0196,0.0044,0.0031,0.0249,0.0039,0.0078,0.0170,0.0118,0.0017,0.0096,0.0100,0.0118,0.0196,0.0192,0.0052,0.0078,0.0135,0.0126,0.0166,0.0052,0.0078,0.0148,0.0122,0.0131,0.0100,0.0157,0.0166,0.0196,0.0345,0.0297,0.0327,0.0310,0.0414,1.0000,0.0140
Lan/wug,0.0270,0.0327,0.0166,0.0218,0.0292,0.0615,0.0641,0.0602,0.0231,0.0039,0.0009,0.0231,0.0048,0.0196,0.0253,0.0135,0.0026,0.0126,0.0052,0.0100,0.0209,0.0240,0.0157,0.0026,0.0096,0.0105,0.0100,0.0305,0.0331,0.0305,0.0406,0.0292,0.0297,0.0188,0.0201,0.0270,0.0201,0.1304,0.1457,0.1683,0.0440,0.0140,1.0000
