,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/wug
MD/add_sub_2op_symbolic,1.0000,0.2172,0.3322,0.1916,0.1988,0.2213,0.1886,0.2240,0.1612,0.0251,0.0421,0.1105,0.0881,0.2833,0.2138,0.2110,0.0759,0.1863,0.0615,0.0639,0.1385,0.1275,0.1274,0.0541,0.0719,0.0741,0.0743,0.1077,0.1337,0.1377,0.1406,0.1454,0.1546,0.1307,0.1279,0.1525,0.0771,0.1315,0.1231,0.1185,0.1228,0.0626,0.1669
MD/add_sub_2op_verbal,0.2172,1.0000,0.1942,0.2846,0.1784,0.2085,0.1797,0.2092,0.1419,0.0339,0.0476,0.1094,0.0937,0.1919,0.3583,0.1689,0.0791,0.1689,0.0662,0.0688,0.1396,0.1296,0.1301,0.0592,0.0780,0.0803,0.0808,0.1109,0.1349,0.1368,0.1394,0.1445,0.1533,0.1309,0.1305,0.1492,0.0742,0.1250,0.1167,0.1106,0.1142,0.0630,0.1517
MD/add_sub_3op_symbolic,0.3322,0.1942,1.0000,0.1760,0.1742,0.1985,0.1707,0.1987,0.1440,0.0270,0.0447,0.1060,0.0849,0.2394,0.1923,0.1950,0.0798,0.1695,0.0628,0.0648,0.1337,0.1217,0.1204,0.0575,0.0735,0.0764,0.0764,0.1027,0.1266,0.1296,0.1331,0.1360,0.1440,0.1257,0.1227,0.1410,0.0723,0.1218,0.1133,0.1085,0.1167,0.0599,0.1505
MD/add_sub_3op_verbal,0.1916,0.2846,0.1760,1.0000,0.1575,0.1805,0.1576,0.1819,0.1308,0.0359,0.0539,0.1057,0.0961,0.1737,0.2717,0.1584,0.0852,0.1582,0.0721,0.0723,0.1301,0.1215,0.1245,0.0636,0.0789,0.0819,0.0832,0.0972,0.1179,0.1277,0.1299,0.1363,0.1433,0.1233,0.1230,0.1396,0.0691,0.1148,0.1070,0.1016,0.1040,0.0599,0.1334
MD/code_A,0.1988,0.1784,0.1742,0.1575,1.0000,0.2353,0.4171,0.2166,0.3119,0.0563,0.0646,0.1261,0.0968,0.1774,0.1742,0.1621,0.0899,0.1636,0.0770,0.0749,0.1276,0.1230,0.1195,0.0671,0.0821,0.0859,0.0894,0.1329,0.1541,0.1238,0.1284,0.1300,0.1350,0.1238,0.1238,0.1307,0.0744,0.1180,0.1104,0.1057,0.1068,0.0669,0.1396
MD/code_B,0.2213,0.2085,0.1985,0.1805,0.2353,1.0000,0.2743,0.4455,0.1531,0.0581,0.0615,0.1201,0.1002,0.1951,0.2040,0.1638,0.0790,0.1544,0.0765,0.0757,0.1420,0.1320,0.1303,0.0622,0.0807,0.0872,0.0901,0.1864,0.2142,0.1410,0.1490,0.1472,0.1569,0.1348,0.1348,0.1528,0.0890,0.1409,0.1332,0.1319,0.1368,0.0719,0.1803
MD/code_conditional,0.1886,0.1797,0.1707,0.1576,0.4171,0.2743,1.0000,0.2501,0.1377,0.0598,0.0630,0.1390,0.0977,0.1662,0.1761,0.1447,0.0796,0.1398,0.0787,0.0756,0.1321,0.1271,0.1227,0.0648,0.0798,0.0868,0.0901,0.1475,0.1715,0.1306,0.1346,0.1371,0.1439,0.1281,0.1281,0.1388,0.0791,0.1242,0.1171,0.1153,0.1176,0.0697,0.1537
MD/code_list,0.2240,0.2092,0.1987,0.1819,0.2166,0.4455,0.2501,1.0000,0.1487,0.0492,0.0548,0.1163,0.0989,0.1956,0.2065,0.1656,0.0770,0.1572,0.0720,0.0720,0.1453,0.1329,0.1327,0.0593,0.0781,0.0839,0.0879,0.1768,0.2089,0.1429,0.1509,0.1521,0.1624,0.1360,0.1378,0.1572,0.0865,0.1393,0.1311,0.1299,0.1368,0.0688,0.1781
MD/code_loop,0.1612,0.1419,0.1440,0.1308,0.3119,0.1531,0.1377,0.1487,1.0000,0.0520,0.0642,0.1039,0.0856,0.1490,0.1392,0.1427,0.0893,0.1375,0.0739,0.0729,0.1073,0.1050,0.1012,0.0660,0.0773,0.0824,0.0823,0.0992,0.1141,0.1061,0.1082,0.1088,0.1117,0.1052,0.1057,0.1107,0.0665,0.1026,0.0953,0.0905,0.0936,0.0630,0.1127
MD/logic_propositional_1,0.0251,0.0339,0.0270,0.0359,0.0563,0.0581,0.0598,0.0492,0.0520,1.0000,0.1432,0.0705,0.1281,0.0270,0.0272,0.0321,0.0541,0.0362,0.1132,0.1001,0.0385,0.0447,0.0410,0.0944,0.0892,0.0926,0.0995,0.1687,0.1330,0.0437,0.0438,0.0369,0.0358,0.0403,0.0455,0.0326,0.0717,0.0567,0.0613,0.0655,0.0569,0.0866,0.0612
