,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/wug
MD/logic_propositional_symbolic,0.0421,0.0476,0.0447,0.0539,0.0646,0.0615,0.0630,0.0548,0.0642,0.1432,1.0000,0.0821,0.0961,0.0443,0.0435,0.0521,0.0711,0.0574,0.1124,0.1033,0.0591,0.0626,0.0605,0.0967,0.0944,0.0994,0.1058,0.1305,0.1088,0.0605,0.0614,0.0545,0.0542,0.0609,0.0632,0.0537,0.0659,0.0605,0.0632,0.0619,0.0594,0.0758,0.0606
MD/logic_syllogism_1,0.1105,0.1094,0.1060,0.1057,0.1261,0.1201,0.1390,0.1163,0.1039,0.0705,0.0821,1.0000,0.0902,0.1059,0.1061,0.1023,0.0887,0.1023,0.0910,0.0806,0.1002,0.1028,0.0992,0.0755,0.0851,0.0931,0.0939,0.1063,0.1165,0.0964,0.0987,0.0989,0.0990,0.0993,0.1013,0.0976,0.0616,0.0884,0.0861,0.0812,0.0815,0.0659,0.0939
MD/logic_syllogism_symbolic,0.0881,0.0937,0.0849,0.0961,0.0968,0.1002,0.0977,0.0989,0.0856,0.1281,0.0961,0.0902,1.0000,0.0904,0.0944,0.0890,0.0851,0.0931,0.0901,0.0837,0.0861,0.0871,0.0904,0.0785,0.0839,0.0892,0.0907,0.1171,0.1102,0.0894,0.0909,0.0913,0.0888,0.0839,0.0877,0.0877,0.0570,0.0727,0.0708,0.0659,0.0657,0.0601,0.0762
MD/mul_div_2op_symbolic,0.2833,0.1919,0.2394,0.1737,0.1774,0.1951,0.1662,0.1956,0.1490,0.0270,0.0443,0.1059,0.0904,1.0000,0.1969,0.2252,0.0817,0.1737,0.0609,0.0644,0.1286,0.1206,0.1221,0.0574,0.0727,0.0755,0.0748,0.0958,0.1195,0.1289,0.1316,0.1370,0.1449,0.1232,0.1204,0.1423,0.0704,0.1195,0.1104,0.1056,0.1111,0.0580,0.1464
MD/mul_div_2op_verbal,0.2138,0.3583,0.1923,0.2717,0.1742,0.2040,0.1761,0.2065,0.1392,0.0272,0.0435,0.1061,0.0944,0.1969,1.0000,0.1729,0.0771,0.1697,0.0638,0.0669,0.1380,0.1271,0.1308,0.0575,0.0752,0.0778,0.0777,0.1000,0.1249,0.1374,0.1419,0.1465,0.1563,0.1298,0.1293,0.1515,0.0733,0.1235,0.1149,0.1089,0.1106,0.0596,0.1494
MD/mul_div_3op_symbolic,0.2110,0.1689,0.1950,0.1584,0.1621,0.1638,0.1447,0.1656,0.1427,0.0321,0.0521,0.1023,0.0890,0.2252,0.1729,1.0000,0.0879,0.1691,0.0655,0.0676,0.1201,0.1137,0.1154,0.0606,0.0753,0.0784,0.0764,0.0858,0.1058,0.1184,0.1238,0.1249,0.1319,0.1151,0.1137,0.1270,0.0642,0.1056,0.1002,0.0938,0.0982,0.0564,0.1225
MD/number_sorting,0.0759,0.0791,0.0798,0.0852,0.0899,0.0790,0.0796,0.0770,0.0893,0.0541,0.0711,0.0887,0.0851,0.0817,0.0771,0.0879,1.0000,0.0925,0.0757,0.0750,0.0859,0.0892,0.0889,0.0732,0.0802,0.0826,0.0807,0.0672,0.0753,0.0856,0.0851,0.0834,0.0847,0.0880,0.0889,0.0829,0.0474,0.0674,0.0652,0.0584,0.0626,0.0519,0.0601
MD/simple_equation,0.1863,0.1689,0.1695,0.1582,0.1636,0.1544,0.1398,0.1572,0.1375,0.0362,0.0574,0.1023,0.0931,0.1737,0.1697,0.1691,0.0925,1.0000,0.0702,0.0722,0.1208,0.1164,0.1195,0.0655,0.0797,0.0822,0.0806,0.0840,0.1026,0.1189,0.1226,0.1284,0.1301,0.1170,0.1163,0.1285,0.0604,0.0984,0.0937,0.0858,0.0895,0.0559,0.1127
ToM/agent,0.0615,0.0662,0.0628,0.0721,0.0770,0.0765,0.0787,0.0720,0.0739,0.1132,0.1124,0.0910,0.0901,0.0609,0.0638,0.0655,0.0757,0.0702,1.0000,0.1380,0.0762,0.0804,0.0772,0.1307,0.1296,0.2335,0.1838,0.1170,0.1092,0.0753,0.0771,0.0715,0.0722,0.0760,0.0808,0.0699,0.0672,0.0742,0.0756,0.0719,0.0671,0.0775,0.0728
ToM/desires_goals,0.0639,0.0688,0.0648,0.0723,0.0749,0.0757,0.0756,0.0720,0.0729,0.1001,0.1033,0.0806,0.0837,0.0644,0.0669,0.0676,0.0750,0.0722,0.1380,1.0000,0.0779,0.0790,0.0760,0.1177,0.1369,0.1294,0.1308,0.1052,0.0971,0.0762,0.0782,0.0735,0.0725,0.0758,0.0779,0.0713,0.0677,0.0735,0.0732,0.0724,0.0696,0.0733,0.0716
ToM/emotion_fewshot,0.1385,0.1396,0.1337,0.1301,0.1276,0.1420,0.1321,0.1453,0.1073,0.0385,0.0591,0.1002,0.0861,0.1286,0.1380,0.1201,0.0859,0.1208,0.0762,0.0779,1.0000,0.1433,0.1400,0.0791,0.0923,0.0885,0.0856,0.0910,0.1080,0.1308,0.1319,0.1356,0.1367,0.1386,0.1365,0.1356,0.0600,0.0971,0.0921,0.0866,0.0961,0.0558,0.1053
ToM/norm_appropriate,0.1275,0.1296,0.1217,0.1215,0.1230,0.1320,0.1271,0.1329,0.1050,0.0447,0.0626,0.1028,0.0871,0.1206,0.1271,0.1137,0.0892,0.1164,0.0804,0.0790,0.1433,1.0000,0.1760,0.0750,0.0877,0.0911,0.0876,0.0889,0.1054,0.1204,0.1261,0.1261,0.1275,0.1287,0.1640,0.1265,0.0599,0.0950,0.0890,0.0844,0.0908,0.0570,0.1002
ToM/norm_moral,0.1274,0.1301,0.1204,0.1245,0.1195,0.1303,0.1227,0.1327,0.1012,0.0410,0.0605,0.0992,0.0904,0.1221,0.1308,0.1154,0.0889,0.1195,0.0772,0.0760,0.1400,0.1760,1.0000,0.0725,0.0838,0.0894,0.0854,0.0834,0.0998,0.1224,0.1245,0.1301,0.1285,0.1275,0.1460,0.1330,0.0568,0.0915,0.0862,0.0799,0.0838,0.0532,0.0982
ToM/primary_emotions,0.0541,0.0592,0.0575,0.0636,0.0671,0.0622,0.0648,0.0593,0.0660,0.0944,0.0967,0.0755,0.0785,0.0574,0.0575,0.0606,0.0732,0.0655,0.1307,0.1177,0.0791,0.0750,0.0725,1.0000,0.2902,0.1343,0.1251,0.0911,0.0820,0.0704,0.0694,0.0666,0.0656,0.0694,0.0729,0.0646,0.0643,0.0652,0.0671,0.0646,0.0628,0.0698,0.0596
ToM/secondary_emotions,0.0719,0.0780,0.0735,0.0789,0.0821,0.0807,0.0798,0.0781,0.0773,0.0892,0.0944,0.0851,0.0839,0.0727,0.0752,0.0753,0.0802,0.0797,0.1296,0.1369,0.0923,0.0877,0.0838,0.2902,1.0000,0.1470,0.1203,0.0987,0.0938,0.0816,0.0834,0.0815,0.0790,0.0809,0.0840,0.0784,0.0668,0.0758,0.0767,0.0721,0.0692,0.0714,0.0711
ToM/social_interactions,0.0741,0.0803,0.0764,0.0819,0.0859,0.0872,0.0868,0.0839,0.0824,0.0926,0.0994,0.0931,0.0892,0.0755,0.0778,0.0784,0.0826,0.0822,0.2335,0.1294,0.0885,0.0911,0.0894,0.1343,0.1470,1.0000,0.1524,0.1072,0.1038,0.0854,0.0882,0.0826,0.0845,0.0860,0.0894,0.0818,0.0655,0.0793,0.0792,0.0749,0.0729,0.0720,0.0765
ToM/social_relations,0.0743,0.0808,0.0764,0.0832,0.0894,0.0901,0.0901,0.0879,0.0823,0.0995,0.1058,0.0939,0.0907,0.0748,0.0777,0.0764,0.0807,0.0806,0.1838,0.1308,0.0856,0.0876,0.0854,0.1251,0.1203,0.1524,1.0000,0.1172,0.1134,0.0859,0.0860,0.0832,0.0817,0.0843,0.0870,0.0800,0.0682,0.0804,0.0807,0.0754,0.0713,0.0748,0.0795
phys/phys_newton,0.1077,0.1109,0.1027,0.0972,0.1329,0.1864,0.1475,0.1768,0.0992,0.1687,0.1305,0.1063,0.1171,0.0958,0.1000,0.0858,0.0672,0.0840,0.1170,0.1052,0.0910,0.0889,0.0834,0.0911,0.0987,0.1072,0.1172,1.0000,0.3639,0.0917,0.1010,0.0896,0.0937,0.0863,0.0938,0.0882,0.0871,0.0996,0.1006,0.1052,0.1079,0.0869,0.1238
phys/phys_prost,0.1337,0.1349,0.1266,0.1179,0.1541,0.2142,0.1715,0.2089,0.1141,0.1330,0.1088,0.1165,0.1102,0.1195,0.1249,0.1058,0.0753,0.1026,0.1092,0.0971,0.1080,0.1054,0.0998,0.0820,0.0938,0.1038,0.1134,0.3639,1.0000,0.1093,0.1179,0.1084,0.1148,0.1050,0.1114,0.1102,0.0844,0.1125,0.1115,0.1142,0.1186,0.0829,0.1382
phys/physics_brightness,0.1377,0.1368,0.1296,0.1277,0.1238,0.1410,0.1306,0.1429,0.1061,0.0437,0.0605,0.0964,0.0894,0.1289,0.1374,0.1184,0.0856,0.1189,0.0753,0.0762,0.1308,0.1204,0.1224,0.0704,0.0816,0.0854,0.0859,0.0917,0.1093,1.0000,0.1370,0.1386,0.1443,0.1325,0.1254,0.1370,0.0602,0.0957,0.0918,0.0856,0.0927,0.0563,0.1084
phys/physics_buoyancy,0.1406,0.1394,0.1331,0.1299,0.1284,0.1490,0.1346,0.1509,0.1082,0.0438,0.0614,0.0987,0.0909,0.1316,0.1419,0.1238,0.0851,0.1226,0.0771,0.0782,0.1319,0.1261,0.1245,0.0694,0.0834,0.0882,0.0860,0.1010,0.1179,0.1370,1.0000,0.1469,0.1534,0.1340,0.1304,0.1422,0.0617,0.0991,0.0937,0.0875,0.0959,0.0565,0.1112
phys/physics_elasticity,0.1454,0.1445,0.1360,0.1363,0.1300,0.1472,0.1371,0.1521,0.1088,0.0369,0.0545,0.0989,0.0913,0.1370,0.1465,0.1249,0.0834,0.1284,0.0715,0.0735,0.1356,0.1261,0.1301,0.0666,0.0815,0.0826,0.0832,0.0896,0.1084,0.1386,0.1469,1.0000,0.1511,0.1328,0.1337,0.1472,0.0580,0.0993,0.0937,0.0874,0.0935,0.0535,0.1121
phys/physics_solubility,0.1546,0.1533,0.1440,0.1433,0.1350,0.1569,0.1439,0.1624,0.1117,0.0358,0.0542,0.0990,0.0888,0.1449,0.1563,0.1319,0.0847,0.1301,0.0722,0.0725,0.1367,0.1275,0.1285,0.0656,0.0790,0.0845,0.0817,0.0937,0.1148,0.1443,0.1534,0.1511,1.0000,0.1364,0.1324,0.1580,0.0625,0.1036,0.0981,0.0926,0.1000,0.0566,0.1209
phys/physics_speed,0.1307,0.1309,0.1257,0.1233,0.1238,0.1348,0.1281,0.1360,0.1052,0.0403,0.0609,0.0993,0.0839,0.1232,0.1298,0.1151,0.0880,0.1170,0.0760,0.0758,0.1386,0.1287,0.1275,0.0694,0.0809,0.0860,0.0843,0.0863,0.1050,0.1325,0.1340,0.1328,0.1364,1.0000,0.1412,0.1337,0.0565,0.0914,0.0886,0.0829,0.0917,0.0556,0.1006
phys/physics_stability,0.1279,0.1305,0.1227,0.1230,0.1238,0.1348,0.1281,0.1378,0.1057,0.0455,0.0632,0.1013,0.0877,0.1204,0.1293,0.1137,0.0889,0.1163,0.0808,0.0779,0.1365,0.1640,0.1460,0.0729,0.0840,0.0894,0.0870,0.0938,0.1114,0.1254,0.1304,0.1337,0.1324,0.1412,1.0000,0.1306,0.0584,0.0920,0.0896,0.0839,0.0903,0.0570,0.1004
phys/physics_temperature,0.1525,0.1492,0.1410,0.1396,0.1307,0.1528,0.1388,0.1572,0.1107,0.0326,0.0537,0.0976,0.0877,0.1423,0.1515,0.1270,0.0829,0.1285,0.0699,0.0713,0.1356,0.1265,0.1330,0.0646,0.0784,0.0818,0.0800,0.0882,0.1102,0.1370,0.1422,0.1472,0.1580,0.1337,0.1306,1.0000,0.0596,0.1002,0.0940,0.0896,0.0974,0.0536,0.1135
Lan/anaphor_gender_agreement,0.0771,0.0742,0.0723,0.0691,0.0744,0.0890,0.0791,0.0865,0.0665,0.0717,0.0659,0.0616,0.0570,0.0704,0.0733,0.0642,0.0474,0.0604,0.0672,0.0677,0.0600,0.0599,0.0568,0.0643,0.0668,0.0655,0.0682,0.0871,0.0844,0.0602,0.0617,0.0580,0.0625,0.0565,0.0584,0.0596,1.0000,0.1079,0.1057,0.1085,0.0909,0.0928,0.0914
Lan/det_noun_agreement_irregular,0.1315,0.1250,0.1218,0.1148,0.1180,0.1409,0.1242,0.1393,0.1026,0.0567,0.0605,0.0884,0.0727,0.1195,0.1235,0.1056,0.0674,0.0984,0.0742,0.0735,0.0971,0.0950,0.0915,0.0652,0.0758,0.0793,0.0804,0.0996,0.1125,0.0957,0.0991,0.0993,0.1036,0.0914,0.0920,0.1002,0.1079,1.0000,0.4235,0.3045,0.1305,0.0918,0.1412
Lan/det_noun_agreement_regular,0.1231,0.1167,0.1133,0.1070,0.1104,0.1332,0.1171,0.1311,0.0953,0.0613,0.0632,0.0861,0.0708,0.1104,0.1149,0.1002,0.0652,0.0937,0.0756,0.0732,0.0921,0.0890,0.0862,0.0671,0.0767,0.0792,0.0807,0.1006,0.1115,0.0918,0.0937,0.0937,0.0981,0.0886,0.0896,0.0940,0.1057,0.4235,1.0000,0.3104,0.1333,0.0936,0.1380
Lan/det_noun_agreement_with_adjective,0.1185,0.1106,0.1085,0.1016,0.1057,0.1319,0.1153,0.1299,0.0905,0.0655,0.0619,0.0812,0.0659,0.1056,0.1089,0.0938,0.0584,0.0858,0.0719,0.0724,0.0866,0.0844,0.0799,0.0646,0.0721,0.0749,0.0754,0.1052,0.1142,0.0856,0.0875,0.0874,0.0926,0.0829,0.0839,0.0896,0.1085,0.3045,0.3104,1.0000,0.1359,0.0965,0.1462
Lan/hypernymy,0.1228,0.1142,0.1167,0.1040,0.1068,0.1368,0.1176,0.1368,0.0936,0.0569,0.0594,0.0815,0.0657,0.1111,0.1106,0.0982,0.0626,0.0895,0.0671,0.0696,0.0961,0.0908,0.0838,0.0628,0.0692,0.0729,0.0713,0.1079,0.1186,0.0927,0.0959,0.0935,0.1000,0.0917,0.0903,0.0974,0.0909,0.1305,0.1333,0.1359,1.0000,0.0778,0.1204
Lan/npi,0.0626,0.0630,0.0599,0.0599,0.0669,0.0719,0.0697,0.0688,0.0630,0.0866,0.0758,0.0659,0.0601,0.0580,0.0596,0.0564,0.0519,0.0559,0.0775,0.0733,0.0558,0.0570,0.0532,0.0698,0.0714,0.0720,0.0748,0.0869,0.0829,0.0563,0.0565,0.0535,0.0566,0.0556,0.0570,0.0536,0.0928,0.0918,0.0936,0.0965,0.0778,1.0000,0.0802
Lan/wug,0.1669,0.1517,0.1505,0.1334,0.1396,0.1803,0.1537,0.1781,0.1127,0.0612,0.0606,0.0939,0.0762,0.1464,0.1494,0.1225,0.0601,0.1127,0.0728,0.0716,0.1053,0.1002,0.0982,0.0596,0.0711,0.0765,0.0795,0.1238,0.1382,0.1084,0.1112,0.1121,0.1209,0.1006,0.1004,0.1135,0.0914,0.1412,0.1380,0.1462,0.1204,0.0802,1.0000
