,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/wug
MD/add_sub_2op_symbolic,1.0000,0.2069,0.4912,0.1614,0.2116,0.2210,0.1590,0.2060,0.1469,0.0077,0.0141,0.0608,0.0353,0.3763,0.1910,0.2599,0.0178,0.1830,0.0233,0.0278,0.0722,0.0609,0.0523,0.0154,0.0318,0.0320,0.0361,0.1068,0.1309,0.0702,0.0725,0.0674,0.0830,0.0625,0.0626,0.0785,0.0516,0.0896,0.0860,0.0846,0.0824,0.0307,0.1439
MD/add_sub_2op_verbal,0.2069,1.0000,0.1919,0.2659,0.1774,0.1927,0.1466,0.1778,0.1131,0.0153,0.0180,0.0612,0.0359,0.1683,0.3824,0.1484,0.0216,0.1403,0.0255,0.0318,0.0744,0.0679,0.0593,0.0193,0.0362,0.0365,0.0413,0.1079,0.1267,0.0693,0.0805,0.0705,0.0885,0.0686,0.0682,0.0834,0.0444,0.0742,0.0711,0.0699,0.0595,0.0308,0.1068
MD/add_sub_3op_symbolic,0.4912,0.1919,1.0000,0.1570,0.1887,0.2084,0.1519,0.1984,0.1273,0.0082,0.0140,0.0582,0.0358,0.3425,0.1771,0.2458,0.0203,0.1731,0.0243,0.0279,0.0724,0.0592,0.0513,0.0163,0.0330,0.0338,0.0380,0.1089,0.1321,0.0702,0.0720,0.0648,0.0818,0.0582,0.0619,0.0769,0.0490,0.0834,0.0832,0.0824,0.0818,0.0305,0.1353
MD/add_sub_3op_verbal,0.1614,0.2659,0.1570,1.0000,0.1325,0.1352,0.1076,0.1241,0.0918,0.0165,0.0208,0.0528,0.0384,0.1364,0.2469,0.1273,0.0262,0.1202,0.0272,0.0327,0.0597,0.0556,0.0535,0.0211,0.0356,0.0368,0.0406,0.0780,0.0906,0.0571,0.0637,0.0608,0.0725,0.0552,0.0567,0.0641,0.0366,0.0612,0.0596,0.0566,0.0475,0.0256,0.0771
MD/code_A,0.2116,0.1774,0.1887,0.1325,1.0000,0.2543,0.4347,0.2212,0.2801,0.0334,0.0308,0.0864,0.0544,0.1760,0.1535,0.1576,0.0388,0.1548,0.0375,0.0358,0.0762,0.0759,0.0610,0.0249,0.0407,0.0463,0.0530,0.1437,0.1633,0.0719,0.0773,0.0705,0.0800,0.0713,0.0755,0.0792,0.0432,0.0664,0.0639,0.0599,0.0585,0.0317,0.0997
MD/code_B,0.2210,0.1927,0.2084,0.1352,0.2543,1.0000,0.2938,0.5082,0.1053,0.0342,0.0274,0.0802,0.0578,0.1731,0.1715,0.1356,0.0256,0.1042,0.0370,0.0400,0.0998,0.0869,0.0808,0.0217,0.0454,0.0498,0.0595,0.2418,0.2783,0.0930,0.1079,0.0943,0.1161,0.0816,0.0899,0.1086,0.0540,0.0923,0.0865,0.0871,0.0868,0.0319,0.1593
MD/code_conditional,0.1590,0.1466,0.1519,0.1076,0.4347,0.2938,1.0000,0.2660,0.0853,0.0358,0.0307,0.0975,0.0535,0.1272,0.1304,0.1005,0.0252,0.0806,0.0368,0.0358,0.0849,0.0824,0.0668,0.0235,0.0414,0.0463,0.0545,0.1639,0.1873,0.0792,0.0862,0.0806,0.0920,0.0781,0.0834,0.0872,0.0468,0.0755,0.0714,0.0708,0.0659,0.0318,0.1209
MD/code_list,0.2060,0.1778,0.1984,0.1241,0.2212,0.5082,0.2660,1.0000,0.0936,0.0282,0.0232,0.0723,0.0518,0.1638,0.1621,0.1252,0.0216,0.0950,0.0326,0.0351,0.1019,0.0881,0.0790,0.0184,0.0413,0.0466,0.0567,0.2308,0.2704,0.0919,0.1114,0.0960,0.1151,0.0806,0.0888,0.1093,0.0531,0.0904,0.0839,0.0855,0.0889,0.0306,0.1544
MD/code_loop,0.1469,0.1131,0.1273,0.0918,0.2801,0.1053,0.0853,0.0936,1.0000,0.0204,0.0241,0.0489,0.0338,0.1307,0.1035,0.1283,0.0303,0.1195,0.0254,0.0281,0.0420,0.0417,0.0354,0.0208,0.0283,0.0319,0.0326,0.0616,0.0726,0.0398,0.0460,0.0396,0.0484,0.0383,0.0413,0.0464,0.0338,0.0492,0.0477,0.0441,0.0419,0.0252,0.0601
MD/logic_propositional_1,0.0077,0.0153,0.0082,0.0165,0.0334,0.0342,0.0358,0.0282,0.0204,1.0000,0.0937,0.0351,0.0906,0.0081,0.0116,0.0112,0.0157,0.0143,0.0613,0.0456,0.0146,0.0183,0.0153,0.0390,0.0388,0.0450,0.0517,0.1253,0.0993,0.0139,0.0167,0.0130,0.0140,0.0144,0.0170,0.0108,0.0219,0.0149,0.0166,0.0162,0.0155,0.0272,0.0187
MD/logic_propositional_symbolic,0.0141,0.0180,0.0140,0.0208,0.0308,0.0274,0.0307,0.0232,0.0241,0.0937,1.0000,0.0377,0.0509,0.0136,0.0140,0.0181,0.0235,0.0228,0.0620,0.0536,0.0175,0.0218,0.0194,0.0414,0.0461,0.0533,0.0581,0.0863,0.0672,0.0174,0.0183,0.0140,0.0160,0.0173,0.0204,0.0135,0.0229,0.0182,0.0175,0.0167,0.0150,0.0255,0.0160
MD/logic_syllogism_1,0.0608,0.0612,0.0582,0.0528,0.0864,0.0802,0.0975,0.0723,0.0489,0.0351,0.0377,1.0000,0.0387,0.0512,0.0547,0.0467,0.0259,0.0480,0.0428,0.0315,0.0416,0.0479,0.0408,0.0275,0.0361,0.0432,0.0463,0.0754,0.0800,0.0387,0.0417,0.0370,0.0395,0.0412,0.0434,0.0379,0.0254,0.0360,0.0346,0.0312,0.0313,0.0271,0.0440
MD/logic_syllogism_symbolic,0.0353,0.0359,0.0358,0.0384,0.0544,0.0578,0.0535,0.0518,0.0338,0.0906,0.0509,0.0387,1.0000,0.0342,0.0356,0.0385,0.0307,0.0417,0.0394,0.0324,0.0311,0.0346,0.0391,0.0264,0.0323,0.0405,0.0422,0.0905,0.0811,0.0321,0.0348,0.0340,0.0325,0.0279,0.0351,0.0293,0.0168,0.0177,0.0180,0.0141,0.0157,0.0169,0.0255
MD/mul_div_2op_symbolic,0.3763,0.1683,0.3425,0.1364,0.1760,0.1731,0.1272,0.1638,0.1307,0.0081,0.0136,0.0512,0.0342,1.0000,0.1653,0.2720,0.0207,0.1641,0.0211,0.0253,0.0615,0.0523,0.0490,0.0145,0.0296,0.0293,0.0333,0.0830,0.1004,0.0594,0.0631,0.0578,0.0738,0.0527,0.0544,0.0693,0.0405,0.0697,0.0676,0.0664,0.0640,0.0278,0.1102
MD/mul_div_2op_verbal,0.1910,0.3824,0.1771,0.2469,0.1535,0.1715,0.1304,0.1621,0.1035,0.0116,0.0140,0.0547,0.0356,0.1653,1.0000,0.1453,0.0188,0.1314,0.0241,0.0303,0.0673,0.0636,0.0547,0.0172,0.0332,0.0327,0.0361,0.0908,0.1082,0.0678,0.0748,0.0691,0.0842,0.0623,0.0634,0.0802,0.0410,0.0708,0.0666,0.0637,0.0547,0.0272,0.0981
