,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/wug
MD/mul_div_3op_symbolic,0.2599,0.1484,0.2458,0.1273,0.1576,0.1356,0.1005,0.1252,0.1283,0.0112,0.0181,0.0467,0.0385,0.2720,0.1453,1.0000,0.0250,0.1622,0.0229,0.0277,0.0539,0.0483,0.0465,0.0174,0.0298,0.0318,0.0351,0.0718,0.0831,0.0545,0.0588,0.0508,0.0629,0.0487,0.0504,0.0586,0.0364,0.0570,0.0537,0.0504,0.0492,0.0238,0.0781
MD/number_sorting,0.0178,0.0216,0.0203,0.0262,0.0388,0.0256,0.0252,0.0216,0.0303,0.0157,0.0235,0.0259,0.0307,0.0207,0.0188,0.0250,1.0000,0.0301,0.0202,0.0215,0.0224,0.0253,0.0246,0.0204,0.0232,0.0259,0.0249,0.0260,0.0263,0.0216,0.0229,0.0212,0.0204,0.0239,0.0246,0.0200,0.0105,0.0139,0.0146,0.0121,0.0136,0.0114,0.0126
MD/simple_equation,0.1830,0.1403,0.1731,0.1202,0.1548,0.1042,0.0806,0.0950,0.1195,0.0143,0.0228,0.0480,0.0417,0.1641,0.1314,0.1622,0.0301,1.0000,0.0262,0.0288,0.0496,0.0490,0.0473,0.0203,0.0309,0.0339,0.0361,0.0608,0.0667,0.0486,0.0512,0.0504,0.0572,0.0443,0.0457,0.0562,0.0286,0.0428,0.0416,0.0373,0.0334,0.0211,0.0558
ToM/agent,0.0233,0.0255,0.0243,0.0272,0.0375,0.0370,0.0368,0.0326,0.0254,0.0613,0.0620,0.0428,0.0394,0.0211,0.0241,0.0229,0.0202,0.0262,1.0000,0.0870,0.0287,0.0314,0.0271,0.0786,0.0800,0.1734,0.1363,0.0676,0.0609,0.0266,0.0253,0.0231,0.0228,0.0274,0.0298,0.0219,0.0268,0.0249,0.0258,0.0225,0.0204,0.0311,0.0216
ToM/desires_goals,0.0278,0.0318,0.0279,0.0327,0.0358,0.0400,0.0358,0.0351,0.0281,0.0456,0.0536,0.0315,0.0324,0.0253,0.0303,0.0277,0.0215,0.0288,0.0870,1.0000,0.0301,0.0314,0.0269,0.0704,0.0938,0.0811,0.0856,0.0576,0.0522,0.0272,0.0287,0.0245,0.0262,0.0257,0.0297,0.0251,0.0298,0.0286,0.0298,0.0276,0.0280,0.0277,0.0239
ToM/emotion_fewshot,0.0722,0.0744,0.0724,0.0597,0.0762,0.0998,0.0849,0.1019,0.0420,0.0146,0.0175,0.0416,0.0311,0.0615,0.0673,0.0539,0.0224,0.0496,0.0287,0.0301,1.0000,0.0793,0.0712,0.0327,0.0455,0.0400,0.0420,0.0742,0.0858,0.0654,0.0664,0.0669,0.0685,0.0729,0.0732,0.0684,0.0285,0.0458,0.0431,0.0407,0.0502,0.0212,0.0531
ToM/norm_appropriate,0.0609,0.0679,0.0592,0.0556,0.0759,0.0869,0.0824,0.0881,0.0417,0.0183,0.0218,0.0479,0.0346,0.0523,0.0636,0.0483,0.0253,0.0490,0.0314,0.0314,0.0793,1.0000,0.1011,0.0279,0.0390,0.0408,0.0395,0.0672,0.0735,0.0592,0.0612,0.0599,0.0615,0.0672,0.0985,0.0600,0.0275,0.0401,0.0406,0.0392,0.0402,0.0222,0.0509
ToM/norm_moral,0.0523,0.0593,0.0513,0.0535,0.0610,0.0808,0.0668,0.0790,0.0354,0.0153,0.0194,0.0408,0.0391,0.0490,0.0547,0.0465,0.0246,0.0473,0.0271,0.0269,0.0712,0.1011,1.0000,0.0219,0.0340,0.0372,0.0379,0.0614,0.0692,0.0535,0.0579,0.0604,0.0577,0.0584,0.0776,0.0662,0.0221,0.0318,0.0312,0.0284,0.0300,0.0152,0.0397
ToM/primary_emotions,0.0154,0.0193,0.0163,0.0211,0.0249,0.0217,0.0235,0.0184,0.0208,0.0390,0.0414,0.0275,0.0264,0.0145,0.0172,0.0174,0.0204,0.0203,0.0786,0.0704,0.0327,0.0279,0.0219,1.0000,0.2461,0.0854,0.0731,0.0397,0.0328,0.0197,0.0195,0.0196,0.0177,0.0216,0.0249,0.0168,0.0236,0.0197,0.0207,0.0191,0.0175,0.0247,0.0158
ToM/secondary_emotions,0.0318,0.0362,0.0330,0.0356,0.0407,0.0454,0.0414,0.0413,0.0283,0.0388,0.0461,0.0361,0.0323,0.0296,0.0332,0.0298,0.0232,0.0309,0.0800,0.0938,0.0455,0.0390,0.0340,0.2461,1.0000,0.1071,0.0803,0.0555,0.0526,0.0294,0.0325,0.0292,0.0284,0.0323,0.0346,0.0271,0.0309,0.0284,0.0300,0.0269,0.0276,0.0290,0.0262
ToM/social_interactions,0.0320,0.0365,0.0338,0.0368,0.0463,0.0498,0.0463,0.0466,0.0319,0.0450,0.0533,0.0432,0.0405,0.0293,0.0327,0.0318,0.0259,0.0339,0.1734,0.0811,0.0400,0.0408,0.0372,0.0854,0.1071,1.0000,0.1027,0.0680,0.0653,0.0317,0.0363,0.0304,0.0320,0.0344,0.0381,0.0296,0.0296,0.0296,0.0303,0.0264,0.0262,0.0277,0.0281
ToM/social_relations,0.0361,0.0413,0.0380,0.0406,0.0530,0.0595,0.0545,0.0567,0.0326,0.0517,0.0581,0.0463,0.0422,0.0333,0.0361,0.0351,0.0249,0.0361,0.1363,0.0856,0.0420,0.0395,0.0379,0.0731,0.0803,0.1027,1.0000,0.0799,0.0782,0.0352,0.0379,0.0350,0.0347,0.0335,0.0378,0.0346,0.0306,0.0310,0.0337,0.0302,0.0292,0.0306,0.0316
phys/phys_newton,0.1068,0.1079,0.1089,0.0780,0.1437,0.2418,0.1639,0.2308,0.0616,0.1253,0.0863,0.0754,0.0905,0.0830,0.0908,0.0718,0.0260,0.0608,0.0676,0.0576,0.0742,0.0672,0.0614,0.0397,0.0555,0.0680,0.0799,1.0000,0.4314,0.0649,0.0814,0.0662,0.0769,0.0598,0.0705,0.0716,0.0460,0.0541,0.0535,0.0548,0.0687,0.0345,0.0881
phys/phys_prost,0.1309,0.1267,0.1321,0.0906,0.1633,0.2783,0.1873,0.2704,0.0726,0.0993,0.0672,0.0800,0.0811,0.1004,0.1082,0.0831,0.0263,0.0667,0.0609,0.0522,0.0858,0.0735,0.0692,0.0328,0.0526,0.0653,0.0782,0.4314,1.0000,0.0771,0.0917,0.0766,0.0873,0.0692,0.0799,0.0844,0.0454,0.0647,0.0678,0.0671,0.0831,0.0340,0.1080
phys/physics_brightness,0.0702,0.0693,0.0702,0.0571,0.0719,0.0930,0.0792,0.0919,0.0398,0.0139,0.0174,0.0387,0.0321,0.0594,0.0678,0.0545,0.0216,0.0486,0.0266,0.0272,0.0654,0.0592,0.0535,0.0197,0.0294,0.0317,0.0352,0.0649,0.0771,1.0000,0.0715,0.0691,0.0756,0.0624,0.0615,0.0663,0.0233,0.0410,0.0401,0.0405,0.0406,0.0184,0.0589
phys/physics_buoyancy,0.0725,0.0805,0.0720,0.0637,0.0773,0.1079,0.0862,0.1114,0.0460,0.0167,0.0183,0.0417,0.0348,0.0631,0.0748,0.0588,0.0229,0.0512,0.0253,0.0287,0.0664,0.0612,0.0579,0.0195,0.0325,0.0363,0.0379,0.0814,0.0917,0.0715,1.0000,0.0814,0.0929,0.0728,0.0684,0.0826,0.0255,0.0446,0.0426,0.0423,0.0432,0.0160,0.0638
phys/physics_elasticity,0.0674,0.0705,0.0648,0.0608,0.0705,0.0943,0.0806,0.0960,0.0396,0.0130,0.0140,0.0370,0.0340,0.0578,0.0691,0.0508,0.0212,0.0504,0.0231,0.0245,0.0669,0.0599,0.0604,0.0196,0.0292,0.0304,0.0350,0.0662,0.0766,0.0691,0.0814,1.0000,0.0815,0.0620,0.0676,0.0746,0.0226,0.0407,0.0411,0.0382,0.0365,0.0178,0.0591
phys/physics_solubility,0.0830,0.0885,0.0818,0.0725,0.0800,0.1161,0.0920,0.1151,0.0484,0.0140,0.0160,0.0395,0.0325,0.0738,0.0842,0.0629,0.0204,0.0572,0.0228,0.0262,0.0685,0.0615,0.0577,0.0177,0.0284,0.0320,0.0347,0.0769,0.0873,0.0756,0.0929,0.0815,1.0000,0.0660,0.0695,0.0850,0.0300,0.0490,0.0493,0.0466,0.0444,0.0193,0.0697
phys/physics_speed,0.0625,0.0686,0.0582,0.0552,0.0713,0.0816,0.0781,0.0806,0.0383,0.0144,0.0173,0.0412,0.0279,0.0527,0.0623,0.0487,0.0239,0.0443,0.0274,0.0257,0.0729,0.0672,0.0584,0.0216,0.0323,0.0344,0.0335,0.0598,0.0692,0.0624,0.0728,0.0620,0.0660,1.0000,0.0776,0.0639,0.0225,0.0354,0.0352,0.0335,0.0428,0.0197,0.0456
phys/physics_stability,0.0626,0.0682,0.0619,0.0567,0.0755,0.0899,0.0834,0.0888,0.0413,0.0170,0.0204,0.0434,0.0351,0.0544,0.0634,0.0504,0.0246,0.0457,0.0298,0.0297,0.0732,0.0985,0.0776,0.0249,0.0346,0.0381,0.0378,0.0705,0.0799,0.0615,0.0684,0.0676,0.0695,0.0776,1.0000,0.0625,0.0231,0.0365,0.0368,0.0346,0.0394,0.0205,0.0487
phys/physics_temperature,0.0785,0.0834,0.0769,0.0641,0.0792,0.1086,0.0872,0.1093,0.0464,0.0108,0.0135,0.0379,0.0293,0.0693,0.0802,0.0586,0.0200,0.0562,0.0219,0.0251,0.0684,0.0600,0.0662,0.0168,0.0271,0.0296,0.0346,0.0716,0.0844,0.0663,0.0826,0.0746,0.0850,0.0639,0.0625,1.0000,0.0262,0.0454,0.0429,0.0408,0.0435,0.0182,0.0638
Lan/anaphor_gender_agreement,0.0516,0.0444,0.0490,0.0366,0.0432,0.0540,0.0468,0.0531,0.0338,0.0219,0.0229,0.0254,0.0168,0.0405,0.0410,0.0364,0.0105,0.0286,0.0268,0.0298,0.0285,0.0275,0.0221,0.0236,0.0309,0.0296,0.0306,0.0460,0.0454,0.0233,0.0255,0.0226,0.0300,0.0225,0.0231,0.0262,1.0000,0.0787,0.0750,0.0749,0.0688,0.0555,0.0525
Lan/det_noun_agreement_irregular,0.0896,0.0742,0.0834,0.0612,0.0664,0.0923,0.0755,0.0904,0.0492,0.0149,0.0182,0.0360,0.0177,0.0697,0.0708,0.0570,0.0139,0.0428,0.0249,0.0286,0.0458,0.0401,0.0318,0.0197,0.0284,0.0296,0.0310,0.0541,0.0647,0.0410,0.0446,0.0407,0.0490,0.0354,0.0365,0.0454,0.0787,1.0000,0.4746,0.3639,0.1149,0.0539,0.1262
Lan/det_noun_agreement_regular,0.0860,0.0711,0.0832,0.0596,0.0639,0.0865,0.0714,0.0839,0.0477,0.0166,0.0175,0.0346,0.0180,0.0676,0.0666,0.0537,0.0146,0.0416,0.0258,0.0298,0.0431,0.0406,0.0312,0.0207,0.0300,0.0303,0.0337,0.0535,0.0678,0.0401,0.0426,0.0411,0.0493,0.0352,0.0368,0.0429,0.0750,0.4746,1.0000,0.3817,0.1226,0.0570,0.1307
Lan/det_noun_agreement_with_adjective,0.0846,0.0699,0.0824,0.0566,0.0599,0.0871,0.0708,0.0855,0.0441,0.0162,0.0167,0.0312,0.0141,0.0664,0.0637,0.0504,0.0121,0.0373,0.0225,0.0276,0.0407,0.0392,0.0284,0.0191,0.0269,0.0264,0.0302,0.0548,0.0671,0.0405,0.0423,0.0382,0.0466,0.0335,0.0346,0.0408,0.0749,0.3639,0.3817,1.0000,0.1306,0.0562,0.1461
Lan/hypernymy,0.0824,0.0595,0.0818,0.0475,0.0585,0.0868,0.0659,0.0889,0.0419,0.0155,0.0150,0.0313,0.0157,0.0640,0.0547,0.0492,0.0136,0.0334,0.0204,0.0280,0.0502,0.0402,0.0300,0.0175,0.0276,0.0262,0.0292,0.0687,0.0831,0.0406,0.0432,0.0365,0.0444,0.0428,0.0394,0.0435,0.0688,0.1149,0.1226,0.1306,1.0000,0.0459,0.0780
Lan/npi,0.0307,0.0308,0.0305,0.0256,0.0317,0.0319,0.0318,0.0306,0.0252,0.0272,0.0255,0.0271,0.0169,0.0278,0.0272,0.0238,0.0114,0.0211,0.0311,0.0277,0.0212,0.0222,0.0152,0.0247,0.0290,0.0277,0.0306,0.0345,0.0340,0.0184,0.0160,0.0178,0.0193,0.0197,0.0205,0.0182,0.0555,0.0539,0.0570,0.0562,0.0459,1.0000,0.0319
Lan/wug,0.1439,0.1068,0.1353,0.0771,0.0997,0.1593,0.1209,0.1544,0.0601,0.0187,0.0160,0.0440,0.0255,0.1102,0.0981,0.0781,0.0126,0.0558,0.0216,0.0239,0.0531,0.0509,0.0397,0.0158,0.0262,0.0281,0.0316,0.0881,0.1080,0.0589,0.0638,0.0591,0.0697,0.0456,0.0487,0.0638,0.0525,0.1262,0.1307,0.1461,0.0780,0.0319,1.0000
